(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:24:02.710, 	0, 	1, 	14.3717, 	9.59616, 	1, 	4, 	3.04, 	(-0.323178,-0.0315975);(0.355885,0.558165);(-1.06203,-0.527677);(1.02084,-0.180627);
18:24:17.489, 	0, 	2, 	14.7651, 	5.54889, 	0, 	8, 	2.736, 	(0.0293534,0.0419605);
18:24:17.508, 	1, 	2, 	15.2292, 	24.5657, 	1, 	8, 	2.432, 	(-0.444013,-0.228171);
18:24:17.522, 	1, 	1, 	15.0874, 	10.199, 	0, 	8, 	2.128, 	(-0.836608,-0.00598423);(1.28593,0.294312);(-1.27645,0.261432);(0.822078,-0.874042);
18:24:17.548, 	1, 	2, 	15.1916, 	24.0388, 	1, 	8, 	2.128, 	(-0.480609,-0.277176);
18:24:17.568, 	1, 	2, 	15.608, 	24.3633, 	1, 	8, 	2.128, 	(0.497812,-0.248378);
18:24:17.588, 	1, 	2, 	15.4633, 	23.1643, 	1, 	8, 	2.128, 	(-0.538681,0.0318607);
18:24:17.608, 	1, 	2, 	14.0673, 	23.6261, 	1, 	8, 	2.128, 	(-0.352167,-0.362845);
18:24:17.628, 	1, 	2, 	14.2121, 	23.3407, 	1, 	8, 	2.128, 	(0.106361,0.49715);
18:24:17.649, 	1, 	2, 	13.5308, 	23.3401, 	1, 	8, 	2.128, 	(0.452738,-0.237606);
18:24:17.669, 	1, 	2, 	14.1821, 	23.8145, 	1, 	8, 	2.432, 	(-0.252114,-0.43996);
18:24:17.695, 	1, 	2, 	14.6282, 	23.3615, 	1, 	8, 	2.736, 	(-0.452909,-0.268814);
18:24:17.709, 	1, 	2, 	13.3967, 	23.2448, 	1, 	8, 	2.736, 	(-0.29803,0.459552);
18:24:17.729, 	1, 	2, 	13.2564, 	19.2626, 	1, 	8, 	3.04, 	(0.269962,-0.339944);
18:24:17.750, 	1, 	2, 	13.683, 	20.6968, 	1, 	8, 	3.04, 	(0.315601,0.378295);
18:24:17.770, 	1, 	2, 	13.2574, 	22.7543, 	1, 	8, 	3.04, 	(-0.320553,-0.418905);
18:24:17.790, 	1, 	2, 	13.2856, 	22.7243, 	1, 	8, 	3.04, 	(-0.00058757,-0.458536);
18:24:17.811, 	1, 	2, 	14.5252, 	23.8947, 	1, 	8, 	3.04, 	(0.123527,-0.532329);
18:24:17.830, 	1, 	2, 	13.5131, 	20.6859, 	1, 	8, 	3.04, 	(-0.455124,0.112683);
18:24:17.850, 	1, 	2, 	14.9007, 	21.3221, 	1, 	8, 	3.04, 	(0.335721,-0.397309);
18:24:17.870, 	1, 	2, 	15.2997, 	23.6539, 	1, 	8, 	3.04, 	(-0.446504,-0.210089);
18:24:17.896, 	1, 	2, 	16.573, 	24.6707, 	1, 	8, 	3.04, 	(0.547544,0.179346);
18:24:17.911, 	1, 	2, 	15.5572, 	24.9202, 	1, 	8, 	3.04, 	(0.143223,0.552754);
18:24:17.931, 	1, 	2, 	14.2258, 	22.4459, 	1, 	8, 	3.04, 	(0.204564,-0.494485);
18:24:17.951, 	1, 	2, 	14.9898, 	22.495, 	1, 	8, 	3.04, 	(0.571159,0.0735066);
18:24:17.971, 	1, 	2, 	15.3777, 	24.165, 	1, 	4, 	3.04, 	(-0.349297,0.469733);
18:24:17.991, 	1, 	2, 	15.1903, 	20.7633, 	1, 	-1.38778e-15, 	3.04, 	(-0.282688,-0.383373);
18:24:18.012, 	1, 	2, 	15.2019, 	22.4288, 	1, 	-1.38778e-15, 	3.04, 	(-0.549309,-0.0225596);
18:24:18.032, 	1, 	2, 	15.236, 	24.0606, 	1, 	-1.38778e-15, 	3.04, 	(0.511443,0.139599);
18:24:18.052, 	1, 	2, 	15.6016, 	24.418, 	1, 	-1.38778e-15, 	3.04, 	(0.354959,0.329408);
18:24:18.072, 	1, 	2, 	14.2176, 	21.2265, 	1, 	-1.38778e-15, 	3.04, 	(-0.341077,0.323405);
18:24:18.092, 	1, 	2, 	13.6315, 	22.2443, 	1, 	-1.38778e-15, 	3.04, 	(-0.196384,-0.494276);
18:24:18.112, 	1, 	2, 	15.9704, 	22.7995, 	1, 	-1.38778e-15, 	3.04, 	(-0.478478,-0.340266);
18:24:18.132, 	1, 	2, 	14.4465, 	22.7995, 	1, 	-1.38778e-15, 	3.04, 	(-0.478478,-0.340266);
18:24:18.153, 	1, 	2, 	15.5217, 	24.2833, 	1, 	-1.38778e-15, 	3.04, 	(0.237844,-0.560185);
18:24:18.173, 	1, 	2, 	13.7419, 	21.1346, 	1, 	-1.38778e-15, 	3.04, 	(0.0794938,-0.539398);
18:24:18.193, 	1, 	2, 	14.5152, 	24.1039, 	1, 	-1.38778e-15, 	3.04, 	(-0.523025,0.209425);
18:24:18.213, 	1, 	2, 	14.1367, 	23.2476, 	1, 	-1.38778e-15, 	3.04, 	(-0.343049,0.482209);
18:24:18.233, 	1, 	2, 	14.8029, 	25.0129, 	1, 	-1.38778e-15, 	3.04, 	(-0.34355,-0.496599);
18:24:18.253, 	1, 	2, 	14.016, 	24.7133, 	1, 	-1.38778e-15, 	3.04, 	(-0.130901,0.579729);
18:24:18.273, 	1, 	2, 	15.0367, 	22.8506, 	1, 	-1.38778e-15, 	3.04, 	(-0.527053,0.213498);
18:24:18.293, 	1, 	2, 	15.9946, 	23.9631, 	1, 	-1.38778e-15, 	3.04, 	(0.476229,0.205198);
18:24:18.314, 	1, 	2, 	14.3264, 	24.639, 	1, 	-1.38778e-15, 	3.04, 	(0.583474,0.195234);
18:24:18.334, 	1, 	2, 	15.7085, 	24.5956, 	1, 	-1.38778e-15, 	3.04, 	(0.602455,-0.105036);
18:24:18.354, 	1, 	2, 	14.1046, 	22.6657, 	1, 	-1.38778e-15, 	3.04, 	(0.0641738,-0.56048);
18:24:18.374, 	1, 	2, 	13.8846, 	24.4016, 	1, 	-1.38778e-15, 	3.04, 	(-0.467354,0.256677);
18:24:18.394, 	1, 	2, 	12.8241, 	19.4933, 	1, 	-1.38778e-15, 	3.04, 	(-0.423249,0.118975);
18:24:18.415, 	1, 	2, 	13.8483, 	24.5669, 	1, 	-1.38778e-15, 	3.04, 	(-0.488954,0.315564);
18:24:18.434, 	1, 	2, 	14.4571, 	24.9818, 	1, 	-1.38778e-15, 	3.04, 	(-0.298912,0.514838);
18:24:18.455, 	1, 	2, 	15.1636, 	23.1402, 	1, 	-1.38778e-15, 	3.04, 	(0.576167,0.185376);
18:24:18.475, 	1, 	2, 	14.5058, 	24.4715, 	1, 	-1.38778e-15, 	3.04, 	(0.313771,0.550576);
18:24:18.495, 	1, 	2, 	15.3287, 	25.025, 	1, 	-1.38778e-15, 	3.04, 	(0.196512,0.598041);
18:24:18.515, 	1, 	2, 	14.556, 	22.6762, 	1, 	-1.38778e-15, 	3.04, 	(0.445416,0.333633);
18:24:18.535, 	1, 	2, 	16.6844, 	23.1912, 	1, 	-1.38778e-15, 	3.04, 	(0.449506,0.394762);
18:24:18.556, 	1, 	2, 	16.6238, 	24.0378, 	1, 	-1.38778e-15, 	3.04, 	(0.372069,-0.352397);
18:24:18.576, 	1, 	2, 	15.3668, 	20.514, 	1, 	-1.38778e-15, 	3.04, 	(0.0128688,0.492124);
18:24:18.596, 	1, 	2, 	14.7179, 	21.8135, 	1, 	-1.38778e-15, 	3.04, 	(0.53245,-0.223351);
18:24:18.616, 	1, 	2, 	15.2853, 	23.3224, 	1, 	-1.38778e-15, 	3.04, 	(0.339764,0.530497);
18:24:18.636, 	1, 	2, 	16.0955, 	23.6527, 	1, 	-1.38778e-15, 	3.04, 	(-0.428041,-0.498305);
18:24:18.656, 	1, 	2, 	15.4614, 	19.8951, 	1, 	-1.38778e-15, 	3.04, 	(-0.255674,-0.429902);
18:24:18.676, 	1, 	2, 	14.8196, 	21.8045, 	1, 	-1.38778e-15, 	3.04, 	(0.0391282,0.562985);
18:24:18.696, 	1, 	2, 	15.6424, 	22.6385, 	1, 	-1.38778e-15, 	3.04, 	(0.0580904,-0.611435);
