(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:26:05.440, 	1, 	1, 	19.388, 	13.4991, 	0, 	32, 	1.52, 	(0.477216,-0.513169);(-1.02025,-0.108638);(1.48229,0.838103);(-1.37488,-0.800162);
18:26:19.857, 	1, 	2, 	20.9061, 	24.7249, 	1, 	28, 	1.52, 	(0.621974,-0.0431133);
18:26:19.899, 	1, 	2, 	18.4056, 	23.8787, 	1, 	24, 	1.52, 	(-0.621892,0.0965289);
18:26:19.917, 	1, 	2, 	21.3483, 	24.5739, 	1, 	24, 	1.52, 	(0.061271,0.50287);
18:26:19.937, 	1, 	2, 	20.9322, 	25.1144, 	1, 	20, 	1.824, 	(-0.581626,-0.252875);
18:26:19.957, 	1, 	2, 	21.9217, 	25.3431, 	1, 	20, 	2.128, 	(0.262181,-0.526);
18:26:19.977, 	1, 	2, 	22.2343, 	24.107, 	1, 	20, 	2.432, 	(0.505502,-0.225109);
18:26:19.998, 	1, 	2, 	23.0909, 	24.7347, 	1, 	16, 	2.432, 	(0.400004,-0.258697);
18:26:20.018, 	1, 	2, 	21.2659, 	23.8923, 	1, 	12, 	2.432, 	(-0.0754556,-0.416707);
18:26:20.038, 	1, 	2, 	21.4934, 	24.1647, 	1, 	12, 	2.736, 	(-0.258266,-0.531131);
18:26:20.058, 	1, 	2, 	18.1885, 	23.1339, 	1, 	12, 	3.04, 	(0.136158,-0.572801);
18:26:20.078, 	1, 	2, 	18.5396, 	22.8088, 	1, 	12, 	3.04, 	(-0.201193,-0.325773);
18:26:20.098, 	1, 	2, 	22.3503, 	22.7981, 	1, 	12, 	3.04, 	(0.208111,-0.148029);
18:26:20.118, 	1, 	2, 	22.059, 	22.4628, 	1, 	12, 	3.04, 	(-0.0814414,-0.359508);
18:26:20.139, 	1, 	2, 	19.0232, 	22.6867, 	1, 	12, 	3.04, 	(0.325977,-0.487872);
18:26:20.159, 	1, 	2, 	21.5887, 	24.5817, 	1, 	12, 	3.04, 	(0.518049,-0.0155516);
18:26:20.179, 	1, 	2, 	20.5508, 	24.1005, 	1, 	12, 	3.04, 	(-0.579035,-0.217515);
18:26:20.199, 	1, 	2, 	16.9655, 	22.1582, 	1, 	12, 	3.04, 	(-0.534109,-0.140808);
18:26:20.219, 	1, 	2, 	21.4009, 	25.0674, 	1, 	12, 	3.04, 	(0.167503,0.557632);
18:26:20.239, 	1, 	2, 	21.8736, 	24.4174, 	1, 	8, 	3.04, 	(0.536172,0.0714061);
18:26:20.260, 	1, 	2, 	20.5085, 	25.7722, 	1, 	4, 	3.04, 	(0.618075,0.249816);
