(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);17:57:39.631, 	0, 	1, 	14.3781, 	9.22524, 	1, 	-1.38778e-15, 	3.04, 	(0.764699,0.264214);(-1.06471,-0.65168);(0.832827,0.0847981);(-0.752458,0.322074);
17:57:52.671, 	0, 	2, 	13.329, 	3.77674, 	0, 	4, 	2.736, 	(-0.0279583,-0.0121359);
17:57:52.691, 	1, 	2, 	13.9027, 	22.2202, 	1, 	8, 	2.432, 	(-0.388114,-0.25723);
17:57:52.706, 	1, 	2, 	12.4381, 	17.4197, 	1, 	8, 	2.432, 	(-0.0373504,0.290198);
17:57:52.726, 	1, 	2, 	14.1183, 	18.4992, 	1, 	8, 	2.432, 	(-0.342226,0.0652351);
17:57:52.746, 	1, 	2, 	15.0627, 	22.1249, 	1, 	8, 	2.432, 	(-0.182564,-0.381391);
17:57:52.767, 	1, 	2, 	13.9952, 	20.0985, 	1, 	8, 	2.432, 	(-0.148995,-0.298579);
17:57:52.827, 	1, 	2, 	14.307, 	19.5549, 	1, 	8, 	2.432, 	(0.3772,-0.14363);
17:57:52.847, 	1, 	2, 	11.9871, 	23.144, 	1, 	8, 	2.432, 	(-0.267981,0.391442);
17:57:52.867, 	1, 	2, 	12.6375, 	22.8761, 	1, 	8, 	2.432, 	(-0.0707857,-0.468977);
17:57:52.913, 	1, 	2, 	13.056, 	22.0183, 	1, 	8, 	2.736, 	(0.150488,0.348988);
17:57:52.928, 	1, 	2, 	13.689, 	20.3119, 	1, 	8, 	3.04, 	(0.0338197,-0.352803);
17:57:52.948, 	1, 	2, 	12.0601, 	22.006, 	1, 	8, 	3.04, 	(-0.304343,-0.359219);
17:57:52.968, 	1, 	2, 	13.5159, 	21.7348, 	1, 	8, 	3.04, 	(0.400925,0.0781294);
17:57:52.994, 	1, 	2, 	14.2967, 	24.0008, 	1, 	8, 	3.04, 	(-0.360952,-0.327504);
17:57:53.009, 	1, 	2, 	13.3962, 	23.849, 	1, 	8, 	3.04, 	(0.0680782,0.471523);
17:57:53.029, 	1, 	2, 	13.7923, 	21.1363, 	1, 	8, 	3.04, 	(-0.102063,-0.446466);
17:57:53.049, 	1, 	2, 	14.4589, 	23.4601, 	1, 	8, 	3.04, 	(-0.470055,0.109953);
17:57:53.069, 	1, 	2, 	13.4059, 	19.1051, 	1, 	8, 	3.04, 	(0.248457,-0.233333);
17:57:53.089, 	1, 	2, 	14.7787, 	24.4282, 	1, 	8, 	3.04, 	(0.215794,0.4416);
17:57:53.109, 	1, 	2, 	14.3632, 	23.9905, 	1, 	8, 	3.04, 	(-0.132876,-0.457705);
17:57:53.129, 	1, 	2, 	13.5412, 	22.2193, 	1, 	8, 	3.04, 	(0.301295,0.36827);
17:57:53.149, 	1, 	2, 	13.3069, 	23.6354, 	1, 	8, 	3.04, 	(-0.479614,0.115479);
17:57:53.169, 	1, 	2, 	12.3539, 	19.94, 	1, 	8, 	3.04, 	(0.368636,-0.104739);
17:57:53.192, 	1, 	2, 	13.4594, 	20.3565, 	1, 	8, 	3.04, 	(-0.17482,0.39027);
17:57:53.210, 	1, 	2, 	10.8923, 	22.4378, 	1, 	4, 	3.04, 	(-0.237797,0.398557);
17:57:53.230, 	1, 	2, 	14.0213, 	23.6073, 	1, 	-1.38778e-15, 	3.04, 	(0.115827,-0.421793);
17:57:53.250, 	1, 	2, 	12.1171, 	18.7743, 	1, 	-1.38778e-15, 	3.04, 	(-0.310709,-0.187469);
17:57:53.260, 	1, 	2, 	13.5013, 	24.4852, 	1, 	-1.38778e-15, 	3.04, 	(-0.181252,0.474401);
17:57:53.280, 	1, 	2, 	13.8721, 	24.4511, 	1, 	-1.38778e-15, 	3.04, 	(0.244396,-0.438952);
17:57:53.300, 	1, 	2, 	12.5681, 	23.6665, 	1, 	-1.38778e-15, 	3.04, 	(-0.196406,0.437715);
17:57:53.320, 	1, 	2, 	13.6908, 	24.128, 	1, 	-1.38778e-15, 	3.04, 	(-0.399217,-0.207115);
17:57:53.340, 	1, 	2, 	13.9103, 	18.6952, 	1, 	-1.38778e-15, 	3.04, 	(0.23417,-0.297318);
17:57:53.361, 	1, 	2, 	13.8587, 	21.2025, 	1, 	-1.38778e-15, 	3.04, 	(0.258309,-0.364492);
17:57:53.381, 	1, 	2, 	14.4274, 	21.9763, 	1, 	-1.38778e-15, 	3.04, 	(-0.486485,-0.0291681);
17:57:53.401, 	1, 	2, 	13.8303, 	23.8002, 	1, 	-1.38778e-15, 	3.04, 	(0.317723,-0.350677);
17:57:53.421, 	1, 	2, 	13.487, 	23.0175, 	1, 	-1.38778e-15, 	3.04, 	(0.422445,-0.0319303);
