(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:27:32.672, 	0, 	1, 	13.1695, 	10.1887, 	1, 	-1.38778e-15, 	3.04, 	(-0.162605,0.888092);(0.360533,-1.19254);(0.15784,0.928279);(-0.517175,-0.685857);
18:27:57.184, 	0, 	2, 	16.1223, 	7.58694, 	0, 	4, 	2.736, 	(0.0221187,0.00377308);
18:27:57.208, 	1, 	2, 	14.4022, 	21.9981, 	1, 	8, 	2.432, 	(0.390848,0.288287);
18:27:57.220, 	1, 	1, 	14.6539, 	8.95687, 	0, 	8, 	2.128, 	(-0.547225,0.669907);(1.08413,-0.894552);(-0.332102,0.858082);(-0.236819,-0.842227);
18:27:57.249, 	1, 	2, 	14.7338, 	24.1927, 	1, 	8, 	2.128, 	(0.560524,-0.13748);
18:27:57.275, 	1, 	2, 	14.7193, 	24.1639, 	1, 	8, 	2.128, 	(-0.398787,0.415957);
18:27:57.289, 	1, 	2, 	13.4719, 	20.8342, 	1, 	8, 	2.128, 	(-0.408425,-0.319696);
18:27:57.310, 	1, 	2, 	14.1114, 	23.0535, 	1, 	8, 	2.128, 	(-0.110266,0.563384);
18:27:57.329, 	1, 	2, 	14.6197, 	16.3219, 	1, 	8, 	2.128, 	(-0.0589033,0.217765);
18:27:57.349, 	1, 	2, 	14.1792, 	19.4115, 	1, 	8, 	2.128, 	(-0.414145,0.219265);
18:27:57.370, 	1, 	2, 	14.1167, 	22.2335, 	1, 	8, 	2.432, 	(0.160399,-0.516815);
18:27:57.390, 	1, 	2, 	15.2865, 	24.779, 	1, 	8, 	2.736, 	(-0.220201,-0.527615);
18:27:57.410, 	1, 	2, 	16.0092, 	23.8081, 	1, 	8, 	2.736, 	(0.100174,0.512721);
18:27:57.430, 	1, 	2, 	13.2554, 	19.9194, 	1, 	8, 	3.04, 	(0.120999,0.447874);
18:27:57.450, 	1, 	2, 	14.7402, 	24.4768, 	1, 	8, 	3.04, 	(0.248086,0.545734);
18:27:57.470, 	1, 	2, 	14.7799, 	25.3499, 	1, 	8, 	3.04, 	(-0.504679,0.277813);
18:27:57.491, 	1, 	2, 	15.0058, 	23.2965, 	1, 	8, 	3.04, 	(0.481981,-0.170283);
18:27:57.511, 	1, 	2, 	14.7932, 	16.3976, 	1, 	8, 	3.04, 	(0.236552,0.0281894);
18:27:57.531, 	1, 	2, 	13.9578, 	20.8329, 	1, 	8, 	3.04, 	(0.442847,-0.111229);
18:27:57.551, 	1, 	2, 	13.9312, 	21.9068, 	1, 	8, 	3.04, 	(0.374685,-0.412357);
18:27:57.571, 	1, 	2, 	14.1743, 	23.2372, 	1, 	8, 	3.04, 	(0.163443,0.584895);
18:27:57.591, 	1, 	2, 	14.0402, 	19.8669, 	1, 	8, 	3.04, 	(0.448921,-0.0879201);
18:27:57.611, 	1, 	2, 	15.8687, 	25.1229, 	1, 	8, 	3.04, 	(-0.249736,0.566262);
18:27:57.631, 	1, 	2, 	15.6404, 	22.3904, 	1, 	8, 	3.04, 	(0.431738,-0.395504);
18:27:57.651, 	1, 	2, 	15.2339, 	23.3374, 	1, 	8, 	3.04, 	(-0.559519,0.0627526);
18:27:57.672, 	1, 	2, 	15.8425, 	24.4668, 	1, 	4, 	3.04, 	(0.490271,0.370836);
18:27:57.692, 	1, 	2, 	15.842, 	25.5614, 	1, 	-1.38778e-15, 	3.04, 	(-0.561989,-0.308322);
18:27:57.712, 	1, 	2, 	13.8627, 	21.5948, 	1, 	-1.38778e-15, 	3.04, 	(-0.0433832,0.591348);
18:27:57.732, 	1, 	2, 	15.5461, 	23.9979, 	1, 	-1.38778e-15, 	3.04, 	(0.288783,0.563318);
18:27:57.752, 	1, 	2, 	15.3964, 	25.1803, 	1, 	-1.38778e-15, 	3.04, 	(-0.512668,-0.0911017);
18:27:57.773, 	1, 	2, 	14.6711, 	21.0769, 	1, 	-1.38778e-15, 	3.04, 	(0.261322,0.448183);
18:27:57.793, 	1, 	2, 	15.1516, 	21.6087, 	1, 	-1.38778e-15, 	3.04, 	(-0.0733784,0.570317);
18:27:57.813, 	1, 	2, 	18.5568, 	24.175, 	1, 	-1.38778e-15, 	3.04, 	(0.591776,-0.0471683);
18:27:57.833, 	1, 	2, 	15.9172, 	24.6434, 	1, 	-1.38778e-15, 	3.04, 	(0.0640492,0.632474);
18:27:57.853, 	1, 	2, 	16.2911, 	23.6805, 	1, 	-1.38778e-15, 	3.04, 	(0.470663,0.0767481);
18:27:57.873, 	1, 	2, 	15.5654, 	24.6099, 	1, 	-1.38778e-15, 	3.04, 	(-0.627408,-0.150931);
18:27:57.894, 	1, 	2, 	15.8629, 	24.4453, 	1, 	-1.38778e-15, 	3.04, 	(-0.0959968,0.602735);
18:27:57.915, 	1, 	2, 	15.9403, 	24.2998, 	1, 	-1.38778e-15, 	3.04, 	(0.501116,-0.444317);
18:27:57.954, 	1, 	2, 	14.639, 	21.5127, 	1, 	-1.38778e-15, 	3.04, 	(0.173972,-0.4505);
18:27:57.974, 	1, 	2, 	14.3327, 	23.8625, 	1, 	-1.38778e-15, 	3.04, 	(-0.516673,0.384301);
18:27:57.995, 	1, 	2, 	16.5441, 	24.709, 	1, 	-1.38778e-15, 	3.04, 	(0.683272,0.12014);
18:27:58.015, 	1, 	2, 	14.316, 	19.2305, 	1, 	-1.38778e-15, 	3.04, 	(-0.313872,-0.419433);
18:27:58.035, 	1, 	2, 	16.5679, 	25.2228, 	1, 	-1.38778e-15, 	3.04, 	(-0.680939,0.0372064);
18:27:58.055, 	1, 	2, 	16.0468, 	24.4675, 	1, 	-1.38778e-15, 	3.04, 	(0.56973,0.299503);
18:27:58.065, 	1, 	2, 	16.4942, 	24.6789, 	1, 	-1.38778e-15, 	3.04, 	(0.169496,0.63198);
18:27:58.085, 	1, 	2, 	15.4393, 	24.7335, 	1, 	-1.38778e-15, 	3.04, 	(-0.272947,-0.526969);
18:27:58.125, 	1, 	2, 	15.6913, 	24.1752, 	1, 	-1.38778e-15, 	3.04, 	(0.648574,-0.209961);
18:27:58.145, 	1, 	2, 	15.1699, 	23.1433, 	1, 	-1.38778e-15, 	3.04, 	(-0.605225,0.262914);
18:27:58.166, 	1, 	2, 	16.353, 	24.66, 	1, 	-1.38778e-15, 	3.04, 	(-0.724887,0.00618537);
