(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);17:59:05.337, 	1, 	1, 	16.5198, 	10.218, 	0, 	12, 	0.912, 	(-0.227184,0.351252);(0.616746,0.00653843);(-1.31849,-0.52252);(1.2988,0.445533);
17:59:19.612, 	0, 	2, 	19.6051, 	12.301, 	0, 	12, 	0.912, 	(-0.0235459,-0.0824575);
17:59:19.633, 	0, 	2, 	16.3118, 	17.3662, 	0, 	16, 	0.912, 	(-0.160908,0.0397272);
17:59:19.646, 	1, 	1, 	19.7524, 	16.6114, 	0, 	20, 	0.912, 	(0.656363,0.385054);(-0.292325,-1.03213);(-0.299228,1.52965);(0.235045,-1.51236);
17:59:19.674, 	1, 	2, 	18.7241, 	24.0442, 	1, 	20, 	1.216, 	(0.493418,0.336438);
17:59:19.693, 	1, 	2, 	19.8431, 	24.2624, 	1, 	20, 	1.52, 	(-0.456964,-0.0176395);
17:59:19.713, 	1, 	2, 	19.7356, 	24.0917, 	1, 	20, 	1.824, 	(0.537252,-0.265109);
17:59:19.733, 	1, 	2, 	16.0841, 	14.7198, 	1, 	20, 	1.824, 	(0.0973934,0.150806);
17:59:19.753, 	1, 	2, 	17.708, 	23.2603, 	1, 	20, 	1.824, 	(-0.424461,0.410612);
17:59:19.773, 	1, 	2, 	20.1613, 	24.2154, 	1, 	20, 	1.824, 	(-0.0885944,-0.452647);
17:59:19.793, 	1, 	2, 	19.6102, 	25.2566, 	1, 	20, 	2.128, 	(0.0468709,-0.592893);
17:59:19.814, 	1, 	2, 	20.9975, 	24.756, 	1, 	20, 	2.432, 	(0.147384,0.532101);
17:59:19.833, 	1, 	2, 	20.2368, 	23.826, 	1, 	20, 	2.736, 	(-0.15014,0.498462);
17:59:19.854, 	1, 	2, 	20.9821, 	23.1936, 	1, 	20, 	3.04, 	(0.284245,0.391852);
17:59:19.874, 	1, 	2, 	19.399, 	24.6663, 	1, 	20, 	3.04, 	(0.255398,-0.559129);
17:59:19.894, 	1, 	2, 	16.3216, 	17.6492, 	1, 	20, 	3.04, 	(0.324307,-0.0505566);
17:59:19.914, 	1, 	2, 	19.9639, 	23.8341, 	1, 	16, 	3.04, 	(-0.267612,-0.472532);
17:59:19.934, 	1, 	2, 	20.1866, 	23.9469, 	1, 	12, 	3.04, 	(-0.252349,0.420672);
17:59:19.954, 	1, 	2, 	19.701, 	23.4249, 	1, 	12, 	3.04, 	(-0.29757,-0.26683);
17:59:19.975, 	1, 	2, 	16.5741, 	20.6414, 	1, 	8, 	3.04, 	(0.441501,-0.256275);
17:59:19.995, 	1, 	2, 	16.7376, 	22.2433, 	1, 	8, 	3.04, 	(-0.55503,0.0351429);
17:59:20.015, 	1, 	2, 	17.2877, 	23.8052, 	1, 	8, 	3.04, 	(0.454675,0.444492);
17:59:20.036, 	1, 	2, 	19.2666, 	24.5824, 	1, 	8, 	3.04, 	(-0.149977,0.631726);
17:59:20.056, 	1, 	2, 	19.0908, 	24.8362, 	1, 	8, 	3.04, 	(0.605217,0.215413);
17:59:20.076, 	1, 	2, 	17.1022, 	21.5678, 	1, 	8, 	3.04, 	(0.0344375,0.510586);
17:59:20.096, 	1, 	2, 	20.0225, 	24.4732, 	1, 	8, 	3.04, 	(0.558939,-0.0523869);
17:59:20.116, 	1, 	2, 	20.6179, 	24.3471, 	1, 	4, 	3.04, 	(0.471398,0.181067);
17:59:20.136, 	1, 	2, 	16.676, 	21.4565, 	1, 	-1.38778e-15, 	3.04, 	(-0.506635,0.241651);
17:59:20.157, 	1, 	2, 	17.0698, 	21.8024, 	1, 	-1.38778e-15, 	3.04, 	(-0.337912,0.477486);
17:59:20.177, 	1, 	2, 	18.3165, 	23.7747, 	1, 	-1.38778e-15, 	3.04, 	(-0.0590123,-0.585236);
17:59:20.199, 	1, 	2, 	19.497, 	25.2015, 	1, 	-1.38778e-15, 	3.04, 	(0.236892,0.61597);
17:59:20.217, 	1, 	2, 	20.3334, 	24.9018, 	1, 	-1.38778e-15, 	3.04, 	(0.169873,0.473769);
17:59:20.237, 	1, 	2, 	17.1187, 	21.8567, 	1, 	-1.38778e-15, 	3.04, 	(0.0121443,-0.574157);
17:59:20.257, 	1, 	2, 	21.3479, 	25.4642, 	1, 	-1.38778e-15, 	3.04, 	(0.651798,-0.02648);
17:59:20.277, 	1, 	2, 	18.3197, 	23.7679, 	1, 	-1.38778e-15, 	3.04, 	(0.331532,0.57886);
17:59:20.299, 	1, 	2, 	21.056, 	24.1648, 	1, 	-1.38778e-15, 	3.04, 	(0.117065,0.537331);
17:59:20.318, 	1, 	2, 	22.4115, 	25.217, 	1, 	-1.38778e-15, 	3.04, 	(-0.481827,0.0399378);
17:59:20.338, 	1, 	2, 	17.6901, 	22.0081, 	1, 	-1.38778e-15, 	3.04, 	(-0.166495,-0.588324);
17:59:20.358, 	1, 	2, 	22.622, 	24.3381, 	1, 	-1.38778e-15, 	3.04, 	(0.61897,0.0521313);
17:59:20.378, 	1, 	2, 	19.934, 	24.4221, 	1, 	-1.38778e-15, 	3.04, 	(-0.664964,0.105832);
17:59:20.399, 	1, 	2, 	22.4441, 	25.052, 	1, 	-1.38778e-15, 	3.04, 	(0.195394,0.464759);
17:59:20.418, 	1, 	2, 	23.3891, 	25.2793, 	1, 	-1.38778e-15, 	3.04, 	(0.662292,0.0373497);
17:59:20.438, 	1, 	2, 	18.3624, 	22.5145, 	1, 	-1.38778e-15, 	3.04, 	(0.366596,0.54332);
17:59:20.459, 	1, 	2, 	19.0652, 	24.3817, 	1, 	-1.38778e-15, 	3.04, 	(-0.196377,-0.645381);
17:59:20.479, 	1, 	2, 	22.3281, 	25.3873, 	1, 	-1.38778e-15, 	3.04, 	(-0.476218,0.220864);
17:59:20.499, 	0, 	2, 	21.5203, 	25.3873, 	1, 	-1.38778e-15, 	3.04, 	(-0.476218,0.220864);
17:59:20.519, 	0, 	2, 	21.8911, 	6.61182, 	0, 	4, 	2.736, 	(0.00283232,0.032983);
17:59:20.533, 	1, 	1, 	21.3332, 	16.3967, 	0, 	8, 	2.128, 	(0.906673,-0.372074);(-1.12178,-0.572311);(0.65185,0.825713);(-0.499706,-0.88946);
17:59:20.550, 	1, 	1, 	22.0149, 	13.7183, 	0, 	8, 	1.824, 	(-0.802225,0.277958);(1.03732,0.800533);(-0.765427,-1.68281);(0.544483,1.71167);
17:59:20.580, 	1, 	2, 	21.6961, 	16.0757, 	1, 	8, 	1.824, 	(-0.153733,-0.0558071);
17:59:20.600, 	1, 	2, 	17.8905, 	14.7954, 	1, 	8, 	1.824, 	(-0.103945,0.0594868);
17:59:20.620, 	1, 	2, 	19.0794, 	23.4297, 	1, 	8, 	1.824, 	(-0.680115,0.173629);
17:59:20.640, 	1, 	2, 	21.9666, 	24.9191, 	1, 	8, 	1.824, 	(-0.463627,0.398319);
17:59:20.660, 	1, 	2, 	21.599, 	23.8822, 	1, 	8, 	1.824, 	(0.282716,-0.458204);
17:59:20.680, 	0, 	2, 	21.77, 	4.53641, 	1, 	8, 	1.824, 	(-0.00808514,-0.0241575);
17:59:20.700, 	0, 	2, 	18.2608, 	2.02271, 	0, 	12, 	1.52, 	(0.0368023,0.0051413);
17:59:20.714, 	1, 	1, 	22.8487, 	15.0058, 	0, 	16, 	1.52, 	(1.02693,0.215957);(1.10692,-0.984165);(-1.10692,0.984165);(1.02693,0.215957);
17:59:20.731, 	1, 	1, 	21.1195, 	17.4847, 	0, 	16, 	1.52, 	(0.0117327,-1.02837);(-1.09567,0.755405);(1.8058,-0.133902);(-1.77463,-0.149192);
