2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-66.0729, 	-60, 	26.1534, 	1, 	1.52
2, 	-63.9534, 	-60, 	20.5627, 	1, 	2.736
2, 	-63.9534, 	-60, 	24.1444, 	1, 	2.736
2, 	-68.3862, 	-60, 	23.9997, 	1, 	2.736
2, 	-68.3862, 	-60, 	22.5916, 	1, 	2.736
2, 	-68.3862, 	-60, 	24.6858, 	1, 	2.736
2, 	-68.3862, 	-60, 	24.2963, 	1, 	2.736
2, 	-63.9534, 	-60, 	24.0157, 	1, 	2.736
2, 	-63.9534, 	-60, 	24.2167, 	1, 	2.736
2, 	-63.9534, 	-60, 	24.5842, 	1, 	2.736
2, 	-63.9534, 	-60, 	22.4299, 	1, 	3.04
2, 	-63.9534, 	-60, 	24.4203, 	1, 	3.04
2, 	-63.9534, 	-60, 	24.145, 	1, 	3.04
2, 	-61.9835, 	-60, 	21.5869, 	1, 	3.04
2, 	-61.9835, 	-58, 	24.7197, 	1, 	3.04
2, 	-66.0729, 	-58, 	24.4131, 	1, 	3.04
2, 	-66.0729, 	-60, 	22.7131, 	1, 	3.04
2, 	-66.0729, 	-60, 	24.9707, 	1, 	3.04
2, 	-66.0729, 	-60, 	24.5524, 	1, 	3.04
2, 	-66.0729, 	-60, 	22.4415, 	1, 	3.04
2, 	-66.0729, 	-60, 	25.1469, 	1, 	3.04
2, 	-60.1334, 	-60, 	21.5062, 	1, 	3.04
2, 	-60.1334, 	-57, 	24.3429, 	1, 	3.04
2, 	-61.9835, 	-57, 	24.1883, 	1, 	3.04
2, 	-61.9835, 	-58, 	24.33, 	1, 	3.04
2, 	-63.9534, 	-58, 	23.1671, 	1, 	3.04
2, 	-63.9534, 	-60, 	24.418, 	1, 	3.04
2, 	-61.9835, 	-60, 	24.8519, 	1, 	3.04
2, 	-61.9835, 	-58, 	24.6744, 	1, 	3.04
2, 	-63.9534, 	-58, 	24.1728, 	1, 	3.04
2, 	-63.9534, 	-60, 	25.4915, 	1, 	3.04
2, 	-61.9835, 	-60, 	23.697, 	1, 	3.04
2, 	-61.9835, 	-58, 	25.2783, 	1, 	3.04
2, 	-61.9835, 	-58, 	20.6663, 	1, 	3.04
2, 	-61.9835, 	-58, 	24.0909, 	1, 	3.04
2, 	-60.1334, 	-58, 	25.2112, 	1, 	3.04
2, 	-60.1334, 	-57, 	24.7477, 	1, 	3.04
2, 	-60.1334, 	-57, 	24.6244, 	1, 	3.04
2, 	-60.1334, 	-57, 	25.6115, 	1, 	3.04
2, 	-60.1334, 	-57, 	21.821, 	1, 	3.04
2, 	-60.1334, 	-57, 	18.7803, 	1, 	3.04
2, 	-63.9534, 	-55, 	25.1778, 	1, 	3.04
2, 	-63.9534, 	-60, 	25.2971, 	1, 	3.04
2, 	-63.9534, 	-60, 	21.5415, 	1, 	3.04
2, 	-63.9534, 	-60, 	25.7181, 	1, 	3.04
2, 	-60.1334, 	-60, 	25.8851, 	1, 	3.04
2, 	-60.1334, 	-55, 	23.7884, 	1, 	3.04
2, 	-60.1334, 	-55, 	25.5459, 	1, 	3.04
2, 	-60.1334, 	-55, 	25.3927, 	1, 	3.04
2, 	-60.1334, 	-55, 	25.0727, 	1, 	3.04
2, 	-60.1334, 	-55, 	23.9969, 	1, 	3.04
2, 	-60.1334, 	-55, 	21.4584, 	1, 	3.04
2, 	-60.1334, 	-57, 	26.8358, 	1, 	3.04
2, 	-56.7136, 	-57, 	25.2099, 	1, 	3.04
2, 	-56.7136, 	-50, 	23.292, 	1, 	3.04
2, 	-56.7136, 	-60, 	25.3533, 	1, 	3.04
2, 	-60.1334, 	-47, 	25.1815, 	1, 	3.04
2, 	-60.1334, 	-57, 	22.0607, 	1, 	3.04
2, 	-58.382, 	-55, 	25.469, 	1, 	3.04
2, 	-58.382, 	-60, 	24.7832, 	1, 	3.04
2, 	-58.382, 	-60, 	21.4349, 	1, 	3.04
2, 	-58.382, 	-60, 	24.269, 	1, 	3.04
2, 	-58.382, 	-60, 	25.1576, 	1, 	3.04
2, 	-58.382, 	-60, 	22.4179, 	1, 	3.04
2, 	-58.382, 	-60, 	24.556, 	1, 	3.04
2, 	-58.382, 	-60, 	26.2838, 	1, 	3.04
2, 	-58.382, 	-60, 	23.0667, 	1, 	3.04
2, 	-58.382, 	-60, 	25.6178, 	1, 	3.04
2, 	-58.382, 	-60, 	26.1468, 	1, 	3.04
2, 	-55.1161, 	-60, 	25.4248, 	1, 	3.04
2, 	-55.1161, 	-57, 	25.1568, 	1, 	3.04
2, 	-56.7136, 	-57, 	25.4223, 	1, 	3.04
2, 	-56.7136, 	-60, 	23.0407, 	1, 	3.04
2, 	-56.7136, 	-47, 	25.815, 	1, 	3.04
2, 	-56.7136, 	-47, 	25.0621, 	1, 	3.04
2, 	-56.7136, 	-47, 	26.2955, 	1, 	3.04
2, 	-56.7136, 	-50, 	25.7974, 	1, 	3.04
2, 	-58.382, 	-47, 	25.7044, 	1, 	3.04
2, 	-58.382, 	-60, 	25.5866, 	1, 	3.04
2, 	-58.382, 	-60, 	25.2997, 	1, 	3.04
2, 	-58.382, 	-60, 	25.3078, 	1, 	3.04
2, 	-55.1161, 	-60, 	23.6697, 	1, 	3.04
2, 	-55.1161, 	-58, 	25.4139, 	1, 	3.04
2, 	-55.1161, 	-57, 	25.3153, 	1, 	3.04
2, 	-55.1161, 	-58, 	25.8308, 	1, 	3.04
2, 	-55.1161, 	-57, 	25.128, 	1, 	3.04
2, 	-53.5801, 	-58, 	26.454, 	1, 	3.04
2, 	-53.5801, 	-60, 	26.7799, 	1, 	3.04
2, 	-53.5801, 	-60, 	25.3862, 	1, 	3.04
2, 	-53.5801, 	-60, 	26.4337, 	1, 	3.04
2, 	-53.5801, 	-60, 	25.002, 	1, 	3.04
2, 	-53.5801, 	-60, 	25.506, 	1, 	3.04
2, 	-53.5801, 	-60, 	24.7281, 	1, 	3.04
2, 	-53.5801, 	-60, 	24.3801, 	1, 	3.04
2, 	-53.5801, 	-60, 	24.847, 	1, 	3.04
2, 	-53.5801, 	-60, 	21.9833, 	1, 	3.04
2, 	-53.5801, 	-60, 	24.5364, 	1, 	3.04
2, 	-53.5801, 	-60, 	25.1609, 	1, 	3.04
2, 	-53.5801, 	-60, 	23.4302, 	1, 	3.04
2, 	-53.5801, 	-60, 	15.4122, 	1, 	3.04
2, 	-52.098, 	-53, 	25.5309, 	1, 	3.04
2, 	-52.098, 	-50, 	21.4996, 	1, 	3.04
2, 	-52.098, 	-41, 	24.2899, 	1, 	3.04
2, 	-52.098, 	-41, 	25.7134, 	1, 	3.04
2, 	-52.098, 	-43, 	25.9933, 	1, 	3.04
2, 	-52.098, 	-54, 	25.131, 	1, 	3.04
2, 	-50.6636, 	-49, 	26.13, 	1, 	3.04
2, 	-50.6636, 	-44, 	22.0209, 	1, 	3.04
2, 	-55.1161, 	-49, 	25.6884, 	1, 	3.04
2, 	-55.1161, 	-58, 	26.2998, 	1, 	3.04
2, 	-55.1161, 	-57, 	23.3456, 	1, 	3.04
2, 	-55.1161, 	-58, 	25.0102, 	1, 	3.04
2, 	-55.1161, 	-58, 	24.8935, 	1, 	3.04
2, 	-52.098, 	-58, 	25.2084, 	1, 	3.04
2, 	-52.098, 	-41, 	26.0538, 	1, 	3.04
2, 	-49.2717, 	-43, 	25.1866, 	1, 	3.04
2, 	-49.2717, 	-40, 	25.6009, 	1, 	3.04
2, 	-52.098, 	-40, 	25.7915, 	1, 	3.04
