(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:00:43.668, 	0, 	1, 	15.8389, 	8.79056, 	1, 	4, 	2.736, 	(0.528981,0.707744);(-0.578423,-1.20694);(0.99467,0.797108);(-1.14282,-0.23249);
18:00:58.384, 	1, 	2, 	12.2718, 	17.827, 	1, 	8, 	2.432, 	(0.358343,-0.0661952);
18:00:58.405, 	1, 	2, 	14.0016, 	23.8836, 	1, 	8, 	2.432, 	(-0.0932265,0.48193);
18:00:58.424, 	1, 	2, 	12.8828, 	21.0379, 	1, 	8, 	2.432, 	(0.265443,0.30818);
18:00:58.445, 	1, 	2, 	11.3317, 	21.6764, 	1, 	8, 	2.736, 	(0.455828,0.055678);
18:00:58.465, 	1, 	2, 	11.4972, 	17.9481, 	1, 	8, 	2.736, 	(0.0814594,-0.307667);
18:00:58.485, 	1, 	2, 	12.5971, 	17.9414, 	1, 	8, 	2.736, 	(0.383581,0.0357453);
18:00:58.505, 	1, 	2, 	13.1804, 	20.687, 	1, 	8, 	2.736, 	(-0.340007,0.212945);
18:00:58.525, 	1, 	2, 	14.1202, 	21.9768, 	1, 	8, 	2.736, 	(0.199932,-0.396023);
18:00:58.546, 	1, 	2, 	14.6768, 	23.1313, 	1, 	8, 	2.736, 	(0.31469,-0.24222);
18:00:58.566, 	1, 	2, 	15.0786, 	23.039, 	1, 	8, 	3.04, 	(-0.462602,-0.138507);
18:00:58.586, 	1, 	2, 	13.7609, 	19.7343, 	1, 	8, 	3.04, 	(-0.218172,-0.388441);
18:00:58.606, 	1, 	2, 	14.4499, 	23.7527, 	1, 	8, 	3.04, 	(0.145096,-0.496153);
18:00:58.626, 	1, 	2, 	15.1669, 	22.6865, 	1, 	8, 	3.04, 	(-0.469888,-0.132329);
18:00:58.646, 	1, 	2, 	13.1109, 	17.9424, 	1, 	8, 	3.04, 	(-0.0753195,-0.340537);
18:00:58.666, 	1, 	2, 	13.1815, 	19.0305, 	1, 	8, 	3.04, 	(0.208749,0.352899);
18:00:58.686, 	1, 	2, 	13.2349, 	21.2758, 	1, 	8, 	3.04, 	(-0.232774,-0.402014);
18:00:58.706, 	1, 	2, 	13.9829, 	23.5976, 	1, 	8, 	3.04, 	(-0.510613,0.167066);
18:00:58.727, 	1, 	2, 	15.1764, 	23.8092, 	1, 	8, 	3.04, 	(0.460978,0.172835);
18:00:58.747, 	1, 	2, 	14.5921, 	23.8092, 	1, 	4, 	3.04, 	(0.460978,0.172835);
18:00:58.767, 	1, 	2, 	15.4607, 	23.5638, 	1, 	4, 	3.04, 	(-0.362313,0.357961);
18:00:58.787, 	1, 	2, 	16.8147, 	24.4761, 	1, 	4, 	3.04, 	(-0.356945,-0.429586);
18:00:58.807, 	1, 	2, 	15.8357, 	23.7189, 	1, 	4, 	3.04, 	(-0.312448,0.507968);
18:00:58.827, 	1, 	2, 	15.2618, 	23.4966, 	1, 	4, 	3.04, 	(-0.460297,-0.395583);
18:00:58.848, 	1, 	2, 	14.1652, 	18.9359, 	1, 	4, 	3.04, 	(0.433318,0.0711065);
18:00:58.868, 	1, 	2, 	14.483, 	21.2155, 	1, 	-1.38778e-15, 	3.04, 	(-0.427636,-0.224318);
18:00:58.894, 	1, 	2, 	16.3584, 	22.5715, 	1, 	-1.38778e-15, 	3.04, 	(-0.506466,0.25238);
18:00:58.908, 	1, 	2, 	15.5105, 	24.2229, 	1, 	-1.38778e-15, 	3.04, 	(0.0102996,0.604313);
18:00:58.928, 	1, 	2, 	14.4626, 	24.7818, 	1, 	-1.38778e-15, 	3.04, 	(-0.595892,0.0839742);
18:00:58.949, 	1, 	2, 	16.3091, 	21.2589, 	1, 	-1.38778e-15, 	3.04, 	(-0.0804334,-0.541284);
