(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:02:14.742, 	1, 	1, 	17.9361, 	16.6614, 	0, 	12, 	1.52, 	(0.0278027,-0.501286);(-0.6242,0.430066);(1.39922,-0.370532);(-1.2886,0.461465);
18:02:29.396, 	1, 	2, 	17.5942, 	18.0484, 	1, 	12, 	1.824, 	(0.135411,0.079622);
18:02:29.437, 	1, 	2, 	18.0011, 	17.1387, 	1, 	12, 	2.128, 	(0.178296,0.00842256);
18:02:29.456, 	0, 	2, 	15.636, 	13.0688, 	1, 	12, 	2.128, 	(0.0675248,-0.0380654);
18:02:29.475, 	1, 	1, 	16.2934, 	17.6998, 	0, 	16, 	1.52, 	(-0.412506,-0.137935);(0.174025,0.650594);(0.146562,-1.40493);(-0.0252419,1.3199);
18:02:29.495, 	1, 	1, 	18.7744, 	14.4939, 	0, 	16, 	1.216, 	(-0.629598,0.578557);(1.12297,-0.0584676);(-1.242,-0.344309);(1.17875,0.262335);
18:02:29.516, 	1, 	2, 	17.7672, 	14.2868, 	1, 	16, 	1.216, 	(0.0864965,0.0677658);
18:02:29.536, 	0, 	2, 	18.0834, 	14.2502, 	1, 	16, 	1.216, 	(-0.0752825,-0.0662077);
18:02:29.557, 	1, 	2, 	18.5017, 	14.6603, 	1, 	20, 	1.216, 	(-0.0678896,0.101853);
18:02:29.575, 	1, 	1, 	17.6233, 	13.1926, 	0, 	20, 	1.216, 	(0.127683,-0.324837);(-0.670492,0.458613);(1.42939,-0.114726);(-1.37494,0.187989);
18:02:29.597, 	0, 	2, 	16.9075, 	14.114, 	0, 	20, 	1.216, 	(-0.0745287,-0.0650654);
18:02:29.617, 	0, 	2, 	18.0464, 	14.8762, 	0, 	24, 	1.216, 	(0.0788208,-0.0375383);
18:02:29.636, 	1, 	1, 	18.1787, 	13.5373, 	0, 	28, 	0.608, 	(0.300054,-0.694258);(-0.756706,0.7617);(0.768671,-0.401802);(-0.787046,0.331424);
18:02:29.655, 	1, 	1, 	17.2227, 	13.0731, 	0, 	28, 	0.608, 	(0.790744,-0.0666145);(-0.887987,-0.617553);(0.818678,1.09629);(-0.824896,-1.00796);
18:02:29.680, 	1, 	2, 	17.0693, 	22.9821, 	1, 	24, 	0.912, 	(0.508505,0.100779);
18:02:29.698, 	1, 	2, 	17.7075, 	23.225, 	1, 	20, 	1.216, 	(-0.109231,0.525094);
18:02:29.719, 	1, 	2, 	15.2499, 	19.7936, 	1, 	20, 	1.216, 	(0.156317,0.439567);
18:02:29.739, 	1, 	2, 	18.6723, 	24.0248, 	1, 	20, 	1.52, 	(-0.486177,0.169059);
18:02:29.759, 	1, 	2, 	17.8058, 	22.9429, 	1, 	20, 	1.52, 	(-0.390867,-0.144598);
18:02:29.779, 	1, 	2, 	17.7473, 	23.6117, 	1, 	20, 	1.824, 	(0.457583,-0.0455797);
18:02:29.799, 	1, 	2, 	18.1286, 	24.4471, 	1, 	20, 	2.128, 	(0.305695,0.495102);
18:02:29.819, 	1, 	2, 	16.6081, 	20.1907, 	1, 	20, 	2.432, 	(-0.411703,0.300443);
18:02:29.839, 	1, 	2, 	17.1076, 	22.4674, 	1, 	20, 	2.736, 	(0.454593,-0.192641);
18:02:29.860, 	1, 	2, 	16.3875, 	24.0679, 	1, 	16, 	3.04, 	(0.558546,0.05556);
18:02:29.879, 	1, 	2, 	18.9857, 	24.397, 	1, 	16, 	3.04, 	(0.300847,-0.335535);
18:02:29.899, 	1, 	2, 	16.2771, 	20.1427, 	1, 	16, 	3.04, 	(0.445608,0.175647);
18:02:29.920, 	1, 	2, 	18.7141, 	24.5328, 	1, 	16, 	3.04, 	(0.407509,0.341462);
18:02:29.940, 	1, 	2, 	18.6648, 	24.5328, 	1, 	16, 	3.04, 	(0.407509,0.341462);
18:02:29.960, 	1, 	2, 	17.5074, 	24.0903, 	1, 	12, 	3.04, 	(-0.0938213,-0.575761);
18:02:29.980, 	1, 	2, 	18.79, 	24.1692, 	1, 	12, 	3.04, 	(-0.573635,0.0624106);
18:02:30.000, 	1, 	2, 	19.3689, 	24.8548, 	1, 	12, 	3.04, 	(0.539111,0.160057);
18:02:30.020, 	1, 	2, 	19.6297, 	24.8948, 	1, 	12, 	3.04, 	(-0.230304,-0.479721);
18:02:30.041, 	1, 	2, 	18.1254, 	23.7969, 	1, 	8, 	3.04, 	(-0.431194,-0.392075);
18:02:30.061, 	1, 	2, 	17.7114, 	24.0598, 	1, 	8, 	3.04, 	(0.302033,-0.321913);
18:02:30.081, 	1, 	2, 	18.8101, 	24.7201, 	1, 	8, 	3.04, 	(-0.564195,0.092344);
18:02:30.103, 	1, 	2, 	17.3999, 	22.4333, 	1, 	4, 	3.04, 	(0.14532,-0.535466);
18:02:30.121, 	1, 	2, 	19.4711, 	24.1526, 	1, 	-1.38778e-15, 	3.04, 	(-0.140003,0.516711);
18:02:30.141, 	1, 	2, 	18.2847, 	24.2653, 	1, 	-1.38778e-15, 	3.04, 	(-0.608972,-0.118912);
18:02:30.161, 	1, 	2, 	20.4804, 	24.8072, 	1, 	-1.38778e-15, 	3.04, 	(0.251702,-0.33112);
18:02:30.181, 	1, 	2, 	19.0468, 	25.2808, 	1, 	-1.38778e-15, 	3.04, 	(0.558112,-0.200838);
18:02:30.202, 	1, 	2, 	21.3757, 	24.8747, 	1, 	-1.38778e-15, 	3.04, 	(0.225889,0.510762);
18:02:30.222, 	1, 	2, 	20.1031, 	24.1731, 	1, 	-1.38778e-15, 	3.04, 	(0.272177,-0.564951);
18:02:30.242, 	1, 	2, 	19.8103, 	24.5433, 	1, 	-1.38778e-15, 	3.04, 	(0.253071,-0.5773);
18:02:30.262, 	1, 	2, 	20.0452, 	24.99, 	1, 	-1.38778e-15, 	3.04, 	(0.611742,-0.0173563);
18:02:30.282, 	1, 	2, 	17.6886, 	22.5881, 	1, 	-1.38778e-15, 	3.04, 	(0.287091,0.532898);
18:02:30.303, 	1, 	2, 	19.2282, 	24.5451, 	1, 	-1.38778e-15, 	3.04, 	(0.629739,0.000634087);
18:02:30.324, 	1, 	2, 	17.8391, 	25.2028, 	1, 	-1.38778e-15, 	3.04, 	(0.557975,-0.297034);
18:02:30.343, 	1, 	2, 	16.7382, 	20.8559, 	1, 	-1.38778e-15, 	3.04, 	(0.554793,0.10971);
18:02:30.363, 	1, 	2, 	20.596, 	25.2664, 	1, 	-1.38778e-15, 	3.04, 	(-0.237628,-0.567982);
