(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:03:53.146, 	1, 	1, 	12.8872, 	8.15697, 	0, 	-1.38778e-15, 	2.736, 	(-0.636232,0.287782);(0.843827,-0.363544);(-0.907812,0.852272);(0.36334,-1.04332);
18:04:07.104, 	1, 	2, 	15.4425, 	23.2257, 	1, 	-1.38778e-15, 	2.736, 	(-0.315673,-0.222581);
18:04:07.159, 	1, 	2, 	14.1002, 	25.1997, 	1, 	-1.38778e-15, 	2.736, 	(0.540967,-0.124056);
18:04:07.179, 	1, 	2, 	15.5431, 	23.4667, 	1, 	-1.38778e-15, 	2.736, 	(0.387791,0.406206);
18:04:07.200, 	1, 	2, 	13.2908, 	19.4459, 	1, 	-1.38778e-15, 	2.736, 	(0.4438,0.001971);
18:04:07.220, 	1, 	2, 	13.4867, 	20.3437, 	1, 	-1.38778e-15, 	2.736, 	(0.204598,-0.475776);
18:04:07.240, 	1, 	2, 	13.6934, 	22.093, 	1, 	-1.38778e-15, 	2.736, 	(-0.461867,0.321834);
18:04:07.260, 	1, 	2, 	15.3777, 	24.7815, 	1, 	-1.38778e-15, 	2.736, 	(-0.525162,0.204621);
18:04:07.280, 	1, 	2, 	14.7892, 	21.4535, 	1, 	-1.38778e-15, 	2.736, 	(-0.273395,-0.242848);
18:04:07.301, 	1, 	2, 	15.438, 	24.6854, 	1, 	-1.38778e-15, 	2.736, 	(0.188212,-0.603449);
18:04:07.321, 	1, 	2, 	15.7389, 	24.4593, 	1, 	-1.38778e-15, 	3.04, 	(0.491842,-0.372835);
18:04:07.341, 	1, 	2, 	14.9496, 	22.4631, 	1, 	-1.38778e-15, 	3.04, 	(-0.0608412,-0.58121);
18:04:07.361, 	1, 	2, 	14.3739, 	23.8022, 	1, 	-1.38778e-15, 	3.04, 	(0.521205,0.0143964);
