(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:05:48.239, 	1, 	1, 	19.631, 	13.7912, 	0, 	-1.38778e-15, 	2.736, 	(-0.260479,-0.776327);(-0.345968,1.22165);(0.840314,-0.950545);(-0.839961,0.891215);
18:06:02.772, 	1, 	2, 	19.3365, 	22.6343, 	1, 	-1.38778e-15, 	2.736, 	(0.0908615,0.260478);
18:06:02.792, 	1, 	2, 	16.136, 	19.9709, 	1, 	-1.38778e-15, 	2.736, 	(-0.267315,-0.232606);
18:06:02.812, 	0, 	2, 	17.9892, 	12.5299, 	1, 	-1.38778e-15, 	2.736, 	(-0.097985,-0.0264603);
18:06:02.831, 	1, 	1, 	19.4747, 	16.4583, 	0, 	4, 	2.128, 	(0.357097,-0.437805);(-1.02662,0.126381);(1.58905,0.641606);(-1.47147,-0.562242);
18:06:02.851, 	1, 	1, 	19.0188, 	15.0259, 	0, 	4, 	1.824, 	(-0.0861225,-0.898733);(-0.671819,1.00542);(0.95146,-0.618392);(-0.881462,0.571257);
18:06:02.872, 	0, 	2, 	20.2726, 	12.8888, 	0, 	4, 	1.824, 	(-0.00237871,0.102467);
18:06:02.891, 	0, 	1, 	17.6554, 	13.0626, 	0, 	8, 	1.52, 	(-0.133923,0.256909);(0.790896,-0.340501);(-1.58492,-0.32895);(1.45767,0.289868);
18:06:02.911, 	1, 	1, 	18.3203, 	11.7844, 	0, 	12, 	0.912, 	(-0.493706,0.523173);(0.468195,1.44398);(0.0227919,-1.05947);(-0.00271848,0.907685);
18:06:02.931, 	1, 	1, 	18.7895, 	15.8912, 	0, 	12, 	0.608, 	(0.318825,0.629474);(0.411218,-0.932273);(-1.2838,1.13571);(1.13807,-1.05211);
18:06:02.953, 	1, 	2, 	20.0513, 	14.8616, 	1, 	12, 	0.912, 	(0.0748547,0.0931147);
18:06:02.973, 	0, 	2, 	17.8926, 	14.4683, 	1, 	12, 	0.912, 	(-0.0346369,0.106879);
18:06:02.993, 	1, 	2, 	19.0892, 	14.0056, 	1, 	16, 	0.608, 	(0.0767003,0.0982059);
