(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:08:12.462, 	1, 	1, 	14.1412, 	7.60258, 	0, 	-1.38778e-15, 	2.736, 	(0.119905,-0.710208);(-0.552821,1.0175);(0.0526495,-1.24414);(0.540106,1.00725);
18:08:41.270, 	0, 	2, 	14.5807, 	8.03963, 	0, 	-1.38778e-15, 	2.736, 	(-0.0619548,-0.0465686);
18:08:41.289, 	1, 	2, 	13.7615, 	24.7216, 	1, 	4, 	2.432, 	(-0.2012,-0.450227);
18:08:41.303, 	0, 	1, 	12.7369, 	9.83729, 	1, 	4, 	2.432, 	(-0.0838655,-0.616323);(0.0825727,0.827677);(-0.645047,-1.2457);(1.03201,0.576658);
18:08:41.329, 	1, 	2, 	13.9057, 	23.9301, 	1, 	8, 	2.128, 	(0.563806,0.0727058);
18:08:41.344, 	1, 	1, 	14.0489, 	9.21147, 	0, 	8, 	1.824, 	(-0.131558,0.417746);(-0.809083,-0.752886);(0.809083,0.752886);(-0.131558,0.417746);
18:08:41.375, 	1, 	2, 	15.3279, 	23.6049, 	1, 	8, 	1.824, 	(-0.257795,-0.450122);
18:08:41.389, 	1, 	2, 	14.2905, 	23.9353, 	1, 	8, 	1.824, 	(-0.362892,0.466123);
18:08:41.409, 	1, 	2, 	15.9413, 	23.6145, 	1, 	8, 	1.824, 	(0.396099,-0.451581);
18:08:41.429, 	1, 	2, 	14.0511, 	21.2125, 	1, 	8, 	1.824, 	(0.461592,-0.251581);
18:08:41.449, 	1, 	2, 	15.1091, 	25.2631, 	1, 	8, 	2.128, 	(0.321959,0.464352);
18:08:41.470, 	1, 	2, 	15.2303, 	23.5523, 	1, 	8, 	2.432, 	(0.500671,-0.319652);
18:08:41.490, 	1, 	2, 	14.5069, 	19.2962, 	1, 	8, 	2.432, 	(-0.0130421,-0.419216);
18:08:41.510, 	1, 	2, 	15.2174, 	21.9818, 	1, 	8, 	2.736, 	(-0.203698,0.408283);
18:08:41.530, 	1, 	2, 	15.4888, 	22.2537, 	1, 	8, 	2.736, 	(0.429246,0.321826);
18:08:41.551, 	1, 	2, 	15.3602, 	22.9073, 	1, 	8, 	3.04, 	(0.512945,0.232412);
18:08:41.571, 	1, 	2, 	14.0734, 	24.1656, 	1, 	8, 	3.04, 	(0.396067,0.471532);
18:08:41.591, 	1, 	2, 	14.899, 	24.6771, 	1, 	8, 	3.04, 	(0.580343,0.188796);
18:08:41.611, 	1, 	2, 	14.3064, 	24.426, 	1, 	8, 	3.04, 	(-0.575028,0.135009);
18:08:41.631, 	1, 	2, 	13.2023, 	24.2742, 	1, 	8, 	3.04, 	(-0.0398773,-0.599002);
18:08:41.651, 	1, 	2, 	14.1768, 	23.7354, 	1, 	8, 	3.04, 	(0.536841,0.30611);
18:08:41.672, 	1, 	2, 	13.791, 	20.347, 	1, 	8, 	3.04, 	(-0.12728,0.489032);
18:08:41.692, 	1, 	2, 	14.2561, 	22.0411, 	1, 	8, 	3.04, 	(-0.294635,-0.47779);
18:08:41.712, 	1, 	2, 	15.2077, 	16.3619, 	1, 	8, 	3.04, 	(-0.156206,-0.023983);
18:08:41.732, 	0, 	2, 	15.0492, 	16.8535, 	1, 	8, 	3.04, 	(-0.111627,0.0865745);
18:08:41.752, 	1, 	2, 	15.3089, 	16.7668, 	1, 	12, 	2.736, 	(-0.101129,0.0606545);
18:08:41.770, 	1, 	1, 	15.1364, 	11.0804, 	0, 	8, 	2.432, 	(0.816769,0.63151);(-1.1263,-1.00125);(1.23432,0.171541);(-0.853586,0.564623);
18:08:41.793, 	1, 	2, 	16.1298, 	24.8815, 	1, 	8, 	2.432, 	(-0.282797,-0.510199);
18:08:41.813, 	1, 	2, 	15.323, 	23.3894, 	1, 	4, 	2.432, 	(0.456781,-0.268899);
18:08:41.833, 	1, 	2, 	14.6155, 	19.1187, 	1, 	4, 	2.432, 	(0.422476,0.235652);
18:08:41.853, 	1, 	2, 	16.5958, 	24.2714, 	1, 	4, 	2.432, 	(-0.415145,-0.468316);
18:08:41.873, 	1, 	2, 	15.5525, 	23.0242, 	1, 	4, 	2.432, 	(-0.597292,-0.0119898);
18:08:41.893, 	1, 	2, 	15.7514, 	23.8444, 	1, 	4, 	2.432, 	(0.262038,0.489525);
18:08:41.934, 	1, 	2, 	16.3955, 	24.7223, 	1, 	4, 	2.432, 	(-0.61826,-0.230725);
18:08:41.954, 	1, 	2, 	17.061, 	25.0694, 	1, 	4, 	2.736, 	(0.600331,-0.0177959);
18:08:41.974, 	1, 	2, 	17.4995, 	23.384, 	1, 	4, 	2.736, 	(0.213895,-0.526831);
18:08:41.994, 	1, 	2, 	16.5311, 	24.7327, 	1, 	4, 	3.04, 	(0.451354,0.254453);
18:08:42.015, 	1, 	2, 	15.2531, 	21.0125, 	1, 	4, 	3.04, 	(0.528937,0.109647);
18:08:42.035, 	1, 	2, 	15.2762, 	22.739, 	1, 	4, 	3.04, 	(-0.27629,0.542286);
18:08:42.055, 	1, 	2, 	15.5646, 	23.6044, 	1, 	4, 	3.04, 	(0.606249,-0.207876);
18:08:42.077, 	1, 	2, 	15.1648, 	24.4076, 	1, 	4, 	3.04, 	(0.535031,0.00725462);
18:08:42.096, 	1, 	2, 	16.8343, 	24.5138, 	1, 	4, 	3.04, 	(-0.644232,0.160911);
18:08:42.115, 	1, 	2, 	16.3152, 	21.4072, 	1, 	4, 	3.04, 	(0.59543,0.0333013);
18:08:42.135, 	1, 	2, 	15.8481, 	22.4743, 	1, 	4, 	3.04, 	(-0.627451,-0.187196);
18:08:42.156, 	1, 	2, 	15.7637, 	18.7944, 	1, 	4, 	3.04, 	(-0.313718,-0.10325);
18:08:42.176, 	1, 	2, 	13.8745, 	20.2399, 	1, 	4, 	3.04, 	(-0.366935,-0.379936);
18:08:42.196, 	1, 	2, 	15.6631, 	24.3949, 	1, 	4, 	3.04, 	(-0.673578,0.0606423);
18:08:42.216, 	1, 	2, 	14.5576, 	23.13, 	1, 	4, 	3.04, 	(0.100579,-0.640426);
18:08:42.257, 	1, 	2, 	14.8696, 	20.0234, 	1, 	4, 	3.04, 	(-0.294135,0.366483);
