(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);18:09:55.754, 	1, 	1, 	18.8983, 	12.3643, 	0, 	4, 	2.736, 	(0.784181,0.0205319);(-0.834646,-0.685854);(0.604016,0.875046);(-0.615714,-0.815399);
18:10:10.092, 	1, 	2, 	18.0394, 	12.3643, 	1, 	4, 	2.736, 	(0.784181,0.0205319);(-0.834646,-0.685854);(0.604016,0.875046);(-0.615714,-0.815399);
18:10:10.132, 	1, 	2, 	19.1067, 	24.6641, 	1, 	4, 	2.736, 	(-0.364613,-0.417817);
18:10:10.172, 	1, 	2, 	18.5137, 	24.2259, 	1, 	4, 	2.736, 	(0.336815,-0.458075);
18:10:10.193, 	1, 	2, 	18.236, 	24.3452, 	1, 	4, 	2.736, 	(0.569619,-0.103454);
18:10:10.213, 	1, 	2, 	19.243, 	24.1364, 	1, 	4, 	2.736, 	(-0.00473044,0.568711);
18:10:10.233, 	1, 	2, 	17.0256, 	22.1108, 	1, 	4, 	2.736, 	(-0.461734,0.287902);
18:10:10.253, 	1, 	2, 	18.2995, 	24.5021, 	1, 	4, 	2.736, 	(-0.498363,0.00204933);
18:10:10.273, 	1, 	2, 	18.2021, 	24.0835, 	1, 	4, 	2.736, 	(-0.32875,-0.303791);
18:10:10.293, 	1, 	2, 	17.3466, 	21.0894, 	1, 	-1.38778e-15, 	2.736, 	(0.0292745,-0.492846);
18:10:10.314, 	1, 	2, 	18.2265, 	24.7948, 	1, 	-1.38778e-15, 	3.04, 	(0.0574821,0.545742);
18:10:10.334, 	1, 	2, 	17.8525, 	22.8924, 	1, 	-1.38778e-15, 	3.04, 	(0.0103843,0.576881);
18:10:10.354, 	1, 	2, 	16.9608, 	23.4142, 	1, 	-1.38778e-15, 	3.04, 	(-0.4869,-0.317328);
18:10:10.375, 	1, 	2, 	16.045, 	20.8347, 	1, 	-1.38778e-15, 	3.04, 	(0.0582915,0.497146);
18:10:10.394, 	1, 	2, 	16.5981, 	22.1291, 	1, 	-1.38778e-15, 	3.04, 	(0.463142,0.294949);
18:10:10.415, 	1, 	2, 	16.7934, 	23.2875, 	1, 	-1.38778e-15, 	3.04, 	(0.421397,-0.390033);
18:10:10.437, 	1, 	2, 	17.805, 	24.9214, 	1, 	-1.38778e-15, 	3.04, 	(-0.3307,-0.49261);
18:10:10.455, 	1, 	2, 	15.9937, 	19.4665, 	1, 	-1.38778e-15, 	3.04, 	(0.420206,-0.240714);
18:10:10.475, 	1, 	2, 	16.6957, 	22.6776, 	1, 	-1.38778e-15, 	3.04, 	(-0.40812,0.367558);
18:10:10.495, 	1, 	2, 	17.5084, 	23.7541, 	1, 	-1.38778e-15, 	3.04, 	(0.511458,0.272794);
18:10:10.516, 	1, 	2, 	18.7601, 	24.7211, 	1, 	-1.38778e-15, 	3.04, 	(-0.428476,0.426585);
18:10:10.536, 	1, 	2, 	18.7032, 	24.692, 	1, 	-1.38778e-15, 	3.04, 	(0.324014,0.508842);
18:10:10.556, 	1, 	2, 	18.7193, 	25.2436, 	1, 	-1.38778e-15, 	3.04, 	(0.506311,-0.30018);
18:10:10.576, 	1, 	2, 	17.1183, 	22.8551, 	1, 	-1.38778e-15, 	3.04, 	(0.577163,-0.0154619);
18:10:10.596, 	1, 	2, 	20.1865, 	24.4449, 	1, 	-1.38778e-15, 	3.04, 	(-0.455,0.250905);
18:10:10.616, 	1, 	2, 	18.9205, 	24.4376, 	1, 	-1.38778e-15, 	3.04, 	(-0.605703,-0.0293027);
18:10:10.637, 	1, 	2, 	19.0878, 	25.1209, 	1, 	-1.38778e-15, 	3.04, 	(0.536113,-0.262835);
18:10:10.656, 	1, 	2, 	17.1695, 	17.8858, 	1, 	-1.38778e-15, 	3.04, 	(-0.193933,0.282637);
18:10:10.676, 	1, 	2, 	17.5454, 	23.6076, 	1, 	-1.38778e-15, 	3.04, 	(0.588858,0.0805288);
18:10:10.696, 	1, 	2, 	20.0517, 	24.8889, 	1, 	-1.38778e-15, 	3.04, 	(0.555877,0.216578);
