2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	60.1334, 	-60, 	21.97736, 	1, 	3.04
2, 	60.1334, 	-60, 	21.57466, 	1, 	3.04
2, 	60.1334, 	60, 	19.699338, 	1, 	2.736
2, 	60.1334, 	52, 	22.86729, 	1, 	3.04
2, 	60.1334, 	47, 	22.317619999999998, 	1, 	3.04
2, 	60.1334, 	47, 	22.0465, 	1, 	3.04
2, 	60.1334, 	52, 	23.09453, 	1, 	3.04
2, 	60.1334, 	59, 	22.54704, 	1, 	3.04
2, 	60.1334, 	52, 	22.94497, 	1, 	3.04
2, 	60.1334, 	57, 	22.58271, 	1, 	3.04
2, 	56.7136, 	56, 	21.94469, 	1, 	3.04
2, 	56.7136, 	56, 	23.980129999999996, 	1, 	3.04
2, 	56.7136, 	51, 	23.12718, 	1, 	3.04
2, 	56.7136, 	41, 	23.25127, 	1, 	3.04
2, 	56.7136, 	54, 	22.457340000000002, 	1, 	3.04
2, 	56.7136, 	53, 	23.157739999999997, 	1, 	3.04
2, 	56.7136, 	54, 	22.864929999999998, 	1, 	3.04
2, 	56.7136, 	53, 	23.232129999999998, 	1, 	3.04
2, 	56.7136, 	51, 	22.57632, 	1, 	3.04
2, 	56.7136, 	54, 	22.44117, 	1, 	3.04
2, 	53.5801, 	60, 	23.05896, 	1, 	3.04
2, 	53.5801, 	60, 	23.89223, 	1, 	3.04
2, 	53.5801, 	60, 	23.69429, 	1, 	3.04
2, 	53.5801, 	60, 	21.5521683, 	1, 	2.736
2, 	53.5801, 	60, 	24.16992, 	1, 	3.04
2, 	53.5801, 	60, 	23.196340000000003, 	1, 	2.736
2, 	53.5801, 	60, 	21.091808, 	1, 	2.736
2, 	53.5801, 	60, 	23.959709999999998, 	1, 	3.04
2, 	53.5801, 	60, 	23.62037, 	1, 	3.04
2, 	53.5801, 	56, 	16.7233876, 	1, 	2.128
2, 	50.6636, 	41, 	21.6281758, 	0, 	2.432
2, 	50.6636, 	49, 	16.237142900000002, 	0, 	1.824
2, 	50.6636, 	52, 	20.082622999999998, 	0, 	2.432
2, 	50.6636, 	50, 	17.012046, 	0, 	1.824
2, 	50.6636, 	50, 	21.306140000000003, 	1, 	2.128
2, 	50.6636, 	48, 	22.00955, 	1, 	2.432
2, 	50.6636, 	49, 	20.188650000000003, 	1, 	1.52
2, 	50.6636, 	49, 	18.942739999999997, 	1, 	1.52
2, 	50.6636, 	49, 	21.91557, 	1, 	2.432
2, 	50.6636, 	49, 	22.019399999999997, 	0, 	2.736
2, 	42.8192, 	52, 	17.600564369999997, 	1, 	2.128
2, 	42.8192, 	50, 	17.52850583, 	0, 	2.432
2, 	42.8192, 	47, 	15.460147099999997, 	1, 	1.824
2, 	42.8192, 	45, 	25.28947, 	1, 	3.04
2, 	42.8192, 	45, 	25.252, 	1, 	3.04
2, 	42.8192, 	45, 	25.42299, 	1, 	3.04
2, 	42.8192, 	45, 	24.08605, 	1, 	3.04
2, 	42.8192, 	45, 	25.481810000000003, 	1, 	3.04
2, 	42.8192, 	45, 	25.19077, 	1, 	3.04
2, 	42.8192, 	45, 	25.4936, 	1, 	3.04
2, 	38.111, 	46, 	24.99869, 	1, 	3.04
2, 	38.111, 	50, 	24.9554, 	1, 	3.04
2, 	38.111, 	55, 	25.20801, 	1, 	3.04
2, 	38.111, 	39, 	25.261650000000003, 	1, 	3.04
2, 	38.111, 	50, 	25.45931, 	1, 	3.04
2, 	38.111, 	56, 	22.305627809999997, 	1, 	2.736
2, 	38.111, 	42, 	25.829569999999997, 	1, 	3.04
2, 	38.111, 	49, 	25.669369999999997, 	1, 	3.04
2, 	38.111, 	49, 	24.60895, 	1, 	3.04
2, 	38.111, 	47, 	25.6156, 	1, 	3.04
2, 	34.772, 	31, 	25.474870000000003, 	1, 	3.04
2, 	34.772, 	33, 	23.75862, 	1, 	2.736
2, 	34.772, 	54, 	25.48219, 	1, 	3.04
2, 	34.772, 	34, 	25.26047, 	1, 	3.04
2, 	34.772, 	32, 	24.544980000000002, 	1, 	3.04
2, 	34.772, 	43, 	24.35165, 	1, 	3.04
2, 	34.772, 	34, 	25.43412, 	1, 	3.04
2, 	34.772, 	43, 	24.74858, 	1, 	2.736
2, 	34.772, 	51, 	25.58531, 	1, 	3.04
2, 	34.772, 	27, 	25.449629999999996, 	1, 	3.04
2, 	29.4845, 	39, 	25.22819, 	1, 	3.04
2, 	29.4845, 	34, 	25.31346, 	1, 	3.04
2, 	29.4845, 	31, 	25.632980000000003, 	1, 	3.04
2, 	29.4845, 	32, 	25.38177, 	1, 	3.04
2, 	29.4845, 	43, 	25.05427, 	1, 	3.04
2, 	29.4845, 	43, 	24.238750000000003, 	0, 	3.04
2, 	29.4845, 	33, 	25.46926, 	1, 	3.04
2, 	29.4845, 	35, 	25.64837, 	1, 	3.04
2, 	29.4845, 	28, 	24.519499999999997, 	1, 	3.04
2, 	29.4845, 	28, 	25.4982, 	1, 	3.04
2, 	24.4603, 	20, 	25.47634, 	1, 	3.04
2, 	24.4603, 	29, 	25.421430000000004, 	1, 	3.04
2, 	24.4603, 	29, 	25.462880000000002, 	1, 	3.04
2, 	24.4603, 	26, 	25.29345, 	1, 	3.04
2, 	24.4603, 	28, 	25.41429, 	1, 	3.04
2, 	24.4603, 	24, 	25.60038, 	1, 	3.04
2, 	24.4603, 	21, 	25.636540000000004, 	1, 	3.04
2, 	24.4603, 	32, 	25.19669, 	1, 	3.04
2, 	24.4603, 	20, 	25.566750000000003, 	1, 	3.04
2, 	24.4603, 	24, 	25.490249999999996, 	1, 	3.04
2, 	21.5423, 	31, 	25.4072, 	1, 	3.04
2, 	21.5423, 	21, 	25.304039999999993, 	1, 	3.04
2, 	21.5423, 	21, 	25.76975, 	1, 	3.04
2, 	21.5423, 	27, 	25.54504, 	1, 	3.04
2, 	21.5423, 	32, 	25.805739999999997, 	1, 	3.04
2, 	21.5423, 	29, 	26.124360000000003, 	1, 	3.04
2, 	21.5423, 	26, 	26.25149, 	1, 	3.04
2, 	21.5423, 	23, 	24.9677, 	1, 	3.04
2, 	21.5423, 	26, 	25.728230000000003, 	1, 	3.04
2, 	21.5423, 	26, 	25.50264, 	1, 	3.04
2, 	15.8689, 	27, 	25.86548, 	1, 	3.04
2, 	15.8689, 	17, 	25.33163, 	1, 	3.04
2, 	15.8689, 	23, 	25.883789999999998, 	1, 	3.04
2, 	15.8689, 	27, 	25.681699999999996, 	1, 	3.04
2, 	15.8689, 	11, 	25.56567, 	1, 	3.04
2, 	15.8689, 	14, 	25.699789999999997, 	1, 	3.04
2, 	15.8689, 	16, 	26.14726, 	1, 	3.04
2, 	15.8689, 	24, 	25.68974, 	1, 	3.04
2, 	15.8689, 	16, 	25.931739999999998, 	1, 	3.04
2, 	15.8689, 	13, 	25.064320000000002, 	1, 	3.04
2, 	9.44278, 	13, 	25.769569999999998, 	1, 	3.04
2, 	9.44278, 	25, 	25.799599999999998, 	1, 	3.04
2, 	9.44278, 	24, 	25.73308, 	1, 	3.04
2, 	9.44278, 	22, 	25.66183, 	1, 	3.04
2, 	9.44278, 	14, 	25.24059, 	1, 	3.04
2, 	9.44278, 	9, 	25.06901, 	1, 	3.04
2, 	9.44278, 	5, 	25.908590000000004, 	1, 	3.04
2, 	9.44278, 	8, 	25.18131, 	1, 	3.04
2, 	9.44278, 	25, 	25.61589, 	1, 	3.04
2, 	9.44278, 	8, 	25.42683, 	1, 	3.04
2, 	4.92994, 	-2, 	25.853949999999998, 	1, 	3.04
2, 	4.92994, 	0, 	26.20256, 	1, 	3.04
2, 	4.92994, 	0, 	26.11965, 	1, 	3.04
2, 	4.92994, 	12, 	25.597550000000002, 	1, 	3.04
2, 	4.92994, 	8, 	26.081970000000002, 	1, 	3.04
2, 	4.92994, 	0, 	26.128179999999997, 	1, 	3.04
2, 	4.92994, 	13, 	25.78884, 	1, 	3.04
2, 	4.92994, 	12, 	26.29085, 	1, 	3.04
2, 	4.92994, 	13, 	26.123070000000002, 	1, 	3.04
2, 	4.92994, 	-3, 	25.635399999999997, 	1, 	3.04
2, 	-2.23869, 	6, 	26.060130000000004, 	1, 	3.04
2, 	-2.23869, 	-3, 	26.197720000000004, 	1, 	3.04
2, 	-2.23869, 	1, 	25.68886, 	1, 	3.04
2, 	-2.23869, 	1, 	24.14092, 	0, 	3.04
2, 	-2.23869, 	0, 	26.05555, 	1, 	3.04
2, 	-2.23869, 	4, 	25.85487, 	1, 	3.04
2, 	-2.23869, 	-3, 	25.66954, 	1, 	3.04
2, 	-2.23869, 	-3, 	25.39536, 	1, 	3.04
2, 	-2.23869, 	7, 	26.096020000000003, 	1, 	3.04
2, 	-2.23869, 	-3, 	25.94816, 	1, 	3.04
2, 	-4.92994, 	4, 	24.150550000000003, 	1, 	2.736
2, 	-4.92994, 	7, 	25.698610000000002, 	1, 	3.04
2, 	-4.92994, 	-16, 	25.74334, 	1, 	3.04
2, 	-4.92994, 	1, 	25.881759999999996, 	1, 	3.04
2, 	-4.92994, 	-15, 	25.84199, 	1, 	3.04
2, 	-4.92994, 	-11, 	26.01384, 	1, 	3.04
2, 	-4.92994, 	-16, 	25.38298, 	1, 	3.04
2, 	-4.92994, 	-11, 	25.664179999999998, 	1, 	3.04
2, 	-4.92994, 	-13, 	25.31964, 	1, 	3.04
2, 	-4.92994, 	-11, 	25.50481, 	1, 	3.04
2, 	-10.3516, 	-10, 	25.64389, 	1, 	3.04
2, 	-10.3516, 	3, 	25.934289999999997, 	1, 	3.04
2, 	-10.3516, 	-21, 	25.622809999999998, 	1, 	3.04
2, 	-10.3516, 	-10, 	25.600740000000002, 	1, 	3.04
2, 	-10.3516, 	-17, 	26.11589, 	1, 	3.04
2, 	-10.3516, 	-6, 	25.92996, 	1, 	3.04
2, 	-10.3516, 	-2, 	26.38338, 	1, 	3.04
2, 	-10.3516, 	-21, 	25.913040000000002, 	1, 	3.04
2, 	-10.3516, 	-9, 	25.677750000000003, 	1, 	3.04
2, 	-10.3516, 	-9, 	25.561599999999995, 	1, 	3.04
