2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	60.1334, 	60.1334, 	22.63887, 	1, 	3.04
2, 	60.1334, 	60.1334, 	22.59249, 	1, 	3.04
2, 	60.1334, 	60.1334, 	22.62807, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.44003, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.18193, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.11401, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.727, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.41926, 	1, 	3.04
2, 	60.1334, 	60.1334, 	22.5997, 	1, 	3.04
2, 	60.1334, 	60.1334, 	20.133581, 	1, 	2.736
2, 	55.1161, 	55.1161, 	21.992380000000004, 	1, 	3.04
2, 	55.1161, 	55.1161, 	23.681270000000005, 	1, 	3.04
2, 	55.1161, 	55.1161, 	21.9414, 	1, 	3.04
2, 	55.1161, 	55.1161, 	23.070680000000003, 	1, 	3.04
2, 	55.1161, 	55.1161, 	22.34295, 	1, 	3.04
2, 	55.1161, 	55.1161, 	21.725569999999998, 	1, 	3.04
2, 	55.1161, 	55.1161, 	22.38032, 	1, 	3.04
2, 	55.1161, 	55.1161, 	22.5891, 	1, 	3.04
2, 	55.1161, 	55.1161, 	22.29806, 	1, 	3.04
2, 	55.1161, 	55.1161, 	22.601219999999998, 	1, 	3.04
2, 	52.098, 	52.098, 	23.9409, 	1, 	3.04
2, 	52.098, 	52.098, 	24.038760000000003, 	1, 	3.04
2, 	52.098, 	52.098, 	21.2003802, 	1, 	2.736
2, 	52.098, 	52.098, 	23.084169999999997, 	1, 	3.04
2, 	52.098, 	52.098, 	21.2251561, 	1, 	2.736
2, 	52.098, 	52.098, 	23.972730000000002, 	1, 	3.04
2, 	52.098, 	52.098, 	21.8449888, 	1, 	2.736
2, 	52.098, 	52.098, 	22.531100000000002, 	1, 	3.04
2, 	52.098, 	52.098, 	23.83969, 	1, 	3.04
2, 	52.098, 	52.098, 	24.41836, 	1, 	3.04
2, 	46.599, 	46.599, 	24.69125, 	1, 	3.04
2, 	46.599, 	46.599, 	23.84346, 	1, 	2.736
2, 	46.599, 	46.599, 	24.45275, 	1, 	3.04
2, 	46.599, 	46.599, 	22.55694, 	1, 	2.736
2, 	46.599, 	46.599, 	24.18814, 	1, 	3.04
2, 	46.599, 	46.599, 	24.001689999999996, 	1, 	3.04
2, 	46.599, 	46.599, 	24.751039999999996, 	1, 	3.04
2, 	46.599, 	46.599, 	22.554660000000002, 	1, 	2.736
2, 	46.599, 	46.599, 	24.771030000000003, 	1, 	3.04
2, 	46.599, 	46.599, 	24.07577, 	1, 	3.04
2, 	42.8192, 	42.8192, 	25.308590000000002, 	1, 	3.04
2, 	42.8192, 	42.8192, 	24.67365, 	1, 	3.04
2, 	42.8192, 	42.8192, 	22.6464984, 	1, 	2.736
2, 	42.8192, 	42.8192, 	22.739384700000002, 	1, 	2.736
2, 	42.8192, 	42.8192, 	25.13981, 	1, 	3.04
2, 	42.8192, 	42.8192, 	22.435352299999998, 	1, 	2.736
2, 	42.8192, 	42.8192, 	25.24857, 	1, 	2.736
2, 	42.8192, 	42.8192, 	22.65823031, 	1, 	2.736
2, 	42.8192, 	42.8192, 	25.28564, 	1, 	3.04
2, 	42.8192, 	42.8192, 	24.956049999999998, 	1, 	3.04
2, 	39.2579, 	39.2579, 	24.435209999999998, 	1, 	3.04
2, 	39.2579, 	39.2579, 	25.43994, 	1, 	3.04
2, 	39.2579, 	39.2579, 	25.306919999999998, 	1, 	3.04
2, 	39.2579, 	39.2579, 	25.233539999999998, 	1, 	3.04
2, 	39.2579, 	39.2579, 	25.304880000000004, 	1, 	3.04
2, 	39.2579, 	39.2579, 	24.853650000000005, 	1, 	3.04
2, 	39.2579, 	39.2579, 	24.62885, 	1, 	3.04
2, 	39.2579, 	39.2579, 	24.935980000000004, 	1, 	3.04
2, 	39.2579, 	39.2579, 	25.395010000000003, 	1, 	3.04
2, 	39.2579, 	39.2579, 	25.401980000000002, 	1, 	3.04
2, 	32.6198, 	32.6198, 	25.01232, 	1, 	3.04
2, 	32.6198, 	32.6198, 	24.749959999999998, 	1, 	3.04
2, 	32.6198, 	32.6198, 	24.804240000000004, 	1, 	3.04
2, 	32.6198, 	32.6198, 	25.64413, 	1, 	3.04
2, 	32.6198, 	32.6198, 	24.171879999999998, 	1, 	3.04
2, 	32.6198, 	32.6198, 	25.46829, 	1, 	3.04
2, 	32.6198, 	32.6198, 	25.63742, 	1, 	3.04
2, 	32.6198, 	32.6198, 	24.61544, 	1, 	3.04
2, 	32.6198, 	32.6198, 	25.228820000000006, 	1, 	3.04
2, 	32.6198, 	32.6198, 	23.369899999999998, 	1, 	3.04
2, 	30.5182, 	30.5182, 	23.936550000000004, 	1, 	2.736
2, 	30.5182, 	30.5182, 	24.36133, 	1, 	2.736
2, 	30.5182, 	30.5182, 	25.472530000000003, 	1, 	2.736
2, 	30.5182, 	30.5182, 	25.35488, 	1, 	2.736
2, 	30.5182, 	30.5182, 	25.20617, 	1, 	2.736
2, 	30.5182, 	30.5182, 	25.51258, 	1, 	3.04
2, 	30.5182, 	30.5182, 	25.23975, 	1, 	2.736
2, 	30.5182, 	30.5182, 	25.45215, 	1, 	3.04
2, 	30.5182, 	30.5182, 	25.31809, 	1, 	2.736
2, 	30.5182, 	30.5182, 	25.559530000000002, 	1, 	3.04
2, 	25.4477, 	25.4477, 	25.21944, 	1, 	2.736
2, 	25.4477, 	25.4477, 	25.479760000000002, 	1, 	2.736
2, 	25.4477, 	25.4477, 	25.32737, 	1, 	2.736
2, 	25.4477, 	25.4477, 	25.484370000000002, 	1, 	2.432
2, 	25.4477, 	25.4477, 	24.103209999999997, 	1, 	2.736
2, 	25.4477, 	25.4477, 	25.800549999999998, 	1, 	2.736
2, 	25.4477, 	25.4477, 	25.02369, 	1, 	2.432
2, 	25.4477, 	25.4477, 	25.62932, 	1, 	2.736
2, 	25.4477, 	25.4477, 	25.675649999999997, 	1, 	2.736
2, 	25.4477, 	25.4477, 	25.10335, 	1, 	2.432
2, 	20.5829, 	20.5829, 	23.83775, 	1, 	2.736
2, 	20.5829, 	20.5829, 	24.481900000000003, 	1, 	2.736
2, 	20.5829, 	20.5829, 	25.12778, 	1, 	3.04
2, 	20.5829, 	20.5829, 	23.4686, 	1, 	2.736
2, 	20.5829, 	20.5829, 	24.344929999999998, 	1, 	2.736
2, 	20.5829, 	20.5829, 	24.64526, 	1, 	3.04
2, 	20.5829, 	20.5829, 	23.916739999999997, 	1, 	2.736
2, 	20.5829, 	20.5829, 	24.043590000000002, 	1, 	3.04
2, 	20.5829, 	20.5829, 	25.114290000000004, 	1, 	2.736
2, 	20.5829, 	20.5829, 	24.485870000000002, 	1, 	2.432
2, 	13.0948, 	13.0948, 	24.17265, 	1, 	3.04
2, 	13.0948, 	13.0948, 	24.11372, 	1, 	3.04
2, 	13.0948, 	13.0948, 	24.81385, 	1, 	3.04
2, 	13.0948, 	13.0948, 	24.58288, 	1, 	3.04
2, 	13.0948, 	13.0948, 	24.48985, 	1, 	3.04
2, 	13.0948, 	13.0948, 	24.43711, 	1, 	3.04
2, 	13.0948, 	13.0948, 	25.13371, 	1, 	3.04
2, 	13.0948, 	13.0948, 	24.57702, 	1, 	3.04
2, 	13.0948, 	13.0948, 	24.70269, 	1, 	3.04
2, 	13.0948, 	13.0948, 	25.47603, 	1, 	3.04
2, 	11.263, 	11.263, 	25.469199999999997, 	1, 	3.04
2, 	11.263, 	11.263, 	25.30534, 	1, 	3.04
2, 	11.263, 	11.263, 	24.55297, 	1, 	3.04
2, 	11.263, 	11.263, 	25.18139, 	1, 	3.04
2, 	11.263, 	11.263, 	24.908990000000003, 	1, 	3.04
2, 	11.263, 	11.263, 	24.528069999999996, 	1, 	3.04
2, 	11.263, 	11.263, 	24.66429, 	1, 	3.04
2, 	11.263, 	11.263, 	23.77586, 	1, 	3.04
2, 	11.263, 	11.263, 	24.908399999999997, 	1, 	3.04
2, 	11.263, 	11.263, 	25.15599, 	1, 	3.04
2, 	4.03194, 	4.03194, 	25.989560000000004, 	1, 	3.04
2, 	4.03194, 	4.03194, 	26.346179999999997, 	1, 	3.04
2, 	4.03194, 	4.03194, 	25.85145, 	1, 	3.04
2, 	4.03194, 	4.03194, 	26.071999999999996, 	1, 	3.04
2, 	4.03194, 	4.03194, 	26.0793, 	1, 	3.04
2, 	4.03194, 	4.03194, 	25.074189999999998, 	1, 	3.04
2, 	4.03194, 	4.03194, 	25.57411, 	1, 	3.04
2, 	4.03194, 	4.03194, 	24.90254, 	1, 	3.04
2, 	4.03194, 	4.03194, 	26.12748, 	1, 	3.04
2, 	4.03194, 	4.03194, 	26.04799, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	24.86158, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	25.451010000000004, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	25.51365, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	24.730439999999998, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	24.75858, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	23.28372, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	24.764809999999997, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	25.26632, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	25.11348, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	24.21316, 	1, 	3.04
2, 	-6.72981, 	-6.72981, 	24.951320000000003, 	1, 	3.04
2, 	-6.72981, 	-6.72981, 	24.08923, 	1, 	2.736
2, 	-6.72981, 	-6.72981, 	24.58684, 	1, 	3.04
2, 	-6.72981, 	-6.72981, 	24.86963, 	1, 	3.04
2, 	-6.72981, 	-6.72981, 	24.02271, 	1, 	3.04
2, 	-6.72981, 	-6.72981, 	24.572170000000003, 	1, 	3.04
2, 	-6.72981, 	-6.72981, 	23.829320000000003, 	1, 	3.04
2, 	-6.72981, 	-6.72981, 	23.88537, 	1, 	3.04
2, 	-6.72981, 	-6.72981, 	24.03213, 	1, 	3.04
2, 	-6.72981, 	-6.72981, 	25.28123, 	1, 	3.04
2, 	-12.1773, 	-12.1773, 	23.453030000000002, 	1, 	2.432
2, 	-12.1773, 	-12.1773, 	24.48865, 	1, 	2.736
2, 	-12.1773, 	-12.1773, 	24.277009999999997, 	1, 	2.736
2, 	-12.1773, 	-12.1773, 	23.07576, 	1, 	2.432
2, 	-12.1773, 	-12.1773, 	22.87983, 	1, 	2.432
2, 	-12.1773, 	-12.1773, 	24.579789999999996, 	1, 	2.736
2, 	-12.1773, 	-12.1773, 	24.293629999999997, 	1, 	2.736
2, 	-12.1773, 	-12.1773, 	23.303440000000002, 	1, 	2.432
2, 	-12.1773, 	-12.1773, 	24.40972, 	1, 	2.736
2, 	-12.1773, 	-12.1773, 	22.534640000000003, 	1, 	2.432
2, 	-17.7394, 	-17.7394, 	23.69667, 	1, 	3.04
2, 	-17.7394, 	-17.7394, 	24.59825, 	1, 	3.04
2, 	-17.7394, 	-17.7394, 	24.17273, 	1, 	3.04
