2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	60.1334, 	60.1334, 	21.853, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.074, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.603, 	1, 	3.04
2, 	60.1334, 	60.1334, 	18.6995, 	1, 	3.04
2, 	60.1334, 	60.1334, 	20.9307, 	1, 	3.04
2, 	60.1334, 	60.1334, 	22.4009, 	1, 	3.04
2, 	60.1334, 	60.1334, 	22.8859, 	1, 	3.04
2, 	60.1334, 	60.1334, 	25.0136, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.9494, 	1, 	3.04
2, 	60.1334, 	60.1334, 	20.9787, 	1, 	3.04
2, 	60.1334, 	60.1334, 	25.4214, 	1, 	3.04
2, 	60.1334, 	60.1334, 	22.3693, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.1021, 	1, 	3.04
2, 	60.1334, 	60.1334, 	25.0234, 	1, 	3.04
2, 	60.1334, 	60.1334, 	19.3312, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.0962, 	1, 	3.04
2, 	60.1334, 	60.1334, 	17.4597, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.5121, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.6409, 	1, 	3.04
2, 	60.1334, 	60.1334, 	19.9686, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.4239, 	1, 	3.04
2, 	60.1334, 	60.1334, 	25.3085, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.6976, 	1, 	3.04
2, 	60.1334, 	60.1334, 	20.8088, 	1, 	3.04
2, 	60.1334, 	60.1334, 	20.3017, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.6306, 	1, 	3.04
2, 	60.1334, 	60.1334, 	22.0005, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.2968, 	1, 	3.04
2, 	60.1334, 	60.1334, 	19.517, 	1, 	3.04
2, 	60.1334, 	60.1334, 	20.2953, 	1, 	3.04
2, 	60.1334, 	60.1334, 	20.3266, 	1, 	3.04
2, 	60.1334, 	60.1334, 	25.6835, 	1, 	3.04
2, 	60.1334, 	60.1334, 	25.3326, 	1, 	3.04
2, 	60.1334, 	60.1334, 	25.0012, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.1177, 	1, 	3.04
2, 	60.1334, 	60.1334, 	18.8569, 	1, 	3.04
2, 	60.1334, 	60.1334, 	25.3114, 	1, 	3.04
2, 	60.1334, 	60.1334, 	25.2245, 	1, 	3.04
2, 	60.1334, 	60.1334, 	20.4246, 	1, 	3.04
2, 	60.1334, 	60.1334, 	25.1213, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.3572, 	1, 	3.04
2, 	60.1334, 	60.1334, 	25.2575, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.527, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.5518, 	1, 	3.04
2, 	60.1334, 	60.1334, 	18.6598, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.7141, 	1, 	3.04
2, 	60.1334, 	60.1334, 	21.7885, 	1, 	3.04
2, 	60.1334, 	60.1334, 	25.0373, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.7931, 	1, 	3.04
2, 	60.1334, 	60.1334, 	20.133, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.4914, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.8482, 	1, 	3.04
2, 	60.1334, 	60.1334, 	20.2329, 	1, 	3.04
2, 	60.1334, 	60.1334, 	21.6814, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.0833, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.8921, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.1503, 	1, 	3.04
2, 	60.1334, 	60.1334, 	20.9193, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.2056, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.6356, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.8736, 	1, 	3.04
2, 	60.1334, 	60.1334, 	18.9033, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.2988, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.5318, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.2135, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.3677, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.5503, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.7986, 	1, 	3.04
2, 	60.1334, 	60.1334, 	22.798, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.9344, 	1, 	3.04
2, 	60.1334, 	60.1334, 	22.5127, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.0765, 	1, 	3.04
2, 	60.1334, 	60.1334, 	19.6498, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.4885, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.4233, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.6543, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.2922, 	1, 	3.04
2, 	60.1334, 	60.1334, 	25.5753, 	1, 	3.04
2, 	60.1334, 	60.1334, 	21.7569, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.7631, 	1, 	3.04
2, 	60.1334, 	60.1334, 	15.437, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.5778, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.4229, 	1, 	3.04
2, 	60.1334, 	60.1334, 	25.06, 	1, 	3.04
2, 	60.1334, 	60.1334, 	21.5263, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.4207, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.5612, 	1, 	3.04
2, 	60.1334, 	60.1334, 	20.7713, 	1, 	3.04
2, 	60.1334, 	60.1334, 	22.8524, 	1, 	3.04
2, 	60.1334, 	60.1334, 	24.3674, 	1, 	3.04
2, 	60.1334, 	60.1334, 	18.3107, 	1, 	3.04
2, 	60.1334, 	60.1334, 	19.9498, 	1, 	3.04
2, 	60.1334, 	60.1334, 	25.0586, 	1, 	3.04
2, 	60.1334, 	60.1334, 	23.8377, 	1, 	3.04
2, 	60.1334, 	60.1334, 	4.46571, 	0, 	3.04
2, 	60.1334, 	60.1334, 	25.2943, 	1, 	2.736
2, 	60.1334, 	60.1334, 	21.91, 	1, 	2.736
2, 	60.1334, 	60.1334, 	23.3448, 	1, 	2.736
2, 	60.1334, 	60.1334, 	19.5821, 	1, 	2.736
2, 	60.1334, 	60.1334, 	19.5821, 	1, 	2.736
2, 	55.1161, 	55.1161, 	18.3155, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.6306, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.7133, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.3145, 	1, 	3.04
2, 	55.1161, 	55.1161, 	18.5747, 	1, 	3.04
2, 	55.1161, 	55.1161, 	18.5746, 	1, 	3.04
2, 	55.1161, 	55.1161, 	21.886, 	1, 	3.04
2, 	55.1161, 	55.1161, 	25.2288, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.9157, 	1, 	3.04
2, 	55.1161, 	55.1161, 	18.7701, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.1382, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.6106, 	1, 	3.04
2, 	55.1161, 	55.1161, 	20.8355, 	1, 	3.04
2, 	55.1161, 	55.1161, 	23.418, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.7089, 	1, 	3.04
2, 	55.1161, 	55.1161, 	25.1406, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.3258, 	1, 	3.04
2, 	55.1161, 	55.1161, 	23.9974, 	1, 	3.04
2, 	55.1161, 	55.1161, 	23.3797, 	1, 	3.04
2, 	55.1161, 	55.1161, 	22.258, 	1, 	3.04
2, 	55.1161, 	55.1161, 	20.4499, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.7833, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.4328, 	1, 	3.04
2, 	55.1161, 	55.1161, 	16.1304, 	1, 	3.04
2, 	55.1161, 	55.1161, 	18.2614, 	1, 	3.04
2, 	55.1161, 	55.1161, 	20.0988, 	1, 	3.04
2, 	55.1161, 	55.1161, 	20.6274, 	1, 	3.04
2, 	55.1161, 	55.1161, 	25.5496, 	1, 	3.04
2, 	55.1161, 	55.1161, 	23.9889, 	1, 	3.04
2, 	55.1161, 	55.1161, 	25.0915, 	1, 	3.04
2, 	55.1161, 	55.1161, 	25.0325, 	1, 	3.04
2, 	55.1161, 	55.1161, 	25.4181, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.9074, 	1, 	3.04
2, 	55.1161, 	55.1161, 	19.5984, 	1, 	3.04
2, 	55.1161, 	55.1161, 	21.7156, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.8851, 	1, 	3.04
2, 	55.1161, 	55.1161, 	25.137, 	1, 	3.04
2, 	55.1161, 	55.1161, 	18.2054, 	1, 	3.04
2, 	55.1161, 	55.1161, 	20.7436, 	1, 	3.04
2, 	55.1161, 	55.1161, 	25.0637, 	1, 	3.04
2, 	55.1161, 	55.1161, 	21.2159, 	1, 	3.04
2, 	55.1161, 	55.1161, 	22.1788, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.2731, 	1, 	3.04
2, 	55.1161, 	55.1161, 	17.7535, 	1, 	3.04
2, 	55.1161, 	55.1161, 	20.4274, 	1, 	3.04
2, 	55.1161, 	55.1161, 	21.6808, 	1, 	3.04
2, 	55.1161, 	55.1161, 	21.6808, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.6501, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.9624, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.6067, 	1, 	3.04
2, 	55.1161, 	55.1161, 	25.8253, 	1, 	3.04
2, 	55.1161, 	55.1161, 	22.7979, 	1, 	3.04
2, 	55.1161, 	55.1161, 	15.8349, 	1, 	3.04
2, 	55.1161, 	55.1161, 	19.3012, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.9235, 	1, 	3.04
2, 	55.1161, 	55.1161, 	22.2085, 	1, 	3.04
2, 	55.1161, 	55.1161, 	22.5243, 	1, 	3.04
2, 	55.1161, 	55.1161, 	24.3154, 	1, 	3.04
2, 	55.1161, 	55.1161, 	19.1235, 	1, 	3.04
