2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	58.382, 	-60, 	24.2335, 	1, 	3.04
2, 	58.382, 	-60, 	21.9406, 	1, 	3.04
2, 	58.382, 	-59, 	22.9098, 	1, 	3.04
2, 	58.382, 	-59, 	19.8393, 	1, 	3.04
2, 	58.382, 	-60, 	21.0666, 	1, 	3.04
2, 	58.382, 	-60, 	22.5365, 	1, 	3.04
2, 	58.382, 	-60, 	19.9306, 	1, 	3.04
2, 	58.382, 	45, 	20.9474, 	1, 	3.04
2, 	58.382, 	-59, 	23.9058, 	1, 	3.04
2, 	58.382, 	-59, 	20.5577, 	1, 	3.04
2, 	58.382, 	-59, 	19.1126, 	1, 	3.04
2, 	58.382, 	45, 	24.1734, 	1, 	3.04
2, 	58.382, 	45, 	21.8122, 	1, 	3.04
2, 	58.382, 	45, 	24.5005, 	1, 	3.04
2, 	58.382, 	45, 	18.742, 	1, 	3.04
2, 	58.382, 	-59, 	20.4574, 	1, 	3.04
2, 	58.382, 	45, 	20.9419, 	1, 	3.04
2, 	58.382, 	45, 	23.4995, 	1, 	3.04
2, 	58.382, 	45, 	24.1462, 	1, 	3.04
2, 	58.382, 	45, 	23.6279, 	1, 	3.04
2, 	58.382, 	45, 	23.5531, 	1, 	3.04
2, 	58.382, 	45, 	23.7202, 	1, 	3.04
2, 	58.382, 	45, 	24.4044, 	1, 	3.04
2, 	58.382, 	45, 	21.7281, 	1, 	3.04
2, 	58.382, 	45, 	22.9114, 	1, 	3.04
2, 	58.382, 	45, 	18.4965, 	1, 	3.04
2, 	58.382, 	45, 	23.9703, 	1, 	3.04
2, 	58.382, 	45, 	21.3546, 	1, 	3.04
2, 	58.382, 	45, 	23.5637, 	1, 	3.04
2, 	58.382, 	45, 	24.2891, 	1, 	3.04
2, 	58.382, 	45, 	24.0855, 	1, 	3.04
2, 	58.382, 	45, 	24.3723, 	1, 	3.04
2, 	58.382, 	45, 	23.9556, 	1, 	3.04
2, 	58.382, 	45, 	23.3062, 	1, 	3.04
2, 	58.382, 	45, 	23.6882, 	1, 	3.04
2, 	58.382, 	45, 	20.0028, 	1, 	3.04
2, 	58.382, 	45, 	24.4039, 	1, 	3.04
2, 	58.382, 	45, 	22.6922, 	1, 	3.04
2, 	58.382, 	45, 	18.6997, 	1, 	3.04
2, 	58.382, 	45, 	6.51065, 	0, 	3.04
2, 	58.382, 	56, 	20.2755, 	1, 	3.04
2, 	58.382, 	56, 	22.3102, 	1, 	3.04
2, 	58.382, 	56, 	24.1582, 	1, 	3.04
2, 	58.382, 	56, 	19.0685, 	1, 	3.04
2, 	58.382, 	56, 	24.4341, 	1, 	3.04
2, 	58.382, 	56, 	24.7288, 	1, 	3.04
2, 	58.382, 	56, 	18.1458, 	1, 	3.04
2, 	58.382, 	56, 	24.8981, 	1, 	3.04
2, 	58.382, 	56, 	21.7185, 	1, 	3.04
2, 	58.382, 	56, 	22.8482, 	1, 	3.04
2, 	58.382, 	-60, 	22.853, 	1, 	3.04
2, 	58.382, 	-60, 	22.5274, 	1, 	3.04
2, 	58.382, 	-60, 	22.5787, 	1, 	3.04
2, 	58.382, 	-60, 	23.75, 	1, 	3.04
2, 	58.382, 	-60, 	22.0316, 	1, 	3.04
2, 	58.382, 	-60, 	20.1715, 	1, 	3.04
2, 	58.382, 	56, 	23.3188, 	1, 	3.04
2, 	58.382, 	56, 	23.0329, 	1, 	3.04
2, 	58.382, 	56, 	24.2012, 	1, 	3.04
2, 	58.382, 	56, 	21.0443, 	1, 	3.04
2, 	58.382, 	51, 	24.1613, 	1, 	3.04
2, 	58.382, 	51, 	24.5108, 	1, 	3.04
2, 	58.382, 	51, 	22.4591, 	1, 	3.04
2, 	58.382, 	51, 	23.3583, 	1, 	3.04
2, 	58.382, 	51, 	20.1329, 	1, 	3.04
2, 	58.382, 	51, 	21.1051, 	1, 	3.04
2, 	58.382, 	51, 	22.8442, 	1, 	3.04
2, 	58.382, 	51, 	24.0138, 	1, 	3.04
2, 	58.382, 	51, 	23.9582, 	1, 	3.04
2, 	58.382, 	51, 	21.356, 	1, 	3.04
2, 	58.382, 	51, 	24.4441, 	1, 	3.04
2, 	58.382, 	51, 	21.9023, 	1, 	3.04
