2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	58.382, 	-60, 	22.077, 	1, 	3.04
2, 	58.382, 	-59, 	21.42989, 	1, 	3.04
2, 	58.382, 	-58, 	22.17764, 	1, 	3.04
2, 	58.382, 	-57, 	22.110879999999998, 	1, 	3.04
2, 	58.382, 	-56, 	21.08646, 	1, 	3.04
2, 	58.382, 	-55, 	21.643909999999998, 	1, 	3.04
2, 	58.382, 	-54, 	20.5401, 	1, 	2.432
2, 	58.382, 	-53, 	21.45651, 	1, 	2.736
2, 	58.382, 	-52, 	20.78389, 	1, 	3.04
2, 	58.382, 	-51, 	20.905579999999997, 	1, 	1.824
2, 	58.382, 	-50, 	20.861119999999996, 	1, 	1.824
2, 	58.382, 	-49, 	14.485889999999998, 	1, 	0.304
2, 	58.382, 	-48, 	8.30971, 	0, 	0.304
2, 	58.382, 	-47, 	3.96305, 	0, 	-7.10543e-17
2, 	58.382, 	-46, 	7.869380000000001, 	1, 	0.304
2, 	58.382, 	-45, 	0.0, 	0, 	-7.10543e-17
2, 	58.382, 	-44, 	0.0, 	0, 	-7.10543e-17
2, 	58.382, 	-43, 	0.0, 	0, 	-7.10543e-17
2, 	58.382, 	-42, 	0.0, 	0, 	-7.10543e-17
2, 	58.382, 	-41, 	0.0, 	0, 	-7.10543e-17
2, 	58.382, 	-40, 	0.0, 	0, 	-7.10543e-17
2, 	58.382, 	-39, 	0.0, 	0, 	-7.10543e-17
2, 	58.382, 	-38, 	0.0, 	0, 	-7.10543e-17
2, 	58.382, 	-37, 	0.0, 	0, 	-7.10543e-17
2, 	58.382, 	-36, 	0.0, 	0, 	-7.10543e-17
2, 	58.382, 	-35, 	0.0, 	0, 	-7.10543e-17
2, 	58.382, 	-34, 	0.0, 	0, 	-7.10543e-17
2, 	58.382, 	-33, 	1.3585699999999998, 	0, 	-7.10543e-17
2, 	58.382, 	-32, 	5.37524, 	0, 	0.304
2, 	58.382, 	-31, 	8.42728, 	1, 	0.912
2, 	58.382, 	-30, 	11.28784, 	1, 	0.304
2, 	58.382, 	-29, 	11.435030000000001, 	0, 	0.304
2, 	58.382, 	-28, 	13.00514, 	1, 	0.912
2, 	58.382, 	-27, 	15.152289999999999, 	1, 	0.912
2, 	58.382, 	-26, 	15.124559999999999, 	1, 	1.824
2, 	58.382, 	-25, 	15.10463, 	1, 	1.52
2, 	58.382, 	-24, 	15.951249999999998, 	1, 	1.824
2, 	58.382, 	-23, 	15.8543, 	1, 	1.52
2, 	58.382, 	-22, 	15.54044, 	1, 	2.128
2, 	58.382, 	-21, 	16.28806, 	1, 	2.128
2, 	58.382, 	-20, 	15.906089999999997, 	1, 	2.128
2, 	58.382, 	-19, 	16.02633, 	1, 	2.432
2, 	58.382, 	-18, 	15.958339999999998, 	1, 	2.736
2, 	58.382, 	-17, 	16.014609999999998, 	1, 	2.432
