2, 	-63.9534, 	-63.9534, 	4.01847, 	0, 	0.608
2, 	-63.9534, 	-63.9534, 	4.01847, 	0, 	0.608
2, 	-63.9534, 	-63.9534, 	4.01847, 	0, 	0.608
2, 	-63.9534, 	-63.9534, 	4.01847, 	0, 	0.608
2, 	-63.9534, 	-63.9534, 	4.01847, 	0, 	0.608
2, 	-63.9534, 	-63.9534, 	4.01847, 	0, 	0.608
2, 	-63.9534, 	-63.9534, 	4.01847, 	0, 	0.608
2, 	-63.9534, 	-63.9534, 	4.01847, 	0, 	0.608
2, 	-63.9534, 	-63.9534, 	4.01847, 	0, 	0.608
2, 	-63.9534, 	-63.9534, 	4.01847, 	0, 	0.608
2, 	-63.9534, 	-63.9534, 	4.01847, 	0, 	0.608
2, 	-63.9534, 	-63.9534, 	4.01847, 	0, 	0.608
2, 	-63.9534, 	-63.9534, 	4.01847, 	0, 	0.608
2, 	-63.9534, 	-63.9534, 	4.01847, 	0, 	0.608
1, 	-63.9534, 	-63.9534, 	12.9625, 	1, 	0.608
1, 	-63.9534, 	-63.9534, 	12.9625, 	1, 	0.608
1, 	-63.9534, 	-63.9534, 	12.9625, 	1, 	0.608
1, 	-63.9534, 	-63.9534, 	12.9625, 	1, 	0.608
1, 	-63.9534, 	-63.9534, 	12.9625, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	19.3315, 	1, 	0.608
2, 	-63.9534, 	-63.9534, 	23.0025, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	23.0025, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	23.0025, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	23.0025, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	23.0025, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	11.7259, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	11.7259, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	11.7259, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	11.7259, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	11.7259, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	11.7259, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	11.7259, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	11.7259, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	11.7259, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	11.7259, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	11.7259, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	11.7259, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	11.7259, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	11.7259, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	24.3706, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	24.3706, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	24.3706, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	24.3706, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	24.3706, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	24.3706, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	24.3706, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	24.3706, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	24.3706, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	24.3706, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	24.3706, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	24.3706, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	24.3706, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	12.2547, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	12.2547, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	12.2547, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	12.2547, 	1, 	0.912
1, 	-63.9534, 	-63.9534, 	12.2547, 	1, 	0.912
2, 	-63.9534, 	-63.9534, 	24.8936, 	1, 	1.216
2, 	-63.9534, 	-63.9534, 	24.8936, 	1, 	1.216
2, 	-63.9534, 	-63.9534, 	24.8936, 	1, 	1.216
2, 	-63.9534, 	-63.9534, 	24.8936, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	12.1196, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	12.1196, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	12.1196, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	12.1196, 	1, 	1.216
