 NEW RECORD - 08-21-2023 18:30:49, 	peak_power,	 snr_est,	 range,	 angle
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:49.681, 	11.4623, 	16.2541, 	4.6591, 	5.82915
18:30:51.282, 	34.9311, 	16.0727, 	0.751468, 	53.5801
18:30:51.282, 	34.9311, 	16.0727, 	0.751468, 	53.5801
18:30:51.282, 	34.9311, 	16.0727, 	0.751468, 	53.5801
18:30:51.383, 	190.787, 	26.2628, 	0.901761, 	44.0521
18:30:51.383, 	190.787, 	26.2628, 	0.901761, 	44.0521
18:30:51.383, 	190.787, 	26.2628, 	0.901761, 	44.0521
18:30:51.482, 	584.515, 	28.9182, 	0.751468, 	28.4611
18:30:51.482, 	584.515, 	28.9182, 	0.751468, 	28.4611
18:30:51.482, 	584.515, 	28.9182, 	0.751468, 	28.4611
18:30:51.582, 	747.264, 	30.5529, 	0.901761, 	16.8018
18:30:51.582, 	747.264, 	30.5529, 	0.901761, 	16.8018
