(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);
 NEW RECORD - 08-29-2023 19:09:39time, CRC, type, snr, data_snr, data_CRC, per_val, Throughput
19:09:40.000, 	1, 	1, 	20.8438, 	12.4881, 	0, 	0, 	0, 	(1.0308,-0.15977);(-1.16812,-0.692175);(0.869425,1.23341);(-0.921534,-1.27352);
19:09:40.042, 	1, 	1, 	20.8983, 	15.2255, 	0, 	0, 	0, 	(0.862198,-0.168398);(-1.07151,-0.647589);(0.930771,1.45425);(-1.01224,-1.46604);
19:09:40.092, 	1, 	1, 	21.5121, 	13.8565, 	0, 	0, 	0, 	(0.979304,-0.452664);(-1.29887,-0.352212);(1.12497,0.877453);(-1.16494,-0.891135);
19:09:40.142, 	1, 	1, 	20.2351, 	15.1984, 	0, 	0, 	0, 	(-0.132181,1.00311);(1.04037,-0.762508);(-1.67074,0.381397);(1.69122,-0.451443);
19:09:40.192, 	1, 	1, 	20.5291, 	15.6274, 	0, 	0, 	0, 	(-0.0721206,0.785827);(0.898263,-0.710334);(-1.77271,0.373964);(1.78737,-0.451488);
19:09:40.242, 	1, 	1, 	19.5763, 	14.2752, 	0, 	0, 	0, 	(-0.93803,0.351091);(1.24656,0.473216);(-1.13843,-1.13257);(1.19086,1.1508);
19:09:40.393, 	1, 	1, 	20.7847, 	15.33, 	0, 	0, 	0, 	(0.317249,0.841804);(0.464804,-1.18686);(-1.26557,1.20179);(1.2665,-1.26736);
19:09:40.493, 	1, 	1, 	20.3321, 	12.617, 	0, 	0, 	0, 	(-1.03995,-0.0573609);(0.842319,0.986689);(-0.502366,-1.61146);(0.575492,1.60854);
19:09:40.543, 	1, 	1, 	20.3785, 	13.9635, 	0, 	0, 	0, 	(0.69317,-0.340047);(-1.12633,-0.346888);(1.2717,1.2415);(-1.34347,-1.21923);
19:09:40.593, 	1, 	1, 	21.0025, 	13.6907, 	0, 	0, 	0, 	(0.254701,0.997138);(0.610552,-1.20224);(-1.22913,1.01693);(1.24981,-1.07038);
19:09:40.794, 	1, 	1, 	21.4137, 	14.0721, 	0, 	0, 	0, 	(-0.94026,0.476075);(1.31869,0.259995);(-1.10814,-0.790443);(1.15732,0.819804);
19:09:40.844, 	1, 	1, 	18.6459, 	13.8638, 	0, 	0, 	0, 	(-0.558473,-0.0942252);(0.219818,0.737821);(0.108688,-1.69292);(0.0103393,1.68043);
19:09:40.894, 	1, 	1, 	19.3639, 	13.9611, 	0, 	0, 	0, 	(0.635971,-0.456371);(-1.1758,-0.169816);(1.44683,1.03252);(-1.5264,-0.996148);
19:09:40.944, 	1, 	1, 	21.1265, 	16.0415, 	0, 	0, 	0, 	(-0.838858,0.652894);(1.31505,0.126978);(-1.36866,-0.734546);(1.42209,0.714435);
19:09:40.994, 	1, 	1, 	21.3628, 	15.6122, 	0, 	0, 	0, 	(0.332089,0.915899);(0.5644,-1.09939);(-1.35096,1.09082);(1.31325,-1.17034);
19:09:41.094, 	1, 	1, 	21.2388, 	14.3187, 	0, 	0, 	0, 	(0.255014,-1.08295);(-0.971738,0.705133);(0.921804,-0.256402);(-0.93449,0.269346);
19:09:41.144, 	1, 	1, 	20.5817, 	14.2878, 	0, 	0, 	0, 	(-0.452163,-1.01156);(-0.37809,1.27907);(0.854477,-1.04293);(-0.871074,1.08501);
19:09:41.194, 	1, 	1, 	17.769, 	13.3558, 	0, 	0, 	0, 	(0.406114,-0.441243);(-0.762753,-0.217052);(1.35136,1.02935);(-1.41566,-0.921503);
19:09:41.244, 	1, 	1, 	20.0298, 	13.4911, 	0, 	0, 	0, 	(-0.737453,0.136478);(1.09399,0.593583);(-0.960921,-1.49887);(1.03159,1.5306);
19:09:41.295, 	1, 	1, 	19.7714, 	14.5972, 	0, 	0, 	0, 	(-0.516539,-0.198719);(0.340658,0.901387);(0.216572,-1.75796);(-0.126522,1.7845);
19:09:41.410, 	1, 	1, 	19.362, 	13.6957, 	0, 	0, 	0, 	(-0.515777,0.546059);(1.0254,0.120632);(-1.55179,-0.907832);(1.6103,0.82337);
19:09:41.445, 	1, 	1, 	22.5814, 	17.0593, 	0, 	0, 	0, 	(0.284655,-1.01512);(-0.956988,0.738868);(0.880693,-0.270763);(-0.944319,0.257163);
19:09:41.495, 	1, 	1, 	21.9133, 	13.0194, 	0, 	0, 	0, 	(0.356611,-1.1461);(-1.15418,0.520583);(1.29891,-0.0979517);(-1.29547,0.170108);
19:09:41.596, 	1, 	1, 	20.8395, 	15.2208, 	0, 	0, 	0, 	(-0.888798,0.00595032);(0.83071,0.877162);(-0.551746,-1.6824);(0.63157,1.6812);
19:09:41.645, 	1, 	1, 	20.9105, 	14.5959, 	0, 	0, 	0, 	(-1.20562,0.096227);(0.8797,0.924416);(-0.602197,-1.38558);(0.690447,1.33878);
19:09:41.796, 	1, 	1, 	19.6889, 	14.7325, 	0, 	0, 	0, 	(-0.813117,0.770859);(1.15364,-0.0365361);(-0.83924,-0.285072);(0.859716,0.268233);
19:09:41.896, 	1, 	1, 	19.5475, 	14.9677, 	0, 	0, 	0, 	(-0.325878,-0.495242);(-0.381031,0.787154);(1.3111,-1.13206);(-1.2378,1.2237);
19:09:41.946, 	1, 	1, 	21.0823, 	14.315, 	0, 	0, 	0, 	(0.195781,0.863014);(0.672166,-0.992323);(-1.5147,0.903469);(1.49324,-0.98439);
19:09:41.996, 	0, 	1, 	20.9209, 	13.1852, 	0, 	0, 	0, 	(-0.805802,-0.671677);(0.228699,1.31942);(0.357198,-1.41401);(-0.344281,1.47201);
19:09:42.046, 	1, 	1, 	20.3826, 	15.4553, 	0, 	4, 	0, 	(-0.488708,-0.123394);(-0.558979,0.935316);(0.558979,-0.935316);(-0.488708,-0.123394);
19:09:42.146, 	1, 	1, 	20.034, 	13.0412, 	0, 	4, 	0, 	(0.403009,-0.933969);(-1.21269,0.486677);(1.65625,0.0660364);(-1.691,-0.00282381);
19:09:42.196, 	1, 	1, 	19.3366, 	14.0338, 	0, 	4, 	0, 	(-0.795152,-0.28953);(-1.04764,1.50734);(0.93829,-0.565142);(-0.904501,0.652663);
19:09:42.247, 	1, 	1, 	20.2327, 	14.1065, 	0, 	4, 	0, 	(0.962829,-0.520114);(-1.26458,-0.363057);(1.22129,1.00811);(-1.27419,-0.965153);
19:09:42.297, 	1, 	1, 	19.5545, 	16.3348, 	0, 	4, 	0, 	(-0.737598,0.406991);(1.21401,0.278203);(-1.35414,-1.11535);(1.42989,1.08124);
19:09:42.347, 	0, 	1, 	19.9103, 	15.1164, 	0, 	4, 	0, 	(-1.09887,0.132332);(1.06199,0.783702);(-0.747252,-1.24314);(0.805067,1.25231);
19:09:42.397, 	1, 	1, 	21.0393, 	16.8484, 	0, 	8, 	0, 	(0.487164,0.706444);(0.0587095,-1.32297);(-0.844816,1.47147);(0.858939,-1.53745);
19:09:42.498, 	1, 	1, 	19.1332, 	16.0568, 	0, 	8, 	0, 	(-0.455949,0.129984);(0.671649,0.513417);(-0.722053,-1.5515);(0.80654,1.51488);
19:09:42.549, 	1, 	1, 	19.9061, 	10.8816, 	0, 	8, 	0, 	(-1.13523,-0.132047);(0.836924,0.946046);(-0.391895,-1.07245);(0.428135,1.09567);
19:09:42.648, 	1, 	1, 	19.6578, 	15.9499, 	0, 	8, 	0, 	(-0.427306,-1.04371);(-0.393252,1.18249);(0.693465,-0.834197);(-0.700455,0.867926);
19:09:42.697, 	1, 	1, 	20.0258, 	14.6367, 	0, 	8, 	0, 	(0.247657,-0.760256);(-0.965714,0.219923);(1.77082,0.224903);(-1.775,-0.115335);
19:09:42.747, 	1, 	1, 	19.8824, 	14.2795, 	0, 	8, 	0, 	(0.0680664,1.05759);(0.669442,-0.995513);(-0.761479,0.525176);(0.802439,-0.555801);
19:09:42.898, 	1, 	1, 	20.3363, 	13.6627, 	0, 	8, 	0, 	(-0.554431,0.534003);(1.21299,-0.0648398);(-1.61111,-0.768445);(1.66892,0.735488);
19:09:42.948, 	1, 	1, 	20.2193, 	15.9868, 	0, 	8, 	0, 	(0.622394,-0.879167);(-1.3009,0.279415);(1.5033,0.322037);(-1.54682,-0.29402);
19:09:43.048, 	1, 	1, 	19.813, 	15.5253, 	0, 	8, 	0, 	(-1.03605,0.457331);(1.2204,0.448192);(-1.0397,-0.950858);(1.09943,0.948743);
19:09:43.099, 	1, 	1, 	20.0775, 	15.8288, 	0, 	8, 	0, 	(-0.76228,0.78238);(1.1714,-0.132099);(-0.886466,-0.230097);(0.91388,0.238348);
19:09:43.199, 	1, 	1, 	20.2186, 	15.5454, 	0, 	8, 	0, 	(-0.956021,-0.563623);(0.313155,1.27475);(0.243669,-1.61452);(-0.175732,1.64812);
19:09:43.249, 	1, 	1, 	19.1222, 	10.9131, 	0, 	8, 	0, 	(-1.04259,0.0560583);(1.11893,0.681513);(-0.679848,-0.945116);(0.69741,1.01888);
19:09:43.299, 	1, 	1, 	19.1176, 	13.2338, 	0, 	8, 	0, 	(-0.146108,0.620196);(0.872502,-0.358039);(-1.76048,-0.0557437);(1.7732,-0.052864);
19:09:43.349, 	1, 	1, 	20.7009, 	14.4945, 	0, 	8, 	0, 	(-1.14174,0.131475);(0.978006,0.706609);(-0.554272,-0.869722);(0.5855,0.855124);
19:09:43.399, 	1, 	1, 	19.3136, 	15.4237, 	0, 	8, 	0, 	(0.390419,0.5132);(0.118905,-1.08898);(-1.0202,1.47142);(0.983134,-1.54347);
19:09:43.499, 	1, 	1, 	21.4988, 	13.7567, 	0, 	8, 	0, 	(0.342966,0.790743);(1.82113,-0.266929);(-1.07239,-0.310205);(1.09171,0.213609);
19:09:43.550, 	1, 	1, 	18.9964, 	13.5077, 	0, 	8, 	0, 	(-0.400238,0.326374);(0.935581,0.169915);(-1.30956,-1.15061);(1.38759,1.09071);
19:09:43.599, 	1, 	1, 	20.3906, 	14.9746, 	0, 	8, 	0, 	(-1.07029,0.0605469);(1.05299,0.716092);(-0.614555,-0.937203);(0.633818,0.982961);
19:09:43.649, 	1, 	1, 	21.1971, 	15.0412, 	0, 	4, 	0, 	(0.0183764,1.04666);(0.851602,-1.05468);(-1.31625,0.692542);(1.3694,-0.715415);
19:09:43.701, 	1, 	1, 	20.5945, 	14.1208, 	0, 	4, 	0, 	(1.11652,-0.278215);(-1.04112,-0.591393);(0.630795,0.75658);(-0.661161,-0.736619);
