2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-22.21278725922066, 	-22.21278725922066, 	14.544804761904764, 	0, 	0.304
2, 	-63.9534, 	-63.9534, 	20.624309523809526, 	1, 	2.128
2, 	-63.9534, 	-63.9534, 	21.967514285714287, 	1, 	2.128
2, 	-61.9835, 	-61.9835, 	20.882233333333335, 	0, 	2.432
2, 	-58.382, 	-58.382, 	21.223328571428574, 	0, 	2.432
2, 	-58.382, 	-58.382, 	20.561185714285713, 	0, 	3.04
2, 	-58.382, 	-58.382, 	21.78339523809524, 	1, 	2.432
2, 	-61.9835, 	-61.9835, 	22.406290476190478, 	1, 	3.04
2, 	-52.098, 	-52.098, 	24.051638095238097, 	1, 	3.04
2, 	-52.098, 	-52.098, 	24.200338095238095, 	1, 	2.432
2, 	-52.098, 	-52.098, 	22.669071428571424, 	1, 	2.736
2, 	-53.5801, 	-53.5801, 	24.241238095238096, 	1, 	3.04
2, 	-46.599, 	-46.599, 	22.68871428571428, 	1, 	2.432
2, 	-45.3112, 	-45.3112, 	24.219433333333335, 	1, 	3.04
2, 	-44.0521, 	-44.0521, 	23.112061904761905, 	1, 	2.128
2, 	-45.3112, 	-45.3112, 	24.059652380952382, 	1, 	2.736
2, 	-41.6104, 	-41.6104, 	24.742366666666666, 	1, 	3.04
2, 	-41.6104, 	-41.6104, 	23.845828571428576, 	1, 	3.04
2, 	-40.4239, 	-40.4239, 	23.390090476190476, 	1, 	2.128
2, 	-38.111, 	-38.111, 	24.150009523809526, 	1, 	2.736
2, 	-36.9819, 	-36.9819, 	23.830066666666664, 	0, 	2.736
2, 	-36.9819, 	-36.9819, 	23.936404761904765, 	0, 	2.128
2, 	-36.9819, 	-36.9819, 	23.13584285714286, 	1, 	2.128
2, 	-32.6198, 	-32.6198, 	24.588585714285717, 	1, 	3.04
2, 	-32.6198, 	-32.6198, 	23.46045238095238, 	1, 	2.736
2, 	-32.6198, 	-32.6198, 	24.62885714285714, 	1, 	2.736
2, 	-32.6198, 	-32.6198, 	24.003466666666665, 	1, 	3.04
2, 	-31.5631, 	-31.5631, 	23.456685714285715, 	1, 	2.432
2, 	-29.4845, 	-29.4845, 	24.870228571428573, 	1, 	2.736
2, 	-28.4611, 	-28.4611, 	25.076266666666665, 	0, 	3.04
2, 	-29.4845, 	-29.4845, 	24.153819047619045, 	1, 	2.432
2, 	-24.4603, 	-24.4603, 	24.88353333333333, 	1, 	3.04
2, 	-25.4477, 	-25.4477, 	25.48961904761905, 	1, 	3.04
2, 	-24.4603, 	-24.4603, 	24.67951904761905, 	1, 	2.736
2, 	-24.4603, 	-24.4603, 	25.06737619047619, 	1, 	3.04
2, 	-24.4603, 	-24.4603, 	24.283966666666664, 	1, 	3.04
2, 	-25.4477, 	-25.4477, 	25.289638095238097, 	1, 	3.04
2, 	-18.6818, 	-18.6818, 	25.303819047619044, 	1, 	3.04
2, 	-19.6296, 	-19.6296, 	25.621652380952384, 	1, 	3.04
2, 	-19.6296, 	-19.6296, 	25.313928571428576, 	1, 	3.04
2, 	-19.6296, 	-19.6296, 	25.287480952380953, 	1, 	3.04
2, 	-18.6818, 	-18.6818, 	25.68826190476191, 	1, 	3.04
2, 	-16.8018, 	-16.8018, 	25.602095238095238, 	1, 	3.04
2, 	-15.8689, 	-15.8689, 	25.138347619047618, 	1, 	3.04
2, 	-14.9403, 	-14.9403, 	25.3759, 	1, 	3.04
2, 	-12.1773, 	-12.1773, 	25.727685714285712, 	1, 	3.04
2, 	-10.3516, 	-10.3516, 	25.0725, 	1, 	3.04
2, 	-10.3516, 	-10.3516, 	25.451980952380957, 	1, 	3.04
2, 	-9.44278, 	-9.44278, 	26.047390476190476, 	1, 	3.04
2, 	-4.92994, 	-4.92994, 	25.61419523809524, 	1, 	3.04
2, 	-6.72981, 	-6.72981, 	25.30002380952381, 	1, 	3.04
2, 	-6.72981, 	-6.72981, 	26.006200000000003, 	1, 	3.04
2, 	-6.72981, 	-6.72981, 	25.28516666666666, 	1, 	3.04
2, 	-6.72981, 	-6.72981, 	25.88993333333333, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	26.16635714285714, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	25.8776619047619, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	25.320233333333334, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	25.471242857142858, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	25.88912857142857, 	1, 	3.04
2, 	3.13493, 	3.13493, 	26.305066666666658, 	1, 	3.04
2, 	1.34299, 	1.34299, 	25.543757142857142, 	1, 	3.04
2, 	1.34299, 	1.34299, 	25.965680952380954, 	1, 	3.04
2, 	4.92994, 	4.92994, 	26.335809523809523, 	1, 	3.04
2, 	5.82915, 	5.82915, 	26.652161904761904, 	1, 	3.04
2, 	4.92994, 	4.92994, 	25.95274761904762, 	1, 	3.04
2, 	5.82915, 	5.82915, 	25.86259523809524, 	1, 	3.04
2, 	8.53639, 	8.53639, 	26.034200000000002, 	1, 	3.04
2, 	8.53639, 	8.53639, 	25.696471428571428, 	1, 	3.04
2, 	9.44278, 	9.44278, 	26.052090476190475, 	1, 	3.04
2, 	9.44278, 	9.44278, 	25.613176190476192, 	1, 	3.04
2, 	13.0948, 	13.0948, 	25.946533333333328, 	1, 	3.04
2, 	14.0157, 	14.0157, 	25.527361904761907, 	1, 	3.04
2, 	14.0157, 	14.0157, 	25.713190476190476, 	1, 	3.04
2, 	15.8689, 	15.8689, 	25.85518095238095, 	1, 	3.04
2, 	15.8689, 	15.8689, 	25.290414285714284, 	1, 	3.04
2, 	19.6296, 	19.6296, 	24.57215238095238, 	1, 	3.04
2, 	19.6296, 	19.6296, 	25.542809523809524, 	1, 	3.04
2, 	19.6296, 	19.6296, 	25.895542857142853, 	1, 	3.04
2, 	18.6818, 	18.6818, 	25.717109523809523, 	1, 	3.04
2, 	18.6818, 	18.6818, 	25.264657142857146, 	1, 	3.04
2, 	20.5829, 	20.5829, 	25.466333333333335, 	1, 	3.04
2, 	25.4477, 	25.4477, 	24.45092857142857, 	1, 	3.04
2, 	25.4477, 	25.4477, 	24.533519047619045, 	1, 	3.04
2, 	26.4433, 	26.4433, 	24.79055714285714, 	1, 	3.04
2, 	24.4603, 	24.4603, 	24.774985714285712, 	1, 	3.04
2, 	29.4845, 	29.4845, 	25.427085714285713, 	1, 	3.04
2, 	31.5631, 	31.5631, 	23.72999523809524, 	1, 	2.736
2, 	35.8692, 	35.8692, 	23.418980952380952, 	1, 	2.736
2, 	35.8692, 	35.8692, 	24.946819047619048, 	1, 	3.04
2, 	33.6892, 	33.6892, 	24.46012857142857, 	1, 	2.736
2, 	33.6892, 	33.6892, 	24.33307619047619, 	1, 	3.04
2, 	39.2579, 	39.2579, 	24.14619047619048, 	1, 	3.04
2, 	38.111, 	38.111, 	24.609804761904766, 	1, 	3.04
2, 	38.111, 	38.111, 	23.848590476190477, 	1, 	3.04
2, 	41.6104, 	41.6104, 	23.795795238095238, 	1, 	3.04
2, 	41.6104, 	41.6104, 	17.564950190476193, 	0, 	2.432
2, 	46.599, 	46.599, 	18.54588333333333, 	0, 	2.432
2, 	44.0521, 	44.0521, 	13.221912714285715, 	1, 	0.912
2, 	46.599, 	46.599, 	19.351126999999998, 	1, 	1.824
2, 	46.599, 	46.599, 	19.266186333333334, 	1, 	2.736
2, 	46.599, 	46.599, 	8.895930857142858, 	0, 	0.304
2, 	50.6636, 	50.6636, 	11.492452952380953, 	1, 	1.52
2, 	53.5801, 	53.5801, 	18.173989333333335, 	1, 	2.432
2, 	53.5801, 	53.5801, 	18.044277, 	1, 	1.824
2, 	53.5801, 	53.5801, 	15.735786761904762, 	0, 	2.432
2, 	60.1334, 	60.1334, 	12.893871952380952, 	1, 	1.216
2, 	55.1161, 	55.1161, 	17.993673442857144, 	1, 	3.04
2, 	56.7136, 	56.7136, 	16.392889047619047, 	1, 	2.128
2, 	61.9835, 	61.9835, 	15.071626047619047, 	1, 	1.52
2, 	55.1161, 	55.1161, 	15.43190864047619, 	1, 	2.128
2, 	55.1161, 	55.1161, 	18.41160378095238, 	0, 	2.432
2, 	52.098, 	52.098, 	14.242554061428573, 	1, 	2.128
2, 	45.3112, 	45.3112, 	22.619574142857143, 	1, 	3.04
2, 	40.4239, 	40.4239, 	24.912590476190477, 	1, 	3.04
2, 	36.9819, 	36.9819, 	25.270361904761906, 	1, 	3.04
2, 	32.6198, 	32.6198, 	25.28494761904762, 	1, 	3.04
2, 	28.4611, 	28.4611, 	25.864695238095244, 	1, 	3.04
2, 	24.4603, 	24.4603, 	25.385919047619048, 	1, 	3.04
