2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-52.098, 	23, 	13.5193, 	1, 	0.304
2, 	-52.098, 	23, 	14.2089, 	1, 	0.608
2, 	-52.098, 	22, 	13.0707, 	1, 	0.912
2, 	-52.098, 	18, 	14.5816, 	1, 	1.216
2, 	-52.098, 	18, 	13.9298, 	1, 	1.52
2, 	-52.098, 	23, 	14.1787, 	1, 	1.824
2, 	-52.098, 	21, 	14.1821, 	1, 	2.128
2, 	-52.098, 	23, 	14.2952, 	1, 	2.432
2, 	-52.098, 	18, 	13.6012, 	1, 	2.736
2, 	-52.098, 	21, 	15.0022, 	1, 	3.04
2, 	-52.098, 	22, 	14.4186, 	1, 	0.304
2, 	-52.098, 	22, 	13.9889, 	1, 	0.608
2, 	-52.098, 	18, 	13.9294, 	1, 	0.912
2, 	-52.098, 	22, 	14.1823, 	1, 	1.216
2, 	-52.098, 	19, 	14.2753, 	1, 	1.52
2, 	-52.098, 	22, 	14.4848, 	1, 	1.824
2, 	-52.098, 	16, 	14.5095, 	1, 	2.128
2, 	-52.098, 	21, 	13.6295, 	1, 	2.432
2, 	-52.098, 	17, 	13.8586, 	1, 	2.736
2, 	-52.098, 	18, 	13.7115, 	1, 	3.04
2, 	-52.098, 	23, 	14.651, 	1, 	0.304
2, 	-52.098, 	19, 	14.1077, 	1, 	0.608
2, 	-52.098, 	23, 	14.0859, 	1, 	0.912
2, 	-52.098, 	19, 	13.9898, 	1, 	1.216
2, 	-52.098, 	23, 	14.2182, 	1, 	1.52
2, 	-52.098, 	22, 	14.0447, 	1, 	1.824
2, 	-52.098, 	23, 	14.3143, 	1, 	2.128
2, 	-52.098, 	19, 	13.9595, 	1, 	2.432
2, 	-52.098, 	23, 	14.5799, 	1, 	2.736
2, 	-52.098, 	22, 	14.0394, 	1, 	3.04
2, 	-52.098, 	23, 	13.9231, 	1, 	0.304
2, 	-52.098, 	22, 	15.2362, 	1, 	0.608
2, 	-52.098, 	22, 	14.3064, 	1, 	0.912
2, 	-52.098, 	22, 	14.0938, 	1, 	1.216
2, 	-52.098, 	23, 	13.9348, 	1, 	1.52
2, 	-52.098, 	21, 	14.5855, 	1, 	1.824
2, 	-52.098, 	22, 	14.5639, 	1, 	2.128
2, 	-52.098, 	21, 	14.8979, 	1, 	2.432
2, 	-52.098, 	21, 	14.642, 	1, 	2.736
2, 	-52.098, 	22, 	14.0777, 	1, 	3.04
2, 	-52.098, 	23, 	13.5002, 	1, 	0.304
2, 	-52.098, 	23, 	14.1983, 	1, 	0.608
2, 	-52.098, 	23, 	13.9816, 	1, 	0.912
2, 	-52.098, 	19, 	13.9068, 	1, 	1.216
2, 	-52.098, 	21, 	13.7188, 	1, 	1.52
2, 	-52.098, 	23, 	14.1965, 	1, 	1.824
2, 	-52.098, 	19, 	14.0402, 	1, 	2.128
2, 	-52.098, 	23, 	13.5485, 	1, 	2.432
2, 	-52.098, 	21, 	13.9937, 	1, 	2.736
2, 	-52.098, 	22, 	14.0337, 	1, 	3.04
2, 	-52.098, 	23, 	14.4211, 	1, 	0.304
2, 	-52.098, 	22, 	14.0336, 	1, 	0.608
2, 	-52.098, 	23, 	13.5503, 	1, 	0.912
2, 	-52.098, 	22, 	14.0185, 	1, 	1.216
2, 	-52.098, 	23, 	14.4291, 	1, 	1.52
2, 	-52.098, 	22, 	13.8592, 	1, 	1.824
2, 	-52.098, 	23, 	13.6218, 	1, 	2.128
2, 	-52.098, 	22, 	13.5391, 	1, 	2.432
2, 	-52.098, 	23, 	14.4753, 	1, 	2.736
2, 	-52.098, 	23, 	14.5609, 	1, 	3.04
2, 	-52.098, 	21, 	14.3782, 	1, 	0.304
2, 	-52.098, 	22, 	14.0032, 	1, 	0.608
2, 	-52.098, 	21, 	13.855, 	1, 	0.912
2, 	-52.098, 	19, 	14.6149, 	1, 	1.216
2, 	-52.098, 	23, 	14.6016, 	1, 	1.52
2, 	-52.098, 	19, 	14.7615, 	1, 	1.824
2, 	-52.098, 	19, 	14.0234, 	1, 	2.128
2, 	-52.098, 	23, 	14.3779, 	1, 	2.432
2, 	-52.098, 	22, 	14.7718, 	1, 	2.736
2, 	-52.098, 	22, 	13.9458, 	1, 	3.04
2, 	-52.098, 	22, 	13.1951, 	1, 	0.304
2, 	-52.098, 	23, 	14.4855, 	1, 	0.608
2, 	-52.098, 	23, 	13.7635, 	1, 	0.912
2, 	-52.098, 	21, 	14.3055, 	1, 	1.216
2, 	-52.098, 	22, 	14.3931, 	1, 	1.52
2, 	-52.098, 	21, 	14.7727, 	1, 	1.824
2, 	-52.098, 	21, 	14.7727, 	1, 	2.128
2, 	-52.098, 	21, 	14.7785, 	1, 	2.432
2, 	-52.098, 	21, 	14.4122, 	1, 	2.736
2, 	-52.098, 	21, 	14.0219, 	1, 	3.04
2, 	-52.098, 	21, 	13.3724, 	1, 	0.304
2, 	-52.098, 	21, 	14.1268, 	1, 	0.608
2, 	-52.098, 	22, 	13.4925, 	1, 	0.912
2, 	-52.098, 	21, 	14.1734, 	1, 	1.216
2, 	-52.098, 	23, 	13.3398, 	1, 	1.52
2, 	-52.098, 	21, 	13.3521, 	1, 	1.824
2, 	-52.098, 	22, 	13.9054, 	1, 	2.128
2, 	-52.098, 	17, 	14.1049, 	1, 	2.432
2, 	-52.098, 	22, 	14.726, 	1, 	2.736
2, 	-52.098, 	22, 	14.0747, 	1, 	3.04
2, 	-52.098, 	21, 	14.0756, 	1, 	0.304
2, 	-52.098, 	21, 	13.4472, 	1, 	0.608
2, 	-52.098, 	17, 	13.4638, 	1, 	0.912
2, 	-52.098, 	21, 	14.1611, 	1, 	1.216
2, 	-52.098, 	21, 	13.7556, 	1, 	1.52
2, 	-52.098, 	23, 	13.1147, 	1, 	1.824
2, 	-52.098, 	22, 	13.2852, 	1, 	2.128
2, 	-52.098, 	21, 	14.1995, 	1, 	2.432
2, 	-52.098, 	17, 	14.1431, 	1, 	2.736
2, 	-52.098, 	21, 	12.874, 	1, 	3.04
