2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-50.6636, 	14, 	13.505619999999999, 	1, 	3.04
2, 	-50.6636, 	17, 	14.080699999999998, 	1, 	3.04
2, 	-50.6636, 	15, 	14.399989999999999, 	1, 	3.04
2, 	-50.6636, 	14, 	13.81353, 	1, 	3.04
2, 	-50.6636, 	15, 	14.058420000000002, 	1, 	3.04
2, 	-50.6636, 	16, 	13.786869999999999, 	1, 	3.04
2, 	-50.6636, 	15, 	13.873330000000001, 	1, 	3.04
2, 	-50.6636, 	17, 	14.27517, 	1, 	3.04
2, 	-50.6636, 	17, 	14.24297, 	1, 	3.04
2, 	-50.6636, 	16, 	13.859029000000001, 	1, 	3.04
