2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-50.6636, 	19, 	11.983279999999999, 	1, 	3.04
2, 	-50.6636, 	19, 	12.04744, 	1, 	2.736
2, 	-50.6636, 	20, 	12.371179999999999, 	1, 	2.736
2, 	-50.6636, 	22, 	11.956959999999999, 	1, 	2.736
2, 	-50.6636, 	17, 	12.422259999999998, 	1, 	1.824
2, 	-50.6636, 	19, 	12.196950000000001, 	1, 	2.736
2, 	-50.6636, 	17, 	12.07707, 	1, 	3.04
2, 	-50.6636, 	17, 	12.28261, 	1, 	2.432
2, 	-50.6636, 	21, 	12.28159, 	1, 	2.736
2, 	-50.6636, 	21, 	12.132090000000002, 	1, 	2.736
