2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-50.6636, 	19, 	11.2285, 	1, 	0.304
2, 	-50.6636, 	20, 	12.7276, 	1, 	0.608
2, 	-50.6636, 	20, 	11.6873, 	1, 	0.912
2, 	-50.6636, 	16, 	12.3391, 	1, 	1.216
2, 	-50.6636, 	17, 	12.2344, 	1, 	1.52
2, 	-50.6636, 	15, 	11.7538, 	1, 	1.824
2, 	-50.6636, 	22, 	12.4636, 	1, 	2.128
2, 	-50.6636, 	14, 	12.1665, 	1, 	2.432
2, 	-50.6636, 	16, 	11.3583, 	1, 	2.736
2, 	-50.6636, 	19, 	11.8737, 	1, 	3.04
2, 	-50.6636, 	20, 	12.2861, 	1, 	0.304
2, 	-50.6636, 	15, 	11.8123, 	1, 	0.608
2, 	-50.6636, 	14, 	11.8709, 	1, 	0.912
2, 	-50.6636, 	21, 	12.0047, 	1, 	1.216
2, 	-50.6636, 	20, 	12.1768, 	1, 	1.52
2, 	-50.6636, 	17, 	12.2518, 	1, 	1.824
2, 	-50.6636, 	23, 	12.5684, 	1, 	2.128
2, 	-50.6636, 	15, 	11.4792, 	1, 	2.432
2, 	-50.6636, 	22, 	12.0481, 	1, 	2.736
2, 	-50.6636, 	19, 	11.9761, 	1, 	2.736
2, 	-50.6636, 	20, 	12.3916, 	1, 	0.304
2, 	-50.6636, 	17, 	12.7142, 	1, 	0.608
2, 	-50.6636, 	20, 	12.2466, 	1, 	0.912
2, 	-50.6636, 	16, 	11.9688, 	1, 	1.216
2, 	-50.6636, 	17, 	12.3979, 	1, 	1.52
2, 	-50.6636, 	20, 	12.0843, 	1, 	1.824
2, 	-50.6636, 	17, 	12.6948, 	1, 	2.128
2, 	-50.6636, 	21, 	12.2388, 	1, 	2.432
2, 	-50.6636, 	16, 	12.437, 	1, 	2.736
2, 	-50.6636, 	20, 	12.5378, 	1, 	2.736
2, 	-50.6636, 	17, 	12.2073, 	1, 	0.304
2, 	-50.6636, 	19, 	12.0413, 	1, 	0.608
2, 	-50.6636, 	22, 	11.7709, 	1, 	0.912
2, 	-50.6636, 	20, 	11.8564, 	1, 	1.216
2, 	-50.6636, 	17, 	12.5097, 	1, 	1.52
2, 	-50.6636, 	21, 	12.1111, 	1, 	1.824
2, 	-50.6636, 	19, 	11.0762, 	1, 	2.128
2, 	-50.6636, 	17, 	12.273, 	1, 	2.432
2, 	-50.6636, 	20, 	11.8779, 	1, 	2.736
2, 	-50.6636, 	22, 	11.8458, 	1, 	2.736
2, 	-50.6636, 	20, 	12.4574, 	1, 	0.304
2, 	-50.6636, 	20, 	12.0674, 	1, 	0.608
2, 	-50.6636, 	21, 	12.4254, 	1, 	0.912
2, 	-50.6636, 	17, 	12.2088, 	1, 	1.216
2, 	-50.6636, 	21, 	13.3234, 	1, 	1.52
