2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-47.9181, 	-60, 	3.034, 	0, 	-7.10543e-17
2, 	-47.9181, 	-59, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-58, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-57, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-56, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-55, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-54, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-53, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-52, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-51, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-50, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-49, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-48, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-47, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-46, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-45, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-44, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-43, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-42, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-41, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-40, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-39, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-38, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-37, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-36, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-35, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-34, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-33, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-32, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-31, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-30, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-29, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-28, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-27, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-26, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-25, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-24, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-23, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-22, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-21, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-20, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-19, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-18, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-17, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-16, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-15, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-14, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-13, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-12, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-11, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-10, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-9, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-8, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-7, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-6, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-5, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-4, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-3, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-2, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-1, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	0, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	1, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	2, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	3, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	4, 	3.76922, 	0, 	0.608
2, 	-47.9181, 	5, 	11.092459999999999, 	1, 	0.608
2, 	-47.9181, 	6, 	12.78832, 	1, 	1.216
2, 	-47.9181, 	7, 	12.85642, 	1, 	2.736
2, 	-47.9181, 	8, 	13.18245, 	1, 	2.128
2, 	-47.9181, 	9, 	13.314059999999998, 	1, 	3.04
2, 	-47.9181, 	10, 	13.76859, 	1, 	2.736
2, 	-47.9181, 	11, 	13.697370000000001, 	1, 	3.04
2, 	-47.9181, 	12, 	14.0261, 	1, 	3.04
2, 	-47.9181, 	13, 	14.222819999999999, 	1, 	3.04
2, 	-47.9181, 	14, 	14.493380000000002, 	1, 	3.04
2, 	-47.9181, 	15, 	14.374, 	1, 	3.04
2, 	-47.9181, 	16, 	14.42222, 	1, 	3.04
2, 	-47.9181, 	17, 	14.67371, 	1, 	3.04
2, 	-47.9181, 	18, 	14.623919999999998, 	1, 	3.04
2, 	-47.9181, 	19, 	14.72586, 	1, 	3.04
2, 	-47.9181, 	20, 	14.666360000000001, 	1, 	3.04
2, 	-47.9181, 	21, 	14.98851, 	1, 	3.04
2, 	-47.9181, 	22, 	14.77115, 	1, 	3.04
2, 	-47.9181, 	23, 	14.820179999999999, 	1, 	2.736
2, 	-47.9181, 	24, 	15.074060000000003, 	1, 	3.04
2, 	-47.9181, 	25, 	15.00382, 	1, 	3.04
2, 	-47.9181, 	26, 	14.77043, 	1, 	3.04
2, 	-47.9181, 	27, 	14.910389999999998, 	1, 	3.04
2, 	-47.9181, 	28, 	14.43287, 	1, 	3.04
2, 	-47.9181, 	29, 	14.374179999999999, 	1, 	2.736
2, 	-47.9181, 	30, 	14.38336, 	1, 	3.04
2, 	-47.9181, 	31, 	14.047660000000002, 	1, 	2.128
2, 	-47.9181, 	32, 	12.432030000000001, 	1, 	0.608
2, 	-47.9181, 	33, 	9.55139, 	0, 	0.304
2, 	-47.9181, 	34, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	35, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	36, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	37, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	38, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	39, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	40, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	41, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	42, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	43, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	44, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	45, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	46, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	47, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	48, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	49, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	50, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	51, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	52, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	53, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	54, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	55, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	56, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	57, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	58, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	59, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	60, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-60, 	1.49552, 	0, 	-7.10543e-17
2, 	-47.9181, 	-59, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-58, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-57, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-56, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-55, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-54, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-53, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-52, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-51, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-50, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-49, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-48, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-47, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-46, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-45, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-44, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-43, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-42, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-41, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-40, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-39, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-38, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-37, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-36, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-35, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-34, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-33, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-32, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-31, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-30, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-29, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-28, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-27, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-26, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-25, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-24, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-23, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-22, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-21, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-20, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-19, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-18, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-17, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-16, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-15, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-14, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-13, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-12, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-11, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-10, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-9, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-8, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-7, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-6, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-5, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-4, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-3, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-2, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	-1, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	0, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	1, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	2, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	3, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	4, 	1.25974, 	0, 	0.304
2, 	-47.9181, 	5, 	10.96112, 	1, 	0.912
2, 	-47.9181, 	6, 	12.3869, 	1, 	1.216
2, 	-47.9181, 	7, 	12.74933, 	1, 	1.216
2, 	-47.9181, 	8, 	12.95842, 	1, 	2.736
2, 	-47.9181, 	9, 	13.049809999999999, 	1, 	3.04
2, 	-47.9181, 	10, 	13.3352, 	1, 	3.04
2, 	-47.9181, 	11, 	13.52101, 	1, 	3.04
2, 	-47.9181, 	12, 	13.82111, 	1, 	3.04
2, 	-47.9181, 	13, 	13.94056, 	1, 	3.04
2, 	-47.9181, 	14, 	14.04053, 	1, 	3.04
2, 	-47.9181, 	15, 	14.20916, 	1, 	3.04
2, 	-47.9181, 	16, 	14.639320000000001, 	1, 	3.04
2, 	-47.9181, 	17, 	14.5224, 	1, 	3.04
2, 	-47.9181, 	18, 	14.514, 	1, 	3.04
2, 	-47.9181, 	19, 	14.847010000000001, 	1, 	3.04
2, 	-47.9181, 	20, 	14.592669999999998, 	1, 	3.04
2, 	-47.9181, 	21, 	15.19555, 	1, 	3.04
2, 	-47.9181, 	22, 	14.835969999999998, 	1, 	3.04
2, 	-47.9181, 	23, 	14.80417, 	1, 	3.04
2, 	-47.9181, 	24, 	14.655579999999997, 	1, 	3.04
2, 	-47.9181, 	25, 	14.959950000000003, 	1, 	3.04
2, 	-47.9181, 	26, 	14.77826, 	1, 	3.04
2, 	-47.9181, 	27, 	14.791509999999999, 	1, 	3.04
2, 	-47.9181, 	28, 	14.496100000000002, 	1, 	3.04
2, 	-47.9181, 	29, 	14.130619999999999, 	1, 	3.04
2, 	-47.9181, 	30, 	14.22354, 	1, 	1.824
2, 	-47.9181, 	31, 	14.138189999999998, 	1, 	2.128
2, 	-47.9181, 	32, 	11.206729999999999, 	0, 	0.608
2, 	-47.9181, 	33, 	6.91777, 	1, 	0.608
2, 	-47.9181, 	34, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	35, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	36, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	37, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	38, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	39, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	40, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	41, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	42, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	43, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	44, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	45, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	46, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	47, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	48, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	49, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	50, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	51, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	52, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	53, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	54, 	0.0, 	0, 	-7.10543e-17
2, 	-47.9181, 	55, 	0.0, 	0, 	-7.10543e-17
