2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-47.9181, 	-60, 	14.9689, 	1, 	3.04
2, 	-47.9181, 	-60, 	15.3711, 	1, 	3.04
2, 	-47.9181, 	-60, 	0, 	1, 	1.216
2, 	-47.9181, 	-60, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-60, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-60, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-60, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-60, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-60, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-60, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-59, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-59, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-59, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-59, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-59, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-59, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-59, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-59, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-59, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-59, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-58, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-58, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-58, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-58, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-58, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-58, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-58, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-58, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-58, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-58, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-57, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-57, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-57, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-57, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-57, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-57, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-57, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-57, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-57, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-57, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-56, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-56, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-56, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-56, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-56, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-56, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-56, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-56, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-56, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-56, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-55, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-55, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-55, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-55, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-55, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-55, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-55, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-55, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-55, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-55, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-54, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-54, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-54, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-54, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-54, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-54, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-54, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-54, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-54, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-54, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-53, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-53, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-53, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-53, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-53, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-53, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-53, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-53, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-53, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-53, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-52, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-52, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-52, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-52, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-52, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-52, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-52, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-52, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-52, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-52, 	0, 	1, 	-7.10543e-17
2, 	-47.9181, 	-51, 	0, 	1, 	-7.10543e-17
