2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-52.098, 	-52.098, 	14.71099, 	1, 	2.736
2, 	-52.098, 	-52.098, 	14.91617, 	1, 	2.736
2, 	-52.098, 	-52.098, 	14.5071, 	1, 	3.04
2, 	-52.098, 	-52.098, 	15.742320000000001, 	1, 	3.04
2, 	-52.098, 	-52.098, 	15.25019, 	1, 	3.04
2, 	-52.098, 	-52.098, 	15.81087, 	1, 	2.432
2, 	-52.098, 	-52.098, 	14.880149999999997, 	1, 	3.04
2, 	-52.098, 	-52.098, 	15.437190000000001, 	1, 	3.04
2, 	-52.098, 	-52.098, 	15.078630000000004, 	1, 	3.04
2, 	-52.098, 	-52.098, 	14.89082, 	1, 	2.736
