2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-52.098, 	-52.098, 	15.1556, 	1, 	0.304
2, 	-52.098, 	-52.098, 	15.6699, 	1, 	0.608
2, 	-52.098, 	-52.098, 	12.403, 	1, 	0.912
2, 	-52.098, 	-52.098, 	17.1836, 	1, 	1.216
2, 	-52.098, 	-52.098, 	17.2648, 	1, 	1.52
2, 	-52.098, 	-52.098, 	15.5215, 	1, 	1.824
2, 	-52.098, 	-52.098, 	16.9431, 	1, 	2.128
2, 	-52.098, 	-52.098, 	17.2281, 	1, 	2.432
2, 	-52.098, 	-52.098, 	14.8315, 	1, 	2.736
2, 	-52.098, 	-52.098, 	14.6458, 	1, 	3.04
2, 	-52.098, 	-52.098, 	17.1657, 	1, 	0.304
2, 	-52.098, 	-52.098, 	16.3274, 	1, 	0.608
2, 	-52.098, 	-52.098, 	13.3796, 	1, 	0.912
2, 	-52.098, 	-52.098, 	17.504, 	1, 	1.216
2, 	-52.098, 	-52.098, 	17.7845, 	1, 	1.52
2, 	-52.098, 	-52.098, 	17.8345, 	1, 	1.824
2, 	-52.098, 	-52.098, 	13.6457, 	1, 	2.128
2, 	-52.098, 	-52.098, 	15.8064, 	1, 	2.432
2, 	-52.098, 	-52.098, 	12.8988, 	1, 	2.736
2, 	-52.098, 	-52.098, 	14.3807, 	1, 	3.04
2, 	-52.098, 	-52.098, 	12.7876, 	1, 	0.304
2, 	-52.098, 	-52.098, 	13.3386, 	1, 	0.608
2, 	-52.098, 	-52.098, 	13.312, 	1, 	0.912
2, 	-52.098, 	-52.098, 	13.5352, 	1, 	1.216
2, 	-52.098, 	-52.098, 	13.7841, 	1, 	1.52
2, 	-52.098, 	-52.098, 	14.511, 	1, 	1.824
2, 	-52.098, 	-52.098, 	16.2348, 	1, 	2.128
2, 	-52.098, 	-52.098, 	16.7163, 	1, 	2.432
2, 	-52.098, 	-52.098, 	14.1973, 	1, 	2.736
2, 	-52.098, 	-52.098, 	17.0179, 	1, 	3.04
2, 	-52.098, 	-52.098, 	16.2091, 	1, 	0.304
2, 	-52.098, 	-52.098, 	16.9773, 	1, 	0.608
2, 	-52.098, 	-52.098, 	15.1363, 	1, 	0.912
2, 	-52.098, 	-52.098, 	15.6925, 	1, 	1.216
2, 	-52.098, 	-52.098, 	16.8673, 	1, 	1.52
2, 	-52.098, 	-52.098, 	17.4933, 	1, 	1.824
2, 	-52.098, 	-52.098, 	14.4684, 	1, 	2.128
2, 	-52.098, 	-52.098, 	14.7786, 	1, 	2.432
2, 	-52.098, 	-52.098, 	16.082, 	1, 	2.736
2, 	-52.098, 	-52.098, 	14.16, 	1, 	3.04
2, 	-52.098, 	-52.098, 	13.7588, 	1, 	0.304
2, 	-52.098, 	-52.098, 	16.084, 	1, 	0.608
2, 	-52.098, 	-52.098, 	17.9073, 	1, 	0.912
2, 	-52.098, 	-52.098, 	17.2139, 	1, 	1.216
2, 	-52.098, 	-52.098, 	17.7201, 	1, 	1.52
2, 	-52.098, 	-52.098, 	12.7142, 	1, 	1.824
2, 	-52.098, 	-52.098, 	13.0029, 	1, 	2.128
2, 	-52.098, 	-52.098, 	16.786, 	1, 	2.432
2, 	-52.098, 	-52.098, 	16.1021, 	1, 	2.736
2, 	-52.098, 	-52.098, 	14.6816, 	1, 	3.04
2, 	-52.098, 	-52.098, 	15.6793, 	1, 	0.304
2, 	-52.098, 	-52.098, 	16.8251, 	1, 	0.608
2, 	-52.098, 	-52.098, 	17.5933, 	1, 	0.912
2, 	-52.098, 	-52.098, 	14.9891, 	1, 	1.216
2, 	-52.098, 	-52.098, 	17.7998, 	1, 	1.52
2, 	-52.098, 	-52.098, 	13.3022, 	1, 	1.824
2, 	-52.098, 	-52.098, 	13.3997, 	1, 	2.128
2, 	-52.098, 	-52.098, 	17.2445, 	1, 	2.432
2, 	-52.098, 	-52.098, 	18.1366, 	1, 	2.736
2, 	-52.098, 	-52.098, 	15.1862, 	1, 	3.04
2, 	-52.098, 	-52.098, 	13.2986, 	1, 	0.304
2, 	-52.098, 	-52.098, 	12.8329, 	1, 	0.608
2, 	-52.098, 	-52.098, 	17.1449, 	1, 	0.912
2, 	-52.098, 	-52.098, 	14.294, 	1, 	1.216
2, 	-52.098, 	-52.098, 	16.1691, 	1, 	1.52
2, 	-52.098, 	-52.098, 	14.0232, 	1, 	1.824
2, 	-52.098, 	-52.098, 	17.1984, 	1, 	2.128
2, 	-52.098, 	-52.098, 	13.7796, 	1, 	2.432
2, 	-52.098, 	-52.098, 	16.2827, 	1, 	2.736
2, 	-52.098, 	-52.098, 	15.7984, 	1, 	3.04
2, 	-52.098, 	-52.098, 	18.0971, 	1, 	0.304
2, 	-52.098, 	-52.098, 	15.5919, 	1, 	0.608
2, 	-52.098, 	-52.098, 	13.0118, 	1, 	0.912
2, 	-52.098, 	-52.098, 	16.7246, 	1, 	1.216
2, 	-52.098, 	-52.098, 	17.5301, 	1, 	1.52
2, 	-52.098, 	-52.098, 	17.835, 	1, 	1.824
2, 	-52.098, 	-52.098, 	17.0577, 	1, 	2.128
2, 	-52.098, 	-52.098, 	16.8672, 	1, 	2.432
2, 	-52.098, 	-52.098, 	13.523, 	1, 	2.736
2, 	-52.098, 	-52.098, 	14.8532, 	1, 	2.736
2, 	-52.098, 	-52.098, 	17.7755, 	1, 	0.304
2, 	-52.098, 	-52.098, 	14.434, 	1, 	0.608
2, 	-52.098, 	-52.098, 	15.8433, 	1, 	0.912
2, 	-52.098, 	-52.098, 	14.1095, 	1, 	1.216
2, 	-52.098, 	-52.098, 	13.8372, 	1, 	1.52
2, 	-52.098, 	-52.098, 	17.8733, 	1, 	1.824
2, 	-52.098, 	-52.098, 	12.5783, 	1, 	2.128
2, 	-52.098, 	-52.098, 	16.6064, 	1, 	2.432
2, 	-52.098, 	-52.098, 	14.576, 	1, 	2.736
2, 	-52.098, 	-52.098, 	17.8616, 	1, 	3.04
2, 	-52.098, 	-52.098, 	14.482, 	1, 	0.304
2, 	-52.098, 	-52.098, 	17.333, 	1, 	0.608
2, 	-52.098, 	-52.098, 	17.1873, 	1, 	0.912
2, 	-52.098, 	-52.098, 	15.3689, 	1, 	1.216
2, 	-52.098, 	-52.098, 	16.0249, 	1, 	1.52
2, 	-52.098, 	-52.098, 	13.8607, 	1, 	1.824
2, 	-52.098, 	-52.098, 	17.2865, 	1, 	2.128
2, 	-52.098, 	-52.098, 	15.2213, 	1, 	2.432
2, 	-52.098, 	-52.098, 	13.1442, 	1, 	2.736
2, 	-52.098, 	-52.098, 	13.2908, 	1, 	3.04
