2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-53.5801, 	-60, 	15.49041, 	1, 	2.736
2, 	-53.5801, 	-59, 	15.2651, 	1, 	3.04
2, 	-53.5801, 	-58, 	15.02176, 	1, 	3.04
2, 	-53.5801, 	-57, 	15.659659999999999, 	1, 	2.736
2, 	-53.5801, 	-56, 	15.77307, 	1, 	3.04
2, 	-53.5801, 	-55, 	15.81804, 	1, 	3.04
2, 	-53.5801, 	-54, 	14.585930000000001, 	1, 	3.04
2, 	-53.5801, 	-53, 	15.88385, 	1, 	3.04
2, 	-53.5801, 	-52, 	14.41286, 	1, 	3.04
2, 	-53.5801, 	-51, 	14.9012, 	1, 	3.04
2, 	-53.5801, 	-50, 	15.0412, 	1, 	3.04
2, 	-53.5801, 	-49, 	15.77282, 	1, 	3.04
2, 	-53.5801, 	-48, 	15.482679999999998, 	1, 	3.04
2, 	-53.5801, 	-47, 	15.052970000000002, 	1, 	2.736
2, 	-53.5801, 	-46, 	15.197210000000002, 	1, 	2.736
2, 	-53.5801, 	-45, 	14.13994, 	1, 	3.04
2, 	-53.5801, 	-44, 	14.809030000000002, 	1, 	2.736
2, 	-53.5801, 	-43, 	14.542600000000002, 	1, 	3.04
2, 	-53.5801, 	-42, 	14.919139999999999, 	1, 	2.736
2, 	-53.5801, 	-41, 	15.148200000000003, 	1, 	2.736
2, 	-53.5801, 	-40, 	14.659089999999997, 	1, 	2.432
2, 	-53.5801, 	-39, 	13.888299999999997, 	1, 	2.736
2, 	-53.5801, 	-38, 	14.714269999999999, 	1, 	2.736
2, 	-53.5801, 	-37, 	14.355210000000003, 	1, 	2.432
2, 	-53.5801, 	-36, 	13.16885, 	0, 	0.912
2, 	-53.5801, 	-35, 	4.3324, 	1, 	0.304
2, 	-53.5801, 	-34, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-33, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-32, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-31, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-30, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-29, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-28, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-27, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-26, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-25, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-24, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-23, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-22, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-21, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-20, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-19, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-18, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-17, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-16, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-15, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-14, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-13, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-12, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-11, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-10, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-9, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-8, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-7, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-6, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-5, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-4, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-3, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-2, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-1, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	0, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	1, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	2, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	3, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	4, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	5, 	12.5693, 	1, 	0.608
2, 	-53.5801, 	6, 	14.28804, 	1, 	2.736
2, 	-53.5801, 	7, 	14.099890000000002, 	1, 	3.04
2, 	-53.5801, 	8, 	14.41746, 	1, 	3.04
2, 	-53.5801, 	9, 	14.665349999999998, 	1, 	2.736
2, 	-53.5801, 	10, 	14.731900000000001, 	1, 	3.04
2, 	-53.5801, 	11, 	15.05395, 	1, 	3.04
2, 	-53.5801, 	12, 	15.30837, 	1, 	2.736
2, 	-53.5801, 	13, 	15.593460000000002, 	1, 	3.04
2, 	-53.5801, 	14, 	15.77218, 	1, 	3.04
2, 	-53.5801, 	15, 	15.984040000000002, 	1, 	3.04
2, 	-53.5801, 	16, 	15.89982, 	1, 	3.04
2, 	-53.5801, 	17, 	16.003899999999998, 	1, 	2.736
2, 	-53.5801, 	18, 	16.00091, 	1, 	3.04
2, 	-53.5801, 	19, 	16.12898, 	1, 	3.04
2, 	-53.5801, 	20, 	16.495649999999998, 	1, 	3.04
2, 	-53.5801, 	21, 	16.32049, 	1, 	2.736
2, 	-53.5801, 	22, 	16.27802, 	1, 	2.736
2, 	-53.5801, 	23, 	16.81325, 	1, 	3.04
2, 	-53.5801, 	24, 	16.588910000000002, 	1, 	3.04
2, 	-53.5801, 	25, 	16.45082, 	1, 	2.736
2, 	-53.5801, 	26, 	16.636699999999998, 	1, 	3.04
2, 	-53.5801, 	27, 	16.421599999999998, 	1, 	3.04
2, 	-53.5801, 	28, 	16.34101, 	1, 	2.432
2, 	-53.5801, 	29, 	16.22434, 	1, 	2.432
2, 	-53.5801, 	30, 	16.273139999999998, 	1, 	1.824
2, 	-53.5801, 	31, 	3.1006299999999998, 	0, 	-7.10543e-17
2, 	-53.5801, 	32, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	33, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	34, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	35, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	36, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	37, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	38, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	39, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	40, 	7.385069999999999, 	1, 	0.608
2, 	-53.5801, 	41, 	14.723880000000003, 	1, 	1.216
2, 	-53.5801, 	42, 	13.985139999999998, 	1, 	2.128
2, 	-53.5801, 	43, 	14.28058, 	1, 	2.736
2, 	-53.5801, 	44, 	14.177150000000001, 	1, 	3.04
2, 	-53.5801, 	45, 	13.443019999999999, 	1, 	2.736
2, 	-53.5801, 	46, 	13.666140000000002, 	1, 	3.04
2, 	-53.5801, 	47, 	13.525810000000002, 	1, 	3.04
2, 	-53.5801, 	48, 	13.49949, 	1, 	3.04
2, 	-53.5801, 	49, 	13.283750000000001, 	1, 	3.04
2, 	-53.5801, 	50, 	13.22399, 	1, 	3.04
2, 	-53.5801, 	51, 	13.426689999999999, 	1, 	2.432
2, 	-53.5801, 	52, 	13.509099999999998, 	1, 	2.736
2, 	-53.5801, 	53, 	13.01352, 	1, 	3.04
2, 	-53.5801, 	54, 	13.174510000000001, 	1, 	2.128
2, 	-53.5801, 	55, 	13.35991, 	1, 	2.432
2, 	-53.5801, 	56, 	12.999950000000002, 	1, 	2.128
2, 	-53.5801, 	57, 	10.5739, 	1, 	0.608
2, 	-53.5801, 	58, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	59, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	60, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-60, 	14.64406, 	1, 	3.04
2, 	-53.5801, 	-59, 	15.12958, 	1, 	3.04
2, 	-53.5801, 	-58, 	15.21909, 	1, 	3.04
2, 	-53.5801, 	-57, 	15.40309, 	1, 	3.04
2, 	-53.5801, 	-56, 	14.990200000000002, 	1, 	2.736
2, 	-53.5801, 	-55, 	15.274440000000002, 	1, 	3.04
2, 	-53.5801, 	-54, 	15.536859999999999, 	1, 	3.04
2, 	-53.5801, 	-53, 	15.284730000000001, 	1, 	3.04
2, 	-53.5801, 	-52, 	15.04984, 	1, 	3.04
2, 	-53.5801, 	-51, 	15.550419999999999, 	1, 	3.04
2, 	-53.5801, 	-50, 	15.43913, 	1, 	3.04
2, 	-53.5801, 	-49, 	15.55892, 	1, 	3.04
2, 	-53.5801, 	-48, 	15.24288, 	1, 	3.04
2, 	-53.5801, 	-47, 	15.154060000000001, 	1, 	3.04
2, 	-53.5801, 	-46, 	15.197579999999999, 	1, 	3.04
2, 	-53.5801, 	-45, 	14.330029999999999, 	1, 	3.04
2, 	-53.5801, 	-44, 	15.026229999999998, 	1, 	3.04
2, 	-53.5801, 	-43, 	14.614650000000001, 	1, 	2.736
2, 	-53.5801, 	-42, 	14.889910000000004, 	1, 	3.04
2, 	-53.5801, 	-41, 	14.98999, 	1, 	2.432
2, 	-53.5801, 	-40, 	14.67782, 	1, 	2.128
2, 	-53.5801, 	-39, 	14.56147, 	1, 	3.04
2, 	-53.5801, 	-38, 	14.601949999999999, 	1, 	1.824
2, 	-53.5801, 	-37, 	14.652169999999998, 	1, 	1.824
2, 	-53.5801, 	-36, 	14.19871, 	1, 	0.912
2, 	-53.5801, 	-35, 	2.70049, 	1, 	0.304
2, 	-53.5801, 	-34, 	1.3710900000000001, 	0, 	-7.10543e-17
2, 	-53.5801, 	-33, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-32, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-31, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-30, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-29, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-28, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-27, 	1.12914, 	0, 	0.304
2, 	-53.5801, 	-26, 	0.9305009999999999, 	0, 	0.304
2, 	-53.5801, 	-25, 	0.962938, 	1, 	0.304
2, 	-53.5801, 	-24, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-23, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-22, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-21, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-20, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-19, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-18, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-17, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-16, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-15, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-14, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-13, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-12, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-11, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-10, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-9, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-8, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-7, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-6, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-5, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-4, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-3, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-2, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	-1, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	0, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	1, 	0.0, 	0, 	-7.10543e-17
2, 	-53.5801, 	2, 	0.0, 	0, 	-7.10543e-17
