2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-53.5801, 	-60, 	17.1026, 	1, 	3.04
2, 	-53.5801, 	-60, 	17.0003, 	1, 	3.04
2, 	-53.5801, 	-60, 	15.9318, 	1, 	3.04
2, 	-53.5801, 	-60, 	17.7063, 	1, 	3.04
2, 	-53.5801, 	-60, 	17.4514, 	1, 	3.04
2, 	-53.5801, 	-60, 	13.0152, 	1, 	3.04
2, 	-53.5801, 	-60, 	13.2771, 	1, 	3.04
2, 	-53.5801, 	-60, 	13.847, 	1, 	3.04
2, 	-53.5801, 	-60, 	15.0728, 	1, 	3.04
2, 	-53.5801, 	-60, 	17.8277, 	1, 	3.04
2, 	-53.5801, 	-59, 	15.8709, 	1, 	3.04
2, 	-53.5801, 	-59, 	14.286, 	1, 	3.04
2, 	-53.5801, 	-59, 	14.9738, 	1, 	3.04
2, 	-53.5801, 	-59, 	16.942, 	1, 	3.04
2, 	-53.5801, 	-59, 	13.3991, 	1, 	3.04
2, 	-53.5801, 	-59, 	12.4812, 	1, 	3.04
2, 	-53.5801, 	-59, 	16.8426, 	1, 	3.04
2, 	-53.5801, 	-59, 	14.0146, 	1, 	3.04
2, 	-53.5801, 	-59, 	15.7018, 	1, 	3.04
2, 	-53.5801, 	-59, 	13.2117, 	1, 	3.04
2, 	-53.5801, 	-58, 	15.6348, 	1, 	3.04
2, 	-53.5801, 	-58, 	13.2098, 	1, 	3.04
2, 	-53.5801, 	-58, 	17.5543, 	1, 	3.04
2, 	-53.5801, 	-58, 	15.3478, 	1, 	3.04
2, 	-53.5801, 	-58, 	12.6562, 	1, 	3.04
2, 	-53.5801, 	-58, 	14.5241, 	1, 	3.04
2, 	-53.5801, 	-58, 	14.6646, 	1, 	3.04
2, 	-53.5801, 	-58, 	17.7758, 	1, 	3.04
2, 	-53.5801, 	-58, 	15.6771, 	1, 	3.04
2, 	-53.5801, 	-58, 	12.9516, 	1, 	3.04
2, 	-53.5801, 	-57, 	16.9976, 	1, 	3.04
2, 	-53.5801, 	-57, 	14.4049, 	1, 	3.04
2, 	-53.5801, 	-57, 	18.1767, 	1, 	3.04
2, 	-53.5801, 	-57, 	15.4307, 	1, 	3.04
2, 	-53.5801, 	-57, 	15.6593, 	1, 	3.04
2, 	-53.5801, 	-57, 	13.0524, 	1, 	3.04
2, 	-53.5801, 	-57, 	14.5838, 	1, 	3.04
2, 	-53.5801, 	-57, 	17.4024, 	1, 	3.04
