2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-53.5801, 	-56, 	18.1889, 	1, 	2.128
2, 	-53.5801, 	-48, 	15.8242, 	1, 	2.128
2, 	-53.5801, 	-56, 	17.4754, 	1, 	2.128
2, 	-53.5801, 	-46, 	18.3394, 	1, 	2.432
2, 	-53.5801, 	-48, 	13.9736, 	1, 	2.432
2, 	-53.5801, 	-56, 	15.4875, 	1, 	2.432
2, 	-53.5801, 	-59, 	16.2305, 	1, 	2.736
2, 	-53.5801, 	-55, 	19.5126, 	1, 	2.736
2, 	-53.5801, 	-46, 	19.2691, 	1, 	2.736
2, 	-53.5801, 	-54, 	14.5062, 	1, 	2.736
2, 	-53.5801, 	-51, 	15.9074, 	1, 	3.04
2, 	-53.5801, 	-55, 	17.8057, 	1, 	3.04
2, 	-53.5801, 	-57, 	15.3951, 	1, 	3.04
2, 	-53.5801, 	-51, 	17.4415, 	1, 	3.04
2, 	-53.5801, 	-55, 	16.0262, 	1, 	3.04
2, 	-53.5801, 	-52, 	15.1786, 	1, 	3.04
2, 	-53.5801, 	-58, 	15.7187, 	1, 	3.04
2, 	-53.5801, 	-51, 	14.6916, 	1, 	3.04
2, 	-53.5801, 	-55, 	16.4684, 	1, 	3.04
2, 	-53.5801, 	-50, 	17.586, 	1, 	3.04
2, 	-53.5801, 	-46, 	13.6549, 	1, 	2.736
2, 	-53.5801, 	-59, 	14.7459, 	1, 	2.736
2, 	-53.5801, 	-55, 	15.0743, 	1, 	2.736
2, 	-53.5801, 	-59, 	15.6789, 	1, 	2.736
2, 	-53.5801, 	-55, 	16.144, 	1, 	3.04
2, 	-53.5801, 	-46, 	14.7231, 	1, 	3.04
2, 	-53.5801, 	-55, 	17.8056, 	1, 	3.04
2, 	-53.5801, 	-59, 	13.1791, 	1, 	2.736
2, 	-53.5801, 	-55, 	13.9698, 	1, 	2.736
2, 	-53.5801, 	-60, 	15.3344, 	1, 	2.736
2, 	-53.5801, 	-55, 	16.3274, 	1, 	2.736
2, 	-53.5801, 	-54, 	16.9394, 	1, 	2.736
2, 	-53.5801, 	-55, 	14.6833, 	1, 	2.736
2, 	-53.5801, 	-54, 	14.897, 	1, 	2.736
2, 	-53.5801, 	-55, 	17.6624, 	1, 	2.736
2, 	-53.5801, 	-54, 	16.7182, 	1, 	2.736
2, 	-53.5801, 	-55, 	14.0445, 	1, 	3.04
2, 	-53.5801, 	-54, 	17.6389, 	1, 	3.04
2, 	-53.5801, 	-54, 	14.9278, 	1, 	3.04
2, 	-53.5801, 	-54, 	15.7052, 	1, 	3.04
2, 	-53.5801, 	17, 	15.5707, 	1, 	3.04
2, 	-53.5801, 	17, 	16.7657, 	1, 	3.04
2, 	-53.5801, 	17, 	16.851, 	1, 	3.04
2, 	-53.5801, 	17, 	17.0516, 	1, 	3.04
2, 	-53.5801, 	17, 	16.6334, 	1, 	3.04
2, 	-53.5801, 	17, 	16.9857, 	1, 	3.04
2, 	-53.5801, 	17, 	16.4151, 	1, 	3.04
2, 	-53.5801, 	15, 	17.2169, 	1, 	3.04
2, 	-53.5801, 	16, 	15.961, 	1, 	3.04
2, 	-53.5801, 	15, 	15.96, 	1, 	3.04
2, 	-53.5801, 	16, 	18.2856, 	1, 	3.04
2, 	-53.5801, 	16, 	16.2377, 	1, 	3.04
2, 	-53.5801, 	16, 	17.3525, 	1, 	3.04
2, 	-53.5801, 	17, 	15.5974, 	1, 	3.04
2, 	-53.5801, 	16, 	16.7456, 	1, 	3.04
2, 	-53.5801, 	16, 	17.0623, 	1, 	3.04
2, 	-53.5801, 	16, 	16.9448, 	1, 	3.04
2, 	-53.5801, 	17, 	17.2065, 	1, 	3.04
2, 	-53.5801, 	15, 	17.3052, 	1, 	3.04
2, 	-53.5801, 	17, 	15.9678, 	1, 	3.04
2, 	-53.5801, 	15, 	12.5199, 	1, 	2.736
2, 	-53.5801, 	16, 	16.1146, 	1, 	2.736
2, 	-53.5801, 	17, 	16.3901, 	1, 	2.736
2, 	-53.5801, 	16, 	16.4523, 	1, 	2.736
2, 	-53.5801, 	17, 	16.2331, 	1, 	2.736
2, 	-53.5801, 	16, 	16.6506, 	1, 	2.736
2, 	-53.5801, 	17, 	16.1826, 	1, 	2.736
2, 	-53.5801, 	16, 	17.0957, 	1, 	3.04
2, 	-53.5801, 	16, 	17.2532, 	1, 	3.04
2, 	-53.5801, 	17, 	17.0342, 	1, 	3.04
2, 	-53.5801, 	17, 	14.6507, 	1, 	3.04
2, 	-53.5801, 	16, 	16.8675, 	1, 	3.04
2, 	-53.5801, 	16, 	16.0204, 	1, 	3.04
2, 	-53.5801, 	17, 	17.188, 	1, 	3.04
2, 	-53.5801, 	17, 	17.1776, 	1, 	2.736
2, 	-53.5801, 	16, 	16.6233, 	1, 	2.736
2, 	-53.5801, 	17, 	15.8649, 	1, 	2.736
2, 	-53.5801, 	16, 	16.2939, 	1, 	2.736
2, 	-53.5801, 	17, 	16.6403, 	1, 	2.736
2, 	-53.5801, 	16, 	17.1193, 	1, 	2.736
2, 	-53.5801, 	23, 	18.274, 	1, 	3.04
2, 	-53.5801, 	23, 	16.9674, 	1, 	3.04
2, 	-53.5801, 	23, 	16.2705, 	1, 	3.04
2, 	-53.5801, 	17, 	16.5654, 	1, 	3.04
2, 	-53.5801, 	16, 	16.2077, 	1, 	3.04
2, 	-53.5801, 	23, 	16.8075, 	1, 	3.04
2, 	-53.5801, 	17, 	16.4164, 	1, 	3.04
2, 	-53.5801, 	16, 	16.8727, 	1, 	3.04
2, 	-53.5801, 	23, 	16.2886, 	1, 	3.04
2, 	-53.5801, 	17, 	16.2199, 	1, 	3.04
2, 	-53.5801, 	23, 	15.3788, 	1, 	3.04
2, 	-53.5801, 	23, 	13.3545, 	1, 	3.04
2, 	-53.5801, 	17, 	16.0974, 	1, 	3.04
2, 	-53.5801, 	16, 	16.5418, 	1, 	3.04
2, 	-53.5801, 	16, 	15.8356, 	1, 	3.04
2, 	-53.5801, 	17, 	16.3067, 	1, 	3.04
2, 	-53.5801, 	17, 	15.7913, 	1, 	3.04
2, 	-53.5801, 	16, 	16.2592, 	1, 	3.04
2, 	-53.5801, 	16, 	15.966, 	1, 	3.04
2, 	-53.5801, 	17, 	16.6862, 	1, 	3.04
