2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	34.772, 	34.772, 	26.1534, 	1, 	1.52
2, 	1.34299, 	1.34299, 	16.7564, 	1, 	3.04
2, 	1.34299, 	1.34299, 	9.71738, 	0, 	3.04
1, 	1.34299, 	1.34299, 	16.3685, 	1, 	1.01333
2, 	0.447628, 	0.447628, 	10.8391, 	0, 	1.01333
1, 	0.447628, 	0.447628, 	9.34233, 	1, 	0.608
2, 	-0.447628, 	-0.447628, 	14.1607, 	1, 	1.01333
2, 	-0.447628, 	-0.447628, 	16.6748, 	1, 	1.30286
2, 	-0.447628, 	-0.447628, 	10.1475, 	0, 	1.30286
1, 	-0.447628, 	-0.447628, 	7.55212, 	0, 	1.14
1, 	-0.447628, 	-0.447628, 	11.4186, 	1, 	0.912
2, 	0.447628, 	0.447628, 	7.8783, 	0, 	0.912
1, 	0.447628, 	0.447628, 	17.0937, 	1, 	0.608
2, 	27.4476, 	27.4476, 	13.6771, 	0, 	0.608
1, 	0.447628, 	0.447628, 	13.5412, 	1, 	0.608
2, 	0.447628, 	0.447628, 	12.4315, 	0, 	0.608
1, 	34.772, 	34.772, 	10.4636, 	0, 	0.608
1, 	0.447628, 	0.447628, 	8.04052, 	0, 	0.304
1, 	33.6892, 	33.6892, 	10.8329, 	1, 	-7.10543e-17
2, 	32.6198, 	32.6198, 	10.4917, 	0, 	-7.10543e-17
1, 	36.9819, 	36.9819, 	11.244, 	1, 	-7.10543e-17
2, 	34.772, 	34.772, 	11.1821, 	0, 	-7.10543e-17
1, 	34.772, 	34.772, 	9.32866, 	1, 	-7.10543e-17
2, 	34.772, 	34.772, 	11.4708, 	0, 	-7.10543e-17
1, 	34.772, 	34.772, 	11.9955, 	0, 	-7.10543e-17
1, 	34.772, 	34.772, 	9.23344, 	0, 	-7.10543e-17
1, 	34.772, 	34.772, 	8.31388, 	0, 	-7.10543e-17
1, 	0.447628, 	0.447628, 	5.64482, 	0, 	-7.10543e-17
1, 	0.447628, 	0.447628, 	10.3172, 	0, 	-7.10543e-17
1, 	0.447628, 	0.447628, 	4.5247, 	0, 	-7.10543e-17
1, 	8.53639, 	8.53639, 	6.45759, 	0, 	-7.10543e-17
1, 	8.53639, 	8.53639, 	11.1959, 	1, 	-7.10543e-17
2, 	10.3516, 	10.3516, 	13.5326, 	0, 	-7.10543e-17
1, 	10.3516, 	10.3516, 	-1.20964, 	0, 	-7.10543e-17
1, 	10.3516, 	10.3516, 	5.60178, 	0, 	-7.10543e-17
1, 	10.3516, 	10.3516, 	10.6065, 	0, 	-7.10543e-17
1, 	2.23869, 	2.23869, 	8.83452, 	0, 	-7.10543e-17
1, 	2.23869, 	2.23869, 	11.2564, 	0, 	-7.10543e-17
1, 	2.23869, 	2.23869, 	9.86784, 	0, 	-7.10543e-17
1, 	2.23869, 	2.23869, 	9.86784, 	0, 	-7.10543e-17
1, 	2.23869, 	2.23869, 	9.68089, 	0, 	-7.10543e-17
1, 	2.23869, 	2.23869, 	10.6916, 	1, 	-7.10543e-17
2, 	2.23869, 	2.23869, 	7.65799, 	0, 	-7.10543e-17
1, 	2.23869, 	2.23869, 	8.796, 	1, 	-7.10543e-17
2, 	-25.4477, 	-25.4477, 	12.6444, 	1, 	0.304
2, 	0.447628, 	0.447628, 	3.77336, 	0, 	0.304
1, 	0.447628, 	0.447628, 	12.6488, 	1, 	0.304
2, 	0.447628, 	0.447628, 	11.5146, 	0, 	0.304
1, 	1.34299, 	1.34299, 	17.1231, 	1, 	0.304
2, 	0.447628, 	0.447628, 	12.4616, 	0, 	0.304
1, 	0.447628, 	0.447628, 	11.6455, 	1, 	0.304
2, 	0.447628, 	0.447628, 	12.1787, 	0, 	0.304
1, 	0.447628, 	0.447628, 	-1.77461, 	0, 	0.304
1, 	0.447628, 	0.447628, 	10.7002, 	1, 	0.304
2, 	0.447628, 	0.447628, 	13.7606, 	0, 	0.304
1, 	0.447628, 	0.447628, 	11.6583, 	1, 	-7.10543e-17
2, 	0.447628, 	0.447628, 	7.22193, 	0, 	-7.10543e-17
1, 	-1.34299, 	-1.34299, 	10.5555, 	0, 	-7.10543e-17
1, 	1.34299, 	1.34299, 	12.196, 	0, 	-7.10543e-17
1, 	0.447628, 	0.447628, 	16.3029, 	1, 	-7.10543e-17
2, 	0.447628, 	0.447628, 	15.3522, 	0, 	-7.10543e-17
1, 	0.447628, 	0.447628, 	10.169, 	0, 	-7.10543e-17
1, 	-2.23869, 	-2.23869, 	12.6649, 	1, 	-7.10543e-17
2, 	27.4476, 	27.4476, 	12.545, 	0, 	-7.10543e-17
1, 	27.4476, 	27.4476, 	10.0926, 	1, 	-7.10543e-17
2, 	27.4476, 	27.4476, 	11.4581, 	1, 	0.304
2, 	2.23869, 	2.23869, 	12.2314, 	1, 	0.608
2, 	1.34299, 	1.34299, 	14.4413, 	0, 	0.608
1, 	1.34299, 	1.34299, 	17.1541, 	1, 	0.608
2, 	-10.3516, 	-10.3516, 	14.4147, 	1, 	0.912
2, 	-10.3516, 	-10.3516, 	17.6018, 	0, 	0.912
1, 	-4.03194, 	-4.03194, 	18.2304, 	1, 	0.912
2, 	-19.6296, 	-19.6296, 	19.8893, 	1, 	1.216
2, 	-5.82915, 	-5.82915, 	20.6104, 	1, 	1.52
2, 	-4.92994, 	-4.92994, 	24.6364, 	1, 	1.824
2, 	-55.1161, 	-55.1161, 	24.1061, 	1, 	1.824
2, 	-15.8689, 	-15.8689, 	21.0218, 	1, 	1.824
2, 	-17.7394, 	-17.7394, 	23.8276, 	1, 	2.128
2, 	-18.6818, 	-18.6818, 	23.904, 	1, 	2.432
2, 	-18.6818, 	-18.6818, 	22.3478, 	1, 	2.432
2, 	-17.7394, 	-17.7394, 	26.5252, 	1, 	2.736
2, 	-17.7394, 	-17.7394, 	25.9437, 	1, 	3.04
2, 	-18.6818, 	-18.6818, 	23.0339, 	1, 	3.04
2, 	-18.6818, 	-18.6818, 	26.0627, 	1, 	3.04
2, 	-18.6818, 	-18.6818, 	25.0037, 	1, 	3.04
2, 	-18.6818, 	-18.6818, 	24.8224, 	1, 	3.04
2, 	-20.5829, 	-20.5829, 	23.1849, 	1, 	3.04
2, 	-20.5829, 	-20.5829, 	26.0583, 	1, 	3.04
2, 	-21.5423, 	-21.5423, 	25.699, 	1, 	3.04
2, 	-23.4805, 	-23.4805, 	25.014, 	1, 	3.04
2, 	-23.4805, 	-23.4805, 	25.0044, 	1, 	3.04
2, 	-22.508, 	-22.508, 	24.2918, 	1, 	3.04
2, 	-24.4603, 	-24.4603, 	24.6206, 	1, 	3.04
2, 	-23.4805, 	-23.4805, 	24.389, 	1, 	3.04
2, 	-23.4805, 	-23.4805, 	25.4138, 	1, 	3.04
2, 	-23.4805, 	-23.4805, 	21.689, 	1, 	3.04
2, 	-25.4477, 	-25.4477, 	24.644, 	1, 	3.04
2, 	-26.4433, 	-26.4433, 	17.6508, 	1, 	3.04
2, 	-26.4433, 	-26.4433, 	24.2578, 	1, 	3.04
2, 	-27.4476, 	-27.4476, 	22.6035, 	1, 	3.04
2, 	-28.4611, 	-28.4611, 	22.7031, 	1, 	3.04
2, 	-30.5182, 	-30.5182, 	23.8601, 	1, 	3.04
2, 	-29.4845, 	-29.4845, 	22.291, 	1, 	3.04
2, 	-29.4845, 	-29.4845, 	22.2739, 	1, 	3.04
2, 	-27.4476, 	-27.4476, 	23.3446, 	1, 	3.04
2, 	-29.4845, 	-29.4845, 	20.1572, 	1, 	3.04
2, 	-30.5182, 	-30.5182, 	16.0683, 	0, 	3.04
1, 	-30.5182, 	-30.5182, 	17.8489, 	1, 	2.432
2, 	-31.5631, 	-31.5631, 	17.9869, 	0, 	2.432
1, 	-31.5631, 	-31.5631, 	17.6898, 	1, 	1.824
2, 	-34.772, 	-34.772, 	26.7531, 	1, 	1.824
2, 	-35.8692, 	-35.8692, 	24.8977, 	1, 	1.824
2, 	-34.772, 	-34.772, 	24.6918, 	1, 	1.824
2, 	-31.5631, 	-31.5631, 	17.3082, 	1, 	1.824
2, 	-33.6892, 	-33.6892, 	24.1307, 	1, 	1.824
2, 	-33.6892, 	-33.6892, 	19.4771, 	1, 	1.824
2, 	-32.6198, 	-32.6198, 	24.8918, 	1, 	2.128
2, 	-34.772, 	-34.772, 	24.8918, 	1, 	2.432
2, 	-32.6198, 	-32.6198, 	27.2723, 	1, 	2.736
2, 	-34.772, 	-34.772, 	25.6461, 	1, 	3.04
2, 	-35.8692, 	-35.8692, 	25.561, 	1, 	3.04
2, 	-35.8692, 	-35.8692, 	23.8129, 	1, 	3.04
2, 	-36.9819, 	-36.9819, 	24.7668, 	1, 	3.04
2, 	-36.9819, 	-36.9819, 	22.8396, 	1, 	3.04
2, 	-35.8692, 	-35.8692, 	23.4986, 	1, 	3.04
2, 	-36.9819, 	-36.9819, 	24.762, 	1, 	3.04
2, 	-35.8692, 	-35.8692, 	24.8291, 	1, 	3.04
2, 	-36.9819, 	-36.9819, 	24.3179, 	1, 	3.04
2, 	-34.772, 	-34.772, 	23.0694, 	1, 	3.04
2, 	-38.111, 	-38.111, 	25.0806, 	1, 	3.04
2, 	-36.9819, 	-36.9819, 	24.8791, 	1, 	3.04
2, 	-36.9819, 	-36.9819, 	24.6863, 	1, 	3.04
2, 	-31.5631, 	-31.5631, 	24.3797, 	1, 	3.04
2, 	-35.8692, 	-35.8692, 	22.6905, 	1, 	3.04
2, 	-34.772, 	-34.772, 	22.8743, 	1, 	3.04
2, 	-34.772, 	-34.772, 	24.5616, 	1, 	3.04
2, 	-35.8692, 	-35.8692, 	20.5632, 	1, 	3.04
2, 	-32.6198, 	-32.6198, 	24.9923, 	1, 	3.04
2, 	-34.772, 	-34.772, 	12.8928, 	0, 	3.04
1, 	-34.772, 	-34.772, 	20.2588, 	1, 	2.432
2, 	-32.6198, 	-32.6198, 	26.0725, 	1, 	2.432
2, 	-32.6198, 	-32.6198, 	26.6771, 	1, 	2.432
2, 	-32.6198, 	-32.6198, 	25.4747, 	1, 	2.432
2, 	-32.6198, 	-32.6198, 	20.1559, 	1, 	2.432
2, 	-31.5631, 	-31.5631, 	17.9661, 	0, 	2.432
1, 	-31.5631, 	-31.5631, 	19.5398, 	1, 	1.824
2, 	-26.4433, 	-26.4433, 	26.1888, 	1, 	1.824
2, 	-47.9181, 	-47.9181, 	24.8176, 	1, 	1.824
2, 	-31.5631, 	-31.5631, 	22.4439, 	1, 	2.128
2, 	-24.4603, 	-24.4603, 	26.0181, 	1, 	2.432
2, 	-82.8334, 	-82.8334, 	26.0952, 	1, 	2.432
2, 	-31.5631, 	-31.5631, 	23.0839, 	1, 	2.432
2, 	-29.4845, 	-29.4845, 	25.0531, 	1, 	2.432
2, 	-26.4433, 	-26.4433, 	24.4472, 	1, 	2.432
2, 	-25.4477, 	-25.4477, 	26.0044, 	1, 	2.736
2, 	-28.4611, 	-28.4611, 	24.6917, 	1, 	3.04
2, 	-27.4476, 	-27.4476, 	24.2583, 	1, 	3.04
2, 	-25.4477, 	-25.4477, 	26.4255, 	1, 	3.04
2, 	-24.4603, 	-24.4603, 	26.8979, 	1, 	3.04
