(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);20:25:50.652, 	1, 	1, 	19.5337, 	13.7923, 	0, 	-1.38778e-15, 	2.736, 	(0.169289,-0.399738);(0.593512,0.358576);(0.325024,0.820749);(-0.269285,0.795478);
20:26:06.830, 	1, 	2, 	16.5516, 	15.9262, 	1, 	-1.38778e-15, 	2.736, 	(-0.0455957,0.114881);
20:26:06.889, 	1, 	2, 	15.6487, 	18.3244, 	1, 	-1.38778e-15, 	2.736, 	(0.0245801,0.18781);
20:26:06.929, 	0, 	2, 	11.3654, 	12.3625, 	1, 	-1.38778e-15, 	2.736, 	(-0.0161396,0.108632);
20:26:06.977, 	1, 	1, 	15.8852, 	12.3533, 	0, 	4, 	2.128, 	(0.13036,-0.296006);(0.365874,0.262826);(0.0490098,0.806585);(-0.690715,0.694357);
20:26:07.030, 	1, 	2, 	12.6815, 	13.5354, 	1, 	4, 	2.128, 	(0.0348591,0.0906872);
20:26:07.091, 	0, 	2, 	0.41792, 	5.09183, 	1, 	4, 	2.128, 	(0.0065678,-0.0160912);
20:26:07.127, 	1, 	1, 	17.2557, 	14.7821, 	0, 	8, 	1.52, 	(-0.36785,-0.109605);(0.0225541,-0.494656);(0.230337,-0.242163);(0.276802,0.00459496);
20:26:07.191, 	0, 	2, 	11.5718, 	12.0426, 	0, 	8, 	1.52, 	(-0.0571386,0.0347308);
20:26:07.227, 	1, 	1, 	9.64828, 	10.1805, 	0, 	12, 	0.912, 	(0.0912628,-0.00138057);(0.00813612,0.217098);(-0.226379,0.281818);(-0.355305,0.105836);
20:26:07.291, 	0, 	2, 	12.1358, 	9.80688, 	0, 	12, 	0.912, 	(0.026565,0.023528);
20:26:07.328, 	1, 	1, 	12.2688, 	13.9122, 	0, 	16, 	0.608, 	(-0.174573,-0.0504671);(0.048747,-0.195141);(0.119916,-0.0716797);(-0.047046,0.0167239);
20:26:07.391, 	0, 	2, 	13.9452, 	11.9111, 	0, 	16, 	0.608, 	(0.0834276,0.0122605);
20:26:07.428, 	1, 	1, 	13.3211, 	11.328, 	0, 	20, 	0.304, 	(0.165239,-0.124789);(0.162083,0.305791);(0.0749022,0.303099);(-0.0555881,0.294437);
20:26:07.492, 	1, 	2, 	14.5334, 	14.2681, 	1, 	20, 	0.608, 	(0.00986629,0.130712);
20:26:07.532, 	0, 	2, 	12.6463, 	11.8127, 	1, 	20, 	0.608, 	(-0.0204873,0.0846846);
20:26:07.578, 	0, 	1, 	12.5935, 	7.04291, 	0, 	24, 	0.304, 	(-0.0279723,-0.0487349);(0.239536,-0.0228081);(0.182078,0.221137);(-0.0260113,0.400375);
20:26:07.628, 	0, 	1, 	8.07683, 	6.85238, 	0, 	28, 	0.304, 	(-0.0123954,0.0854752);(-0.151414,-0.0623338);(-0.0618137,-0.165942);(0.109996,-0.0964511);
20:26:07.679, 	0, 	1, 	10.1608, 	9.55394, 	0, 	32, 	0.304, 	(0.101263,-0.00673245);(0.0294404,0.142341);(-0.0334645,0.10502);(-0.119067,-0.000691939);
20:26:07.730, 	0, 	1, 	11.176, 	-1.07734, 	0, 	36, 	0.304, 	(0.117917,0.00270956);(-0.0363484,0.180863);(-0.0899855,0.12764);(-0.115585,-0.0173168);
20:26:07.778, 	0, 	1, 	12.6748, 	6.043, 	0, 	40, 	0.304, 	(0.039837,0.109128);(-0.142303,0.0521383);(-0.184316,0.00753938);(-0.0617666,-0.157968);
20:26:07.829, 	0, 	1, 	7.93817, 	6.88125, 	0, 	44, 	0.304, 	(0.0903844,0.0403877);(-0.0224676,0.114752);(-0.0243086,0.102077);(-0.0944662,0.0693936);
20:26:07.879, 	0, 	1, 	9.65864, 	6.17096, 	0, 	48, 	0.304, 	(0.0615797,-0.118516);(0.0626285,-0.0597819);(0.0940727,0.133245);(-0.0338288,0.0433751);
20:26:07.931, 	0, 	1, 	8.88453, 	-1.36041, 	0, 	52, 	0.304, 	(-0.0832167,0.185899);(-0.105519,-0.205652);(-0.0219382,-0.119154);(0.123838,-0.194665);
20:26:07.979, 	1, 	1, 	11.2008, 	7.41069, 	0, 	56, 	-7.10543e-17, 	(-0.1368,0.0537689);(-0.103904,-0.0531958);(-0.0253705,-0.0450323);(0.0172719,-0.0795673);
20:26:08.034, 	0, 	2, 	9.59786, 	7.64967, 	0, 	56, 	-7.10543e-17, 	(0.0488529,-0.0306953);
20:26:08.129, 	1, 	1, 	9.61412, 	9.05058, 	0, 	60, 	-7.10543e-17, 	(-0.0292634,-0.0438578);(-0.139795,-0.0876187);(0.119781,-0.0337002);(-0.0939794,-0.0281454);
20:26:08.436, 	0, 	2, 	7.57463, 	9.98721, 	0, 	60, 	-7.10543e-17, 	(0.0344042,-0.00925787);
20:26:08.530, 	0, 	1, 	10.5991, 	7.06194, 	0, 	64, 	-7.10543e-17, 	(0.0615727,-0.0837875);(0.198112,0.0982029);(0.17901,0.158429);(0.00134543,0.192898);
20:26:08.782, 	0, 	1, 	10.2401, 	8.50727, 	0, 	64, 	-7.10543e-17, 	(-0.0911227,-0.0503644);(0.0182206,-0.100535);(-0.0514475,-0.042402);(0.0553225,-0.0560714);
20:26:08.831, 	0, 	1, 	6.80475, 	9.56524, 	0, 	68, 	-7.10543e-17, 	(0.0291104,0.046329);(-0.0277103,0.102701);(0.00516207,0.0988482);(-0.043653,0.0594724);
20:26:08.933, 	0, 	1, 	7.78638, 	-1.7377, 	0, 	72, 	-7.10543e-17, 	(0.0259584,0.0233611);(-0.066173,0.129736);(-0.0405335,-0.0240836);(-0.0830427,-0.00537224);
20:26:08.981, 	0, 	1, 	8.05085, 	9.49025, 	0, 	72, 	-7.10543e-17, 	(0.00595484,0.0890095);(-0.138789,0.0279336);(-0.158206,-0.00610454);(-0.07635,-0.0642583);
20:26:09.081, 	0, 	1, 	9.16004, 	8.68077, 	0, 	76, 	-7.10543e-17, 	(0.032121,-0.0671138);(0.155566,-0.0540707);(0.17583,-0.0152315);(0.195053,0.119537);
20:26:09.182, 	1, 	1, 	8.32489, 	4.86969, 	0, 	76, 	-7.10543e-17, 	(0.0863725,-0.0799543);(0.150882,0.0579398);(0.138248,0.0704904);(0.116238,0.122294);
20:26:09.299, 	0, 	2, 	11.8461, 	7.04521, 	0, 	76, 	-7.10543e-17, 	(0.0108222,0.0207035);
20:26:09.332, 	1, 	1, 	11.921, 	8.92845, 	0, 	76, 	-7.10543e-17, 	(0.193402,-0.0543912);(0.144804,0.0926044);(0.133787,0.0760318);(0.10146,0.0781071);
20:26:09.399, 	0, 	2, 	11.4465, 	8.44817, 	0, 	76, 	-7.10543e-17, 	(-0.0374286,0.0254404);
20:26:09.432, 	0, 	1, 	10.6032, 	10.2941, 	0, 	76, 	-7.10543e-17, 	(-0.0326687,0.0803103);(-0.230029,0.0280152);(-0.114065,0.0825545);(-0.238519,0.0315898);
20:26:09.483, 	1, 	1, 	13.6452, 	13.2356, 	0, 	80, 	-7.10543e-17, 	(0.01599,0.123136);(0.0471307,0.208477);(-0.010088,0.156962);(0.0924504,0.215292);
20:26:09.542, 	1, 	2, 	15.4041, 	16.1232, 	1, 	76, 	0.304, 	(-0.00611679,-0.111859);
20:26:09.600, 	0, 	2, 	12.2817, 	9.2914, 	1, 	76, 	0.304, 	(0.0647286,-0.00393004);
20:26:09.633, 	1, 	1, 	12.9379, 	14.735, 	0, 	72, 	0.304, 	(-0.0448333,-0.0484917);(0.397399,-0.122862);(-0.00798716,0.0101779);(0.294641,-0.16264);
20:26:09.701, 	0, 	2, 	10.809, 	9.82113, 	0, 	72, 	0.304, 	(0.0169593,0.0434652);
20:26:09.733, 	0, 	1, 	8.80283, 	4.97645, 	0, 	72, 	0.304, 	(0.271313,-0.0384117);(-0.138543,0.0709773);(0.585959,-0.0675826);(-0.162129,0.271262);
20:26:09.783, 	0, 	1, 	12.1191, 	7.04369, 	0, 	72, 	0.304, 	(0.328417,-0.303561);(-0.636106,0.0470789);(0.500985,-0.0640289);(-0.413155,0.373508);
20:26:09.838, 	1, 	1, 	15.4526, 	12.692, 	0, 	68, 	0.304, 	(-0.253826,0.456456);(0.664648,-0.38933);(-0.30201,0.266096);(0.210658,-0.354359);
20:26:09.901, 	0, 	2, 	11.5753, 	8.37987, 	0, 	68, 	0.304, 	(0.0165363,-0.0173997);
20:26:09.933, 	1, 	1, 	17.9006, 	13.1449, 	0, 	64, 	0.304, 	(0.533679,-0.481513);(-0.580744,0.0209505);(0.798853,-0.286564);(-0.445188,0.144226);
20:26:10.002, 	0, 	2, 	17.1102, 	15.7943, 	0, 	64, 	0.304, 	(-0.0937028,0.0256882);
20:26:10.034, 	0, 	1, 	11.9613, 	9.89222, 	0, 	68, 	0.304, 	(-0.00500006,0.136018);(0.12446,0.157754);(0.023569,0.0804833);(0.0380433,-0.109992);
20:26:10.084, 	0, 	1, 	13.0039, 	12.8292, 	0, 	68, 	-7.10543e-17, 	(-0.0253978,-0.276826);(-0.0303754,0.528719);(0.22037,-0.469318);(0.200372,0.444978);
20:26:10.134, 	1, 	1, 	11.4403, 	9.94589, 	0, 	68, 	-7.10543e-17, 	(0.138216,-0.101929);(0.0106446,-0.186937);(0.157994,-0.162819);(-0.219252,-0.24725);
20:26:10.203, 	0, 	2, 	14.1185, 	11.9717, 	0, 	68, 	-7.10543e-17, 	(-0.0531375,-0.0262213);
20:26:10.234, 	1, 	1, 	21.2059, 	16.6118, 	0, 	64, 	-7.10543e-17, 	(0.571698,-0.33977);(-0.559492,-0.564767);(0.274351,-0.064961);(-0.585534,-0.122944);
20:26:10.303, 	0, 	2, 	15.8404, 	13.7637, 	0, 	64, 	-7.10543e-17, 	(0.0588164,-0.0481131);
20:26:10.334, 	1, 	1, 	12.8722, 	12.0428, 	0, 	60, 	-7.10543e-17, 	(-0.00804812,0.200362);(-0.231142,0.052047);(-0.111257,0.210241);(-0.216229,0.135453);
20:26:10.404, 	1, 	2, 	20.2563, 	17.6713, 	1, 	56, 	0.304, 	(-0.0347241,0.0959774);
20:26:10.444, 	1, 	2, 	22.8332, 	17.9335, 	1, 	52, 	0.608, 	(-0.0393553,0.169889);
20:26:10.504, 	1, 	2, 	24.0697, 	21.0113, 	1, 	52, 	0.912, 	(-0.252051,0.190491);
20:26:10.544, 	1, 	2, 	20.5773, 	21.7399, 	1, 	48, 	1.216, 	(0.0451236,0.294748);
20:26:10.605, 	1, 	2, 	20.5113, 	20.9116, 	1, 	48, 	1.52, 	(-0.270642,-0.167275);
20:26:10.644, 	1, 	2, 	19.648, 	21.9574, 	1, 	44, 	1.824, 	(0.122195,0.471999);
20:26:10.705, 	1, 	2, 	28.7268, 	23.8355, 	1, 	40, 	2.128, 	(-0.0959519,0.583949);
20:26:10.745, 	1, 	2, 	26.1262, 	24.2108, 	1, 	40, 	2.432, 	(-0.662413,-0.415977);
20:26:10.806, 	1, 	2, 	32.55, 	26.0281, 	1, 	40, 	2.736, 	(0.751661,-0.340846);
20:26:10.845, 	1, 	2, 	19.5654, 	22.7959, 	1, 	36, 	3.04, 	(-0.125934,0.909391);
20:26:10.906, 	1, 	2, 	30.4467, 	25.5762, 	1, 	36, 	3.04, 	(0.0153297,-0.589389);
20:26:10.945, 	1, 	2, 	30.5946, 	26.371, 	1, 	32, 	3.04, 	(-0.844817,-0.166388);
20:26:11.007, 	1, 	2, 	31.4278, 	25.9285, 	1, 	28, 	3.04, 	(-0.287713,-0.832111);
20:26:11.046, 	1, 	2, 	32.5685, 	26.5961, 	1, 	24, 	3.04, 	(0.251267,-0.998956);
20:26:11.106, 	1, 	2, 	32.6128, 	25.9749, 	1, 	24, 	3.04, 	(0.890399,0.271143);
20:26:11.146, 	1, 	2, 	24.2528, 	25.3402, 	1, 	20, 	3.04, 	(0.432654,0.621271);
20:26:11.207, 	1, 	2, 	24.2602, 	25.6979, 	1, 	20, 	3.04, 	(-0.835582,0.125956);
20:26:11.247, 	1, 	2, 	19.2629, 	23.872, 	1, 	16, 	3.04, 	(-0.750903,-0.155214);
20:26:11.287, 	1, 	2, 	31.3256, 	25.8857, 	1, 	12, 	3.04, 	(0.551526,-0.603541);
20:26:11.349, 	1, 	2, 	25.5823, 	24.4523, 	1, 	8, 	3.04, 	(0.298355,-0.096682);
20:26:11.393, 	1, 	2, 	19.1501, 	23.6633, 	1, 	8, 	3.04, 	(-0.597472,0.140995);
20:26:11.448, 	1, 	2, 	20.5415, 	23.8806, 	1, 	4, 	3.04, 	(0.665148,-0.038049);
20:26:11.489, 	1, 	2, 	18.1024, 	21.6119, 	1, 	4, 	3.04, 	(0.543929,0.0936779);
20:26:11.548, 	1, 	2, 	26.6229, 	24.5936, 	1, 	-1.38778e-15, 	3.04, 	(0.324145,0.0428116);
20:26:11.590, 	1, 	2, 	26.6378, 	23.3574, 	1, 	-1.38778e-15, 	3.04, 	(0.22433,-0.638298);
20:26:11.648, 	1, 	2, 	27.0384, 	25.0701, 	1, 	-1.38778e-15, 	3.04, 	(0.756973,-0.237241);
20:26:11.689, 	1, 	2, 	32.2682, 	25.1781, 	1, 	-1.38778e-15, 	3.04, 	(0.538094,-0.356816);
20:26:11.749, 	1, 	2, 	28.6868, 	23.4722, 	1, 	-1.38778e-15, 	3.04, 	(-0.247077,-0.440132);
