(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);15:56:21.515, 	1, 	1, 	16.1547, 	8.60297, 	0, 	4, 	2.128, 	(0.181934,-0.68797);(-0.0368988,1.13228);(-0.638782,-0.471506);(0.523965,-0.205513);
15:57:59.322, 	1, 	2, 	16.0456, 	19.5951, 	1, 	4, 	2.128, 	(-0.175754,-0.148074);
15:57:59.342, 	1, 	2, 	16.5425, 	19.4957, 	1, 	4, 	2.432, 	(-0.149162,-0.185978);
15:57:59.370, 	0, 	2, 	18.2289, 	13.1883, 	1, 	4, 	2.432, 	(0.0123947,0.0096464);
15:57:59.382, 	0, 	2, 	20.6202, 	16.4281, 	0, 	8, 	2.128, 	(-0.0159468,0.00128229);
15:57:59.402, 	1, 	1, 	16.8024, 	14.6578, 	0, 	12, 	1.824, 	(-0.0794158,-0.378135);(0.470287,0.0402602);(0.156063,0.598098);(-0.405554,0.463338);
15:57:59.422, 	1, 	1, 	17.2188, 	13.2356, 	0, 	12, 	1.52, 	(0.455205,0.00620194);(-0.0895943,0.511915);(-0.59515,0.0981033);(-0.403936,-0.413934);
15:57:59.443, 	0, 	2, 	19.1065, 	14.4139, 	0, 	12, 	1.52, 	(0.0159394,0.0188475);
15:57:59.469, 	0, 	2, 	17.4566, 	12.109, 	0, 	16, 	1.216, 	(0.071563,-0.00560641);
15:57:59.482, 	1, 	1, 	19.5396, 	13.3616, 	0, 	20, 	0.608, 	(0.473984,0.170074);(-0.232744,0.529427);(-0.339684,-0.00135871);(-0.183729,-0.280276);
15:57:59.502, 	1, 	1, 	18.6673, 	17.0024, 	0, 	20, 	0.608, 	(0.447049,-0.237262);(0.197547,0.592615);(-0.473488,0.398275);(-0.573373,-0.187764);
15:57:59.523, 	1, 	2, 	17.6491, 	21.9503, 	1, 	20, 	0.608, 	(0.172638,-0.237987);
15:57:59.543, 	1, 	2, 	19.3865, 	20.6385, 	1, 	20, 	0.608, 	(0.237272,-0.0392126);
15:57:59.570, 	1, 	2, 	19.4281, 	20.5921, 	1, 	20, 	0.912, 	(-0.0856377,-0.160956);
15:57:59.584, 	1, 	2, 	19.4616, 	21.5845, 	1, 	20, 	1.216, 	(-0.0711517,-0.241863);
15:57:59.604, 	1, 	2, 	19.7426, 	20.2682, 	1, 	20, 	1.52, 	(0.0279023,-0.280604);
15:57:59.624, 	1, 	2, 	18.6778, 	20.6981, 	1, 	20, 	1.824, 	(0.1998,0.013694);
15:57:59.644, 	1, 	2, 	20.4754, 	23.0404, 	1, 	16, 	2.128, 	(0.0637688,-0.278354);
