2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	21.5423, 	21.5423, 	26.1534, 	1, 	1.52
2, 	21.5423, 	21.5423, 	0, 	0, 	1.52
2, 	-5.82915, 	-5.82915, 	19.5951, 	1, 	2.128
2, 	-5.82915, 	-5.82915, 	19.4957, 	1, 	2.432
2, 	-4.92994, 	-4.92994, 	13.1883, 	0, 	2.432
2, 	-4.92994, 	-4.92994, 	16.4281, 	0, 	2.128
1, 	-4.92994, 	-4.92994, 	14.6578, 	1, 	1.824
1, 	-5.82915, 	-5.82915, 	13.2356, 	1, 	1.52
2, 	-5.82915, 	-5.82915, 	14.4139, 	0, 	1.52
2, 	19.6296, 	19.6296, 	12.109, 	0, 	1.216
1, 	19.6296, 	19.6296, 	13.3616, 	1, 	0.608
1, 	19.6296, 	19.6296, 	17.0024, 	1, 	0.608
2, 	15.8689, 	15.8689, 	21.9503, 	1, 	0.608
2, 	15.8689, 	15.8689, 	20.6385, 	1, 	0.608
2, 	14.0157, 	14.0157, 	20.5921, 	1, 	0.912
2, 	14.0157, 	14.0157, 	21.5845, 	1, 	1.216
2, 	14.0157, 	14.0157, 	20.2682, 	1, 	1.52
2, 	14.0157, 	14.0157, 	20.6981, 	1, 	1.824
2, 	14.0157, 	14.0157, 	23.0404, 	1, 	2.128
2, 	14.0157, 	14.0157, 	21.1561, 	1, 	2.432
2, 	10.3516, 	10.3516, 	20.9045, 	1, 	2.736
2, 	10.3516, 	10.3516, 	22.0975, 	1, 	3.04
2, 	11.263, 	11.263, 	21.0885, 	1, 	3.04
2, 	11.263, 	11.263, 	21.6998, 	1, 	3.04
2, 	12.1773, 	12.1773, 	21.6148, 	1, 	3.04
2, 	12.1773, 	12.1773, 	19.6126, 	1, 	3.04
2, 	11.263, 	11.263, 	21.4685, 	1, 	3.04
2, 	11.263, 	11.263, 	21.0402, 	1, 	3.04
2, 	10.3516, 	10.3516, 	22.7703, 	1, 	3.04
2, 	10.3516, 	10.3516, 	21.7918, 	1, 	3.04
2, 	10.3516, 	10.3516, 	22.1235, 	1, 	3.04
2, 	10.3516, 	10.3516, 	22.2859, 	1, 	3.04
2, 	7.63215, 	7.63215, 	21.8282, 	1, 	3.04
2, 	7.63215, 	7.63215, 	22.3501, 	1, 	3.04
2, 	7.63215, 	7.63215, 	22.6853, 	1, 	3.04
2, 	7.63215, 	7.63215, 	21.3301, 	1, 	3.04
2, 	7.63215, 	7.63215, 	23.8597, 	1, 	3.04
2, 	7.63215, 	7.63215, 	22.4329, 	1, 	3.04
2, 	7.63215, 	7.63215, 	23.3617, 	1, 	3.04
2, 	7.63215, 	7.63215, 	24.5223, 	1, 	3.04
2, 	6.72981, 	6.72981, 	19.5825, 	1, 	3.04
2, 	6.72981, 	6.72981, 	23.7637, 	1, 	3.04
2, 	5.82915, 	5.82915, 	23.1317, 	1, 	3.04
2, 	5.82915, 	5.82915, 	0, 	0, 	3.04
2, 	6.72981, 	6.72981, 	23.9681, 	1, 	3.04
2, 	6.72981, 	6.72981, 	23.5941, 	1, 	3.04
2, 	4.92994, 	4.92994, 	23.5941, 	1, 	3.04
2, 	4.92994, 	4.92994, 	25.037, 	1, 	3.04
2, 	5.82915, 	5.82915, 	0, 	0, 	3.04
2, 	5.82915, 	5.82915, 	23.5636, 	1, 	3.04
2, 	4.03194, 	4.03194, 	23.5544, 	1, 	3.04
2, 	4.03194, 	4.03194, 	25.7529, 	1, 	3.04
2, 	3.13493, 	3.13493, 	24.2379, 	1, 	3.04
2, 	3.13493, 	3.13493, 	0, 	0, 	3.04
2, 	2.23869, 	2.23869, 	24.6114, 	1, 	3.04
2, 	2.23869, 	2.23869, 	24.2742, 	1, 	3.04
2, 	2.23869, 	2.23869, 	24.3153, 	1, 	3.04
2, 	2.23869, 	2.23869, 	25.5482, 	1, 	3.04
2, 	3.13493, 	3.13493, 	0, 	0, 	3.04
2, 	3.13493, 	3.13493, 	24.8353, 	1, 	3.04
2, 	3.13493, 	3.13493, 	25.2379, 	1, 	3.04
2, 	2.23869, 	2.23869, 	25.2116, 	1, 	3.04
2, 	2.23869, 	2.23869, 	23.8928, 	1, 	3.04
2, 	1.34299, 	1.34299, 	25.8938, 	1, 	3.04
2, 	0.447628, 	0.447628, 	25.038, 	1, 	3.04
2, 	0.447628, 	0.447628, 	25.5351, 	1, 	3.04
2, 	0.447628, 	0.447628, 	25.7015, 	1, 	3.04
2, 	0.447628, 	0.447628, 	0, 	0, 	3.04
2, 	0.447628, 	0.447628, 	24.9568, 	1, 	3.04
2, 	0.447628, 	0.447628, 	26.0477, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	23.4195, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	24.8107, 	1, 	3.04
2, 	-1.34299, 	-1.34299, 	25.2469, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	25.3283, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	25.7714, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	26.3569, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	0, 	0, 	3.04
2, 	-2.23869, 	-2.23869, 	24.9247, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	25.0341, 	1, 	3.04
2, 	-5.82915, 	-5.82915, 	24.9043, 	1, 	3.04
2, 	-5.82915, 	-5.82915, 	24.8947, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	25.4764, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	25.9827, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	25.9354, 	1, 	3.04
2, 	-5.82915, 	-5.82915, 	26.6682, 	1, 	3.04
2, 	-5.82915, 	-5.82915, 	0, 	0, 	3.04
2, 	-5.82915, 	-5.82915, 	25.0299, 	1, 	3.04
2, 	-5.82915, 	-5.82915, 	24.3412, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	26.061, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	26.0184, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	25.8551, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	25.8758, 	1, 	3.04
2, 	-4.03194, 	-4.03194, 	25.6164, 	1, 	3.04
2, 	-4.03194, 	-4.03194, 	25.7007, 	1, 	3.04
2, 	-5.82915, 	-5.82915, 	26.5982, 	1, 	3.04
2, 	-6.72981, 	-6.72981, 	25.772, 	1, 	3.04
2, 	-6.72981, 	-6.72981, 	26.2877, 	1, 	3.04
2, 	-5.82915, 	-5.82915, 	25.6076, 	1, 	3.04
2, 	-5.82915, 	-5.82915, 	25.6076, 	1, 	3.04
2, 	-5.82915, 	-5.82915, 	26.7803, 	1, 	3.04
2, 	-5.82915, 	-5.82915, 	24.8185, 	1, 	3.04
2, 	-9.44278, 	-9.44278, 	25.9147, 	1, 	3.04
2, 	-9.44278, 	-9.44278, 	26.6024, 	1, 	3.04
2, 	-9.44278, 	-9.44278, 	23.7821, 	1, 	3.04
2, 	-10.3516, 	-10.3516, 	27.1279, 	1, 	3.04
2, 	0.447628, 	0.447628, 	23.517, 	1, 	3.04
2, 	0.447628, 	0.447628, 	26.0828, 	1, 	3.04
2, 	-11.263, 	-11.263, 	25.2107, 	1, 	3.04
2, 	-11.263, 	-11.263, 	0, 	0, 	3.04
2, 	-10.3516, 	-10.3516, 	24.6576, 	1, 	3.04
2, 	-10.3516, 	-10.3516, 	26.1822, 	1, 	3.04
2, 	-12.1773, 	-12.1773, 	26.257, 	1, 	3.04
2, 	-12.1773, 	-12.1773, 	26.0979, 	1, 	3.04
2, 	-14.0157, 	-14.0157, 	26.3249, 	1, 	3.04
2, 	-14.9403, 	-14.9403, 	26.5649, 	1, 	3.04
2, 	-14.9403, 	-14.9403, 	25.7724, 	1, 	3.04
2, 	-4.03194, 	-4.03194, 	25.9781, 	1, 	3.04
2, 	-4.03194, 	-4.03194, 	24.9248, 	1, 	3.04
2, 	-4.92994, 	-4.92994, 	24.4893, 	1, 	3.04
2, 	-4.92994, 	-4.92994, 	22.9305, 	1, 	3.04
2, 	-15.8689, 	-15.8689, 	25.4392, 	1, 	3.04
2, 	-15.8689, 	-15.8689, 	24.4407, 	1, 	3.04
2, 	-4.92994, 	-4.92994, 	25.5756, 	1, 	3.04
2, 	-4.92994, 	-4.92994, 	25.213, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	24.9602, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	25.2543, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	24.8785, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	25.4074, 	1, 	3.04
2, 	-1.34299, 	-1.34299, 	23.9144, 	1, 	3.04
2, 	-1.34299, 	-1.34299, 	24.2396, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	24.4939, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	23.7276, 	1, 	3.04
2, 	-16.8018, 	-16.8018, 	24.4337, 	1, 	3.04
2, 	-16.8018, 	-16.8018, 	25.5232, 	1, 	3.04
2, 	-15.8689, 	-15.8689, 	25.8309, 	1, 	3.04
2, 	-15.8689, 	-15.8689, 	25.4649, 	1, 	3.04
2, 	-17.7394, 	-17.7394, 	25.8067, 	1, 	3.04
2, 	-17.7394, 	-17.7394, 	25.0325, 	1, 	3.04
2, 	0.447628, 	0.447628, 	25.6164, 	1, 	3.04
2, 	0.447628, 	0.447628, 	22.5264, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	20.835, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	23.3692, 	1, 	3.04
2, 	-4.03194, 	-4.03194, 	23.1085, 	1, 	3.04
2, 	-4.03194, 	-4.03194, 	21.2075, 	1, 	3.04
2, 	-29.4845, 	-29.4845, 	23.0172, 	1, 	3.04
2, 	-29.4845, 	-29.4845, 	25.2388, 	1, 	3.04
2, 	-14.9403, 	-14.9403, 	24.8055, 	1, 	3.04
2, 	-14.9403, 	-14.9403, 	24.0323, 	1, 	3.04
2, 	-16.8018, 	-16.8018, 	24.7443, 	1, 	3.04
2, 	-16.8018, 	-16.8018, 	25.2539, 	1, 	3.04
2, 	-21.5423, 	-21.5423, 	25.322, 	1, 	3.04
2, 	-21.5423, 	-21.5423, 	24.285, 	1, 	3.04
2, 	-5.82915, 	-5.82915, 	0, 	0, 	3.04
2, 	-5.82915, 	-5.82915, 	24.7661, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	22.6863, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	21.8584, 	1, 	3.04
2, 	-1.34299, 	-1.34299, 	0, 	0, 	3.04
2, 	-1.34299, 	-1.34299, 	21.2485, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	19.763, 	0, 	3.04
2, 	-2.23869, 	-2.23869, 	19.345, 	0, 	2.736
1, 	-2.23869, 	-2.23869, 	19.4188, 	1, 	2.128
1, 	-2.23869, 	-2.23869, 	20.5986, 	1, 	1.824
1, 	-2.23869, 	-2.23869, 	0, 	0, 	1.824
2, 	-24.4603, 	-24.4603, 	19.1217, 	0, 	1.52
1, 	-24.4603, 	-24.4603, 	21.2541, 	1, 	0.912
1, 	-25.4477, 	-25.4477, 	19.5645, 	1, 	0.608
1, 	-25.4477, 	-25.4477, 	0, 	0, 	0.608
2, 	-26.4433, 	-26.4433, 	23.4502, 	1, 	0.912
2, 	-26.4433, 	-26.4433, 	23.8113, 	1, 	1.216
2, 	-26.4433, 	-26.4433, 	22.9368, 	1, 	1.52
2, 	-26.4433, 	-26.4433, 	21.8404, 	1, 	1.824
2, 	-6.72981, 	-6.72981, 	20.6342, 	1, 	2.128
2, 	-6.72981, 	-6.72981, 	19.1746, 	1, 	2.432
2, 	-23.4805, 	-23.4805, 	19.1722, 	1, 	2.432
2, 	-23.4805, 	-23.4805, 	19.2403, 	0, 	2.432
1, 	-23.4805, 	-23.4805, 	18.3072, 	1, 	2.432
