(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);19:59:26.052, 	0, 	1, 	10.308, 	9.98942, 	1, 	8, 	1.824, 	(-0.0219264,0.626365);(-0.20034,-0.645171);(0.349716,0.169864);(-0.231107,-0.212152);
19:59:40.598, 	0, 	2, 	14.7825, 	3.84185, 	0, 	12, 	1.52, 	(-0.0239107,-0.0169264);
19:59:40.638, 	1, 	2, 	13.3852, 	16.5479, 	1, 	16, 	1.52, 	(0.00957526,0.187317);
19:59:40.643, 	1, 	1, 	14.6932, 	11.7281, 	0, 	16, 	1.52, 	(-0.195236,0.229427);(-0.163137,-0.176002);(0.0478864,-0.178159);(0.191397,0.0174761);
19:59:40.678, 	0, 	2, 	13.853, 	15.8955, 	0, 	16, 	1.52, 	(0.104135,0.0370799);
19:59:40.698, 	1, 	2, 	14.8441, 	19.5097, 	1, 	20, 	1.824, 	(-0.235983,0.00473924);
19:59:40.712, 	1, 	1, 	15.5008, 	15.2788, 	0, 	20, 	1.52, 	(-0.264968,-0.0576875);(0.0735276,-0.322647);(0.343303,-0.00628111);(0.0462677,0.295292);
19:59:40.738, 	1, 	2, 	13.2323, 	16.8116, 	1, 	20, 	1.52, 	(0.148706,0.0988069);
19:59:40.758, 	1, 	2, 	14.6865, 	18.7123, 	1, 	20, 	1.52, 	(0.0623761,-0.119845);
19:59:40.779, 	0, 	2, 	14.6975, 	18.7123, 	1, 	20, 	1.52, 	(0.0623761,-0.119845);
19:59:40.799, 	1, 	2, 	14.9968, 	16.8202, 	1, 	24, 	1.52, 	(-0.149158,0.0913057);
19:59:40.819, 	1, 	2, 	12.5989, 	17.0686, 	1, 	24, 	1.824, 	(-0.16434,0.0896713);
19:59:40.839, 	1, 	2, 	14.4483, 	16.7058, 	1, 	24, 	1.824, 	(0.115123,-0.0643771);
19:59:40.859, 	1, 	2, 	15.544, 	18.2777, 	1, 	24, 	2.128, 	(0.109839,-0.0830858);
19:59:40.879, 	1, 	2, 	15.6383, 	18.2777, 	1, 	24, 	2.432, 	(0.109839,-0.0830858);
19:59:40.899, 	1, 	2, 	14.7033, 	17.467, 	1, 	24, 	2.432, 	(-0.125292,0.169187);
19:59:40.919, 	1, 	2, 	15.5266, 	18.1354, 	1, 	20, 	2.736, 	(0.128491,-0.0895239);
19:59:40.939, 	1, 	2, 	16.0296, 	18.674, 	1, 	20, 	2.736, 	(-0.203609,-0.063895);
19:59:40.959, 	1, 	2, 	14.9136, 	17.5715, 	1, 	16, 	2.736, 	(-0.179357,-0.0284613);
19:59:40.979, 	1, 	2, 	16.4947, 	18.7881, 	1, 	16, 	3.04, 	(-0.112874,0.154609);
19:59:40.999, 	1, 	2, 	14.8388, 	18.5403, 	1, 	16, 	3.04, 	(0.0760859,0.198604);
19:59:41.019, 	1, 	2, 	13.8869, 	17.6102, 	1, 	16, 	3.04, 	(0.194602,-0.0739075);
19:59:41.040, 	1, 	2, 	16.3331, 	15.8721, 	1, 	16, 	3.04, 	(0.0787838,-0.0198734);
19:59:41.060, 	1, 	2, 	16.104, 	19.5343, 	1, 	16, 	3.04, 	(0.149512,0.104875);
19:59:41.080, 	1, 	2, 	15.4925, 	18.9197, 	1, 	16, 	3.04, 	(-0.181746,0.0121037);
19:59:41.103, 	1, 	2, 	16.7419, 	19.3992, 	1, 	12, 	3.04, 	(-0.00966923,0.1311);
19:59:41.120, 	1, 	2, 	18.6041, 	16.0084, 	1, 	8, 	3.04, 	(-0.181584,0.107695);
