(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);20:01:23.073, 	1, 	1, 	12.607, 	11.692, 	0, 	16, 	2.128, 	(0.00208327,-0.00290279);(0.364522,0.330853);(-0.624318,0.070914);(0.224573,-0.673885);
20:01:36.630, 	0, 	2, 	13.3706, 	13.6624, 	0, 	16, 	2.128, 	(0.0178741,-0.000192088);
20:01:36.650, 	1, 	2, 	16.0328, 	17.4896, 	1, 	20, 	2.128, 	(-0.0145293,-0.190656);
20:01:36.658, 	1, 	1, 	13.4083, 	9.90499, 	0, 	16, 	1.824, 	(-0.0648289,0.310963);(-0.275201,-0.144229);(0.0423316,-0.130535);(0.127137,-0.0188322);
20:01:36.678, 	1, 	1, 	16.3773, 	13.884, 	0, 	16, 	1.52, 	(0.47381,-0.0104781);(-0.357602,0.449818);(-0.308578,-0.164779);(-0.0197853,-0.22815);
20:01:36.710, 	1, 	2, 	14.4693, 	16.4765, 	1, 	16, 	1.52, 	(0.112285,-0.0495867);
20:01:36.731, 	1, 	2, 	17.1901, 	17.2075, 	1, 	16, 	1.52, 	(0.0723141,-0.185678);
20:01:36.750, 	1, 	2, 	16.0626, 	17.7278, 	1, 	16, 	1.52, 	(0.130703,0.106625);
20:01:36.770, 	1, 	2, 	15.8203, 	19.5193, 	1, 	16, 	1.52, 	(0.0321684,-0.234804);
20:01:36.791, 	1, 	2, 	15.6586, 	18.8437, 	1, 	16, 	1.824, 	(0.0626254,-0.136982);
20:01:36.810, 	1, 	2, 	15.0582, 	19.0319, 	1, 	12, 	2.128, 	(-0.117279,0.0627042);
20:01:36.830, 	1, 	2, 	16.2298, 	18.5716, 	1, 	12, 	2.432, 	(0.131854,0.17947);
20:01:36.851, 	1, 	2, 	16.2801, 	20.036, 	1, 	12, 	2.432, 	(-0.00748243,0.199881);
20:01:36.871, 	1, 	2, 	17.9425, 	20.0499, 	1, 	12, 	2.736, 	(-0.190188,0.0173799);
20:01:36.891, 	1, 	2, 	18.5515, 	19.2967, 	1, 	8, 	3.04, 	(-0.146485,0.219538);
20:01:36.911, 	1, 	2, 	17.5573, 	20.3643, 	1, 	8, 	3.04, 	(-0.238267,-0.0581868);
20:01:36.931, 	1, 	2, 	18.2562, 	20.0741, 	1, 	8, 	3.04, 	(-0.0305353,-0.231454);
20:01:36.951, 	1, 	2, 	16.891, 	20.6036, 	1, 	8, 	3.04, 	(0.134233,-0.23821);
20:01:36.971, 	1, 	2, 	18.3177, 	20.9655, 	1, 	8, 	3.04, 	(-0.0411622,0.2071);
20:01:36.991, 	1, 	2, 	17.5623, 	20.4089, 	1, 	8, 	3.04, 	(0.136798,0.0861291);
20:01:37.011, 	1, 	2, 	16.4074, 	20.1597, 	1, 	8, 	3.04, 	(-0.248669,-0.17608);
20:01:37.031, 	1, 	2, 	19.6703, 	20.2639, 	1, 	8, 	3.04, 	(-0.234909,-0.0113728);
20:01:37.051, 	1, 	2, 	19.2432, 	20.3091, 	1, 	8, 	3.04, 	(0.156161,-0.124915);
20:01:37.071, 	1, 	2, 	19.2208, 	21.0676, 	1, 	8, 	3.04, 	(0.145843,-0.0711984);
20:01:37.092, 	1, 	2, 	18.3675, 	20.6829, 	1, 	4, 	3.04, 	(-0.212403,-0.150578);
20:01:37.113, 	1, 	2, 	17.9765, 	20.6627, 	1, 	4, 	3.04, 	(0.0139927,-0.329505);
20:01:37.132, 	1, 	2, 	18.2117, 	21.267, 	1, 	-1.38778e-15, 	3.04, 	(-0.225338,-0.0549655);
20:01:37.151, 	1, 	2, 	19.6193, 	22.2256, 	1, 	-1.38778e-15, 	3.04, 	(0.242207,0.239943);
20:01:37.173, 	1, 	2, 	19.8102, 	20.8387, 	1, 	-1.38778e-15, 	3.04, 	(-0.171295,0.256481);
20:01:37.192, 	1, 	2, 	19.3233, 	21.8326, 	1, 	-1.38778e-15, 	3.04, 	(-0.297819,-0.20987);
20:01:37.213, 	1, 	2, 	19.0009, 	21.8255, 	1, 	-1.38778e-15, 	3.04, 	(0.0885781,0.311177);
20:01:37.232, 	1, 	2, 	20.8952, 	21.1983, 	1, 	-1.38778e-15, 	3.04, 	(-0.120111,0.295944);
20:01:37.252, 	1, 	2, 	18.3031, 	19.7796, 	1, 	-1.38778e-15, 	3.04, 	(0.203512,-0.260375);
20:01:37.272, 	1, 	2, 	19.2713, 	19.9135, 	1, 	-1.38778e-15, 	3.04, 	(-0.332148,-0.0935063);
20:01:37.292, 	1, 	2, 	21.1598, 	22.083, 	1, 	-1.38778e-15, 	3.04, 	(0.0489756,-0.242554);
20:01:37.313, 	1, 	2, 	20.5292, 	22.728, 	1, 	-1.38778e-15, 	3.04, 	(-0.0831684,0.195207);
20:01:37.332, 	1, 	2, 	20.9286, 	21.5369, 	1, 	-1.38778e-15, 	3.04, 	(0.205588,-0.253507);
20:01:37.352, 	1, 	2, 	20.3582, 	20.7844, 	1, 	-1.38778e-15, 	3.04, 	(0.131384,-0.209959);
20:01:37.373, 	1, 	2, 	19.7737, 	20.1819, 	1, 	-1.38778e-15, 	3.04, 	(-0.0909414,0.273519);
20:01:37.393, 	1, 	2, 	20.9505, 	18.7854, 	1, 	-1.38778e-15, 	3.04, 	(0.0963759,-0.0734818);
20:01:37.415, 	1, 	2, 	21.8857, 	23.3832, 	1, 	-1.38778e-15, 	3.04, 	(-0.00237225,0.188718);
20:01:37.433, 	1, 	2, 	19.1603, 	20.8519, 	1, 	-1.38778e-15, 	3.04, 	(-0.265615,0.263674);
20:01:37.453, 	1, 	2, 	21.7778, 	21.647, 	1, 	-1.38778e-15, 	3.04, 	(-0.0351387,0.289414);
20:01:37.474, 	1, 	2, 	21.7256, 	21.5727, 	1, 	-1.38778e-15, 	3.04, 	(0.072137,-0.238308);
20:01:37.493, 	1, 	2, 	22.0873, 	23.4694, 	1, 	-1.38778e-15, 	3.04, 	(0.208197,-0.0248504);
20:01:37.513, 	1, 	2, 	21.7096, 	22.9284, 	1, 	-1.38778e-15, 	3.04, 	(-0.355457,0.0213623);
20:01:37.534, 	1, 	2, 	20.0009, 	22.2649, 	1, 	-1.38778e-15, 	3.04, 	(-0.10355,-0.405386);
20:01:37.553, 	1, 	2, 	22.854, 	22.6704, 	1, 	-1.38778e-15, 	3.04, 	(0.248961,-0.324592);
20:01:37.573, 	1, 	2, 	22.5091, 	21.8955, 	1, 	-1.38778e-15, 	3.04, 	(0.350356,-0.197404);
20:01:37.593, 	1, 	2, 	19.2061, 	22.8842, 	1, 	-1.38778e-15, 	3.04, 	(-0.402458,-0.106287);
20:01:37.614, 	1, 	2, 	20.3592, 	22.1539, 	1, 	-1.38778e-15, 	3.04, 	(0.321584,0.226585);
20:01:37.634, 	1, 	2, 	20.7473, 	22.4274, 	1, 	-1.38778e-15, 	3.04, 	(0.321829,-0.222766);
20:01:37.654, 	1, 	2, 	21.9117, 	23.1561, 	1, 	-1.38778e-15, 	3.04, 	(0.0463105,-0.239323);
20:01:37.674, 	1, 	2, 	23.1643, 	20.4836, 	1, 	-1.38778e-15, 	3.04, 	(0.231021,-0.305745);
20:01:37.694, 	1, 	2, 	23.1433, 	24.1757, 	1, 	-1.38778e-15, 	3.04, 	(-0.240442,0.249066);
20:01:37.714, 	1, 	2, 	21.9968, 	23.6541, 	1, 	-1.38778e-15, 	3.04, 	(0.0285391,0.43307);
20:01:37.734, 	1, 	2, 	22.9752, 	21.8069, 	1, 	-1.38778e-15, 	3.04, 	(-0.111637,-0.390657);
20:01:37.754, 	1, 	2, 	24.0855, 	24.1397, 	1, 	-1.38778e-15, 	3.04, 	(-0.0879291,0.396979);
20:01:37.774, 	1, 	2, 	19.949, 	21.1744, 	1, 	-1.38778e-15, 	3.04, 	(0.24681,0.375613);
20:01:37.794, 	1, 	2, 	23.3121, 	23.9033, 	1, 	-1.38778e-15, 	3.04, 	(0.125515,0.319594);
20:01:37.814, 	1, 	2, 	22.889, 	23.4756, 	1, 	-1.38778e-15, 	3.04, 	(-0.277846,0.0269376);
20:01:37.835, 	1, 	2, 	23.7757, 	22.2823, 	1, 	-1.38778e-15, 	3.04, 	(0.140492,-0.174985);
20:01:37.854, 	1, 	2, 	23.8918, 	23.797, 	1, 	-1.38778e-15, 	3.04, 	(-0.392886,-0.048422);
20:01:37.875, 	1, 	2, 	22.3387, 	23.1707, 	1, 	-1.38778e-15, 	3.04, 	(0.322141,-0.103437);
20:01:37.896, 	1, 	2, 	22.6658, 	24.6824, 	1, 	-1.38778e-15, 	3.04, 	(-0.40183,-0.147654);
20:01:37.915, 	1, 	2, 	23.9643, 	24.2991, 	1, 	-1.38778e-15, 	3.04, 	(-0.051677,0.415292);
20:01:37.936, 	1, 	2, 	19.1849, 	22.4633, 	1, 	-1.38778e-15, 	3.04, 	(-0.380162,-0.228778);
20:01:37.955, 	1, 	2, 	23.2593, 	22.0818, 	1, 	-1.38778e-15, 	3.04, 	(0.33133,-0.121032);
20:01:37.975, 	1, 	2, 	23.1965, 	23.6378, 	1, 	-1.38778e-15, 	3.04, 	(-0.205383,0.223819);
20:01:37.995, 	1, 	2, 	22.9574, 	23.928, 	1, 	-1.38778e-15, 	3.04, 	(0.419082,0.0931237);
20:01:38.015, 	1, 	2, 	18.4479, 	22.9058, 	1, 	-1.38778e-15, 	3.04, 	(-0.395866,-0.200588);
20:01:38.035, 	1, 	2, 	22.6081, 	22.8797, 	1, 	-1.38778e-15, 	3.04, 	(0.207455,-0.326174);
20:01:38.055, 	1, 	2, 	23.469, 	24.3223, 	1, 	-1.38778e-15, 	3.04, 	(-0.144279,-0.297311);
20:01:38.076, 	1, 	2, 	24.7945, 	23.6804, 	1, 	-1.38778e-15, 	3.04, 	(0.00616854,0.27796);
20:01:38.095, 	1, 	2, 	24.9125, 	25.1373, 	1, 	-1.38778e-15, 	3.04, 	(-0.254441,0.382679);
20:01:38.116, 	1, 	2, 	21.6336, 	24.0773, 	1, 	-1.38778e-15, 	3.04, 	(0.473367,0.202578);
20:01:38.136, 	1, 	2, 	23.8009, 	23.7529, 	1, 	-1.38778e-15, 	3.04, 	(0.463565,-0.153847);
20:01:38.156, 	1, 	2, 	24.898, 	22.8776, 	1, 	-1.38778e-15, 	3.04, 	(0.208199,-0.432309);
20:01:38.180, 	1, 	2, 	23.0456, 	23.6008, 	1, 	-1.38778e-15, 	3.04, 	(0.0083922,0.47127);
20:01:38.196, 	1, 	2, 	24.6338, 	23.6232, 	1, 	-1.38778e-15, 	3.04, 	(-0.372152,0.133707);
20:01:38.216, 	1, 	2, 	22.5333, 	23.6094, 	1, 	-1.38778e-15, 	3.04, 	(0.126401,-0.498416);
20:01:38.236, 	1, 	2, 	23.9823, 	24.1417, 	1, 	-1.38778e-15, 	3.04, 	(0.246127,-0.207524);
20:01:38.256, 	1, 	2, 	25.1667, 	23.3408, 	1, 	-1.38778e-15, 	3.04, 	(0.319158,0.362532);
20:01:38.277, 	1, 	2, 	21.2531, 	22.6098, 	1, 	-1.38778e-15, 	3.04, 	(-0.195965,-0.474768);
20:01:38.296, 	1, 	2, 	22.1676, 	23.6737, 	1, 	-1.38778e-15, 	3.04, 	(0.507759,-0.0725792);
20:01:38.316, 	1, 	2, 	23.5695, 	24.5757, 	1, 	-1.38778e-15, 	3.04, 	(-0.30115,-0.411178);
20:01:38.337, 	1, 	2, 	24.7048, 	24.208, 	1, 	-1.38778e-15, 	3.04, 	(0.240191,-0.115615);
20:01:38.356, 	1, 	2, 	20.4765, 	23.1133, 	1, 	-1.38778e-15, 	3.04, 	(0.174378,-0.492446);
20:01:38.377, 	1, 	2, 	26.1062, 	23.9679, 	1, 	-1.38778e-15, 	3.04, 	(-0.0679632,0.413891);
20:01:38.398, 	1, 	2, 	25.1362, 	22.8328, 	1, 	-1.38778e-15, 	3.04, 	(-0.488461,-0.108973);
20:01:38.417, 	1, 	2, 	24.5389, 	22.9818, 	1, 	-1.38778e-15, 	3.04, 	(-0.194978,-0.163928);
20:01:38.437, 	1, 	2, 	25.0231, 	22.6253, 	1, 	-1.38778e-15, 	3.04, 	(0.217566,0.388746);
20:01:38.458, 	1, 	2, 	22.5454, 	24.6636, 	1, 	-1.38778e-15, 	3.04, 	(-0.488954,-0.269196);
20:01:38.477, 	1, 	2, 	24.6689, 	25.1237, 	1, 	-1.38778e-15, 	3.04, 	(0.277236,0.483984);
20:01:38.498, 	1, 	2, 	26.1802, 	25.7461, 	1, 	-1.38778e-15, 	3.04, 	(0.198128,0.233888);
20:01:38.518, 	1, 	2, 	21.6462, 	23.1394, 	1, 	-1.38778e-15, 	3.04, 	(0.308471,0.427013);
20:01:38.538, 	1, 	2, 	22.9448, 	24.1454, 	1, 	-1.38778e-15, 	3.04, 	(0.548677,0.0206152);
20:01:38.558, 	1, 	2, 	24.8572, 	24.4539, 	1, 	-1.38778e-15, 	3.04, 	(0.253044,-0.304023);
20:01:38.578, 	1, 	2, 	24.6158, 	24.6668, 	1, 	-1.38778e-15, 	3.04, 	(0.0507293,0.325014);
20:01:38.598, 	1, 	2, 	18.3741, 	23.3368, 	1, 	-1.38778e-15, 	3.04, 	(0.376594,-0.428611);
20:01:38.617, 	1, 	2, 	21.8304, 	24.5627, 	1, 	-1.38778e-15, 	3.04, 	(0.161321,-0.552794);
20:01:38.638, 	1, 	2, 	25.981, 	24.4963, 	1, 	-1.38778e-15, 	3.04, 	(0.287226,-0.321268);
20:01:38.658, 	1, 	2, 	25.1749, 	24.6684, 	1, 	-1.38778e-15, 	3.04, 	(-0.524898,0.225357);
20:01:38.678, 	1, 	2, 	19.7016, 	22.4222, 	1, 	-1.38778e-15, 	3.04, 	(-0.507578,-0.218232);
20:01:38.698, 	1, 	2, 	21.3415, 	22.4222, 	1, 	-1.38778e-15, 	3.04, 	(-0.507578,-0.218232);
20:01:38.718, 	1, 	2, 	22.8161, 	25.5533, 	1, 	-1.38778e-15, 	3.04, 	(-0.475639,0.367068);
20:01:38.738, 	1, 	2, 	25.0577, 	25.7732, 	1, 	-1.38778e-15, 	3.04, 	(0.379411,-0.465051);
20:01:38.758, 	1, 	2, 	28.7799, 	25.9975, 	1, 	-1.38778e-15, 	3.04, 	(0.0328069,-0.549872);
20:01:38.778, 	1, 	2, 	26.5409, 	24.495, 	1, 	-1.38778e-15, 	3.04, 	(-0.1629,-0.490156);
20:01:38.798, 	1, 	2, 	22.1726, 	22.0895, 	1, 	-1.38778e-15, 	3.04, 	(-0.432794,0.224266);
20:01:38.818, 	1, 	2, 	25.5315, 	23.7036, 	1, 	-1.38778e-15, 	3.04, 	(-0.240423,0.334535);
20:01:38.839, 	1, 	2, 	26.1361, 	24.1941, 	1, 	-1.38778e-15, 	3.04, 	(0.0916948,-0.354009);
20:01:38.858, 	1, 	2, 	26.3142, 	24.6724, 	1, 	-1.38778e-15, 	3.04, 	(0.55412,-0.1475);
20:01:38.878, 	1, 	2, 	22.756, 	25.0518, 	1, 	-1.38778e-15, 	3.04, 	(-0.421397,0.419569);
20:01:38.898, 	1, 	2, 	26.2432, 	24.9988, 	1, 	-1.38778e-15, 	3.04, 	(-0.244437,-0.347744);
20:01:38.919, 	1, 	2, 	27.2557, 	26.2917, 	1, 	-1.38778e-15, 	3.04, 	(-0.222878,-0.548629);
20:01:38.938, 	1, 	2, 	27.5995, 	24.2862, 	1, 	-1.38778e-15, 	3.04, 	(-0.543277,-0.158966);
20:01:38.959, 	1, 	2, 	27.1121, 	24.4744, 	1, 	-1.38778e-15, 	3.04, 	(-0.515164,-0.0324094);
20:01:38.979, 	1, 	2, 	24.3686, 	24.0735, 	1, 	-1.38778e-15, 	3.04, 	(0.0490278,-0.608616);
20:01:38.999, 	1, 	2, 	26.2282, 	23.7197, 	1, 	-1.38778e-15, 	3.04, 	(-0.514766,-0.307292);
20:01:39.019, 	1, 	2, 	18.8871, 	21.9943, 	1, 	-1.38778e-15, 	3.04, 	(0.332392,0.458545);
20:01:39.039, 	1, 	2, 	28.478, 	25.043, 	1, 	-1.38778e-15, 	3.04, 	(0.339574,-0.401547);
20:01:39.059, 	1, 	2, 	27.0568, 	25.1338, 	1, 	-1.38778e-15, 	3.04, 	(0.466457,0.0158062);
20:01:39.079, 	1, 	2, 	26.0007, 	24.5803, 	1, 	-1.38778e-15, 	3.04, 	(0.389145,-0.0913855);
20:01:39.099, 	1, 	2, 	27.5863, 	25.2374, 	1, 	-1.38778e-15, 	3.04, 	(-0.492158,-0.34318);
20:01:39.119, 	1, 	2, 	28.1714, 	24.4103, 	1, 	-1.38778e-15, 	3.04, 	(0.184432,0.532529);
20:01:39.139, 	1, 	2, 	28.405, 	25.1796, 	1, 	-1.38778e-15, 	3.04, 	(-0.253856,0.44237);
20:01:39.159, 	1, 	2, 	25.673, 	25.4655, 	1, 	-1.38778e-15, 	3.04, 	(-0.221101,-0.594251);
20:01:39.179, 	1, 	2, 	26.5652, 	25.217, 	1, 	-1.38778e-15, 	3.04, 	(-0.354367,-0.0118575);
20:01:39.200, 	1, 	2, 	20.3034, 	23.9825, 	1, 	-1.38778e-15, 	3.04, 	(-0.282655,0.578094);
20:01:39.220, 	1, 	2, 	27.5631, 	25.2515, 	1, 	-1.38778e-15, 	3.04, 	(-0.522665,0.118504);
20:01:39.240, 	1, 	2, 	27.4574, 	25.7811, 	1, 	-1.38778e-15, 	3.04, 	(-0.145108,-0.419948);
20:01:39.260, 	1, 	2, 	28.2885, 	25.468, 	1, 	-1.38778e-15, 	3.04, 	(0.18533,0.609957);
20:01:39.281, 	1, 	2, 	30.001, 	25.2388, 	1, 	-1.38778e-15, 	3.04, 	(0.0550333,-0.5608);
