(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);
 NEW RECORD - 10-08-2023 16:53:46time, CRC, type, snr, data_snr, data_CRC, per_val, Throughput
16:53:46.832, 	1, 	2, 	14.0109, 	15.3915, 	1, 	0, 	3.04, 	(-0.155491,0.0299155);
16:53:46.851, 	1, 	2, 	18.1468, 	16.6908, 	1, 	0, 	3.04, 	(0.0235249,-0.0311104);
16:53:46.872, 	0, 	2, 	17.3103, 	16.3814, 	1, 	0, 	3.04, 	(-0.0741516,0.00139982);
16:53:46.893, 	0, 	2, 	17.0054, 	15.5394, 	0, 	33.3333, 	2.02667, 	(0.0422079,0.0241819);
16:53:46.905, 	1, 	1, 	16.1236, 	13.4314, 	0, 	40, 	1.216, 	(-0.14267,-0.315568);(0.525872,0.0110854);(0.123643,0.60511);(-0.594841,0.373601);
16:53:46.932, 	0, 	2, 	17.046, 	16.6592, 	0, 	40, 	1.216, 	(0.0427792,0.0630855);
16:53:46.952, 	0, 	2, 	17.4512, 	12.4717, 	0, 	50, 	1.01333, 	(0.00779744,-0.0202871);
16:53:46.965, 	1, 	1, 	18.631, 	16.0302, 	0, 	50, 	0.76, 	(-0.413309,0.298137);(-0.197383,-0.606805);(0.364088,-0.326944);(0.476784,0.282594);
16:53:46.993, 	0, 	2, 	20.2885, 	14.177, 	0, 	50, 	0.76, 	(0.0346262,0.0105434);
16:53:47.012, 	0, 	2, 	18.6916, 	15.6413, 	0, 	55.5556, 	0.675556, 	(0.0855658,-0.00487642);
16:53:47.025, 	1, 	1, 	19.2049, 	16.5844, 	0, 	54.5455, 	0.304, 	(-0.443974,0.139767);(-0.0808448,-0.575968);(0.24235,-0.200016);(0.262396,0.153133);
16:53:47.053, 	0, 	2, 	18.7491, 	15.8737, 	0, 	54.5455, 	0.304, 	(0.0374445,0.00136403);
16:53:47.073, 	0, 	2, 	17.55, 	17.1264, 	0, 	58.3333, 	-7.10543e-17, 	(0.103122,-0.0117026);
16:53:47.085, 	1, 	1, 	20.676, 	17.1661, 	0, 	57.1429, 	-7.10543e-17, 	(0.0988966,0.491856);(-0.62263,-0.0159084);(-0.122596,-0.319217);(0.293943,-0.291291);
16:53:47.113, 	1, 	2, 	18.3329, 	17.5402, 	1, 	53.3333, 	0.304, 	(-0.0103835,-0.0316322);
16:53:47.133, 	0, 	2, 	18.012, 	11.7181, 	1, 	53.3333, 	0.304, 	(-0.0217692,0.0986494);
16:53:47.156, 	1, 	2, 	20.1495, 	14.5612, 	1, 	52.9412, 	0.608, 	(-0.0791599,-0.0666907);
16:53:47.167, 	1, 	1, 	22.1741, 	16.718, 	0, 	50, 	0.608, 	(0.210499,-0.676828);(0.774988,0.442434);(-0.00542179,0.75331);(-0.676456,0.382601);
16:53:47.194, 	0, 	2, 	21.2585, 	18.44, 	0, 	50, 	0.608, 	(-0.0448863,-0.0362682);
16:53:47.214, 	0, 	2, 	19.0455, 	17.519, 	0, 	52.6316, 	0.608, 	(0.0809014,0.106596);
16:53:47.226, 	1, 	1, 	20.5185, 	18.868, 	0, 	52.381, 	0.608, 	(-0.348918,0.63793);(-0.706258,-0.649903);(0.324105,-0.784054);(0.974842,-0.253688);
16:53:47.254, 	0, 	2, 	22.0913, 	17.184, 	0, 	52.381, 	0.608, 	(0.0481185,0.03013);
16:53:47.274, 	1, 	2, 	21.2105, 	16.3786, 	1, 	52.1739, 	0.912, 	(-0.0540835,-0.0456327);
16:53:47.286, 	1, 	1, 	20.7557, 	19.4117, 	0, 	50, 	0.912, 	(0.603117,0.302659);(-0.632306,0.613704);(-0.793447,-0.444221);(-0.113364,-0.96494);
16:53:47.315, 	0, 	2, 	20.7209, 	18.2897, 	0, 	50, 	0.912, 	(-0.0392873,0.0449401);
16:53:47.335, 	1, 	2, 	22.1598, 	17.6298, 	1, 	52, 	0.912, 	(0.0521127,0.0822058);
16:53:47.346, 	1, 	1, 	22.2278, 	20.1971, 	0, 	52, 	0.608, 	(5.61224e-05,-0.683821);(0.942767,0.157818);(0.2006,1.11593);(-0.773357,0.833598);
16:53:47.375, 	0, 	2, 	23.4553, 	18.191, 	0, 	52, 	0.608, 	(0.0966555,-0.0130376);
16:53:47.395, 	0, 	2, 	23.9158, 	19.1261, 	0, 	52, 	0.608, 	(0.0274303,-0.0871356);
16:53:47.407, 	1, 	1, 	22.4953, 	17.5237, 	0, 	52, 	0.608, 	(0.0553372,-0.645901);(0.851832,0.236205);(0.306252,1.19792);(-0.846539,1.02785);
16:53:47.435, 	1, 	2, 	21.475, 	18.508, 	1, 	48, 	0.912, 	(0.0485438,-0.15835);
16:53:47.456, 	0, 	2, 	25.2421, 	17.8221, 	1, 	48, 	0.912, 	(-0.0377402,0.165585);
16:53:47.476, 	1, 	2, 	24.9199, 	20.6717, 	1, 	48, 	0.912, 	(0.0958784,-0.0992651);
16:53:47.490, 	1, 	1, 	23.1969, 	20.1411, 	0, 	44, 	0.912, 	(-0.658451,0.511506);(-0.357245,-1.01917);(0.725931,-0.903146);(1.22673,0.0405972);
16:53:47.516, 	0, 	2, 	23.9836, 	20.0852, 	0, 	44, 	0.912, 	(-0.117566,-0.022876);
16:53:47.538, 	0, 	2, 	23.1634, 	20.6892, 	0, 	44, 	0.912, 	(-0.0338159,0.203867);
16:53:47.547, 	1, 	1, 	24.5785, 	23.0893, 	0, 	44, 	0.608, 	(0.222906,-0.871149);(0.940987,0.2347);(0.244633,0.395533);(-0.139479,0.419239);
16:53:47.577, 	1, 	2, 	25.9503, 	22.2581, 	1, 	40, 	0.912, 	(-0.174529,0.0670719);
16:53:47.597, 	1, 	2, 	24.5513, 	21.6287, 	1, 	40, 	1.216, 	(-0.163892,-0.00508629);
16:53:47.617, 	1, 	2, 	25.2308, 	21.771, 	1, 	40, 	1.52, 	(-0.0708672,-0.113403);
16:53:47.637, 	1, 	2, 	26.5044, 	21.8428, 	1, 	36, 	1.52, 	(0.142513,0.168495);
16:53:47.657, 	1, 	2, 	22.8908, 	21.438, 	1, 	36, 	1.824, 	(0.199517,0.189386);
16:53:47.677, 	1, 	2, 	24.3945, 	21.9207, 	1, 	36, 	1.824, 	(-0.11396,-0.208195);
16:53:47.698, 	1, 	2, 	18.8865, 	20.4611, 	1, 	32, 	2.128, 	(-0.166613,0.192653);
16:53:47.718, 	1, 	2, 	24.8347, 	19.9107, 	1, 	28, 	2.432, 	(0.143111,0.0728717);
16:53:47.738, 	1, 	2, 	22.9885, 	19.9025, 	1, 	28, 	2.736, 	(0.217388,0.0766336);
16:53:47.758, 	1, 	2, 	24.2755, 	21.2392, 	1, 	24, 	3.04, 	(-0.090556,0.114161);
16:53:47.778, 	1, 	2, 	26.3888, 	22.1731, 	1, 	24, 	3.04, 	(-0.145215,0.199323);
16:53:47.798, 	1, 	2, 	26.8991, 	21.8044, 	1, 	24, 	3.04, 	(0.166595,-0.186434);
16:53:47.818, 	1, 	2, 	25.0214, 	22.2842, 	1, 	20, 	3.04, 	(-0.355591,-0.0551846);
16:53:47.839, 	1, 	2, 	26.458, 	23.0911, 	1, 	20, 	3.04, 	(0.140236,-0.18539);
16:53:47.859, 	1, 	2, 	20.9998, 	23.0133, 	1, 	20, 	3.04, 	(0.137831,0.407755);
16:53:47.879, 	1, 	2, 	27.856, 	24.0999, 	1, 	16, 	3.04, 	(-0.191369,0.26208);
16:53:47.899, 	1, 	2, 	27.4889, 	25.4087, 	1, 	12, 	3.04, 	(0.307885,-0.137381);
16:53:47.913, 	1, 	2, 	22.9503, 	24.654, 	1, 	12, 	3.04, 	(0.285436,0.471824);
16:53:47.930, 	1, 	2, 	29.7469, 	25.898, 	1, 	12, 	3.04, 	(0.376517,0.743156);
16:53:47.950, 	1, 	2, 	24.4452, 	25.3426, 	1, 	8, 	3.04, 	(0.18546,-0.908669);
16:53:47.970, 	1, 	2, 	27.3701, 	25.5299, 	1, 	8, 	3.04, 	(-0.891191,-0.0242374);
16:53:47.990, 	0, 	2, 	27.8331, 	25.0954, 	1, 	8, 	3.04, 	(0.0570111,0.43562);
16:53:48.010, 	1, 	1, 	24.9124, 	21.8238, 	0, 	8, 	2.432, 	(1.19167,0.286653);(-0.266548,1.74296);(-1.625,1.29028);(-2.28443,0.397815);
16:53:48.030, 	1, 	1, 	26.208, 	22.519, 	0, 	4, 	2.128, 	(-1.14426,0.641546);(-1.02189,-1.48535);(0.269421,-1.82758);(1.26187,-1.69071);
16:53:48.051, 	1, 	2, 	26.0808, 	24.3387, 	1, 	4, 	2.128, 	(0.319516,0.0958569);
16:53:48.073, 	1, 	2, 	19.9893, 	22.8481, 	1, 	4, 	2.128, 	(0.412031,-0.180914);
16:53:48.092, 	1, 	2, 	23.561, 	21.8203, 	1, 	4, 	2.128, 	(0.0670565,-0.433034);
16:53:48.111, 	1, 	2, 	25.056, 	25.7352, 	1, 	4, 	2.128, 	(0.392095,-0.566694);
16:53:48.131, 	1, 	2, 	26.4336, 	21.0639, 	1, 	4, 	2.128, 	(-0.357591,-0.155333);
16:53:48.151, 	1, 	2, 	27.0534, 	25.2155, 	1, 	4, 	2.128, 	(0.309974,-0.325958);
16:53:48.171, 	1, 	2, 	23.739, 	24.6171, 	1, 	4, 	2.128, 	(0.499225,-0.155168);
16:53:48.191, 	1, 	2, 	26.2089, 	24.1087, 	1, 	4, 	2.432, 	(-0.0679423,-0.271302);
16:53:48.211, 	1, 	2, 	25.0857, 	15.8906, 	1, 	4, 	2.736, 	(0.0549576,-0.129368);
16:53:48.232, 	1, 	2, 	24.1197, 	14.4119, 	1, 	4, 	3.04, 	(0.0433652,0.111302);
16:53:48.252, 	0, 	2, 	22.1629, 	14.3819, 	1, 	4, 	3.04, 	(-0.0918367,-0.013424);
16:53:48.271, 	1, 	1, 	22.2493, 	21.8299, 	0, 	8, 	2.432, 	(0.275475,-0.529052);(0.779374,0.193048);(0.420807,0.712193);(0.154452,0.890382);
16:53:48.291, 	1, 	1, 	23.0704, 	20.725, 	0, 	8, 	2.128, 	(-0.179422,-0.615698);(0.646902,-0.306701);(0.74789,0.107197);(0.672928,0.460098);
16:53:48.312, 	1, 	2, 	21.2069, 	21.7336, 	1, 	8, 	2.128, 	(-0.27532,0.0423094);
16:53:48.332, 	0, 	2, 	22.0427, 	21.2605, 	1, 	8, 	2.128, 	(0.0727714,-0.195053);
16:53:48.352, 	0, 	2, 	14.4551, 	16.0917, 	0, 	12, 	1.824, 	(-0.0756003,-0.161822);
16:53:48.371, 	1, 	1, 	21.8193, 	21.5823, 	0, 	16, 	1.216, 	(-0.11516,0.432985);(-0.527388,0.105378);(-0.535496,-0.228518);(-0.416019,-0.424366);
16:53:48.393, 	0, 	2, 	14.0437, 	15.9764, 	0, 	16, 	1.216, 	(-0.212618,-0.042622);
16:53:48.413, 	0, 	2, 	15.5014, 	16.8984, 	0, 	20, 	0.912, 	(-0.109481,-0.0838769);
16:53:48.432, 	0, 	1, 	15.4489, 	17.1217, 	0, 	24, 	0.608, 	(0.182408,0.20281);(0.014107,0.379515);(0.0781429,0.114716);(0.204057,0.273336);
16:53:48.452, 	1, 	1, 	19.5117, 	17.9135, 	0, 	28, 	0.304, 	(0.00152672,0.262785);(-0.39429,0.0695789);(-0.484685,-0.365779);(-0.334835,-0.46938);
16:53:48.473, 	0, 	2, 	14.4179, 	15.9986, 	0, 	28, 	0.304, 	(0.107121,-0.00642042);
16:53:48.493, 	1, 	2, 	19.7082, 	20.2555, 	1, 	28, 	0.608, 	(0.19412,0.0745653);
16:53:48.512, 	1, 	1, 	14.8759, 	17.5019, 	0, 	28, 	0.304, 	(-0.131537,0.212413);(-0.249646,0.0310677);(-0.0932185,0.122788);(-0.167937,0.0984362);
16:53:48.534, 	1, 	2, 	19.5561, 	17.69, 	1, 	28, 	0.608, 	(-0.0874141,-0.0951242);
16:53:48.554, 	0, 	2, 	13.7088, 	12.313, 	1, 	28, 	0.608, 	(-0.0825378,-0.00216381);
16:53:48.576, 	1, 	2, 	12.6794, 	12.77, 	1, 	32, 	0.912, 	(-0.0593173,-0.00740549);
16:53:48.594, 	0, 	1, 	15.2666, 	-0.273783, 	1, 	32, 	0.912, 	(-0.0167546,0.260706);(-0.264195,-0.0194172);(-0.150171,-0.21112);(-0.0796663,-0.285899);
16:53:48.615, 	0, 	2, 	18.2201, 	15.6482, 	0, 	36, 	0.912, 	(-0.0840205,0.0028375);
16:53:48.632, 	1, 	1, 	13.9405, 	14.0365, 	0, 	40, 	0.912, 	(0.257476,0.130568);(0.0600663,0.234049);(-0.0540764,0.203821);(-0.118838,0.0589173);
16:53:48.655, 	0, 	2, 	15.7021, 	11.5362, 	0, 	40, 	0.912, 	(0.0402396,0.0852369);
16:53:48.675, 	0, 	2, 	17.4382, 	16.0859, 	0, 	44, 	0.912, 	(0.0205309,-0.0849327);
16:53:48.693, 	1, 	1, 	17.0571, 	18.6796, 	0, 	48, 	0.608, 	(-0.074043,0.216736);(-0.332543,0.049698);(-0.261694,-0.00232349);(-0.292689,-0.0780836);
16:53:48.718, 	0, 	2, 	13.3093, 	6.48434, 	0, 	48, 	0.608, 	(0.05509,-0.0633629);
16:53:48.735, 	0, 	2, 	13.3283, 	13.0818, 	0, 	52, 	0.608, 	(0.11386,0.0106029);
16:53:48.753, 	1, 	1, 	11.6955, 	10.6017, 	0, 	52, 	0.304, 	(0.0619766,-0.0437353);(0.184331,0.0276421);(0.158595,0.039461);(0.127192,0.0761793);
16:53:48.773, 	0, 	1, 	7.69305, 	6.35526, 	0, 	52, 	0.304, 	(0.000712967,0.0455569);(-0.102629,-0.00139911);(-0.0832096,-0.0448781);(-0.0745422,0.00660473);
16:53:48.793, 	0, 	1, 	10.0756, 	5.20465, 	0, 	56, 	-7.10543e-17, 	(-0.107871,0.0509196);(-0.0652892,-0.103995);(0.0248032,-0.0303702);(0.0231259,-0.0205194);
16:53:48.813, 	1, 	1, 	13.6205, 	15.5324, 	0, 	60, 	-7.10543e-17, 	(-0.0524633,-0.275474);(0.12704,-0.0264535);(0.130735,-0.0844956);(0.0986707,0.0853952);
16:53:48.836, 	0, 	1, 	12.4193, 	-1.33644, 	0, 	60, 	-7.10543e-17, 	(-0.0161067,0.159342);(-0.0981935,0.204437);(-0.231811,0.103621);(-0.156228,0.0807934);
16:53:48.856, 	0, 	2, 	8.62197, 	8.27716, 	0, 	60, 	-7.10543e-17, 	(0.0468799,-0.00913483);
16:53:48.879, 	0, 	1, 	9.61692, 	5.35104, 	0, 	60, 	-7.10543e-17, 	(-0.0128575,0.0885885);(-0.145644,0.0510043);(-0.0800249,-0.0587642);(-0.096683,0.0314977);
16:53:48.894, 	1, 	1, 	10.4945, 	10.4665, 	0, 	60, 	-7.10543e-17, 	(-0.075361,-0.0030182);(-0.137024,0.153005);(-0.140461,-0.124051);(-0.0796147,0.105047);
16:53:48.918, 	0, 	2, 	8.3173, 	3.25823, 	0, 	60, 	-7.10543e-17, 	(-0.000894435,-0.0145764);
16:53:48.954, 	1, 	1, 	7.59129, 	9.94891, 	0, 	56, 	-7.10543e-17, 	(0.0235088,0.00938176);(0.0858546,0.130902);(-0.0649972,-0.00889831);(0.100119,0.0454935);
16:53:48.977, 	0, 	2, 	9.92993, 	6.07047, 	0, 	56, 	-7.10543e-17, 	(-0.0198254,0.0175996);
16:53:48.997, 	0, 	2, 	7.68756, 	7.1447, 	0, 	60, 	-7.10543e-17, 	(0.0312613,-0.00395985);
16:53:49.034, 	0, 	1, 	8.71523, 	8.56439, 	0, 	60, 	-7.10543e-17, 	(-0.062017,0.0654574);(0.185896,-0.0931887);(-0.112464,0.155838);(0.0937047,-0.136345);
16:53:49.057, 	0, 	1, 	-0.0217713, 	-1.85607, 	0, 	64, 	-7.10543e-17, 	(0.00319234,-0.00167255);(0.011223,0.00282047);(0.0150893,0.000203009);(0.00493571,-0.0214358);
16:53:49.075, 	1, 	1, 	14.0455, 	11.4849, 	0, 	68, 	-7.10543e-17, 	(0.0281944,-0.0131798);(0.161376,0.356166);(0.00745443,-0.109816);(0.125692,0.0566245);
16:53:49.097, 	0, 	1, 	11.4728, 	-1.56441, 	0, 	68, 	-7.10543e-17, 	(-0.176686,-0.0749893);(0.04951,-0.11083);(-0.00643846,-0.0309001);(-0.0299009,-0.0139599);
16:53:49.122, 	0, 	1, 	-1.90882, 	-0.720337, 	0, 	68, 	-7.10543e-17, 	(-0.00811795,0.0157771);(-0.0188119,0.025638);(0.013239,0.0225682);(0.0124377,-0.00665198);
16:53:49.135, 	0, 	1, 	10.6103, 	10.3731, 	0, 	72, 	-7.10543e-17, 	(0.024203,-0.0356947);(-0.139481,-0.154619);(0.266498,0.239761);(-0.273666,-0.178262);
16:53:49.155, 	1, 	1, 	15.4661, 	13.5603, 	0, 	68, 	-7.10543e-17, 	(-0.0172111,-0.341268);(-0.424738,0.0380314);(0.0260824,-0.278957);(-0.193999,0.112702);
16:53:49.178, 	0, 	2, 	13.8481, 	12.1699, 	0, 	68, 	-7.10543e-17, 	(0.0544815,-0.0378209);
16:53:49.199, 	0, 	2, 	15.4712, 	10.2877, 	0, 	72, 	-7.10543e-17, 	(0.00702479,-0.0281527);
16:53:49.215, 	0, 	1, 	12.9337, 	11.3333, 	0, 	72, 	-7.10543e-17, 	(0.527141,0.342656);(-0.491088,-0.10583);(0.330353,0.456375);(-0.260561,-0.0507049);
16:53:49.235, 	1, 	1, 	17.9093, 	11.919, 	0, 	72, 	-7.10543e-17, 	(-0.0219985,-0.628763);(-0.380358,0.183098);(0.0258281,-0.442008);(-0.219812,0.147468);
16:53:49.255, 	1, 	1, 	13.9223, 	9.13866, 	0, 	68, 	-7.10543e-17, 	(0.366794,-0.305805);(-0.759441,-0.0275135);(0.351096,-0.0617459);(-0.695236,0.349785);
16:53:49.280, 	0, 	2, 	15.6965, 	6.90535, 	0, 	68, 	-7.10543e-17, 	(-0.0227697,-0.00881817);
16:53:49.299, 	1, 	2, 	13.3069, 	13.0187, 	1, 	68, 	0.304, 	(0.0737694,0.0256545);
16:53:49.318, 	0, 	1, 	11.3281, 	-1.07991, 	1, 	68, 	0.304, 	(0.0352668,0.0764827);(0.16104,0.0904602);(-0.470086,-0.230436);(0.264555,-0.0923085);
16:53:49.340, 	0, 	2, 	15.7173, 	12.657, 	0, 	68, 	0.304, 	(-0.0923058,0.0356186);
16:53:49.356, 	1, 	1, 	17.3836, 	12.3027, 	0, 	68, 	0.304, 	(0.10991,-0.376402);(-0.653717,0.225692);(0.52193,-0.424536);(-0.540486,0.647709);
16:53:49.380, 	1, 	2, 	13.5502, 	14.4879, 	1, 	64, 	0.608, 	(0.0163154,-0.048302);
16:53:49.402, 	0, 	2, 	11.9507, 	5.35478, 	1, 	64, 	0.608, 	(0.0399832,-0.0674801);
16:53:49.420, 	1, 	2, 	17.8087, 	14.3151, 	1, 	60, 	0.912, 	(0.0735099,0.114146);
16:53:49.436, 	1, 	1, 	16.6762, 	16.0199, 	0, 	60, 	0.912, 	(-0.0221412,-0.396768);(-0.363083,0.44565);(0.106183,-0.443403);(-0.201913,0.760732);
16:53:49.460, 	1, 	2, 	16.3528, 	12.2603, 	1, 	56, 	1.216, 	(0.0702421,-0.0486516);
16:53:49.481, 	1, 	2, 	16.6168, 	14.1896, 	1, 	56, 	1.52, 	(0.00739118,0.0558346);
16:53:49.501, 	0, 	2, 	16.7182, 	9.50035, 	1, 	56, 	1.52, 	(-0.0211858,0.018799);
16:53:49.521, 	0, 	2, 	19.3454, 	7.86034, 	0, 	56, 	1.216, 	(-0.0186903,0.0765041);
16:53:49.537, 	1, 	1, 	16.8214, 	14.3265, 	0, 	52, 	1.216, 	(0.0601041,0.152993);(-0.729466,0.0409282);(0.00391583,0.255396);(-0.093589,0.228942);
16:53:49.561, 	0, 	2, 	21.8274, 	15.6254, 	0, 	52, 	1.216, 	(0.0635829,0.0633841);
16:53:49.581, 	0, 	2, 	20.6022, 	10.2543, 	0, 	52, 	1.216, 	(-0.00678453,-0.0153361);
16:53:49.597, 	1, 	1, 	19.1727, 	16.073, 	0, 	52, 	0.912, 	(-0.0848282,0.210794);(0.907024,-0.186433);(-0.287591,-0.18883);(0.46444,-0.664236);
16:53:49.622, 	0, 	2, 	18.7077, 	16.6144, 	0, 	52, 	0.912, 	(-0.064892,0.0400028);
16:53:49.642, 	0, 	2, 	23.7449, 	15.0179, 	0, 	52, 	0.608, 	(0.0573109,0.0635835);
16:53:49.657, 	1, 	1, 	24.7527, 	21.3216, 	0, 	52, 	0.304, 	(-0.147409,0.572747);(0.855813,0.735448);(0.176632,0.0510169);(0.65313,-0.255553);
16:53:49.682, 	1, 	2, 	21.7276, 	20.0102, 	1, 	48, 	0.304, 	(0.0155153,0.160873);
16:53:49.702, 	1, 	2, 	18.3927, 	21.0254, 	1, 	44, 	0.608, 	(0.0594107,-0.323484);
16:53:49.722, 	1, 	2, 	22.1102, 	20.8053, 	1, 	40, 	0.912, 	(-0.29647,0.0588044);
