(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);17:18:45.054, 	0, 	1, 	12.1214, 	-1.7537, 	1, 	9.71445e-15, 	3.04, 	(0.218593,0.0771174);(-0.279566,0.222318);(-0.185415,-0.214869);(0.235635,-0.229537);
17:19:00.627, 	1, 	2, 	18.5902, 	21.337, 	1, 	4, 	2.736, 	(-0.0806804,-0.191452);
17:19:00.646, 	1, 	2, 	20.0519, 	21.4963, 	1, 	4, 	2.736, 	(0.284719,-0.0701221);
17:19:00.667, 	1, 	2, 	18.9339, 	21.3074, 	1, 	4, 	2.736, 	(0.253899,0.239681);
17:19:00.687, 	1, 	2, 	21.2255, 	22.4093, 	1, 	4, 	2.736, 	(-0.229988,-0.110614);
17:19:00.708, 	1, 	2, 	19.5266, 	22.1295, 	1, 	4, 	2.736, 	(-0.161815,-0.126418);
17:19:00.727, 	1, 	2, 	20.1884, 	22.258, 	1, 	4, 	2.736, 	(-0.270302,0.148588);
17:19:00.747, 	1, 	2, 	21.1702, 	20.986, 	1, 	4, 	2.736, 	(-0.128051,-0.232435);
17:19:00.768, 	1, 	2, 	18.9716, 	22.35, 	1, 	4, 	2.736, 	(0.154358,-0.306724);
17:19:00.788, 	1, 	2, 	16.8882, 	20.99, 	1, 	4, 	2.736, 	(-0.258403,0.221963);
17:19:00.808, 	1, 	2, 	18.3053, 	21.8428, 	1, 	4, 	3.04, 	(-0.0557292,0.348358);
17:19:00.828, 	1, 	2, 	19.3631, 	21.7228, 	1, 	4, 	3.04, 	(-0.169353,-0.149709);
17:19:00.848, 	1, 	2, 	19.9026, 	22.5243, 	1, 	4, 	3.04, 	(0.0965167,0.142194);
17:19:00.868, 	1, 	2, 	18.1505, 	21.198, 	1, 	4, 	3.04, 	(0.309962,0.196674);
17:19:00.889, 	1, 	2, 	23.0701, 	20.3048, 	1, 	4, 	3.04, 	(0.108895,0.157937);
17:19:00.909, 	1, 	2, 	21.4805, 	23.1921, 	1, 	4, 	3.04, 	(-0.0265527,-0.38058);
17:19:00.929, 	1, 	2, 	21.141, 	22.3164, 	1, 	4, 	3.04, 	(0.324683,0.14751);
17:19:00.949, 	1, 	2, 	20.7272, 	23.0063, 	1, 	4, 	3.04, 	(-0.042337,-0.405479);
17:19:00.970, 	1, 	2, 	20.6589, 	22.6243, 	1, 	4, 	3.04, 	(0.24513,-0.0504856);
17:19:00.989, 	1, 	2, 	21.9645, 	22.9547, 	1, 	4, 	3.04, 	(0.230221,0.297838);
