(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);17:07:07.134, 	1, 	1, 	9.68423, 	7.14588, 	0, 	9.71445e-15, 	2.736, 	(-0.136477,0.103067);(-0.0535587,-0.296173);(0.217864,-0.0670645);(0.11251,0.262192);
17:07:22.055, 	0, 	2, 	15.2089, 	10.7047, 	0, 	9.71445e-15, 	2.736, 	(-0.0183073,-0.0530679);
17:07:22.069, 	0, 	2, 	14.8503, 	11.8272, 	0, 	4, 	2.432, 	(0.0489309,0.00230425);
17:07:22.085, 	1, 	1, 	14.9148, 	10.9853, 	0, 	8, 	1.824, 	(0.125694,-0.115559);(0.102882,0.0203572);(-0.102882,-0.0203572);(0.125694,-0.115559);
17:07:22.105, 	1, 	1, 	14.1666, 	12.3686, 	0, 	8, 	1.52, 	(-0.117153,-0.195713);(0.206957,-0.236386);(0.263985,-0.191547);(0.235076,-0.12148);
17:07:22.130, 	0, 	2, 	14.0966, 	12.3686, 	0, 	8, 	1.52, 	(-0.117153,-0.195713);(0.206957,-0.236386);(0.263985,-0.191547);(0.235076,-0.12148);
17:07:22.154, 	0, 	2, 	13.5144, 	6.06937, 	0, 	12, 	1.216, 	(0.0666774,0.0860449);
17:07:22.171, 	1, 	1, 	15.153, 	14.7834, 	0, 	16, 	0.608, 	(-0.0608052,0.23153);(-0.343346,0.14349);(-0.387793,0.00609718);(-0.328768,-0.167158);
17:07:22.186, 	1, 	1, 	14.7847, 	13.6254, 	0, 	16, 	0.304, 	(0.130084,-0.16892);(0.336396,-0.00246981);(0.315106,0.180956);(0.307672,0.276443);
17:07:22.211, 	1, 	2, 	16.8523, 	14.171, 	1, 	16, 	0.304, 	(0.05794,0.0331088);
17:07:22.231, 	0, 	2, 	15.2402, 	14.9019, 	1, 	16, 	0.304, 	(0.0949532,-0.0284742);
17:07:22.251, 	0, 	2, 	15.3798, 	15.8524, 	0, 	20, 	0.304, 	(-0.0165218,-0.0910824);
17:07:22.266, 	0, 	1, 	15.5961, 	12.2423, 	0, 	24, 	0.304, 	(0.270032,0.114595);(-0.0452703,0.398251);(-0.166498,0.362528);(-0.366484,0.357144);
17:07:22.286, 	1, 	1, 	14.3284, 	15.9915, 	0, 	28, 	0.304, 	(-0.293897,-0.0935993);(-0.0380146,-0.397326);(0.103328,-0.409081);(0.29183,-0.368662);
17:07:22.306, 	1, 	1, 	16.9775, 	15.5459, 	0, 	28, 	0.304, 	(0.0355886,-0.205122);(0.331575,-0.140425);(0.186832,0.0151175);(0.129328,0.146996);
17:07:22.332, 	0, 	2, 	16.4793, 	13.1424, 	0, 	28, 	0.304, 	(0.085592,0.00639508);
17:07:22.352, 	1, 	2, 	16.1176, 	16.0226, 	1, 	32, 	0.608, 	(-0.0789901,0.0152515);
17:07:22.366, 	1, 	1, 	16.4756, 	16.9491, 	0, 	32, 	0.608, 	(0.226497,0.303628);(-0.116512,0.333701);(0.00210731,0.102256);(-0.0187097,0.191394);
17:07:22.392, 	0, 	2, 	16.3427, 	17.9618, 	0, 	32, 	0.608, 	(-0.134957,-0.0246764);
17:07:22.414, 	0, 	2, 	16.3097, 	8.9413, 	0, 	36, 	0.608, 	(-0.141243,0.115353);
17:07:22.427, 	1, 	1, 	14.4356, 	13.9521, 	0, 	40, 	0.304, 	(-0.188754,0.26406);(-0.477341,-0.0315809);(-0.555735,-0.186226);(-0.52848,-0.313526);
17:07:22.453, 	0, 	2, 	16.9499, 	15.0585, 	0, 	40, 	0.304, 	(-0.107625,-0.108873);
17:07:22.473, 	0, 	2, 	15.0892, 	10.2758, 	0, 	44, 	0.304, 	(-0.142008,0.0605064);
17:07:22.487, 	1, 	1, 	15.6562, 	13.776, 	0, 	48, 	0.304, 	(-0.180074,-0.0921073);(-0.0338351,-0.413808);(0.211566,-0.366166);(0.252567,-0.439426);
17:07:22.507, 	1, 	1, 	14.1382, 	15.1697, 	0, 	48, 	0.304, 	(-0.0866345,-0.253428);(0.271543,-0.269611);(0.311479,-0.149661);(0.420586,-0.176558);
17:07:22.533, 	1, 	2, 	15.8416, 	16.1093, 	1, 	48, 	0.608, 	(-0.0137985,0.0352973);
17:07:22.553, 	0, 	2, 	14.9423, 	16.1894, 	1, 	48, 	0.608, 	(-0.00395583,-0.00703762);
17:07:22.573, 	0, 	2, 	16.6905, 	14.8545, 	0, 	48, 	0.304, 	(-9.85319e-05,-0.0043217);
17:07:22.588, 	1, 	1, 	15.9678, 	12.918, 	0, 	48, 	0.304, 	(-0.177932,-0.372716);(0.527423,-0.00972696);(0.0662175,0.36084);(-0.407103,0.186622);
17:07:22.614, 	1, 	2, 	16.2761, 	20.4627, 	1, 	48, 	0.608, 	(-0.206219,0.100986);
17:07:22.634, 	1, 	2, 	15.5283, 	11.7635, 	1, 	44, 	0.912, 	(0.0296914,-0.000792269);
