2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	1.34299, 	1.34299, 	26.1534, 	1, 	1.52
2, 	1.34299, 	1.34299, 	0, 	0, 	1.52
2, 	1.34299, 	1.34299, 	11.5823, 	0, 	-7.10543e-17
2, 	1.34299, 	1.34299, 	6.70048, 	0, 	-7.10543e-17
1, 	1.34299, 	1.34299, 	12.1432, 	0, 	-7.10543e-17
1, 	1.34299, 	1.34299, 	-1.32588, 	0, 	-7.10543e-17
1, 	1.34299, 	1.34299, 	8.83338, 	0, 	-7.10543e-17
1, 	1.34299, 	1.34299, 	-1.34325, 	0, 	-7.10543e-17
1, 	1.34299, 	1.34299, 	10.4002, 	0, 	-7.10543e-17
1, 	1.34299, 	1.34299, 	9.9591, 	0, 	-7.10543e-17
1, 	1.34299, 	1.34299, 	9.62525, 	0, 	-7.10543e-17
1, 	1.34299, 	1.34299, 	8.74105, 	0, 	-7.10543e-17
1, 	1.34299, 	1.34299, 	8.93555, 	0, 	-7.10543e-17
1, 	0.447628, 	0.447628, 	8.50603, 	0, 	-7.10543e-17
1, 	0.447628, 	0.447628, 	0, 	0, 	-7.10543e-17
1, 	0.447628, 	0.447628, 	8.2301, 	0, 	-7.10543e-17
1, 	0.447628, 	0.447628, 	0, 	0, 	-7.10543e-17
1, 	27.4476, 	27.4476, 	7.58043, 	0, 	-7.10543e-17
1, 	27.4476, 	27.4476, 	8.96295, 	0, 	-7.10543e-17
1, 	27.4476, 	27.4476, 	11.3345, 	0, 	-7.10543e-17
1, 	27.4476, 	27.4476, 	10.0207, 	0, 	-7.10543e-17
1, 	23.4805, 	23.4805, 	12.2873, 	1, 	-7.10543e-17
1, 	23.4805, 	23.4805, 	14.4299, 	1, 	-7.10543e-17
1, 	23.4805, 	23.4805, 	0, 	0, 	-7.10543e-17
2, 	34.772, 	34.772, 	14.8869, 	1, 	0.304
2, 	34.772, 	34.772, 	15.7267, 	1, 	0.608
2, 	29.4845, 	29.4845, 	15.7661, 	1, 	0.912
2, 	29.4845, 	29.4845, 	15.1577, 	1, 	1.216
2, 	22.508, 	22.508, 	17.3284, 	1, 	1.52
2, 	22.508, 	22.508, 	15.7761, 	1, 	1.824
2, 	24.4603, 	24.4603, 	16.4717, 	1, 	2.128
2, 	24.4603, 	24.4603, 	8.34062, 	0, 	2.128
2, 	21.5423, 	21.5423, 	16.0795, 	1, 	2.432
2, 	21.5423, 	21.5423, 	15.4976, 	1, 	2.736
2, 	26.4433, 	26.4433, 	17.3017, 	1, 	2.736
2, 	26.4433, 	26.4433, 	16.6215, 	1, 	2.736
2, 	25.4477, 	25.4477, 	17.3682, 	1, 	2.736
2, 	25.4477, 	25.4477, 	17.8321, 	1, 	2.736
2, 	26.4433, 	26.4433, 	16.006, 	1, 	2.736
2, 	26.4433, 	26.4433, 	16.9978, 	1, 	2.736
2, 	29.4845, 	29.4845, 	16.4915, 	1, 	2.736
2, 	29.4845, 	29.4845, 	17.6577, 	1, 	3.04
2, 	30.5182, 	30.5182, 	17.6844, 	1, 	3.04
2, 	30.5182, 	30.5182, 	17.3785, 	1, 	3.04
2, 	31.5631, 	31.5631, 	19.2076, 	1, 	3.04
2, 	31.5631, 	31.5631, 	16.9232, 	1, 	3.04
2, 	31.5631, 	31.5631, 	18.2708, 	1, 	3.04
2, 	31.5631, 	31.5631, 	18.4156, 	1, 	3.04
2, 	31.5631, 	31.5631, 	18.7914, 	1, 	3.04
2, 	31.5631, 	31.5631, 	19.4945, 	1, 	3.04
2, 	31.5631, 	31.5631, 	18.5686, 	1, 	3.04
