(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);20:10:53.626, 	1, 	1, 	13.8722, 	6.39156, 	0, 	4, 	2.128, 	(-0.232503,-0.489783);(0.597425,0.43476);(-0.380773,0.301036);(-0.0217804,-0.221206);
20:11:13.001, 	1, 	2, 	12.2497, 	15.698, 	1, 	4, 	2.128, 	(0.0173978,0.0915734);
20:11:13.015, 	1, 	2, 	14.1125, 	16.4276, 	1, 	4, 	2.128, 	(0.187219,0.0148274);
20:11:13.035, 	1, 	2, 	15.686, 	18.4482, 	1, 	4, 	2.128, 	(0.109694,-0.153111);
20:11:13.055, 	1, 	2, 	14.1521, 	17.0922, 	1, 	4, 	2.128, 	(0.0719951,0.104831);
20:11:13.075, 	1, 	2, 	16.4993, 	20.1789, 	1, 	4, 	2.432, 	(-0.130849,0.178567);
20:11:13.095, 	1, 	2, 	16.1473, 	19.7016, 	1, 	4, 	2.432, 	(-0.080773,0.269969);
20:11:13.115, 	1, 	2, 	14.9698, 	16.5411, 	1, 	4, 	2.432, 	(0.0979835,-0.102643);
20:11:13.135, 	1, 	2, 	14.7097, 	14.4578, 	1, 	4, 	2.736, 	(0.0603184,0.0613923);
20:11:13.155, 	1, 	2, 	14.9061, 	14.837, 	1, 	4, 	2.736, 	(0.0990072,-0.0905557);
20:11:13.175, 	1, 	2, 	15.0423, 	13.587, 	1, 	4, 	3.04, 	(-0.117483,0.0470385);
20:11:13.196, 	1, 	2, 	15.6086, 	18.1192, 	1, 	4, 	3.04, 	(0.125505,-0.0767815);
20:11:13.216, 	1, 	2, 	15.2132, 	17.8398, 	1, 	4, 	3.04, 	(-0.144286,0.0391437);
20:11:13.237, 	1, 	2, 	15.0075, 	18.6244, 	1, 	4, 	3.04, 	(0.0113298,-0.124159);
20:11:13.256, 	1, 	2, 	15.3057, 	19.2225, 	1, 	4, 	3.04, 	(-0.215648,0.0298536);
20:11:13.276, 	1, 	2, 	15.6038, 	17.4938, 	1, 	4, 	3.04, 	(-0.193192,0.0291292);
20:11:13.296, 	1, 	2, 	15.161, 	18.5651, 	1, 	4, 	3.04, 	(0.00501653,0.202436);
20:11:13.316, 	1, 	2, 	15.2928, 	16.2006, 	1, 	4, 	3.04, 	(-0.0229499,-0.0845819);
20:11:13.336, 	1, 	2, 	16.1934, 	18.3606, 	1, 	4, 	3.04, 	(0.12857,-0.127649);
20:11:13.356, 	1, 	2, 	17.913, 	18.8534, 	1, 	4, 	3.04, 	(0.100928,-0.19557);
20:11:13.376, 	1, 	2, 	15.9321, 	17.3571, 	1, 	-1.38778e-15, 	3.04, 	(0.0582404,0.1911);
20:11:13.396, 	1, 	2, 	16.9367, 	16.5108, 	1, 	-1.38778e-15, 	3.04, 	(-0.0290451,-0.140309);
20:11:13.416, 	1, 	2, 	16.719, 	18.4345, 	1, 	-1.38778e-15, 	3.04, 	(0.183824,0.116709);
20:11:13.438, 	1, 	2, 	19.4874, 	20.1612, 	1, 	-1.38778e-15, 	3.04, 	(-0.164961,0.134542);
