2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-1.34299, 	-1.34299, 	26.1534, 	1, 	1.52
2, 	-1.34299, 	-1.34299, 	15.6889, 	0, 	0.912
1, 	-0.447628, 	-0.447628, 	13.1231, 	1, 	0.608
2, 	34.772, 	34.772, 	9.46684, 	0, 	0.608
1, 	-1.34299, 	-1.34299, 	11.0685, 	1, 	0.608
2, 	-1.34299, 	-1.34299, 	12.5761, 	1, 	0.608
2, 	28.4611, 	28.4611, 	12.7914, 	0, 	0.608
1, 	-2.23869, 	-2.23869, 	9.73265, 	0, 	0.608
1, 	-1.34299, 	-1.34299, 	13.1696, 	0, 	0.608
1, 	-1.34299, 	-1.34299, 	11.3493, 	1, 	0.304
2, 	31.5631, 	31.5631, 	10.8146, 	0, 	0.304
2, 	-1.34299, 	-1.34299, 	-2.27964, 	0, 	0.304
1, 	-1.34299, 	-1.34299, 	-1.59027, 	0, 	0.304
1, 	-2.23869, 	-2.23869, 	7.41956, 	0, 	0.304
1, 	-0.447628, 	-0.447628, 	8.40409, 	1, 	0.304
2, 	4.92994, 	4.92994, 	9.40836, 	0, 	0.304
1, 	-1.34299, 	-1.34299, 	9.48498, 	1, 	-7.10543e-17
2, 	4.03194, 	4.03194, 	9.68173, 	0, 	-7.10543e-17
1, 	-0.447628, 	-0.447628, 	0.468631, 	0, 	-7.10543e-17
1, 	4.92994, 	4.92994, 	9.51181, 	1, 	-7.10543e-17
2, 	1.34299, 	1.34299, 	14.6488, 	0, 	-7.10543e-17
1, 	-2.23869, 	-2.23869, 	11.4938, 	1, 	-7.10543e-17
2, 	-2.23869, 	-2.23869, 	11.4521, 	0, 	-7.10543e-17
1, 	-1.34299, 	-1.34299, 	12.7374, 	1, 	-7.10543e-17
2, 	1.34299, 	1.34299, 	14.1608, 	1, 	0.304
2, 	-1.34299, 	-1.34299, 	13.1561, 	0, 	0.304
1, 	-2.23869, 	-2.23869, 	13.1561, 	1, 	0.304
2, 	-4.03194, 	-4.03194, 	14.3771, 	0, 	0.304
1, 	-4.92994, 	-4.92994, 	17.4749, 	1, 	0.304
2, 	-2.23869, 	-2.23869, 	9.62156, 	0, 	0.304
1, 	-2.23869, 	-2.23869, 	21.4815, 	1, 	0.304
2, 	-5.82915, 	-5.82915, 	21.5505, 	1, 	0.608
2, 	-2.23869, 	-2.23869, 	23.2477, 	1, 	0.912
2, 	-16.8018, 	-16.8018, 	23.5418, 	1, 	1.216
2, 	-19.6296, 	-19.6296, 	26.0071, 	1, 	1.216
2, 	-20.5829, 	-20.5829, 	25.2594, 	1, 	1.52
2, 	-20.5829, 	-20.5829, 	25.3675, 	1, 	1.824
