(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);20:22:05.903, 	1, 	1, 	12.9286, 	11.6521, 	0, 	-1.38778e-15, 	2.736, 	(0.468297,-0.135688);(-0.636573,0.256847);(0.284657,-0.790726);(0.416986,0.444844);
20:22:20.113, 	0, 	2, 	13.7687, 	10.0872, 	0, 	-1.38778e-15, 	2.736, 	(0.0231703,0.054223);
20:22:20.132, 	1, 	2, 	14.2823, 	15.2711, 	1, 	4, 	2.432, 	(-0.145503,-0.0400158);
20:22:20.152, 	1, 	1, 	13.328, 	14.0094, 	0, 	4, 	2.128, 	(0.00456052,0.265556);(-0.275363,-0.0322801);(-0.0505088,-0.177383);(0.16455,-0.112493);
20:22:20.172, 	1, 	2, 	13.6048, 	18.3887, 	1, 	4, 	2.128, 	(-0.0316633,-0.18377);
20:22:20.192, 	1, 	2, 	13.868, 	17.1969, 	1, 	4, 	2.128, 	(-0.149346,0.128222);
20:22:20.213, 	1, 	2, 	16.7043, 	18.7261, 	1, 	4, 	2.128, 	(-0.125473,-0.0524728);
20:22:20.232, 	1, 	2, 	16.6092, 	18.7321, 	1, 	4, 	2.128, 	(-0.051612,0.198385);
20:22:20.252, 	1, 	2, 	16.951, 	17.2956, 	1, 	4, 	2.128, 	(0.109077,-0.0291691);
20:22:20.272, 	1, 	2, 	15.2928, 	17.9243, 	1, 	4, 	2.128, 	(-0.0706304,0.170993);
20:22:20.293, 	1, 	2, 	16.0893, 	16.5433, 	1, 	4, 	2.432, 	(-0.0330798,-0.195843);
20:22:20.312, 	1, 	2, 	14.6559, 	18.4905, 	1, 	4, 	2.736, 	(0.130166,-0.149283);
20:22:20.332, 	1, 	2, 	16.3266, 	19.9278, 	1, 	4, 	2.736, 	(-0.0434223,0.182421);
20:22:20.353, 	1, 	2, 	14.6634, 	14.8946, 	1, 	4, 	3.04, 	(0.0286537,-0.1671);
20:22:20.373, 	1, 	2, 	16.9423, 	16.8079, 	1, 	4, 	3.04, 	(-0.163043,0.00496805);
20:22:20.393, 	1, 	2, 	17.9855, 	21.5923, 	1, 	4, 	3.04, 	(0.114308,0.16496);
20:22:20.413, 	1, 	2, 	17.5835, 	17.0289, 	1, 	4, 	3.04, 	(0.182035,-0.11271);
20:22:20.433, 	1, 	2, 	19.4777, 	17.3798, 	1, 	4, 	3.04, 	(-0.128503,-0.190954);
20:22:20.453, 	1, 	2, 	18.8277, 	21.8278, 	1, 	4, 	3.04, 	(-0.151149,-0.147552);
20:22:20.473, 	1, 	2, 	18.3575, 	21.9729, 	1, 	4, 	3.04, 	(-0.179633,0.0579341);
20:22:20.493, 	1, 	2, 	19.5426, 	17.8826, 	1, 	4, 	3.04, 	(-0.174489,0.174616);
20:22:20.533, 	1, 	2, 	18.3913, 	21.3924, 	1, 	4, 	3.04, 	(0.0354697,-0.289299);
20:22:20.553, 	1, 	2, 	18.7674, 	22.1462, 	1, 	4, 	3.04, 	(0.264923,-0.128824);
20:22:20.573, 	1, 	2, 	21.0109, 	20.738, 	1, 	4, 	3.04, 	(-0.11838,0.169782);
20:22:20.593, 	1, 	2, 	20.9916, 	21.2846, 	1, 	4, 	3.04, 	(0.166523,0.0652215);
20:22:20.613, 	1, 	2, 	21.0288, 	21.4283, 	1, 	4, 	3.04, 	(0.0603759,0.281428);
20:22:20.633, 	1, 	2, 	21.3708, 	21.457, 	1, 	-1.38778e-15, 	3.04, 	(0.165037,0.214399);
20:22:20.658, 	1, 	2, 	22.7256, 	22.0932, 	1, 	-1.38778e-15, 	3.04, 	(0.0737586,0.307446);
20:22:20.674, 	1, 	2, 	20.1729, 	20.4424, 	1, 	-1.38778e-15, 	3.04, 	(-0.125247,-0.154665);
20:22:20.694, 	1, 	2, 	17.613, 	21.2473, 	1, 	-1.38778e-15, 	3.04, 	(0.0379198,-0.339232);
20:22:20.714, 	1, 	2, 	22.3479, 	22.6238, 	1, 	-1.38778e-15, 	3.04, 	(0.30096,-0.0411133);
20:22:20.734, 	1, 	2, 	21.2682, 	23.3537, 	1, 	-1.38778e-15, 	3.04, 	(-0.334764,0.156049);
20:22:20.754, 	1, 	2, 	22.4026, 	22.4169, 	1, 	-1.38778e-15, 	3.04, 	(-0.36692,0.115168);
20:22:20.774, 	1, 	2, 	23.4124, 	23.4963, 	1, 	-1.38778e-15, 	3.04, 	(0.0998388,-0.192312);
20:22:20.794, 	1, 	2, 	23.5929, 	23.6412, 	1, 	-1.38778e-15, 	3.04, 	(-0.134976,0.335927);
20:22:20.814, 	1, 	2, 	22.5858, 	20.459, 	1, 	-1.38778e-15, 	3.04, 	(-0.35606,0.171734);
20:22:20.834, 	1, 	2, 	24.2088, 	23.1825, 	1, 	-1.38778e-15, 	3.04, 	(0.120739,0.39429);
20:22:20.854, 	1, 	2, 	25.0638, 	23.0965, 	1, 	-1.38778e-15, 	3.04, 	(-0.118593,0.206307);
20:22:20.874, 	1, 	2, 	25.8358, 	23.1459, 	1, 	-1.38778e-15, 	3.04, 	(0.401624,-0.108037);
20:22:20.895, 	1, 	2, 	25.7829, 	24.0194, 	1, 	-1.38778e-15, 	3.04, 	(-0.389776,-0.0298481);
20:22:20.915, 	1, 	2, 	26.5672, 	24.1493, 	1, 	-1.38778e-15, 	3.04, 	(0.402215,0.0170127);
20:22:20.935, 	1, 	2, 	26.5954, 	25.4515, 	1, 	-1.38778e-15, 	3.04, 	(0.570371,0.0244169);
20:22:20.955, 	1, 	2, 	19.3853, 	23.182, 	1, 	-1.38778e-15, 	3.04, 	(0.0773154,-0.578924);
20:22:20.975, 	1, 	2, 	26.8439, 	24.5594, 	1, 	-1.38778e-15, 	3.04, 	(-0.367657,0.394672);
20:22:20.995, 	1, 	2, 	27.1557, 	25.1784, 	1, 	-1.38778e-15, 	3.04, 	(-0.473944,0.0274793);
20:22:21.015, 	1, 	2, 	26.422, 	25.0111, 	1, 	-1.38778e-15, 	3.04, 	(0.0124197,0.548584);
20:22:21.035, 	1, 	2, 	19.3832, 	22.0191, 	1, 	-1.38778e-15, 	3.04, 	(0.132981,0.527862);
20:22:21.055, 	1, 	2, 	28.4758, 	25.2147, 	1, 	-1.38778e-15, 	3.04, 	(0.4602,0.23049);
20:22:21.075, 	1, 	2, 	27.9598, 	25.3236, 	1, 	-1.38778e-15, 	3.04, 	(0.113729,0.507298);
20:22:21.096, 	1, 	2, 	25.724, 	25.0924, 	1, 	-1.38778e-15, 	3.04, 	(0.694804,0.083153);
20:22:21.115, 	1, 	2, 	29.4931, 	24.9083, 	1, 	-1.38778e-15, 	3.04, 	(-0.538704,-0.363961);
20:22:21.136, 	1, 	2, 	28.4572, 	24.9701, 	1, 	-1.38778e-15, 	3.04, 	(-0.37132,-0.491839);
20:22:21.156, 	1, 	2, 	24.1963, 	24.8862, 	1, 	-1.38778e-15, 	3.04, 	(-0.713269,0.248931);
20:22:21.176, 	1, 	2, 	28.785, 	25.9855, 	1, 	-1.38778e-15, 	3.04, 	(0.357351,-0.39166);
20:22:21.196, 	1, 	2, 	30.3818, 	26.5296, 	1, 	-1.38778e-15, 	3.04, 	(-0.725091,0.297043);
20:22:21.216, 	1, 	2, 	30.5991, 	26.0794, 	1, 	-1.38778e-15, 	3.04, 	(-0.570592,-0.486342);
20:22:21.236, 	1, 	2, 	28.7836, 	25.9115, 	1, 	-1.38778e-15, 	3.04, 	(0.352824,0.490591);
20:22:21.256, 	1, 	2, 	26.3787, 	25.7374, 	1, 	-1.38778e-15, 	3.04, 	(-0.000185268,-0.778314);
20:22:21.276, 	1, 	2, 	28.4327, 	25.0686, 	1, 	-1.38778e-15, 	3.04, 	(-0.179131,-0.461533);
20:22:21.302, 	1, 	2, 	19.9333, 	23.578, 	1, 	-1.38778e-15, 	3.04, 	(-0.350781,0.776764);
20:22:21.316, 	1, 	2, 	22.9767, 	21.6368, 	1, 	-1.38778e-15, 	3.04, 	(0.558953,0.373149);
20:22:21.336, 	1, 	2, 	26.4478, 	26.8636, 	1, 	-1.38778e-15, 	3.04, 	(-0.289784,0.917327);
20:22:21.356, 	1, 	2, 	28.7789, 	25.2124, 	1, 	-1.38778e-15, 	3.04, 	(-0.13622,0.577931);
20:22:21.376, 	1, 	2, 	19.639, 	24.5851, 	1, 	-1.38778e-15, 	3.04, 	(-0.796967,-0.496838);
20:22:21.397, 	1, 	2, 	21.9843, 	25.0869, 	1, 	-1.38778e-15, 	3.04, 	(0.853759,-0.358996);
