(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);20:15:26.649, 	0, 	2, 	11.2201, 	9.36513, 	0, 	64, 	-7.10543e-17, 	(-0.0337341,0.0366361);
20:15:26.666, 	0, 	2, 	10.8272, 	12.4056, 	0, 	68, 	-7.10543e-17, 	(0.0335918,-0.0389309);
20:15:26.688, 	0, 	2, 	11.7016, 	6.87854, 	0, 	72, 	-7.10543e-17, 	(-0.0725756,-0.0669302);
20:15:26.700, 	1, 	1, 	16.7498, 	10.4393, 	0, 	68, 	-7.10543e-17, 	(-0.0944968,-0.376202);(0.554561,0.256089);(-0.180981,0.325665);(-0.229128,-0.123383);
20:15:26.714, 	1, 	1, 	12.6865, 	14.0263, 	0, 	64, 	-7.10543e-17, 	(0.160691,0.297076);(-0.219416,0.0391384);(-0.0996982,-0.106441);(0.0535996,-0.138816);
20:15:26.747, 	1, 	2, 	13.4424, 	16.7483, 	1, 	60, 	0.304, 	(-0.133417,0.0653811);
20:15:26.766, 	1, 	2, 	13.3016, 	16.6534, 	1, 	60, 	0.608, 	(0.0765812,0.0505881);
20:15:26.787, 	1, 	2, 	15.3764, 	14.4961, 	1, 	56, 	0.912, 	(0.112863,-0.0920825);
20:15:26.806, 	1, 	2, 	14.3058, 	17.0765, 	1, 	52, 	1.216, 	(-0.0525582,0.151452);
20:15:26.831, 	1, 	2, 	16.0693, 	15.5723, 	1, 	48, 	1.52, 	(0.0812652,0.0451128);
20:15:26.847, 	1, 	2, 	16.1303, 	15.989, 	1, 	48, 	1.824, 	(-0.0860314,0.0832189);
20:15:26.867, 	1, 	2, 	17.119, 	19.8663, 	1, 	48, 	2.128, 	(-0.117785,0.0822711);
20:15:26.887, 	1, 	2, 	15.1003, 	18.6225, 	1, 	44, 	2.432, 	(0.0952676,0.0294391);
20:15:26.907, 	1, 	2, 	13.9212, 	18.2286, 	1, 	44, 	2.736, 	(-0.212512,0.0523427);
20:15:26.927, 	1, 	2, 	16.618, 	19.2683, 	1, 	40, 	3.04, 	(0.119069,0.2135);
20:15:26.948, 	1, 	2, 	17.8451, 	20.34, 	1, 	36, 	3.04, 	(0.122183,-0.126341);
20:15:26.967, 	1, 	2, 	19.5164, 	18.4588, 	1, 	32, 	3.04, 	(-0.0884891,0.243788);
20:15:26.987, 	1, 	2, 	16.0929, 	19.7467, 	1, 	32, 	3.04, 	(0.0365841,0.260844);
20:15:27.009, 	1, 	2, 	18.1157, 	18.4242, 	1, 	32, 	3.04, 	(-0.163331,-0.129191);
20:15:27.027, 	1, 	2, 	19.0341, 	19.896, 	1, 	28, 	3.04, 	(-0.0279517,-0.284674);
20:15:27.048, 	1, 	2, 	19.387, 	19.509, 	1, 	24, 	3.04, 	(0.270336,-0.0947988);
20:15:27.068, 	1, 	2, 	17.2792, 	18.7952, 	1, 	20, 	3.04, 	(-0.161731,0.258061);
20:15:27.088, 	1, 	2, 	20.2667, 	20.7367, 	1, 	16, 	3.04, 	(-0.095802,-0.238222);
20:15:27.109, 	1, 	2, 	19.4954, 	18.9975, 	1, 	16, 	3.04, 	(0.222723,-0.0396534);
20:15:27.128, 	1, 	2, 	20.2267, 	21.2188, 	1, 	12, 	3.04, 	(-0.147272,-0.29226);
20:15:27.148, 	1, 	2, 	17.8903, 	20.445, 	1, 	8, 	3.04, 	(-0.340296,-0.0444627);
20:15:27.168, 	1, 	2, 	19.5499, 	21.9649, 	1, 	4, 	3.04, 	(0.26085,-0.266921);
20:15:27.188, 	1, 	2, 	22.0905, 	22.2238, 	1, 	-1.38778e-15, 	3.04, 	(0.180492,-0.219691);
20:15:27.208, 	1, 	2, 	21.6765, 	24.1594, 	1, 	-1.38778e-15, 	3.04, 	(0.178354,0.166993);
20:15:27.228, 	1, 	2, 	22.132, 	23.2451, 	1, 	-1.38778e-15, 	3.04, 	(0.145749,-0.347091);
20:15:27.248, 	1, 	2, 	18.72, 	22.7866, 	1, 	-1.38778e-15, 	3.04, 	(0.0742494,-0.406947);
20:15:27.269, 	1, 	2, 	20.8816, 	23.4259, 	1, 	-1.38778e-15, 	3.04, 	(-0.436326,0.135087);
20:15:27.288, 	1, 	2, 	23.6471, 	24.226, 	1, 	-1.38778e-15, 	3.04, 	(-0.383373,-0.292427);
20:15:27.309, 	1, 	2, 	23.6888, 	22.7078, 	1, 	-1.38778e-15, 	3.04, 	(-0.0779064,0.254126);
20:15:27.328, 	1, 	2, 	19.1867, 	22.154, 	1, 	-1.38778e-15, 	3.04, 	(-0.411574,-0.224074);
20:15:27.349, 	1, 	2, 	21.8887, 	21.9674, 	1, 	-1.38778e-15, 	3.04, 	(-0.371371,0.1987);
20:15:27.369, 	1, 	2, 	23.4039, 	20.6985, 	1, 	-1.38778e-15, 	3.04, 	(0.365554,0.0748975);
20:15:27.389, 	1, 	2, 	24.8649, 	22.6819, 	1, 	-1.38778e-15, 	3.04, 	(0.0960047,-0.295724);
20:15:27.409, 	1, 	2, 	27.8113, 	24.9052, 	1, 	-1.38778e-15, 	3.04, 	(-0.515947,-0.0348521);
20:15:27.429, 	1, 	2, 	21.5203, 	24.1164, 	1, 	-1.38778e-15, 	3.04, 	(0.554629,0.215591);
20:15:27.449, 	1, 	2, 	24.9144, 	25.3888, 	1, 	-1.38778e-15, 	3.04, 	(0.516288,0.350053);
20:15:27.469, 	1, 	2, 	25.7819, 	23.9677, 	1, 	-1.38778e-15, 	3.04, 	(-0.118742,-0.353034);
20:15:27.489, 	1, 	2, 	28.3937, 	24.8596, 	1, 	-1.38778e-15, 	3.04, 	(-0.292969,0.521435);
20:15:27.510, 	1, 	2, 	26.9124, 	24.3956, 	1, 	-1.38778e-15, 	3.04, 	(-0.153433,-0.541023);
20:15:27.529, 	1, 	2, 	24.2545, 	24.6393, 	1, 	-1.38778e-15, 	3.04, 	(0.526005,-0.429018);
20:15:27.551, 	1, 	2, 	26.6171, 	25.2673, 	1, 	-1.38778e-15, 	3.04, 	(-0.122207,-0.414828);
20:15:27.570, 	1, 	2, 	18.9409, 	22.8805, 	1, 	-1.38778e-15, 	3.04, 	(0.339474,0.60111);
20:15:27.592, 	1, 	2, 	22.841, 	22.8805, 	1, 	-1.38778e-15, 	3.04, 	(0.339474,0.60111);
20:15:27.610, 	1, 	2, 	24.9504, 	26.2017, 	1, 	-1.38778e-15, 	3.04, 	(-0.453814,0.561278);
20:15:27.630, 	1, 	2, 	27.342, 	26.2098, 	1, 	-1.38778e-15, 	3.04, 	(-0.0254823,0.693807);
20:15:27.650, 	1, 	2, 	27.788, 	23.525, 	1, 	-1.38778e-15, 	3.04, 	(0.241422,0.210853);
20:15:27.670, 	1, 	2, 	29.7692, 	25.866, 	1, 	-1.38778e-15, 	3.04, 	(-0.679853,-0.077211);
20:15:27.690, 	1, 	2, 	28.5619, 	25.6833, 	1, 	-1.38778e-15, 	3.04, 	(0.605698,-0.190446);
20:15:27.711, 	1, 	2, 	28.3952, 	25.8961, 	1, 	-1.38778e-15, 	3.04, 	(-8.72463e-05,-0.776615);
20:15:27.730, 	1, 	2, 	29.703, 	14.695, 	1, 	-1.38778e-15, 	3.04, 	(-0.0459658,0.0847908);
20:15:27.751, 	1, 	2, 	30.9594, 	26.0463, 	1, 	-1.38778e-15, 	3.04, 	(0.18877,0.719422);
20:15:27.770, 	1, 	2, 	23.2643, 	25.4714, 	1, 	-1.38778e-15, 	3.04, 	(-0.735915,-0.481177);
20:15:27.790, 	1, 	2, 	29.4392, 	22.3029, 	1, 	-1.38778e-15, 	3.04, 	(-0.425558,0.0056635);
20:15:27.810, 	1, 	2, 	28.1069, 	26.4793, 	1, 	-1.38778e-15, 	3.04, 	(-0.189838,0.419306);
20:15:27.831, 	1, 	2, 	20.8312, 	24.2296, 	1, 	-1.38778e-15, 	3.04, 	(-0.626239,-0.508377);
20:15:27.851, 	1, 	2, 	23.6381, 	14.5354, 	1, 	-1.38778e-15, 	3.04, 	(0.117592,0.139303);
20:15:27.871, 	1, 	2, 	29.2635, 	24.9121, 	1, 	-1.38778e-15, 	3.04, 	(0.651035,-0.108317);
20:15:27.891, 	1, 	2, 	29.1101, 	25.306, 	1, 	-1.38778e-15, 	3.04, 	(-0.341823,-0.420767);
20:15:27.911, 	1, 	2, 	20.112, 	24.366, 	1, 	-1.38778e-15, 	3.04, 	(-0.449465,-0.832349);
20:15:27.931, 	1, 	2, 	23.3384, 	25.1359, 	1, 	-1.38778e-15, 	3.04, 	(0.674653,-0.727195);
20:15:27.951, 	1, 	2, 	30.675, 	25.5903, 	1, 	-1.38778e-15, 	3.04, 	(0.223288,-0.71303);
20:15:27.971, 	1, 	2, 	28.9722, 	25.5608, 	1, 	-1.38778e-15, 	3.04, 	(0.361803,-0.466063);
20:15:27.991, 	1, 	2, 	20.1189, 	24.2119, 	1, 	-1.38778e-15, 	3.04, 	(-0.666673,0.698371);
20:15:28.012, 	1, 	2, 	22.312, 	25.1333, 	1, 	-1.38778e-15, 	3.04, 	(0.448022,-0.907446);
20:15:28.031, 	1, 	2, 	26.0511, 	26.0787, 	1, 	-1.38778e-15, 	3.04, 	(-0.473036,-0.917856);
20:15:28.052, 	1, 	2, 	29.412, 	25.3669, 	1, 	-1.38778e-15, 	3.04, 	(-0.62227,0.0872574);
20:15:28.071, 	1, 	2, 	19.6923, 	24.8065, 	1, 	-1.38778e-15, 	3.04, 	(-0.529228,0.795082);
20:15:28.092, 	1, 	2, 	31.8905, 	26.0661, 	1, 	-1.38778e-15, 	3.04, 	(0.843079,-0.160091);
20:15:28.112, 	1, 	2, 	25.4455, 	26.4769, 	1, 	-1.38778e-15, 	3.04, 	(0.662665,0.755712);
20:15:28.132, 	1, 	2, 	29.6074, 	24.8505, 	1, 	-1.38778e-15, 	3.04, 	(0.638366,0.115455);
20:15:28.152, 	1, 	2, 	19.6337, 	23.219, 	1, 	-1.38778e-15, 	3.04, 	(0.641455,-0.741515);
20:15:28.172, 	1, 	2, 	22.0422, 	24.7432, 	1, 	-1.38778e-15, 	3.04, 	(0.98405,-0.205752);
20:15:28.192, 	1, 	2, 	29.9091, 	26.4569, 	1, 	-1.38778e-15, 	3.04, 	(0.255674,0.733201);
20:15:28.212, 	1, 	2, 	28.8443, 	25.7348, 	1, 	-1.38778e-15, 	3.04, 	(-0.987155,-0.0384161);
20:15:28.233, 	1, 	2, 	30.7245, 	25.9726, 	1, 	-1.38778e-15, 	3.04, 	(-0.889573,0.102986);
20:15:28.252, 	1, 	2, 	21.6151, 	24.4319, 	1, 	-1.38778e-15, 	3.04, 	(0.712021,-0.615289);
20:15:28.272, 	1, 	2, 	24.2483, 	26.6701, 	1, 	-1.38778e-15, 	3.04, 	(-0.941996,0.172586);
20:15:28.293, 	1, 	2, 	28.8892, 	26.1113, 	1, 	-1.38778e-15, 	3.04, 	(-0.473472,-0.383089);
20:15:28.313, 	1, 	2, 	29.0603, 	26.3705, 	1, 	-1.38778e-15, 	3.04, 	(-0.492539,-0.0125006);
