(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);20:19:08.523, 	1, 	1, 	11.4833, 	6.96306, 	0, 	-1.38778e-15, 	2.736, 	(-0.332365,0.270381);(-0.268642,-0.559001);(0.268642,0.559001);(-0.332365,0.270381);
20:19:22.835, 	0, 	2, 	10.2395, 	3.56848, 	0, 	-1.38778e-15, 	2.736, 	(0.00573613,0.00553875);
20:19:22.854, 	1, 	2, 	13.2771, 	15.3658, 	1, 	4, 	2.432, 	(0.0783762,-0.0249753);
20:19:22.867, 	1, 	1, 	12.0139, 	10.1858, 	0, 	4, 	2.128, 	(0.329146,-0.0319631);(-0.152288,0.23844);(-0.100105,0.0380211);(-0.0217468,-0.0898944);
20:19:22.894, 	1, 	2, 	14.2389, 	17.9973, 	1, 	4, 	2.128, 	(0.106703,-0.11015);
20:19:22.915, 	0, 	2, 	14.7651, 	15.7387, 	1, 	4, 	2.128, 	(-0.103324,-0.0119914);
20:19:22.935, 	1, 	2, 	15.2201, 	18.2965, 	1, 	8, 	1.824, 	(-0.0994445,-0.0274014);
20:19:22.948, 	1, 	1, 	15.0133, 	15.466, 	0, 	8, 	1.52, 	(0.052135,0.462735);(-0.467263,-0.460085);(0.489728,-0.405281);(0.291081,0.220567);
20:19:22.975, 	1, 	2, 	14.9335, 	14.8993, 	1, 	8, 	1.52, 	(-0.0765203,-0.0487745);
20:19:22.995, 	1, 	2, 	15.3279, 	17.8965, 	1, 	8, 	1.52, 	(0.18641,0.0622474);
20:19:23.019, 	1, 	2, 	15.3084, 	19.1698, 	1, 	8, 	1.824, 	(0.0303954,-0.170717);
20:19:23.035, 	1, 	2, 	16.2039, 	17.6576, 	1, 	8, 	2.128, 	(-0.107183,0.0592775);
20:19:23.055, 	1, 	2, 	15.304, 	17.1759, 	1, 	8, 	2.128, 	(0.162746,0.0940179);
20:19:23.075, 	1, 	2, 	16.5531, 	17.4257, 	1, 	8, 	2.432, 	(0.022693,-0.163068);
20:19:23.095, 	1, 	2, 	16.1667, 	18.8375, 	1, 	8, 	2.432, 	(-0.207389,0.0223796);
20:19:23.115, 	1, 	2, 	15.9965, 	16.6646, 	1, 	8, 	2.736, 	(-0.0786766,-0.124258);
20:19:23.135, 	1, 	2, 	17.3314, 	20.8038, 	1, 	8, 	2.736, 	(-0.164221,0.150801);
20:19:23.155, 	1, 	2, 	19.215, 	18.9601, 	1, 	8, 	3.04, 	(0.0224458,-0.22264);
20:19:23.176, 	1, 	2, 	18.378, 	21.5785, 	1, 	8, 	3.04, 	(0.0305095,0.26187);
20:19:23.196, 	1, 	2, 	18.2353, 	17.9601, 	1, 	8, 	3.04, 	(-0.0107105,-0.196798);
20:19:23.216, 	1, 	2, 	18.2272, 	22.0312, 	1, 	8, 	3.04, 	(-0.272657,0.0497465);
20:19:23.236, 	1, 	2, 	17.7707, 	20.6021, 	1, 	8, 	3.04, 	(0.00354706,-0.304261);
20:19:23.256, 	1, 	2, 	18.6669, 	19.2069, 	1, 	8, 	3.04, 	(-0.227388,0.0613289);
20:19:23.276, 	1, 	2, 	20.1413, 	19.851, 	1, 	8, 	3.04, 	(-0.149539,0.0410598);
20:19:23.296, 	1, 	2, 	20.6997, 	20.6812, 	1, 	8, 	3.04, 	(-0.0580372,-0.196945);
20:19:23.316, 	1, 	2, 	22.8936, 	21.1144, 	1, 	8, 	3.04, 	(-0.278651,0.0756263);
20:19:23.336, 	1, 	2, 	22.0689, 	22.5128, 	1, 	4, 	3.04, 	(0.284972,-0.0648541);
20:19:23.357, 	1, 	2, 	23.1297, 	23.6005, 	1, 	4, 	3.04, 	(-0.112506,0.236503);
20:19:23.377, 	1, 	2, 	21.3719, 	23.1797, 	1, 	4, 	3.04, 	(0.395691,0.00892006);
20:19:23.396, 	1, 	2, 	17.7096, 	22.5628, 	1, 	4, 	3.04, 	(0.273214,-0.302303);
20:19:23.416, 	1, 	2, 	18.9103, 	22.1263, 	1, 	-1.38778e-15, 	3.04, 	(0.312773,-0.299427);
20:19:23.436, 	1, 	2, 	22.5377, 	23.4626, 	1, 	-1.38778e-15, 	3.04, 	(-0.291921,0.18568);
20:19:23.457, 	1, 	2, 	23.4597, 	23.9257, 	1, 	-1.38778e-15, 	3.04, 	(-0.0156178,-0.278465);
20:19:23.477, 	1, 	2, 	23.6038, 	23.5177, 	1, 	-1.38778e-15, 	3.04, 	(0.00325564,-0.244349);
20:19:23.497, 	1, 	2, 	25.3642, 	25.0264, 	1, 	-1.38778e-15, 	3.04, 	(-0.117323,0.456155);
20:19:23.517, 	1, 	2, 	24.6137, 	22.3113, 	1, 	-1.38778e-15, 	3.04, 	(-0.301217,0.0416987);
20:19:23.537, 	1, 	2, 	23.7384, 	23.9947, 	1, 	-1.38778e-15, 	3.04, 	(0.370287,0.173247);
20:19:23.557, 	1, 	2, 	24.4341, 	22.9175, 	1, 	-1.38778e-15, 	3.04, 	(-0.250521,0.35681);
20:19:23.577, 	1, 	2, 	26.6738, 	25.7294, 	1, 	-1.38778e-15, 	3.04, 	(0.0869348,-0.53153);
20:19:23.597, 	1, 	2, 	21.791, 	24.4904, 	1, 	-1.38778e-15, 	3.04, 	(-0.621284,-0.0357155);
20:19:23.617, 	1, 	2, 	26.1272, 	24.3691, 	1, 	-1.38778e-15, 	3.04, 	(-0.369989,0.244461);
20:19:23.637, 	0, 	2, 	26.27, 	16.9377, 	1, 	-1.38778e-15, 	3.04, 	(-0.000800391,-0.127092);
20:19:23.658, 	0, 	2, 	19.7704, 	14.5077, 	0, 	4, 	2.736, 	(-0.0295608,0.0424669);
20:19:23.671, 	1, 	1, 	26.1994, 	23.1076, 	0, 	8, 	2.128, 	(0.473194,0.98227);(-1.01858,1.01302);(-1.45634,0.166123);(-1.52666,-0.574352);
20:19:23.691, 	1, 	1, 	28.2292, 	25.7075, 	0, 	8, 	1.824, 	(-0.90425,0.482094);(-0.982646,-0.713443);(-0.254919,-0.536398);(0.0567401,-0.679218);
20:19:23.719, 	1, 	2, 	26.6146, 	17.5364, 	1, 	8, 	1.824, 	(0.0736543,0.145427);
20:19:23.738, 	1, 	2, 	19.1938, 	16.1626, 	1, 	8, 	1.824, 	(0.100368,-0.0697602);
20:19:23.758, 	0, 	2, 	27.8789, 	15.3822, 	1, 	8, 	1.824, 	(0.0635856,0.121321);
20:19:23.778, 	1, 	2, 	26.7664, 	16.5887, 	1, 	12, 	1.52, 	(0.0651767,-0.159195);
20:19:23.792, 	1, 	1, 	27.9918, 	23.1559, 	0, 	12, 	1.216, 	(0.46767,0.969589);(-0.647119,0.96176);(-0.29275,0.25073);(-0.544436,0.0896996);
20:19:23.818, 	1, 	2, 	27.5304, 	19.4444, 	1, 	12, 	1.216, 	(0.0708126,-0.186389);
20:19:23.838, 	1, 	2, 	28.2714, 	25.5862, 	1, 	12, 	1.52, 	(0.314374,-0.475995);
20:19:23.858, 	1, 	2, 	28.6794, 	24.3579, 	1, 	12, 	1.824, 	(-0.339382,0.41955);
20:19:23.878, 	1, 	2, 	25.2987, 	24.8249, 	1, 	12, 	2.128, 	(0.0628434,0.706411);
20:19:23.899, 	1, 	2, 	27.7678, 	25.2033, 	1, 	12, 	2.432, 	(0.368969,-0.290676);
20:19:23.918, 	1, 	2, 	31.7362, 	25.7082, 	1, 	12, 	2.432, 	(-0.609689,-0.445458);
20:19:23.939, 	1, 	2, 	30.5296, 	25.6247, 	1, 	12, 	2.432, 	(0.223116,0.529242);
20:19:23.958, 	1, 	2, 	29.6048, 	25.9869, 	1, 	12, 	2.736, 	(0.113878,-0.567001);
20:19:23.979, 	1, 	2, 	29.0068, 	24.4596, 	1, 	12, 	2.736, 	(-0.436339,-0.259072);
20:19:23.999, 	1, 	2, 	31.2969, 	26.2414, 	1, 	12, 	3.04, 	(-0.739511,0.225719);
20:19:24.019, 	1, 	2, 	30.4836, 	25.3935, 	1, 	12, 	3.04, 	(-0.580112,0.388482);
20:19:24.039, 	1, 	2, 	24.9223, 	25.9871, 	1, 	12, 	3.04, 	(-0.27612,-0.796033);
20:19:24.059, 	1, 	2, 	28.4439, 	24.7345, 	1, 	12, 	3.04, 	(0.521776,-0.172522);
20:19:24.079, 	1, 	2, 	31.0259, 	25.9208, 	1, 	12, 	3.04, 	(-0.775705,-0.352665);
20:19:24.099, 	1, 	2, 	31.5613, 	24.9523, 	1, 	12, 	3.04, 	(0.497818,-0.630783);
20:19:24.119, 	1, 	2, 	30.3953, 	26.166, 	1, 	12, 	3.04, 	(0.0466189,-0.737687);
20:19:24.139, 	1, 	2, 	29.3588, 	26.166, 	1, 	8, 	3.04, 	(0.0466189,-0.737687);
20:19:24.160, 	1, 	2, 	31.5823, 	26.3199, 	1, 	4, 	3.04, 	(-0.53275,0.697144);
20:19:24.180, 	1, 	2, 	31.2311, 	24.9182, 	1, 	4, 	3.04, 	(-0.756751,-0.350224);
20:19:24.200, 	1, 	2, 	30.873, 	25.4911, 	1, 	4, 	3.04, 	(0.281105,0.694487);
20:19:24.223, 	1, 	2, 	29.5895, 	27.0851, 	1, 	4, 	3.04, 	(0.157376,0.998683);
20:19:24.240, 	1, 	2, 	30.8257, 	26.0718, 	1, 	4, 	3.04, 	(0.582199,0.784908);
20:19:24.260, 	1, 	2, 	32.3849, 	25.9462, 	1, 	-1.38778e-15, 	3.04, 	(-0.935233,-0.0666029);
20:19:24.280, 	1, 	2, 	23.5649, 	25.572, 	1, 	-1.38778e-15, 	3.04, 	(1.03517,-0.147345);
20:19:24.300, 	1, 	2, 	27.0512, 	26.5175, 	1, 	-1.38778e-15, 	3.04, 	(0.692333,0.687779);
20:19:24.320, 	1, 	2, 	29.1493, 	25.6474, 	1, 	-1.38778e-15, 	3.04, 	(-0.380972,0.439451);
20:19:24.340, 	1, 	2, 	20.4482, 	23.7163, 	1, 	-1.38778e-15, 	3.04, 	(-0.586472,0.775388);
20:19:24.360, 	1, 	2, 	23.5844, 	25.6286, 	1, 	-1.38778e-15, 	3.04, 	(0.918039,-0.477171);
20:19:24.380, 	1, 	2, 	26.3815, 	26.4616, 	1, 	-1.38778e-15, 	3.04, 	(0.0854488,-1.04872);
20:19:24.401, 	1, 	2, 	28.6793, 	26.3759, 	1, 	-1.38778e-15, 	3.04, 	(-0.204212,-0.586331);
20:19:24.421, 	1, 	2, 	31.3965, 	26.4705, 	1, 	-1.38778e-15, 	3.04, 	(-0.917265,0.134725);
20:19:24.441, 	1, 	2, 	32.6433, 	26.0702, 	1, 	-1.38778e-15, 	3.04, 	(0.806869,0.305578);
20:19:24.461, 	1, 	2, 	29.6661, 	25.4852, 	1, 	-1.38778e-15, 	3.04, 	(0.519404,-0.56328);
20:19:24.481, 	1, 	2, 	29.5206, 	26.308, 	1, 	-1.38778e-15, 	3.04, 	(0.13107,-0.616389);
20:19:24.501, 	1, 	2, 	29.8074, 	25.4336, 	1, 	-1.38778e-15, 	3.04, 	(-0.477301,-0.177383);
20:19:24.521, 	1, 	2, 	21.7327, 	25.6331, 	1, 	-1.38778e-15, 	3.04, 	(0.693802,0.667327);
20:19:24.542, 	1, 	2, 	24.3192, 	26.6901, 	1, 	-1.38778e-15, 	3.04, 	(0.524037,0.823464);
20:19:24.561, 	1, 	2, 	29.8314, 	26.4121, 	1, 	-1.38778e-15, 	3.04, 	(-0.0205777,-0.645746);
20:19:24.581, 	1, 	2, 	31.4786, 	26.951, 	1, 	-1.38778e-15, 	3.04, 	(0.328811,-0.878263);
20:19:24.601, 	1, 	2, 	31.8412, 	25.5075, 	1, 	-1.38778e-15, 	3.04, 	(-0.140567,-0.804795);
20:19:24.621, 	1, 	2, 	23.9685, 	15.5679, 	1, 	-1.38778e-15, 	3.04, 	(-0.263605,0.0910679);
20:19:24.641, 	1, 	2, 	29.4617, 	25.8562, 	1, 	-1.38778e-15, 	3.04, 	(0.474138,-0.429198);
20:19:24.661, 	1, 	2, 	28.4073, 	24.9642, 	1, 	-1.38778e-15, 	3.04, 	(-0.428779,0.265834);
20:19:24.681, 	1, 	2, 	20.977, 	24.3541, 	1, 	-1.38778e-15, 	3.04, 	(0.445712,0.708565);
20:19:24.702, 	1, 	2, 	24.2896, 	25.552, 	1, 	-1.38778e-15, 	3.04, 	(-0.235774,-0.808858);
20:19:24.722, 	1, 	2, 	27.8752, 	25.8313, 	1, 	-1.38778e-15, 	3.04, 	(0.823642,-0.178636);
20:19:24.742, 	1, 	2, 	29.8396, 	26.1896, 	1, 	-1.38778e-15, 	3.04, 	(-0.56574,0.574251);
20:19:24.762, 	1, 	2, 	20.823, 	23.4444, 	1, 	-1.38778e-15, 	3.04, 	(-0.686057,0.416897);
20:19:24.782, 	1, 	2, 	29.1997, 	25.4959, 	1, 	-1.38778e-15, 	3.04, 	(0.620377,0.268831);
20:19:24.802, 	1, 	2, 	25.9293, 	24.9457, 	1, 	-1.38778e-15, 	3.04, 	(-0.449658,0.406315);
20:19:24.822, 	1, 	2, 	28.5083, 	24.4611, 	1, 	-1.38778e-15, 	3.04, 	(-0.286281,-0.184238);
20:19:24.842, 	1, 	2, 	28.4691, 	23.921, 	1, 	-1.38778e-15, 	3.04, 	(-0.421163,0.0337775);
20:19:24.863, 	1, 	2, 	27.2084, 	24.426, 	1, 	-1.38778e-15, 	3.04, 	(0.328723,0.501284);
20:19:24.883, 	1, 	2, 	27.6864, 	25.2527, 	1, 	-1.38778e-15, 	3.04, 	(-0.195787,-0.459573);
20:19:24.908, 	1, 	2, 	28.9023, 	25.4631, 	1, 	-1.38778e-15, 	3.04, 	(-0.383012,-0.583974);
20:19:24.923, 	1, 	2, 	20.4918, 	24.1518, 	1, 	-1.38778e-15, 	3.04, 	(0.117004,0.653592);
20:19:24.943, 	1, 	2, 	22.8611, 	24.5314, 	1, 	-1.38778e-15, 	3.04, 	(0.202237,0.638533);
20:19:24.963, 	1, 	2, 	27.4393, 	24.7022, 	1, 	-1.38778e-15, 	3.04, 	(0.135798,-0.42841);
20:19:24.983, 	1, 	2, 	27.7276, 	25.0503, 	1, 	-1.38778e-15, 	3.04, 	(0.0977942,-0.383553);
20:19:25.003, 	1, 	2, 	19.3838, 	21.4313, 	1, 	-1.38778e-15, 	3.04, 	(-0.251903,0.32933);
20:19:25.023, 	1, 	2, 	27.5685, 	23.1728, 	1, 	-1.38778e-15, 	3.04, 	(0.301871,0.0946345);
20:19:25.043, 	1, 	2, 	25.107, 	22.8482, 	1, 	-1.38778e-15, 	3.04, 	(0.189401,-0.309773);
20:19:25.064, 	1, 	2, 	25.0256, 	24.5859, 	1, 	-1.38778e-15, 	3.04, 	(-0.227901,-0.271884);
20:19:25.084, 	1, 	2, 	19.1433, 	22.4389, 	1, 	-1.38778e-15, 	3.04, 	(-0.215142,0.47416);
20:19:25.104, 	1, 	2, 	25.7337, 	23.986, 	1, 	-1.38778e-15, 	3.04, 	(0.4212,0.202869);
20:19:25.124, 	0, 	2, 	23.1947, 	16.0546, 	1, 	-1.38778e-15, 	3.04, 	(-0.0194881,0.151236);
20:19:25.144, 	1, 	2, 	25.7151, 	25.4968, 	1, 	4, 	2.736, 	(-0.452115,0.283659);
20:19:25.158, 	1, 	1, 	25.2316, 	19.6054, 	0, 	4, 	2.432, 	(-0.521206,0.749607);(0.296999,1.08132);(1.21932,-0.0497292);(-0.123339,-1.24384);
20:19:25.184, 	0, 	2, 	25.4055, 	16.0107, 	0, 	4, 	2.432, 	(0.0177643,0.108101);
20:19:25.215, 	1, 	2, 	22.3901, 	23.7118, 	1, 	8, 	2.128, 	(-0.112431,-0.473882);
20:19:25.218, 	1, 	1, 	23.0853, 	18.5144, 	0, 	8, 	1.824, 	(0.430781,-0.476407);(-0.0916766,-0.852853);(-1.17296,-0.0245855);(0.154827,1.16776);
20:19:25.244, 	1, 	2, 	24.4864, 	23.149, 	1, 	8, 	1.824, 	(-0.136659,-0.398781);
20:19:25.264, 	1, 	2, 	19.9509, 	23.4435, 	1, 	8, 	1.824, 	(0.238124,0.332032);
20:19:25.286, 	1, 	2, 	22.746, 	23.8063, 	1, 	8, 	1.824, 	(0.288465,-0.0271255);
20:19:25.304, 	1, 	2, 	23.0444, 	22.9199, 	1, 	8, 	1.824, 	(-0.268356,0.0288256);
20:19:25.324, 	1, 	2, 	17.8823, 	19.5944, 	1, 	8, 	2.128, 	(-0.19623,-0.0682367);
20:19:25.344, 	1, 	2, 	22.5797, 	17.8349, 	1, 	8, 	2.128, 	(0.00800279,0.15201);
20:19:25.365, 	1, 	2, 	22.0362, 	22.9014, 	1, 	8, 	2.432, 	(0.282416,-0.257402);
20:19:25.385, 	1, 	2, 	22.7691, 	21.8845, 	1, 	8, 	2.736, 	(-0.0510291,0.234579);
20:19:25.405, 	1, 	2, 	21.514, 	21.3597, 	1, 	8, 	2.736, 	(0.0824344,0.28997);
20:19:25.425, 	1, 	2, 	21.394, 	22.3541, 	1, 	8, 	3.04, 	(0.24323,0.146345);
20:19:25.445, 	1, 	2, 	20.0878, 	19.9949, 	1, 	8, 	3.04, 	(-0.219459,-0.0833914);
20:19:25.465, 	1, 	2, 	18.7414, 	20.5682, 	1, 	8, 	3.04, 	(0.170496,-0.0436217);
20:19:25.485, 	1, 	2, 	21.0039, 	20.7393, 	1, 	8, 	3.04, 	(0.0924555,-0.262183);
20:19:25.505, 	1, 	2, 	18.1894, 	19.5849, 	1, 	8, 	3.04, 	(0.270209,0.012575);
20:19:25.526, 	1, 	2, 	20.1326, 	19.7487, 	1, 	8, 	3.04, 	(0.136192,0.169854);
20:19:25.545, 	1, 	2, 	17.6509, 	19.669, 	1, 	8, 	3.04, 	(-0.103931,-0.104463);
20:19:25.566, 	1, 	2, 	19.1164, 	18.6263, 	1, 	8, 	3.04, 	(0.177426,-0.131435);
20:19:25.585, 	0, 	2, 	17.9608, 	10.4429, 	1, 	8, 	3.04, 	(0.0547133,0.0073363);
20:19:25.606, 	0, 	2, 	16.7706, 	13.24, 	0, 	12, 	2.736, 	(0.0156356,0.0479512);
