(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);20:20:34.059, 	1, 	1, 	16.0033, 	12.3395, 	0, 	-1.38778e-15, 	2.736, 	(-0.27662,-0.471309);(0.711087,0.573731);(-0.610177,0.229304);(0.0556483,-0.357449);
20:20:48.378, 	1, 	2, 	8.9747, 	12.9414, 	1, 	-1.38778e-15, 	2.736, 	(0.0442517,-0.0124783);
20:20:48.398, 	0, 	2, 	9.16844, 	7.47531, 	1, 	-1.38778e-15, 	2.736, 	(-0.044262,0.0408504);
20:20:48.418, 	1, 	2, 	12.6723, 	15.8083, 	1, 	4, 	2.432, 	(0.0560274,0.096512);
20:20:48.428, 	0, 	1, 	8.77509, 	3.92033, 	1, 	4, 	2.432, 	(-0.0122628,-0.0819023);(0.0308664,-0.102556);(0.00104575,-0.0278607);(-0.118593,-0.0237379);
20:20:48.458, 	1, 	2, 	10.1395, 	12.018, 	1, 	8, 	2.128, 	(0.04573,0.0503327);
20:20:48.468, 	0, 	1, 	9.82391, 	7.85542, 	1, 	8, 	2.128, 	(0.023271,-0.0232782);(-0.0775241,0.169695);(-0.334295,-0.26616);(0.277131,-0.285625);
20:20:48.498, 	1, 	2, 	11.1828, 	13.5138, 	1, 	12, 	1.824, 	(0.112102,-0.00225371);
20:20:48.512, 	0, 	1, 	13.1282, 	9.66028, 	1, 	12, 	1.824, 	(0.187801,0.228831);(-0.252943,0.0772986);(-0.175781,-0.152309);(0.0688262,-0.269864);
20:20:48.538, 	1, 	2, 	13.8673, 	16.2338, 	1, 	16, 	1.52, 	(-0.0343523,0.0826864);
20:20:48.552, 	1, 	1, 	13.1914, 	8.67304, 	0, 	16, 	1.52, 	(0.255819,0.0693449);(-0.186799,0.262931);(-0.380368,-0.0662491);(-0.113804,-0.362478);
20:20:48.578, 	1, 	2, 	13.3626, 	15.899, 	1, 	16, 	1.52, 	(-0.109833,-0.120285);
20:20:48.598, 	1, 	2, 	15.597, 	15.6372, 	1, 	16, 	1.824, 	(0.00943566,0.130152);
20:20:48.618, 	1, 	2, 	13.3987, 	14.9482, 	1, 	16, 	1.824, 	(-0.105122,0.0491683);
20:20:48.638, 	0, 	2, 	15.1611, 	14.6464, 	1, 	16, 	1.824, 	(0.110955,0.0175669);
20:20:48.659, 	1, 	2, 	16.1781, 	16.3181, 	1, 	20, 	1.824, 	(0.0163574,0.159029);
