2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	35.8692, 	35.8692, 	26.1534, 	1, 	1.52
2, 	18.6818, 	18.6818, 	10.0872, 	0, 	2.736
2, 	18.6818, 	18.6818, 	15.2711, 	1, 	2.432
1, 	18.6818, 	18.6818, 	14.0094, 	1, 	2.128
2, 	15.8689, 	15.8689, 	18.3887, 	1, 	2.128
2, 	15.8689, 	15.8689, 	17.1969, 	1, 	2.128
2, 	34.772, 	34.772, 	18.7261, 	1, 	2.128
2, 	34.772, 	34.772, 	18.7321, 	1, 	2.128
2, 	34.772, 	34.772, 	17.2956, 	1, 	2.128
2, 	16.8018, 	16.8018, 	17.9243, 	1, 	2.128
2, 	16.8018, 	16.8018, 	16.5433, 	1, 	2.432
2, 	11.263, 	11.263, 	18.4905, 	1, 	2.736
2, 	11.263, 	11.263, 	19.9278, 	1, 	2.736
2, 	13.0948, 	13.0948, 	14.8946, 	1, 	3.04
2, 	13.0948, 	13.0948, 	16.8079, 	1, 	3.04
2, 	14.9403, 	14.9403, 	21.5923, 	1, 	3.04
2, 	14.9403, 	14.9403, 	17.0289, 	1, 	3.04
2, 	14.9403, 	14.9403, 	17.3798, 	1, 	3.04
2, 	14.9403, 	14.9403, 	21.8278, 	1, 	3.04
2, 	13.0948, 	13.0948, 	21.9729, 	1, 	3.04
2, 	13.0948, 	13.0948, 	17.8826, 	1, 	3.04
2, 	12.1773, 	12.1773, 	21.3924, 	1, 	3.04
2, 	12.1773, 	12.1773, 	22.1462, 	1, 	3.04
2, 	12.1773, 	12.1773, 	20.738, 	1, 	3.04
2, 	12.1773, 	12.1773, 	21.2846, 	1, 	3.04
2, 	12.1773, 	12.1773, 	21.4283, 	1, 	3.04
2, 	9.44278, 	9.44278, 	21.457, 	1, 	3.04
2, 	9.44278, 	9.44278, 	22.0932, 	1, 	3.04
2, 	9.44278, 	9.44278, 	20.4424, 	1, 	3.04
2, 	9.44278, 	9.44278, 	21.2473, 	1, 	3.04
2, 	9.44278, 	9.44278, 	22.6238, 	1, 	3.04
2, 	9.44278, 	9.44278, 	23.3537, 	1, 	3.04
2, 	7.63215, 	7.63215, 	22.4169, 	1, 	3.04
2, 	7.63215, 	7.63215, 	23.4963, 	1, 	3.04
2, 	4.03194, 	4.03194, 	23.6412, 	1, 	3.04
2, 	4.03194, 	4.03194, 	20.459, 	1, 	3.04
2, 	4.03194, 	4.03194, 	23.1825, 	1, 	3.04
2, 	4.03194, 	4.03194, 	23.0965, 	1, 	3.04
2, 	6.72981, 	6.72981, 	23.1459, 	1, 	3.04
2, 	6.72981, 	6.72981, 	24.0194, 	1, 	3.04
2, 	6.72981, 	6.72981, 	24.1493, 	1, 	3.04
2, 	6.72981, 	6.72981, 	25.4515, 	1, 	3.04
2, 	5.82915, 	5.82915, 	23.182, 	1, 	3.04
2, 	5.82915, 	5.82915, 	24.5594, 	1, 	3.04
2, 	1.34299, 	1.34299, 	25.1784, 	1, 	3.04
2, 	1.34299, 	1.34299, 	25.0111, 	1, 	3.04
2, 	4.03194, 	4.03194, 	22.0191, 	1, 	3.04
2, 	4.03194, 	4.03194, 	25.2147, 	1, 	3.04
2, 	2.23869, 	2.23869, 	25.3236, 	1, 	3.04
2, 	2.23869, 	2.23869, 	25.0924, 	1, 	3.04
2, 	1.34299, 	1.34299, 	24.9083, 	1, 	3.04
2, 	1.34299, 	1.34299, 	24.9701, 	1, 	3.04
2, 	1.34299, 	1.34299, 	24.8862, 	1, 	3.04
2, 	1.34299, 	1.34299, 	25.9855, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	26.5296, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	26.0794, 	1, 	3.04
2, 	-1.34299, 	-1.34299, 	25.9115, 	1, 	3.04
2, 	-1.34299, 	-1.34299, 	25.7374, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	25.0686, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	23.578, 	1, 	3.04
2, 	-1.34299, 	-1.34299, 	21.6368, 	1, 	3.04
2, 	-1.34299, 	-1.34299, 	26.8636, 	1, 	3.04
2, 	-5.82915, 	-5.82915, 	25.2124, 	1, 	3.04
2, 	-5.82915, 	-5.82915, 	24.5851, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	25.0869, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	25.3028, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	26.1138, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	23.9573, 	1, 	3.04
2, 	-4.03194, 	-4.03194, 	25.8152, 	1, 	3.04
2, 	-4.03194, 	-4.03194, 	26.308, 	1, 	3.04
2, 	-6.72981, 	-6.72981, 	26.342, 	1, 	3.04
2, 	-6.72981, 	-6.72981, 	26.3779, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	24.3488, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	25.5551, 	1, 	3.04
2, 	-12.1773, 	-12.1773, 	26.1959, 	1, 	3.04
2, 	-12.1773, 	-12.1773, 	26.0239, 	1, 	3.04
2, 	-13.0948, 	-13.0948, 	26.4971, 	1, 	3.04
2, 	-13.0948, 	-13.0948, 	25.9116, 	1, 	3.04
2, 	-12.1773, 	-12.1773, 	27.1632, 	1, 	3.04
2, 	-12.1773, 	-12.1773, 	25.6676, 	1, 	3.04
2, 	-14.0157, 	-14.0157, 	25.9593, 	1, 	3.04
2, 	-14.0157, 	-14.0157, 	26.0836, 	1, 	3.04
2, 	-9.44278, 	-9.44278, 	25.4648, 	1, 	3.04
2, 	-9.44278, 	-9.44278, 	25.1501, 	1, 	3.04
2, 	-10.3516, 	-10.3516, 	25.1932, 	1, 	3.04
2, 	-10.3516, 	-10.3516, 	25.2681, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	25.494, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	25.5243, 	1, 	3.04
2, 	-5.82915, 	-5.82915, 	23.2402, 	1, 	3.04
2, 	-5.82915, 	-5.82915, 	23.3988, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	23.6597, 	1, 	3.04
2, 	-3.13493, 	-3.13493, 	24.1476, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	22.1083, 	1, 	3.04
2, 	-2.23869, 	-2.23869, 	23.1442, 	1, 	3.04
2, 	-14.0157, 	-14.0157, 	22.7845, 	1, 	3.04
2, 	-14.0157, 	-14.0157, 	21.8523, 	1, 	3.04
2, 	-1.34299, 	-1.34299, 	25.4569, 	1, 	3.04
2, 	-1.34299, 	-1.34299, 	23.9253, 	1, 	3.04
2, 	-29.4845, 	-29.4845, 	21.7841, 	1, 	3.04
2, 	-29.4845, 	-29.4845, 	24.1554, 	1, 	3.04
2, 	-24.4603, 	-24.4603, 	21.5117, 	1, 	3.04
2, 	-24.4603, 	-24.4603, 	24.2155, 	1, 	3.04
2, 	-24.4603, 	-24.4603, 	22.4409, 	1, 	3.04
