(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);17:21:26.210, 	0, 	2, 	10.6732, 	1.04965, 	0, 	40, 	2.736, 	(-0.0122698,-0.00494543);
17:21:26.224, 	0, 	2, 	9.9733, 	3.45304, 	0, 	40, 	2.432, 	(-0.0100714,0.0140677);
17:21:26.245, 	1, 	2, 	10.4896, 	15.5518, 	1, 	40, 	2.128, 	(-0.0478164,-0.077494);
17:21:26.260, 	1, 	1, 	10.8211, 	13.4945, 	0, 	36, 	1.824, 	(-0.224408,0.0776619);(0.0367181,-0.327502);(0.194643,-0.0151449);(0.0948753,0.260818);
17:21:26.285, 	1, 	2, 	10.986, 	14.3982, 	1, 	36, 	1.824, 	(-0.134453,-0.0679586);
17:21:26.305, 	1, 	2, 	10.8709, 	16.8116, 	1, 	32, 	1.824, 	(-0.100424,0.106839);
17:21:26.325, 	1, 	2, 	12.618, 	15.6356, 	1, 	28, 	1.824, 	(0.112778,0.0912338);
17:21:26.345, 	1, 	2, 	11.809, 	16.5453, 	1, 	24, 	1.824, 	(0.100179,-0.102463);
17:21:26.365, 	1, 	2, 	13.2061, 	16.1077, 	1, 	24, 	1.824, 	(0.024741,-0.128605);
17:21:26.385, 	0, 	2, 	13.1891, 	18.2166, 	1, 	24, 	1.824, 	(-0.100665,-0.0572447);
17:21:26.406, 	0, 	2, 	12.9413, 	16.6794, 	0, 	24, 	1.824, 	(0.0811606,-0.0294162);
17:21:26.420, 	1, 	1, 	12.948, 	9.62988, 	0, 	24, 	1.824, 	(-0.0711565,-0.250118);(0.35154,0.0361419);(0.0395068,0.22496);(-0.21981,0.0985445);
17:21:26.437, 	1, 	1, 	13.0055, 	13.417, 	0, 	20, 	1.52, 	(-0.00263205,-0.244464);(0.309056,0.119062);(-0.0136091,0.249295);(-0.247082,0.0445105);
17:21:26.466, 	1, 	2, 	11.919, 	17.435, 	1, 	20, 	1.824, 	(-0.0454678,-0.171103);
17:21:26.490, 	1, 	2, 	13.1357, 	16.8512, 	1, 	20, 	1.824, 	(-0.0840349,0.140622);
17:21:26.506, 	1, 	2, 	14.1376, 	17.4678, 	1, 	20, 	1.824, 	(0.191449,-0.0218728);
17:21:26.526, 	1, 	2, 	14.0268, 	17.4548, 	1, 	20, 	1.824, 	(0.0743738,-0.11799);
17:21:26.547, 	1, 	2, 	15.1089, 	17.6849, 	1, 	20, 	1.824, 	(0.165324,0.117027);
17:21:26.567, 	1, 	2, 	15.1432, 	17.7133, 	1, 	20, 	1.824, 	(-0.212478,-0.0578755);
17:21:26.587, 	1, 	2, 	13.6826, 	18.3626, 	1, 	20, 	2.128, 	(0.138404,-0.177276);
17:21:26.607, 	1, 	2, 	15.8271, 	19.0752, 	1, 	20, 	2.432, 	(-0.111571,-0.0802975);
