(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);17:22:26.972, 	1, 	1, 	12.2683, 	9.29931, 	0, 	8, 	2.432, 	(-0.116395,0.229734);(-0.217061,-0.315394);(0.287235,-0.170295);(0.227458,0.29802);
17:22:41.430, 	1, 	2, 	23.8296, 	24.4951, 	1, 	8, 	2.736, 	(0.389044,0.164884);
17:22:41.450, 	1, 	2, 	23.2635, 	24.1282, 	1, 	8, 	2.736, 	(0.349589,-0.0364894);
17:22:41.470, 	1, 	2, 	17.935, 	23.5815, 	1, 	8, 	2.736, 	(0.256613,-0.456268);
17:22:41.490, 	1, 	2, 	22.2527, 	24.0138, 	1, 	4, 	2.736, 	(-0.0904226,-0.41219);
17:22:41.516, 	1, 	2, 	22.5434, 	22.6856, 	1, 	4, 	2.736, 	(0.220162,0.393903);
17:22:41.530, 	1, 	2, 	23.9151, 	24.9008, 	1, 	4, 	2.736, 	(-0.483666,0.11006);
17:22:41.551, 	1, 	2, 	19.7731, 	23.3748, 	1, 	4, 	2.736, 	(0.463199,-0.258479);
17:22:41.571, 	1, 	2, 	21.8349, 	24.6111, 	1, 	4, 	2.736, 	(-0.435053,0.41973);
17:22:41.591, 	1, 	2, 	23.5957, 	24.4081, 	1, 	4, 	2.736, 	(-0.2021,-0.332789);
17:22:41.611, 	1, 	2, 	25.6964, 	24.7758, 	1, 	4, 	3.04, 	(0.44837,0.449008);
17:22:41.631, 	1, 	2, 	25.3153, 	24.04, 	1, 	4, 	3.04, 	(-0.329499,-0.44852);
17:22:41.651, 	1, 	2, 	23.0371, 	24.9154, 	1, 	4, 	3.04, 	(-0.270385,-0.585735);
17:22:41.671, 	1, 	2, 	24.5559, 	24.2575, 	1, 	4, 	3.04, 	(0.201474,-0.281127);
17:22:41.692, 	1, 	2, 	20.3759, 	23.8806, 	1, 	9.71445e-15, 	3.04, 	(0.159505,-0.59229);
17:22:41.712, 	1, 	2, 	22.5288, 	24.6587, 	1, 	9.71445e-15, 	3.04, 	(-0.102449,0.639045);
17:22:41.732, 	1, 	2, 	26.1426, 	24.9779, 	1, 	9.71445e-15, 	3.04, 	(0.585828,-0.186523);
17:22:41.752, 	1, 	2, 	27.3693, 	26.4586, 	1, 	9.71445e-15, 	3.04, 	(-0.594575,-0.218732);
17:22:41.772, 	1, 	2, 	21.7646, 	26.0812, 	1, 	9.71445e-15, 	3.04, 	(-0.380422,0.755681);
17:22:41.793, 	1, 	2, 	26.3073, 	26.3973, 	1, 	9.71445e-15, 	3.04, 	(-0.607512,0.652578);
17:22:41.812, 	1, 	2, 	29.3046, 	26.3785, 	1, 	9.71445e-15, 	3.04, 	(0.683165,-0.648235);
17:22:41.833, 	1, 	2, 	21.4181, 	25.5001, 	1, 	9.71445e-15, 	3.04, 	(0.0574327,-0.982993);
17:22:41.853, 	1, 	2, 	28.1611, 	25.7266, 	1, 	9.71445e-15, 	3.04, 	(-0.0847364,-0.649208);
17:22:41.873, 	1, 	2, 	26.6057, 	25.5432, 	1, 	9.71445e-15, 	3.04, 	(-0.694855,0.336561);
17:22:41.893, 	1, 	2, 	20.259, 	24.3449, 	1, 	9.71445e-15, 	3.04, 	(-0.533445,0.433279);
17:22:41.914, 	1, 	2, 	28.0178, 	24.667, 	1, 	9.71445e-15, 	3.04, 	(-0.123408,-0.500636);
17:22:41.934, 	1, 	2, 	24.3726, 	25.6164, 	1, 	9.71445e-15, 	3.04, 	(-0.711551,-0.204246);
17:22:41.954, 	1, 	2, 	26.404, 	26.7011, 	1, 	9.71445e-15, 	3.04, 	(0.52551,-0.378705);
17:22:41.974, 	1, 	2, 	24.5574, 	25.3445, 	1, 	9.71445e-15, 	3.04, 	(-0.404847,0.332209);
17:22:41.994, 	1, 	2, 	24.2167, 	23.9423, 	1, 	9.71445e-15, 	3.04, 	(0.186037,0.386609);
17:22:42.014, 	1, 	2, 	22.7522, 	23.7139, 	1, 	9.71445e-15, 	3.04, 	(-0.222583,0.198739);
17:22:42.034, 	1, 	2, 	19.5647, 	22.6844, 	1, 	9.71445e-15, 	3.04, 	(0.412786,0.122633);
17:22:42.054, 	1, 	2, 	21.264, 	22.825, 	1, 	9.71445e-15, 	3.04, 	(0.192719,-0.248487);
17:22:42.075, 	1, 	2, 	22.2663, 	17.33, 	1, 	9.71445e-15, 	3.04, 	(-0.00501406,0.105018);
17:22:42.095, 	1, 	2, 	19.3044, 	20.3626, 	1, 	9.71445e-15, 	3.04, 	(-0.26522,0.00906676);
17:22:42.115, 	1, 	2, 	17.6559, 	20.3963, 	1, 	9.71445e-15, 	3.04, 	(-0.15353,0.17542);
17:22:42.135, 	1, 	2, 	18.4562, 	17.367, 	1, 	9.71445e-15, 	3.04, 	(-0.12298,0.133078);
17:22:42.155, 	1, 	2, 	18.8931, 	17.1557, 	1, 	9.71445e-15, 	3.04, 	(-0.096335,-0.122763);
17:22:42.175, 	1, 	2, 	16.5746, 	16.5641, 	1, 	9.71445e-15, 	3.04, 	(0.0445203,-0.132374);
17:22:42.196, 	0, 	2, 	16.4719, 	11.8849, 	1, 	9.71445e-15, 	3.04, 	(0.0143917,-0.063825);
17:22:42.215, 	0, 	2, 	15.5357, 	17.7006, 	0, 	4, 	2.736, 	(0.0957917,0.00188685);
17:22:42.232, 	1, 	1, 	19.6678, 	17.2168, 	0, 	8, 	2.128, 	(0.293075,0.0806247);(0.148749,0.316756);(-0.16256,0.377397);(-0.159138,0.154467);
17:22:42.256, 	0, 	2, 	14.351, 	12.2288, 	0, 	8, 	2.128, 	(0.087216,-0.0310234);
17:22:42.276, 	0, 	2, 	15.8864, 	13.5364, 	0, 	12, 	1.824, 	(0.0565676,0.0613227);
17:22:42.292, 	0, 	1, 	10.093, 	12.924, 	0, 	16, 	1.52, 	(-0.0257244,-0.0717061);(0.127647,-0.140829);(-0.00959367,0.0112661);(-0.0153438,-0.0410236);
17:22:42.332, 	0, 	1, 	11.8985, 	8.18057, 	0, 	20, 	1.216, 	(7.28945e-05,-0.164274);(-0.179804,-0.0150185);(0.127696,-0.0715552);(-0.0857591,-0.0852726);
17:22:42.355, 	0, 	1, 	13.0628, 	-0.906744, 	0, 	24, 	0.912, 	(-0.0539434,-0.10426);(-0.0832558,-0.205427);(0.116579,-0.148244);(0.0287031,-0.113407);
17:22:42.375, 	0, 	1, 	10.5087, 	-1.02692, 	0, 	28, 	0.608, 	(0.0930285,0.0899554);(0.169727,-0.118209);(-0.0392726,0.167404);(-0.00428399,-0.098121);
17:22:42.412, 	0, 	1, 	9.88981, 	8.20097, 	0, 	32, 	0.304, 	(0.0334422,0.0397339);(0.0388206,0.14873);(-0.00678119,-0.0174676);(0.0913684,0.0567336);
17:22:42.433, 	1, 	1, 	11.3002, 	8.94961, 	0, 	36, 	-7.10543e-17, 	(-0.046883,0.017022);(-0.188894,0.0754078);(0.152298,-0.164232);(-0.0834789,-0.0718023);
17:22:42.458, 	0, 	2, 	9.47674, 	6.92651, 	0, 	36, 	-7.10543e-17, 	(0.0491044,-0.00633364);
17:22:42.478, 	0, 	2, 	14.7028, 	6.76312, 	0, 	40, 	-7.10543e-17, 	(-0.00441951,0.0191771);
17:22:42.493, 	0, 	1, 	10.5827, 	10.5148, 	0, 	44, 	-7.10543e-17, 	(-0.294424,0.289871);(0.000172751,-0.258496);(-0.291825,0.107787);(-0.00864174,-0.161482);
17:22:42.513, 	0, 	1, 	13.2375, 	15.2994, 	0, 	48, 	-7.10543e-17, 	(-0.035884,-0.273393);(-0.0585593,0.543471);(0.155623,-0.513409);(0.029883,0.746518);
17:22:42.533, 	0, 	1, 	14.276, 	10.0024, 	0, 	52, 	-7.10543e-17, 	(-0.0392357,-0.432587);(-0.0469749,0.743132);(0.281003,-0.638946);(0.120094,0.736762);
17:22:42.574, 	1, 	1, 	18.6874, 	15.4559, 	0, 	56, 	-7.10543e-17, 	(0.456497,0.0247638);(-0.633901,-0.71046);(0.279577,0.163104);(-0.746381,-0.20629);
17:22:42.594, 	1, 	1, 	10.7068, 	8.37839, 	0, 	56, 	-7.10543e-17, 	(-0.0629423,0.408858);(0.312976,-0.507504);(-0.570154,0.705591);(0.0831406,-0.446142);
17:22:42.619, 	0, 	2, 	20.7026, 	10.7923, 	0, 	56, 	-7.10543e-17, 	(-0.0166282,-0.0274213);
17:22:42.639, 	0, 	2, 	13.3473, 	12.5729, 	0, 	60, 	-7.10543e-17, 	(-0.0551939,0.0256905);
17:22:42.654, 	1, 	1, 	18.8177, 	14.6197, 	0, 	64, 	-7.10543e-17, 	(-0.514372,0.15165);(0.167836,0.264624);(-0.205946,0.138598);(0.218831,0.177729);
17:22:42.674, 	1, 	1, 	15.2699, 	10.4579, 	0, 	64, 	-7.10543e-17, 	(-0.152805,0.183307);(0.376299,-0.555532);(-0.316107,0.0345848);(-0.0652293,-0.254802);
17:22:42.700, 	0, 	2, 	19.3581, 	8.25811, 	0, 	64, 	-7.10543e-17, 	(-0.00859443,-0.0610025);
17:22:42.720, 	0, 	2, 	15.9145, 	13.4966, 	0, 	68, 	-7.10543e-17, 	(-0.0348761,-0.0222404);
17:22:42.734, 	1, 	1, 	19.0057, 	19.5431, 	0, 	72, 	-7.10543e-17, 	(0.417415,-0.540186);(-0.313418,-0.252542);(0.377693,-0.385715);(-0.636983,-0.0466309);
17:22:42.754, 	1, 	1, 	15.476, 	11.1479, 	0, 	68, 	-7.10543e-17, 	(-0.119691,0.283102);(-0.342336,-0.255114);(-0.127664,0.115503);(-0.0489647,0.149349);
17:22:42.780, 	0, 	2, 	20.4073, 	8.94437, 	0, 	68, 	-7.10543e-17, 	(0.00460289,0.00521963);
17:22:42.800, 	0, 	2, 	20.3879, 	16.1765, 	0, 	68, 	-7.10543e-17, 	(-0.066819,0.0211623);
17:22:42.815, 	1, 	1, 	22.4306, 	21.7735, 	0, 	68, 	-7.10543e-17, 	(0.400711,-0.377126);(-0.0791916,-0.804519);(0.0830947,-0.32031);(-0.7385,-0.29339);
17:22:42.841, 	0, 	2, 	23.9322, 	17.8386, 	0, 	68, 	-7.10543e-17, 	(0.0544411,-0.154092);
17:22:42.861, 	1, 	2, 	23.6061, 	19.7171, 	1, 	64, 	0.304, 	(-0.073291,0.133489);
17:22:42.875, 	1, 	1, 	26.3159, 	25.4685, 	0, 	60, 	0.304, 	(-0.69765,-0.691225);(-0.805801,-0.563836);(-0.88079,-0.580726);(-1.04572,0.718193);
17:22:42.902, 	1, 	2, 	26.4261, 	25.0093, 	1, 	56, 	0.608, 	(0.450079,-0.454515);
17:22:42.922, 	1, 	2, 	28.5418, 	25.7387, 	1, 	52, 	0.912, 	(0.480579,0.446803);
17:22:42.942, 	1, 	2, 	31.4996, 	25.922, 	1, 	48, 	1.216, 	(0.734107,0.305312);
17:22:42.962, 	1, 	2, 	24.4936, 	25.4792, 	1, 	48, 	1.52, 	(0.872999,-0.25582);
17:22:42.982, 	1, 	2, 	28.9235, 	26.069, 	1, 	44, 	1.824, 	(0.474058,0.945621);
17:22:43.002, 	1, 	2, 	34.88, 	26.5477, 	1, 	40, 	2.128, 	(-1.00218,-0.694041);
17:22:43.022, 	1, 	2, 	33.8936, 	26.0326, 	1, 	36, 	2.432, 	(1.10385,0.291423);
17:22:43.043, 	1, 	2, 	27.3549, 	27.4177, 	1, 	32, 	2.736, 	(0.735194,-1.18208);
17:22:43.063, 	1, 	2, 	30.2516, 	25.0164, 	1, 	28, 	2.736, 	(0.56126,0.665863);
17:22:43.083, 	1, 	2, 	35.1565, 	26.3206, 	1, 	28, 	3.04, 	(0.886655,-0.983842);
17:22:43.104, 	1, 	2, 	30.1848, 	26.426, 	1, 	28, 	3.04, 	(-0.542013,0.668386);
17:22:43.124, 	1, 	2, 	28.6617, 	25.9042, 	1, 	24, 	3.04, 	(0.238491,-1.14783);
17:22:43.143, 	1, 	2, 	19.7882, 	23.4868, 	1, 	20, 	3.04, 	(-0.159111,-0.921279);
17:22:43.163, 	1, 	2, 	31.5972, 	25.653, 	1, 	20, 	3.04, 	(-0.757755,-0.194641);
17:22:43.185, 	1, 	2, 	30.7551, 	25.1837, 	1, 	20, 	3.04, 	(-0.0637267,0.795395);
17:22:43.204, 	1, 	2, 	28.7312, 	25.6918, 	1, 	16, 	3.04, 	(0.288397,-0.59348);
17:22:43.224, 	1, 	2, 	31.2891, 	26.5078, 	1, 	12, 	3.04, 	(0.710102,0.460124);
