(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);17:23:43.532, 	0, 	1, 	9.04286, 	8.88126, 	1, 	36, 	3.04, 	(-0.151819,0.0880051);(0.0825521,-0.272366);(0.220108,-0.0254842);(0.0151014,0.246308);
17:23:58.799, 	1, 	2, 	8.82368, 	13.8489, 	1, 	36, 	2.736, 	(-0.0454856,-0.0644378);
17:23:58.819, 	1, 	2, 	9.8584, 	15.1015, 	1, 	32, 	2.736, 	(-0.00551562,0.0634273);
17:23:58.844, 	1, 	2, 	11.8795, 	15.118, 	1, 	28, 	2.736, 	(0.122788,-0.0977191);
17:23:58.859, 	1, 	2, 	12.0634, 	15.5867, 	1, 	24, 	2.736, 	(0.13636,0.0882395);
17:23:58.881, 	1, 	2, 	11.1769, 	16.3112, 	1, 	20, 	2.736, 	(-0.124985,0.102067);
17:23:58.900, 	1, 	2, 	13.0197, 	15.9146, 	1, 	20, 	2.736, 	(-0.0543624,0.0797246);
17:23:58.920, 	1, 	2, 	12.1547, 	17.6172, 	1, 	16, 	2.736, 	(-0.0543795,-0.11037);
17:23:58.940, 	1, 	2, 	12.6635, 	17.1104, 	1, 	12, 	2.736, 	(-0.0994198,0.016645);
17:23:58.961, 	1, 	2, 	12.4091, 	16.4413, 	1, 	8, 	2.736, 	(0.0987454,-0.135441);
17:23:58.980, 	1, 	2, 	12.1944, 	18.8101, 	1, 	4, 	3.04, 	(-0.0821126,-0.154051);
17:23:59.001, 	1, 	2, 	13.4191, 	17.71, 	1, 	4, 	3.04, 	(0.179216,-0.0858733);
17:23:59.021, 	1, 	2, 	12.5194, 	17.3333, 	1, 	4, 	3.04, 	(-0.179621,0.102527);
17:23:59.041, 	1, 	2, 	14.2505, 	18.4856, 	1, 	4, 	3.04, 	(0.0666082,-0.210914);
17:23:59.061, 	1, 	2, 	14.8462, 	18.4146, 	1, 	4, 	3.04, 	(0.171579,0.165673);
17:23:59.081, 	1, 	2, 	17.0832, 	19.3241, 	1, 	4, 	3.04, 	(0.0413028,0.134906);
17:23:59.102, 	1, 	2, 	15.1301, 	18.9423, 	1, 	4, 	3.04, 	(0.208705,-0.110459);
17:23:59.122, 	1, 	2, 	14.9992, 	19.8379, 	1, 	4, 	3.04, 	(-0.070301,0.188554);
17:23:59.142, 	1, 	2, 	15.6916, 	19.4884, 	1, 	4, 	3.04, 	(-0.0386829,0.175705);
17:23:59.162, 	1, 	2, 	17.4432, 	20.469, 	1, 	4, 	3.04, 	(0.159557,0.0235312);
17:23:59.182, 	1, 	2, 	17.0064, 	20.3717, 	1, 	4, 	3.04, 	(-0.313934,0.0760347);
17:23:59.202, 	1, 	2, 	17.8964, 	20.7363, 	1, 	4, 	3.04, 	(0.15996,-0.277188);
17:23:59.222, 	1, 	2, 	18.2255, 	21.3893, 	1, 	4, 	3.04, 	(-0.284547,0.164387);
17:23:59.243, 	1, 	2, 	18.3936, 	21.9636, 	1, 	4, 	3.04, 	(0.0526258,0.300246);
17:23:59.262, 	1, 	2, 	18.1211, 	22.1311, 	1, 	4, 	3.04, 	(-0.238687,0.26568);
17:23:59.283, 	1, 	2, 	19.5807, 	22.1733, 	1, 	9.71445e-15, 	3.04, 	(-0.365879,-0.0147109);
17:23:59.303, 	1, 	2, 	21.4661, 	23.0535, 	1, 	9.71445e-15, 	3.04, 	(0.26335,0.274157);
17:23:59.323, 	1, 	2, 	20.545, 	21.8705, 	1, 	9.71445e-15, 	3.04, 	(0.343402,0.0979632);
17:23:59.343, 	1, 	2, 	20.4421, 	21.5518, 	1, 	9.71445e-15, 	3.04, 	(0.298032,0.0565855);
17:23:59.364, 	1, 	2, 	19.7234, 	22.2381, 	1, 	9.71445e-15, 	3.04, 	(-0.063585,-0.238166);
17:23:59.383, 	1, 	2, 	17.3676, 	21.1535, 	1, 	9.71445e-15, 	3.04, 	(-0.191614,-0.33896);
17:23:59.405, 	1, 	2, 	18.402, 	22.734, 	1, 	9.71445e-15, 	3.04, 	(-0.0932817,-0.415978);
17:23:59.424, 	1, 	2, 	20.5345, 	23.9197, 	1, 	9.71445e-15, 	3.04, 	(0.401342,-0.226238);
17:23:59.446, 	1, 	2, 	22.7223, 	24.0292, 	1, 	9.71445e-15, 	3.04, 	(0.152968,-0.203931);
17:23:59.464, 	1, 	2, 	19.7336, 	23.2478, 	1, 	9.71445e-15, 	3.04, 	(-0.450293,0.00245397);
17:23:59.484, 	1, 	2, 	20.9425, 	22.5276, 	1, 	9.71445e-15, 	3.04, 	(0.224266,-0.218132);
17:23:59.504, 	1, 	2, 	21.7614, 	22.6104, 	1, 	9.71445e-15, 	3.04, 	(-0.147157,0.218431);
17:23:59.525, 	1, 	2, 	17.2398, 	22.211, 	1, 	9.71445e-15, 	3.04, 	(0.33844,0.214272);
17:23:59.545, 	1, 	2, 	20.3506, 	22.3027, 	1, 	9.71445e-15, 	3.04, 	(-0.148617,-0.421911);
17:23:59.565, 	1, 	2, 	24.4106, 	23.6561, 	1, 	9.71445e-15, 	3.04, 	(-0.249223,-0.27665);
17:23:59.585, 	1, 	2, 	24.0397, 	24.2176, 	1, 	9.71445e-15, 	3.04, 	(-0.190838,-0.243493);
17:23:59.605, 	1, 	2, 	18.4619, 	23.0637, 	1, 	9.71445e-15, 	3.04, 	(0.554556,0.0143462);
17:23:59.625, 	1, 	2, 	22.9865, 	24.2545, 	1, 	9.71445e-15, 	3.04, 	(-0.155317,0.390973);
17:23:59.646, 	1, 	2, 	24.0849, 	24.411, 	1, 	9.71445e-15, 	3.04, 	(0.129824,-0.478167);
17:23:59.665, 	1, 	2, 	23.5692, 	23.9465, 	1, 	9.71445e-15, 	3.04, 	(-0.345468,-0.330538);
17:23:59.686, 	1, 	2, 	20.3673, 	24.3444, 	1, 	9.71445e-15, 	3.04, 	(0.204495,0.480673);
17:23:59.706, 	1, 	2, 	23.3499, 	24.248, 	1, 	9.71445e-15, 	3.04, 	(0.509371,0.22375);
17:23:59.727, 	1, 	2, 	25.7806, 	24.8308, 	1, 	9.71445e-15, 	3.04, 	(0.246721,0.267634);
17:23:59.746, 	1, 	2, 	19.7149, 	22.8972, 	1, 	9.71445e-15, 	3.04, 	(-0.654887,0.192618);
17:23:59.767, 	1, 	2, 	26.8193, 	24.88, 	1, 	9.71445e-15, 	3.04, 	(0.582113,0.176487);
17:23:59.787, 	1, 	2, 	26.2768, 	25.0709, 	1, 	9.71445e-15, 	3.04, 	(0.626082,0.400709);
17:23:59.807, 	1, 	2, 	27.1406, 	25.8004, 	1, 	9.71445e-15, 	3.04, 	(0.632351,-0.315225);
17:23:59.827, 	1, 	2, 	21.5673, 	23.7689, 	1, 	9.71445e-15, 	3.04, 	(-0.5665,-0.418634);
17:23:59.847, 	1, 	2, 	24.6132, 	25.3144, 	1, 	9.71445e-15, 	3.04, 	(-0.104749,0.670638);
17:23:59.867, 	1, 	2, 	25.9739, 	25.9933, 	1, 	9.71445e-15, 	3.04, 	(0.138035,0.377418);
17:23:59.887, 	1, 	2, 	19.5254, 	23.2547, 	1, 	9.71445e-15, 	3.04, 	(-0.584401,-0.119649);
17:23:59.908, 	1, 	2, 	24.4519, 	24.3274, 	1, 	9.71445e-15, 	3.04, 	(0.223634,0.385101);
