2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	25.4477, 	25.4477, 	26.1534, 	1, 	1.52
2, 	25.4477, 	25.4477, 	13.8489, 	1, 	2.736
2, 	25.4477, 	25.4477, 	15.1015, 	1, 	2.736
2, 	23.4805, 	23.4805, 	15.118, 	1, 	2.736
2, 	23.4805, 	23.4805, 	15.5867, 	1, 	2.736
2, 	22.508, 	22.508, 	16.3112, 	1, 	2.736
2, 	22.508, 	22.508, 	15.9146, 	1, 	2.736
2, 	25.4477, 	25.4477, 	17.6172, 	1, 	2.736
2, 	25.4477, 	25.4477, 	17.1104, 	1, 	2.736
2, 	29.4845, 	29.4845, 	16.4413, 	1, 	2.736
2, 	29.4845, 	29.4845, 	18.8101, 	1, 	3.04
2, 	29.4845, 	29.4845, 	17.71, 	1, 	3.04
2, 	29.4845, 	29.4845, 	17.3333, 	1, 	3.04
2, 	22.508, 	22.508, 	18.4856, 	1, 	3.04
2, 	22.508, 	22.508, 	18.4146, 	1, 	3.04
2, 	25.4477, 	25.4477, 	19.3241, 	1, 	3.04
2, 	25.4477, 	25.4477, 	18.9423, 	1, 	3.04
2, 	31.5631, 	31.5631, 	19.8379, 	1, 	3.04
2, 	31.5631, 	31.5631, 	19.4884, 	1, 	3.04
2, 	19.6296, 	19.6296, 	20.469, 	1, 	3.04
2, 	19.6296, 	19.6296, 	20.3717, 	1, 	3.04
2, 	20.5829, 	20.5829, 	20.7363, 	1, 	3.04
2, 	20.5829, 	20.5829, 	21.3893, 	1, 	3.04
2, 	18.6818, 	18.6818, 	21.9636, 	1, 	3.04
2, 	18.6818, 	18.6818, 	22.1311, 	1, 	3.04
2, 	18.6818, 	18.6818, 	22.1733, 	1, 	3.04
2, 	18.6818, 	18.6818, 	23.0535, 	1, 	3.04
2, 	19.6296, 	19.6296, 	21.8705, 	1, 	3.04
2, 	19.6296, 	19.6296, 	21.5518, 	1, 	3.04
2, 	18.6818, 	18.6818, 	22.2381, 	1, 	3.04
2, 	18.6818, 	18.6818, 	21.1535, 	1, 	3.04
2, 	16.8018, 	16.8018, 	22.734, 	1, 	3.04
2, 	16.8018, 	16.8018, 	23.9197, 	1, 	3.04
2, 	14.9403, 	14.9403, 	24.0292, 	1, 	3.04
2, 	14.9403, 	14.9403, 	23.2478, 	1, 	3.04
2, 	13.0948, 	13.0948, 	22.5276, 	1, 	3.04
2, 	13.0948, 	13.0948, 	22.6104, 	1, 	3.04
2, 	16.8018, 	16.8018, 	22.211, 	1, 	3.04
2, 	16.8018, 	16.8018, 	22.3027, 	1, 	3.04
2, 	14.9403, 	14.9403, 	23.6561, 	1, 	3.04
2, 	14.9403, 	14.9403, 	24.2176, 	1, 	3.04
2, 	13.0948, 	13.0948, 	23.0637, 	1, 	3.04
2, 	13.0948, 	13.0948, 	24.2545, 	1, 	3.04
2, 	14.0157, 	14.0157, 	24.411, 	1, 	3.04
2, 	14.0157, 	14.0157, 	23.9465, 	1, 	3.04
2, 	12.1773, 	12.1773, 	24.3444, 	1, 	3.04
2, 	12.1773, 	12.1773, 	24.248, 	1, 	3.04
2, 	13.0948, 	13.0948, 	24.8308, 	1, 	3.04
2, 	13.0948, 	13.0948, 	22.8972, 	1, 	3.04
2, 	24.4603, 	24.4603, 	24.88, 	1, 	3.04
2, 	24.4603, 	24.4603, 	25.0709, 	1, 	3.04
2, 	24.4603, 	24.4603, 	25.8004, 	1, 	3.04
2, 	24.4603, 	24.4603, 	23.7689, 	1, 	3.04
2, 	14.9403, 	14.9403, 	25.3144, 	1, 	3.04
2, 	14.9403, 	14.9403, 	25.9933, 	1, 	3.04
2, 	19.6296, 	19.6296, 	23.2547, 	1, 	3.04
2, 	19.6296, 	19.6296, 	24.3274, 	1, 	3.04
2, 	28.4611, 	28.4611, 	24.2311, 	1, 	3.04
2, 	28.4611, 	28.4611, 	23.6086, 	1, 	3.04
2, 	28.4611, 	28.4611, 	21.4398, 	1, 	3.04
2, 	17.7394, 	17.7394, 	19.3216, 	1, 	3.04
2, 	17.7394, 	17.7394, 	19.655, 	1, 	3.04
2, 	33.6892, 	33.6892, 	21.6186, 	1, 	3.04
2, 	33.6892, 	33.6892, 	15.0129, 	1, 	3.04
2, 	17.7394, 	17.7394, 	15.0522, 	0, 	3.04
2, 	17.7394, 	17.7394, 	18.4462, 	1, 	2.736
