(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);17:30:27.884, 	0, 	1, 	12.2275, 	11.8082, 	1, 	-1.38778e-15, 	3.04, 	(-0.242892,0.0703041);(0.148826,-0.31727);(0.350357,0.145044);(-0.188287,0.369494);
17:30:42.695, 	1, 	2, 	10.2058, 	15.4911, 	1, 	4, 	2.736, 	(-0.115395,0.046342);
17:30:42.715, 	1, 	2, 	11.2486, 	15.3344, 	1, 	4, 	2.736, 	(0.00316108,-0.158277);
17:30:42.735, 	1, 	2, 	11.6804, 	17.278, 	1, 	4, 	2.736, 	(-0.0638527,0.058357);
17:30:42.755, 	1, 	2, 	10.5181, 	15.8917, 	1, 	4, 	2.736, 	(0.093031,0.136947);
17:30:42.775, 	1, 	2, 	12.1938, 	15.409, 	1, 	4, 	2.736, 	(-0.10858,0.072279);
17:30:42.795, 	1, 	2, 	13.2961, 	16.6239, 	1, 	4, 	2.736, 	(0.167955,0.0380068);
17:30:42.815, 	1, 	2, 	11.1931, 	16.8505, 	1, 	4, 	2.736, 	(0.0725181,-0.0302601);
17:30:42.835, 	1, 	2, 	11.9381, 	17.4477, 	1, 	4, 	2.736, 	(-0.0581996,0.132095);
17:30:42.856, 	1, 	2, 	11.9438, 	15.3805, 	1, 	4, 	2.736, 	(0.099748,0.0757125);
17:30:42.876, 	1, 	2, 	13.5092, 	16.2762, 	1, 	4, 	3.04, 	(0.0971035,-0.0310099);
17:30:42.896, 	1, 	2, 	12.6168, 	16.5951, 	1, 	4, 	3.04, 	(0.0594449,0.033627);
17:30:42.916, 	1, 	2, 	11.9708, 	16.5414, 	1, 	4, 	3.04, 	(-0.118533,-0.0231965);
17:30:42.937, 	1, 	2, 	11.1949, 	16.3342, 	1, 	4, 	3.04, 	(-0.104681,-0.133967);
17:30:42.956, 	1, 	2, 	12.9579, 	16.1801, 	1, 	4, 	3.04, 	(0.0207807,-0.164217);
17:30:42.976, 	1, 	2, 	12.6359, 	17.0557, 	1, 	4, 	3.04, 	(-0.00132614,-0.150779);
17:30:42.997, 	1, 	2, 	13.3091, 	18.0879, 	1, 	4, 	3.04, 	(0.110598,0.1395);
17:30:43.017, 	1, 	2, 	13.1681, 	15.5142, 	1, 	4, 	3.04, 	(-0.128516,-0.035307);
17:30:43.037, 	1, 	2, 	13.6959, 	17.6052, 	1, 	4, 	3.04, 	(0.0676348,-0.175591);
