2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-22.21278725922066, 	-60, 	26.1534, 	1, 	1.52
2, 	-22.21278725922066, 	-59, 	0, 	0, 	1.52
2, 	50.6636, 	-58, 	9.94101, 	0, 	0.0
2, 	50.6636, 	-57, 	11.7861, 	0, 	0.0
2, 	49.2717, 	-56, 	6.07206, 	0, 	0.0
2, 	49.2717, 	-55, 	10.1952, 	0, 	0.0
2, 	21.5423, 	-54, 	10.7496, 	0, 	0.0
2, 	21.5423, 	-53, 	7.74956, 	0, 	0.0
2, 	19.6296, 	-52, 	11.3088, 	1, 	0.434286
2, 	19.6296, 	-51, 	8.01995, 	0, 	0.434286
2, 	19.6296, 	-50, 	10.7651, 	0, 	0.38
2, 	19.6296, 	-49, 	10.0503, 	0, 	0.337778
2, 	20.5829, 	-48, 	10.8269, 	0, 	0.304
2, 	20.5829, 	-47, 	11.7091, 	1, 	0.608
2, 	18.6818, 	-46, 	10.3249, 	1, 	0.912
2, 	18.6818, 	-45, 	7.32391, 	0, 	0.912
2, 	16.8018, 	-44, 	11.7478, 	1, 	1.216
2, 	16.8018, 	-43, 	10.4288, 	0, 	1.216
2, 	17.7394, 	-42, 	7.91355, 	0, 	1.216
2, 	17.7394, 	-41, 	8.15779, 	0, 	0.912
2, 	15.8689, 	-40, 	8.31056, 	0, 	0.912
2, 	15.8689, 	-39, 	7.08132, 	0, 	0.912
2, 	15.8689, 	-38, 	8.39907, 	0, 	0.912
2, 	15.8689, 	-37, 	6.59082, 	0, 	0.912
2, 	16.8018, 	-36, 	0.829858, 	0, 	0.608
2, 	16.8018, 	-35, 	3.83102, 	0, 	0.304
2, 	17.7394, 	-34, 	5.28729, 	0, 	0.304
2, 	17.7394, 	-33, 	1.09708, 	0, 	-7.10543e-17
2, 	15.8689, 	-32, 	4.08358, 	0, 	-7.10543e-17
2, 	15.8689, 	-31, 	3.19078, 	0, 	-7.10543e-17
2, 	14.9403, 	-30, 	8.62141, 	0, 	-7.10543e-17
2, 	14.9403, 	-29, 	6.59937, 	0, 	-7.10543e-17
2, 	15.8689, 	-28, 	5.60738, 	0, 	-7.10543e-17
