(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);16:59:30.523, 	1, 	1, 	14.5241, 	10.0944, 	0, 	-1.249e-14, 	2.736, 	(0.210586,-0.118036);(0.117602,0.263804);(-0.0878964,0.10859);(-0.0834837,-0.0489322);
16:59:45.054, 	1, 	2, 	16.172, 	15.5707, 	1, 	-1.249e-14, 	2.736, 	(0.119763,0.0814748);
16:59:45.074, 	1, 	2, 	18.5534, 	14.9866, 	1, 	-1.249e-14, 	2.736, 	(0.103049,0.07661);
16:59:45.094, 	1, 	2, 	19.366, 	14.9645, 	1, 	-1.249e-14, 	2.736, 	(0.129759,0.0887022);
16:59:45.114, 	1, 	2, 	18.816, 	15.1996, 	1, 	-1.249e-14, 	2.736, 	(-0.0172125,-0.15535);
16:59:45.134, 	1, 	2, 	19.5681, 	15.366, 	1, 	-1.249e-14, 	2.736, 	(-0.127021,-0.0363324);
16:59:45.154, 	1, 	2, 	20.8636, 	16.1732, 	1, 	-1.249e-14, 	2.736, 	(-0.10841,-0.129672);
16:59:45.175, 	1, 	2, 	20.9252, 	17.7945, 	1, 	-1.249e-14, 	2.736, 	(-0.14713,-0.115387);
16:59:45.195, 	1, 	2, 	22.6926, 	17.0857, 	1, 	-1.249e-14, 	2.736, 	(-0.0532258,0.177416);
16:59:45.215, 	1, 	2, 	21.6805, 	16.4117, 	1, 	-1.249e-14, 	2.736, 	(0.162611,0.0243199);
16:59:45.235, 	1, 	2, 	20.7621, 	15.3351, 	1, 	-1.249e-14, 	3.04, 	(0.120587,0.00607804);
16:59:45.255, 	1, 	2, 	18.0688, 	14.8956, 	1, 	-1.249e-14, 	3.04, 	(0.0508815,-0.136595);
16:59:45.275, 	1, 	2, 	17.3462, 	15.2473, 	1, 	-1.249e-14, 	3.04, 	(-0.0175846,-0.115847);
16:59:45.295, 	1, 	2, 	15.1281, 	15.8273, 	1, 	-1.249e-14, 	3.04, 	(0.019266,0.151821);
16:59:45.316, 	1, 	2, 	16.9341, 	15.6527, 	1, 	-1.249e-14, 	3.04, 	(0.146914,-0.0504256);
16:59:45.336, 	1, 	2, 	21.7575, 	15.6556, 	1, 	-1.249e-14, 	3.04, 	(-0.0839263,0.133065);
16:59:45.356, 	1, 	2, 	19.5912, 	15.8995, 	1, 	-1.249e-14, 	3.04, 	(-0.0396453,-0.132469);
16:59:45.376, 	1, 	2, 	22.3074, 	13.7248, 	1, 	-1.249e-14, 	3.04, 	(-0.112583,-0.0527377);
16:59:45.396, 	0, 	2, 	21.327, 	11.0087, 	1, 	-1.249e-14, 	3.04, 	(0.00280421,-0.0347091);
16:59:45.417, 	1, 	2, 	15.8604, 	12.9501, 	1, 	4, 	2.736, 	(0.0590878,-0.0729145);
16:59:45.436, 	0, 	2, 	12.1498, 	12.7262, 	1, 	4, 	2.736, 	(0.0185309,0.0407842);
16:59:45.457, 	1, 	2, 	15.3858, 	13.8343, 	1, 	8, 	2.432, 	(-0.0169859,0.115322);
16:59:45.477, 	1, 	2, 	19.9412, 	11.3227, 	1, 	8, 	2.432, 	(0.0514129,-0.0504472);
16:59:45.497, 	0, 	2, 	21.8046, 	10.8253, 	1, 	8, 	2.432, 	(-0.0690007,0.0316775);
16:59:45.518, 	0, 	2, 	19.8493, 	9.62413, 	0, 	12, 	2.128, 	(-0.051038,0.038993);
16:59:45.538, 	0, 	2, 	18.1265, 	8.78598, 	0, 	16, 	1.824, 	(-0.0223975,0.0265537);
16:59:45.558, 	0, 	2, 	12.0998, 	11.4552, 	0, 	20, 	1.52, 	(-0.0507578,-0.0481504);
16:59:45.578, 	0, 	2, 	10.0901, 	9.75812, 	0, 	24, 	1.216, 	(-0.0610271,0.0171761);
16:59:45.598, 	0, 	2, 	15.4275, 	8.86472, 	0, 	28, 	0.912, 	(0.0515084,-0.018484);
16:59:45.618, 	0, 	2, 	18.619, 	3.02186, 	0, 	32, 	0.912, 	(-0.000692049,0.0183696);
16:59:45.638, 	0, 	2, 	20.0713, 	3.41096, 	0, 	36, 	0.608, 	(-0.00368538,-0.0163266);
16:59:45.658, 	0, 	2, 	15.465, 	8.81841, 	0, 	40, 	0.608, 	(-0.00340259,-0.0480014);
16:59:45.678, 	0, 	2, 	8.76551, 	9.63291, 	0, 	44, 	0.304, 	(-0.0105466,-0.000839708);
16:59:45.699, 	0, 	2, 	15.9427, 	8.34718, 	0, 	48, 	-7.10543e-17, 	(0.0286383,0.00571255);
16:59:45.719, 	0, 	2, 	19.5146, 	4.32612, 	0, 	52, 	-7.10543e-17, 	(0.0264367,-0.00352133);
16:59:45.739, 	0, 	2, 	19.7204, 	9.43852, 	0, 	56, 	-7.10543e-17, 	(-0.00321124,0.0357365);
16:59:45.760, 	1, 	2, 	11.8701, 	10.0082, 	1, 	60, 	0.304, 	(-0.0233973,-0.0197902);
16:59:45.779, 	0, 	2, 	8.67542, 	7.81053, 	1, 	60, 	0.304, 	(0.013965,0.00121227);
16:59:45.799, 	0, 	2, 	10.303, 	3.82934, 	0, 	64, 	0.304, 	(0.000180539,0.0289129);
16:59:45.819, 	0, 	2, 	10.6077, 	1.2741, 	0, 	68, 	0.304, 	(-0.00166508,0.00660358);
16:59:45.840, 	0, 	2, 	11.7948, 	7.92355, 	0, 	72, 	0.304, 	(-0.00924056,0.00186095);
16:59:45.860, 	0, 	2, 	15.6269, 	5.40517, 	0, 	76, 	0.304, 	(-0.0196236,0.0101527);
16:59:45.880, 	0, 	2, 	15.3128, 	9.14237, 	0, 	80, 	0.304, 	(0.0585659,0.0214559);
16:59:45.900, 	0, 	2, 	12.8852, 	9.88756, 	0, 	84, 	0.304, 	(0.000111902,-0.0483551);
16:59:45.920, 	0, 	2, 	14.5454, 	4.5942, 	0, 	84, 	0.304, 	(-0.0358735,0.00410889);
16:59:45.940, 	0, 	2, 	15.992, 	7.6679, 	0, 	88, 	0.304, 	(-0.00811872,0.0192051);
16:59:45.960, 	1, 	2, 	16.9779, 	11.1439, 	1, 	88, 	0.304, 	(0.0209632,-0.015067);
16:59:45.981, 	1, 	2, 	13.185, 	10.9581, 	1, 	88, 	0.608, 	(0.00614653,-0.0652596);
16:59:46.006, 	0, 	2, 	10.518, 	8.05703, 	1, 	88, 	0.608, 	(-0.0232752,-0.0347065);
16:59:46.022, 	0, 	2, 	12.1274, 	5.60955, 	0, 	88, 	0.608, 	(-0.0309816,0.0177033);
16:59:46.042, 	0, 	2, 	14.1984, 	5.8747, 	0, 	88, 	0.608, 	(-0.00926846,-0.000329221);
16:59:46.062, 	0, 	2, 	14.9483, 	8.19708, 	0, 	88, 	0.608, 	(-0.0330492,-0.00133441);
16:59:46.082, 	0, 	2, 	16.0723, 	10.9856, 	0, 	88, 	0.608, 	(0.0403973,0.0525032);
16:59:46.102, 	0, 	2, 	14.187, 	13.6192, 	0, 	88, 	0.608, 	(0.0495155,0.0484);
16:59:46.122, 	0, 	2, 	13.7332, 	10.4635, 	0, 	88, 	0.608, 	(-0.0508745,-0.00818944);
16:59:46.142, 	0, 	2, 	14.3499, 	10.2693, 	0, 	88, 	0.608, 	(0.04645,0.00792288);
16:59:46.162, 	0, 	2, 	16.2726, 	12.3701, 	0, 	88, 	0.608, 	(-0.0515302,0.0405916);
16:59:46.182, 	0, 	2, 	13.2406, 	12.6756, 	0, 	88, 	0.304, 	(-0.0649098,-0.0315377);
16:59:46.203, 	0, 	2, 	12.6001, 	11.5619, 	0, 	88, 	-7.10543e-17, 	(0.0507365,-0.0455124);
16:59:46.223, 	0, 	2, 	12.2309, 	7.89758, 	0, 	88, 	-7.10543e-17, 	(-0.0458294,0.0113984);
16:59:46.243, 	0, 	2, 	12.0221, 	10.2587, 	0, 	88, 	-7.10543e-17, 	(0.0477563,-0.0459668);
16:59:46.263, 	1, 	2, 	11.5135, 	12.0649, 	1, 	88, 	0.304, 	(0.0889177,-0.0134272);
16:59:46.283, 	0, 	2, 	10.8522, 	11.8772, 	1, 	88, 	0.304, 	(-0.0252358,-0.0173756);
16:59:46.303, 	0, 	2, 	9.45416, 	9.26394, 	0, 	88, 	0.304, 	(0.0357627,0.00579561);
16:59:46.323, 	0, 	2, 	10.9252, 	10.1029, 	0, 	88, 	0.304, 	(0.0351238,-0.0514656);
16:59:46.344, 	0, 	2, 	14.0693, 	11.2489, 	0, 	88, 	0.304, 	(-0.0583778,-0.0733684);
16:59:46.364, 	0, 	2, 	15.7959, 	13.5286, 	0, 	88, 	0.304, 	(0.0893784,0.04384);
16:59:46.384, 	0, 	2, 	15.4187, 	14.4445, 	0, 	88, 	0.304, 	(-0.0913975,0.0772746);
16:59:46.404, 	0, 	2, 	15.4066, 	13.9651, 	0, 	88, 	0.304, 	(0.111396,0.0454578);
16:59:46.424, 	1, 	2, 	15.7983, 	14.9692, 	1, 	84, 	0.608, 	(0.114444,0.0086173);
16:59:46.444, 	0, 	2, 	13.0187, 	13.9654, 	1, 	84, 	0.608, 	(-0.136626,0.029823);
16:59:46.465, 	1, 	2, 	11.026, 	13.439, 	1, 	84, 	0.608, 	(0.11149,0.010247);
16:59:46.485, 	0, 	2, 	10.3513, 	11.2134, 	1, 	84, 	0.608, 	(-0.0392414,0.0208267);
16:59:46.505, 	0, 	2, 	11.2405, 	10.3026, 	0, 	88, 	0.608, 	(-0.0882179,-0.0128892);
16:59:46.526, 	0, 	2, 	12.1533, 	11.4832, 	0, 	88, 	0.608, 	(0.0680638,0.0301488);
16:59:46.545, 	0, 	2, 	10.6501, 	11.488, 	0, 	88, 	0.608, 	(-0.0721509,0.0494835);
16:59:46.566, 	0, 	2, 	11.4877, 	12.7498, 	0, 	88, 	0.608, 	(-0.00431038,0.0371629);
16:59:46.585, 	0, 	2, 	9.46715, 	10.8629, 	0, 	88, 	0.608, 	(0.0372622,-0.0212909);
16:59:46.606, 	0, 	2, 	9.29469, 	10.533, 	0, 	88, 	0.608, 	(0.0676075,0.0207039);
16:59:46.646, 	0, 	2, 	9.03442, 	10.1273, 	0, 	88, 	0.608, 	(0.0330481,0.0685044);
16:59:46.666, 	0, 	2, 	8.94749, 	9.3335, 	0, 	88, 	0.304, 	(0.0445464,-0.0161621);
16:59:46.686, 	0, 	2, 	8.97332, 	3.55708, 	0, 	88, 	0.304, 	(-0.0261847,-0.00992991);
16:59:46.707, 	0, 	2, 	11.4373, 	9.19025, 	0, 	88, 	-7.10543e-17, 	(0.0532488,0.0105403);
16:59:46.727, 	0, 	2, 	10.4485, 	11.8073, 	0, 	88, 	-7.10543e-17, 	(-0.0300629,-0.0568149);
16:59:46.747, 	0, 	2, 	10.1583, 	11.2347, 	0, 	88, 	-7.10543e-17, 	(0.0544249,-0.0599789);
16:59:46.767, 	0, 	2, 	8.43301, 	6.51595, 	0, 	88, 	-7.10543e-17, 	(0.00522751,-0.0362494);
16:59:46.827, 	0, 	2, 	7.99884, 	10.8798, 	0, 	88, 	-7.10543e-17, 	(0.0217473,0.018152);
16:59:46.868, 	0, 	2, 	8.18892, 	5.52678, 	0, 	92, 	-7.10543e-17, 	(-0.00617925,0.0288504);
16:59:46.888, 	0, 	2, 	9.81536, 	7.40271, 	0, 	92, 	-7.10543e-17, 	(-0.0302962,0.00385616);
16:59:46.911, 	0, 	2, 	10.8518, 	0.61604, 	0, 	92, 	-7.10543e-17, 	(0.0142228,-0.000563219);
16:59:46.928, 	0, 	2, 	8.11401, 	4.45158, 	0, 	92, 	-7.10543e-17, 	(-0.0126158,0.0142852);
16:59:46.950, 	0, 	2, 	10.4592, 	0.803619, 	0, 	92, 	-7.10543e-17, 	(-0.00312776,-0.00468494);
16:59:46.969, 	0, 	2, 	10.4768, 	5.52576, 	0, 	92, 	-7.10543e-17, 	(0.0245455,0.0172366);
16:59:46.989, 	0, 	2, 	9.63139, 	6.13991, 	0, 	92, 	-7.10543e-17, 	(0.00838636,-0.0212521);
16:59:47.013, 	0, 	2, 	9.10713, 	2.21231, 	0, 	92, 	-7.10543e-17, 	(0.00644718,0.0133872);
16:59:47.049, 	0, 	2, 	8.24156, 	6.46137, 	0, 	96, 	-7.10543e-17, 	(0.00610107,0.0112565);
16:59:47.089, 	0, 	2, 	8.01265, 	4.52318, 	0, 	96, 	-7.10543e-17, 	(0.00853838,-0.0196644);
16:59:47.110, 	0, 	2, 	8.74342, 	6.8875, 	0, 	100, 	-7.10543e-17, 	(-0.0192609,-0.0303485);
16:59:47.130, 	0, 	2, 	9.59495, 	5.29775, 	0, 	100, 	-7.10543e-17, 	(-0.0185522,0.0184198);
16:59:47.150, 	0, 	2, 	9.70257, 	4.04778, 	0, 	100, 	-7.10543e-17, 	(0.00686917,-0.00353204);
16:59:47.170, 	0, 	2, 	12.1801, 	5.99883, 	0, 	100, 	-7.10543e-17, 	(0.00368505,0.0119931);
16:59:47.190, 	0, 	2, 	9.48873, 	6.34366, 	0, 	100, 	-7.10543e-17, 	(0.00695843,-0.000482145);
16:59:47.230, 	0, 	2, 	10.7737, 	7.28702, 	0, 	100, 	-7.10543e-17, 	(-0.0252457,0.00452009);
16:59:47.251, 	0, 	2, 	10.8739, 	6.11339, 	0, 	100, 	-7.10543e-17, 	(0.00854388,0.0220094);
16:59:47.271, 	0, 	2, 	10.09, 	2.19823, 	0, 	100, 	-7.10543e-17, 	(0.00319126,-0.008238);
16:59:47.291, 	0, 	2, 	9.30982, 	4.54528, 	0, 	100, 	-7.10543e-17, 	(-0.0199779,-0.00649715);
16:59:47.312, 	0, 	2, 	10.3491, 	2.2408, 	0, 	100, 	-7.10543e-17, 	(-0.0025498,-0.0191636);
16:59:47.331, 	0, 	2, 	11.4088, 	5.35297, 	0, 	100, 	-7.10543e-17, 	(-0.00425477,-0.00208217);
16:59:47.352, 	0, 	2, 	9.27845, 	0.687148, 	0, 	100, 	-7.10543e-17, 	(0.0187981,0.00526808);
16:59:47.372, 	0, 	2, 	11.0933, 	4.05404, 	0, 	100, 	-7.10543e-17, 	(0.00975813,0.013309);
16:59:47.392, 	0, 	2, 	10.3883, 	3.45862, 	0, 	100, 	-7.10543e-17, 	(-0.0188202,0.0075006);
16:59:47.412, 	0, 	2, 	11.4479, 	1.95289, 	0, 	100, 	-7.10543e-17, 	(0.00238802,0.00209642);
16:59:47.432, 	0, 	2, 	11.4858, 	6.55789, 	0, 	100, 	-7.10543e-17, 	(8.50119e-05,0.00888472);
16:59:47.453, 	0, 	2, 	11.1862, 	4.32811, 	0, 	100, 	-7.10543e-17, 	(0.0237838,0.00589533);
16:59:47.472, 	0, 	2, 	10.279, 	-0.1014, 	0, 	100, 	-7.10543e-17, 	(0.0127401,-0.00434881);
16:59:47.493, 	0, 	2, 	13.6584, 	2.08845, 	0, 	100, 	-7.10543e-17, 	(0.0201582,0.0163349);
