(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);
 NEW RECORD - 10-11-2023 17:38:20time, CRC, type, snr, data_snr, data_CRC, per_val, Throughput
17:38:20.989, 	0, 	2, 	12.5987, 	7.80693, 	0, 	0, 	0, 	(0.0302549,-0.00135024);
17:38:21.010, 	0, 	2, 	12.9235, 	6.53705, 	0, 	100, 	0, 	(0.0281083,0.0442416);
17:38:21.030, 	0, 	2, 	10.2831, 	7.27188, 	0, 	100, 	0, 	(-0.0213619,-0.0325694);
17:38:21.050, 	0, 	2, 	11.3485, 	6.17689, 	0, 	100, 	0, 	(-0.0102296,0.014296);
17:38:21.070, 	0, 	2, 	13.585, 	4.77479, 	0, 	100, 	0, 	(0.0120919,0.0105096);
17:38:21.091, 	0, 	2, 	15.4987, 	6.41532, 	0, 	100, 	0, 	(0.038242,0.0159761);
17:38:21.111, 	0, 	2, 	13.7445, 	6.24658, 	0, 	100, 	0, 	(0.0215146,0.00894038);
17:38:21.131, 	0, 	2, 	10.6545, 	5.18626, 	0, 	100, 	0, 	(0.0164676,-0.0198036);
17:38:21.151, 	0, 	2, 	9.41136, 	0.775342, 	0, 	100, 	0, 	(-0.00214306,-0.00684041);
17:38:21.171, 	0, 	2, 	11.2814, 	3.98169, 	0, 	100, 	0, 	(-0.0121276,-0.000650886);
17:38:21.191, 	0, 	2, 	14.2936, 	5.49253, 	0, 	100, 	0, 	(0.023639,-0.00892964);
17:38:21.211, 	0, 	2, 	14.4835, 	4.80371, 	0, 	100, 	0, 	(0.0133623,0.0110497);
17:38:21.231, 	0, 	2, 	13.2618, 	4.80371, 	0, 	100, 	0, 	(0.0133623,0.0110497);
17:38:21.252, 	0, 	2, 	13.673, 	3.0698, 	0, 	100, 	0, 	(-0.0013908,0.00176035);
17:38:21.272, 	0, 	2, 	12.6612, 	1.28661, 	0, 	100, 	0, 	(-0.0138338,0.00650348);
17:38:21.292, 	0, 	2, 	12.9764, 	2.52199, 	0, 	100, 	0, 	(0.00393719,0.0173895);
17:38:21.312, 	0, 	2, 	13.694, 	2.74249, 	0, 	100, 	0, 	(-0.00416492,-0.000133426);
17:38:21.332, 	0, 	2, 	8.90636, 	3.5692, 	0, 	100, 	0, 	(0.0162625,0.00569585);
17:38:21.352, 	0, 	2, 	10.5854, 	5.07625, 	0, 	100, 	0, 	(0.00683243,-0.00157635);
17:38:21.372, 	0, 	2, 	12.1805, 	0.400537, 	0, 	100, 	0, 	(-0.00555067,-0.00197564);
17:38:21.393, 	0, 	2, 	9.55064, 	4.65662, 	0, 	100, 	0, 	(-0.0288345,-0.0264612);
17:38:21.415, 	0, 	2, 	10.9592, 	-0.967443, 	0, 	100, 	0, 	(-0.000220684,-0.00169018);
17:38:21.433, 	0, 	2, 	11.2331, 	2.01012, 	0, 	100, 	0, 	(0.00832811,0.00745175);
17:38:21.453, 	0, 	2, 	10.8239, 	0.39304, 	0, 	100, 	0, 	(-0.0143232,-0.00665181);
17:38:21.473, 	0, 	2, 	12.7068, 	3.74156, 	0, 	100, 	0, 	(0.00822501,-0.0303134);
17:38:21.494, 	0, 	2, 	14.4557, 	3.69124, 	0, 	100, 	0, 	(0.00502791,0.0193717);
17:38:21.514, 	0, 	2, 	15.2076, 	3.44554, 	0, 	100, 	0, 	(0.0158475,-0.00167803);
17:38:21.534, 	0, 	2, 	13.3121, 	4.22449, 	0, 	100, 	0, 	(-0.0240549,0.016894);
17:38:21.554, 	0, 	2, 	13.0647, 	5.04659, 	0, 	100, 	0, 	(0.00253053,0.00818144);
17:38:21.574, 	0, 	2, 	11.659, 	4.18532, 	0, 	100, 	0, 	(0.016101,-0.0130583);
17:38:21.594, 	0, 	2, 	11.9443, 	1.70827, 	0, 	100, 	0, 	(-0.016721,0.00846074);
17:38:21.614, 	0, 	2, 	13.4776, 	2.97176, 	0, 	100, 	0, 	(0.00372611,-0.00953568);
17:38:21.634, 	0, 	2, 	10.6307, 	1.63298, 	0, 	100, 	0, 	(0.00864618,-0.0139296);
17:38:21.655, 	0, 	2, 	10.2751, 	2.54329, 	0, 	100, 	0, 	(0.0061499,0.00740228);
17:38:21.675, 	0, 	2, 	9.81025, 	-0.535828, 	0, 	100, 	0, 	(0.00546216,-0.00877029);
17:38:21.775, 	0, 	2, 	8.62442, 	0.373904, 	0, 	100, 	0, 	(0.0037515,0.00569756);
17:38:21.795, 	0, 	2, 	11.3811, 	1.26018, 	0, 	100, 	0, 	(-0.0124009,-0.00878676);
17:38:21.836, 	0, 	2, 	8.14516, 	2.44187, 	0, 	100, 	0, 	(-0.0037162,0.0094484);
17:38:21.876, 	0, 	2, 	9.41652, 	-0.850184, 	0, 	100, 	0, 	(0.00566363,-0.00808597);
17:38:21.997, 	0, 	2, 	8.64215, 	1.47754, 	0, 	100, 	0, 	(-0.00423043,-0.0130418);
17:38:22.017, 	0, 	2, 	9.44039, 	4.68279, 	0, 	100, 	0, 	(-0.00838735,0.00224614);
17:38:22.037, 	0, 	2, 	8.76722, 	2.80761, 	0, 	100, 	0, 	(0.0175275,-0.0174777);
17:38:22.057, 	0, 	2, 	6.7682, 	2.80761, 	0, 	100, 	0, 	(0.0175275,-0.0174777);
17:38:22.078, 	0, 	2, 	9.78162, 	3.81755, 	0, 	100, 	0, 	(0.00588655,0.00402155);
17:38:22.140, 	0, 	2, 	9.94274, 	-0.185919, 	0, 	100, 	0, 	(0.0122092,-0.00228596);
17:38:22.158, 	0, 	2, 	11.4081, 	6.48035, 	0, 	100, 	0, 	(-0.0154083,-0.00220801);
17:38:22.178, 	0, 	2, 	8.97845, 	6.45457, 	0, 	100, 	0, 	(-0.0147215,-0.00562092);
17:38:22.199, 	0, 	2, 	11.8502, 	2.74882, 	0, 	100, 	0, 	(0.0134796,-0.0169596);
17:38:22.239, 	0, 	2, 	10.9283, 	5.10204, 	0, 	100, 	0, 	(0.00902223,-0.0302884);
17:38:22.261, 	0, 	2, 	9.32286, 	-0.584952, 	0, 	100, 	0, 	(-0.0133143,0.00512974);
17:38:22.300, 	0, 	2, 	8.49172, 	7.14939, 	0, 	100, 	0, 	(-0.0175115,0.00256618);
17:38:22.320, 	0, 	2, 	11.9742, 	5.55699, 	0, 	100, 	0, 	(-0.0138587,-0.00861182);
17:38:22.340, 	0, 	2, 	10.4229, 	4.64899, 	0, 	100, 	0, 	(0.0193768,-0.0133945);
17:38:22.360, 	0, 	2, 	10.0946, 	10.4315, 	0, 	100, 	0, 	(-0.0414827,0.019974);
17:38:22.380, 	0, 	2, 	9.96533, 	8.63197, 	0, 	100, 	0, 	(0.00390606,0.017998);
17:38:22.420, 	0, 	2, 	11.4713, 	10.9069, 	0, 	100, 	0, 	(0.0595592,-0.00897877);
17:38:22.441, 	0, 	2, 	9.94649, 	9.50209, 	0, 	100, 	0, 	(0.0300477,-0.0370035);
17:38:22.461, 	0, 	2, 	9.76893, 	9.45442, 	0, 	100, 	0, 	(0.0326835,-3.60174e-05);
17:38:22.481, 	0, 	2, 	10.0464, 	10.7799, 	0, 	100, 	0, 	(0.0580026,-0.00243192);
17:38:22.501, 	1, 	2, 	11.6635, 	12.4296, 	1, 	96, 	0.304, 	(0.0547202,-0.0405153);
17:38:22.521, 	0, 	2, 	12.644, 	14.3058, 	1, 	96, 	0.304, 	(-0.0441967,0.075778);
17:38:22.531, 	0, 	2, 	11.1738, 	12.8029, 	0, 	96, 	0.304, 	(0.0246105,0.0525663);
17:38:22.554, 	0, 	2, 	11.9262, 	3.16294, 	0, 	96, 	0.304, 	(-0.0543628,-0.0220861);
17:38:22.572, 	0, 	2, 	10.2267, 	8.29161, 	0, 	96, 	0.304, 	(0.0646549,-0.0301159);
17:38:22.592, 	0, 	2, 	10.4422, 	11.5744, 	0, 	96, 	0.304, 	(0.0625339,-0.00330419);
17:38:22.612, 	0, 	2, 	11.3003, 	11.7781, 	0, 	96, 	0.304, 	(0.015285,0.0614925);
17:38:22.632, 	0, 	2, 	11.4515, 	7.90509, 	0, 	96, 	0.304, 	(-0.0245374,-0.044783);
17:38:22.653, 	0, 	2, 	10.7612, 	10.092, 	0, 	96, 	0.304, 	(-0.0280682,0.05354);
17:38:22.672, 	0, 	2, 	12.7047, 	12.961, 	0, 	96, 	0.304, 	(0.02052,0.0772394);
17:38:22.693, 	0, 	2, 	12.1789, 	11.714, 	0, 	96, 	0.304, 	(0.0229637,-0.100588);
17:38:22.713, 	1, 	2, 	14.1533, 	15.2717, 	1, 	92, 	0.304, 	(0.0841286,0.108212);
17:38:22.733, 	0, 	2, 	16.0927, 	13.6851, 	1, 	92, 	0.304, 	(-0.112521,0.0672832);
17:38:22.753, 	0, 	2, 	14.7835, 	10.6221, 	0, 	92, 	0.304, 	(-0.0709102,-0.107369);
17:38:22.773, 	1, 	2, 	14.5091, 	15.5891, 	1, 	88, 	0.608, 	(0.0605783,0.115787);
