2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	42.8192, 	-60, 	26.1534, 	1, 	1.52
2, 	21.5423, 	-59, 	12.231, 	0, 	2.432
2, 	21.5423, 	-58, 	0, 	0, 	2.432
2, 	21.5423, 	-57, 	12.6583, 	0, 	2.128
2, 	20.5829, 	-56, 	6.06733, 	0, 	1.824
2, 	20.5829, 	-55, 	12.4198, 	0, 	1.52
2, 	20.5829, 	-54, 	12.8812, 	0, 	1.216
2, 	21.5423, 	-53, 	6.97261, 	0, 	0.912
2, 	21.5423, 	-52, 	9.90751, 	1, 	0.608
2, 	21.5423, 	-51, 	3.58344, 	0, 	0.608
2, 	20.5829, 	-50, 	6.88754, 	0, 	0.608
2, 	20.5829, 	-49, 	11.1941, 	0, 	0.304
2, 	20.5829, 	-48, 	3.80935, 	0, 	0.304
2, 	20.5829, 	-47, 	9.42919, 	0, 	0.304
2, 	33.6892, 	-46, 	3.22806, 	0, 	0.304
2, 	33.6892, 	-45, 	7.38191, 	0, 	0.304
2, 	16.8018, 	-44, 	5.88001, 	0, 	0.304
2, 	16.8018, 	-43, 	7.83807, 	0, 	0.304
2, 	19.6296, 	-42, 	4.10598, 	0, 	0.304
2, 	19.6296, 	-41, 	8.34221, 	0, 	-7.10543e-17
2, 	19.6296, 	-40, 	5.60491, 	0, 	-7.10543e-17
2, 	34.772, 	-39, 	6.12207, 	0, 	-7.10543e-17
2, 	34.772, 	-38, 	4.0618, 	0, 	-7.10543e-17
2, 	19.6296, 	-37, 	5.48157, 	0, 	-7.10543e-17
2, 	19.6296, 	-36, 	1.51979, 	0, 	-7.10543e-17
2, 	16.8018, 	-35, 	3.91155, 	0, 	-7.10543e-17
2, 	16.8018, 	-34, 	1.72328, 	0, 	-7.10543e-17
2, 	17.7394, 	-33, 	1.63843, 	0, 	-7.10543e-17
2, 	17.7394, 	-32, 	0.319374, 	0, 	-7.10543e-17
2, 	16.8018, 	-31, 	-1.20042, 	0, 	-7.10543e-17
2, 	16.8018, 	-30, 	2.32586, 	0, 	-7.10543e-17
2, 	16.8018, 	-29, 	6.10556, 	0, 	-7.10543e-17
2, 	16.8018, 	-28, 	2.70328, 	0, 	-7.10543e-17
2, 	16.8018, 	-27, 	7.36336, 	0, 	-7.10543e-17
2, 	16.8018, 	-26, 	7.42022, 	0, 	-7.10543e-17
2, 	42.8192, 	-25, 	10.3164, 	0, 	-7.10543e-17
2, 	42.8192, 	-24, 	5.50291, 	0, 	-7.10543e-17
2, 	15.8689, 	-23, 	9.36681, 	0, 	-7.10543e-17
2, 	15.8689, 	-22, 	8.55507, 	0, 	-7.10543e-17
2, 	14.9403, 	-21, 	11.9143, 	0, 	-7.10543e-17
2, 	14.9403, 	-20, 	7.66539, 	0, 	-7.10543e-17
2, 	14.0157, 	-19, 	13.125, 	0, 	-7.10543e-17
2, 	14.0157, 	-18, 	13.0689, 	0, 	-7.10543e-17
2, 	14.9403, 	-17, 	12.9807, 	0, 	-7.10543e-17
2, 	14.9403, 	-16, 	10.6173, 	0, 	-7.10543e-17
2, 	14.0157, 	-15, 	9.11592, 	0, 	-7.10543e-17
2, 	14.0157, 	-14, 	13.813, 	0, 	-7.10543e-17
2, 	14.9403, 	-13, 	14.0066, 	0, 	-7.10543e-17
2, 	14.9403, 	-12, 	11.3592, 	0, 	-7.10543e-17
2, 	14.9403, 	-11, 	15.0608, 	0, 	-7.10543e-17
2, 	14.9403, 	-10, 	13.9459, 	0, 	-7.10543e-17
2, 	13.0948, 	-9, 	19.2355, 	1, 	0.304
2, 	13.0948, 	-8, 	15.2229, 	0, 	0.304
2, 	12.1773, 	-7, 	14.4868, 	1, 	0.608
2, 	12.1773, 	-6, 	9.34594, 	0, 	0.608
2, 	13.0948, 	-5, 	17.2265, 	0, 	0.608
2, 	13.0948, 	-4, 	15.5051, 	0, 	0.608
2, 	12.1773, 	-3, 	15.1296, 	0, 	0.608
2, 	12.1773, 	-2, 	18.0642, 	1, 	0.912
2, 	11.263, 	-1, 	18.2231, 	1, 	1.216
2, 	11.263, 	0, 	20.0335, 	0, 	1.216
2, 	11.263, 	1, 	17.6431, 	0, 	1.216
2, 	11.263, 	2, 	18.6062, 	1, 	1.216
2, 	11.263, 	3, 	18.66, 	1, 	1.216
