2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	25.4477, 	-60, 	26.1534, 	1, 	1.52
2, 	25.4477, 	-59, 	0, 	0, 	1.52
2, 	23.4805, 	-58, 	9.39626, 	0, 	-7.10543e-17
2, 	23.4805, 	-57, 	10.5538, 	0, 	-7.10543e-17
2, 	23.4805, 	-56, 	10.8892, 	1, 	0.304
2, 	23.4805, 	-55, 	10.6546, 	1, 	0.608
2, 	23.4805, 	-54, 	9.91331, 	0, 	0.608
2, 	23.4805, 	-53, 	11.0061, 	0, 	0.608
2, 	23.4805, 	-52, 	10.2453, 	0, 	0.608
2, 	21.5423, 	-51, 	10.2166, 	0, 	0.608
2, 	21.5423, 	-50, 	11.0258, 	1, 	0.912
2, 	20.5829, 	-49, 	10.4639, 	0, 	0.912
2, 	20.5829, 	-48, 	9.34362, 	0, 	0.912
2, 	19.6296, 	-47, 	10.3769, 	1, 	1.216
2, 	19.6296, 	-46, 	11.3609, 	1, 	1.216
2, 	18.6818, 	-45, 	9.97917, 	0, 	1.216
2, 	18.6818, 	-44, 	9.78328, 	0, 	0.912
2, 	19.6296, 	-43, 	11.0837, 	0, 	0.912
2, 	19.6296, 	-42, 	11.7752, 	0, 	0.912
2, 	19.6296, 	-41, 	9.44566, 	0, 	0.912
2, 	19.6296, 	-40, 	10.7167, 	0, 	0.912
2, 	18.6818, 	-39, 	10.5243, 	0, 	0.608
2, 	18.6818, 	-38, 	8.09435, 	0, 	0.608
2, 	20.5829, 	-37, 	8.67496, 	0, 	0.608
2, 	20.5829, 	-36, 	6.15739, 	0, 	0.304
2, 	19.6296, 	-35, 	3.9752, 	0, 	-7.10543e-17
2, 	19.6296, 	-34, 	6.09051, 	0, 	-7.10543e-17
2, 	17.7394, 	-33, 	7.09045, 	0, 	-7.10543e-17
2, 	17.7394, 	-32, 	4.91113, 	0, 	-7.10543e-17
2, 	17.7394, 	-31, 	4.39566, 	0, 	-7.10543e-17
2, 	17.7394, 	-30, 	1.99734, 	0, 	-7.10543e-17
2, 	17.7394, 	-29, 	2.07186, 	0, 	-7.10543e-17
2, 	17.7394, 	-28, 	4.34645, 	0, 	-7.10543e-17
2, 	18.6818, 	-27, 	1.83439, 	0, 	-7.10543e-17
2, 	18.6818, 	-26, 	6.66722, 	0, 	-7.10543e-17
2, 	18.6818, 	-25, 	5.18781, 	0, 	-7.10543e-17
2, 	18.6818, 	-24, 	8.99558, 	0, 	-7.10543e-17
2, 	17.7394, 	-23, 	9.18257, 	0, 	-7.10543e-17
2, 	17.7394, 	-22, 	10.9874, 	0, 	-7.10543e-17
2, 	16.8018, 	-21, 	11.7616, 	1, 	0.304
2, 	16.8018, 	-20, 	13.1143, 	1, 	0.608
2, 	16.8018, 	-19, 	11.0023, 	0, 	0.608
2, 	16.8018, 	-18, 	13.978, 	0, 	0.608
2, 	15.8689, 	-17, 	14.1461, 	0, 	0.608
2, 	15.8689, 	-16, 	15.2721, 	0, 	0.608
2, 	15.8689, 	-15, 	15.9096, 	1, 	0.912
2, 	15.8689, 	-14, 	16.2552, 	1, 	1.216
2, 	14.9403, 	-13, 	16.1702, 	1, 	1.52
2, 	14.9403, 	-12, 	16.9763, 	1, 	1.824
2, 	14.9403, 	-11, 	15.9651, 	1, 	1.824
2, 	14.9403, 	-10, 	15.6407, 	1, 	1.824
2, 	14.9403, 	-9, 	16.1755, 	1, 	2.128
2, 	14.9403, 	-8, 	16.734, 	1, 	2.432
2, 	14.9403, 	-7, 	15.717, 	1, 	2.736
2, 	15.8689, 	-6, 	16.8131, 	1, 	3.04
2, 	15.8689, 	-5, 	17.6015, 	1, 	3.04
2, 	14.9403, 	-4, 	18.484, 	1, 	3.04
2, 	14.9403, 	-3, 	17.4026, 	1, 	3.04
2, 	13.0948, 	-2, 	19.4126, 	1, 	3.04
2, 	13.0948, 	-1, 	20.5639, 	1, 	3.04
2, 	13.0948, 	0, 	20.2714, 	1, 	3.04
2, 	13.0948, 	1, 	20.7057, 	1, 	3.04
2, 	14.0157, 	2, 	22.5337, 	1, 	3.04
2, 	14.0157, 	3, 	22.7711, 	1, 	3.04
2, 	12.1773, 	4, 	22.2879, 	1, 	3.04
2, 	12.1773, 	5, 	22.709, 	1, 	3.04
2, 	12.1773, 	6, 	22.5545, 	1, 	3.04
2, 	12.1773, 	7, 	23.1038, 	1, 	3.04
2, 	13.0948, 	8, 	0, 	0, 	3.04
2, 	13.0948, 	9, 	23.5624, 	1, 	3.04
2, 	13.0948, 	10, 	23.9694, 	1, 	3.04
2, 	10.3516, 	11, 	25.1501, 	1, 	3.04
2, 	10.3516, 	12, 	24.4207, 	1, 	3.04
2, 	11.263, 	13, 	25.1467, 	1, 	3.04
2, 	11.263, 	14, 	24.8545, 	1, 	3.04
2, 	10.3516, 	15, 	25.2232, 	1, 	3.04
2, 	10.3516, 	16, 	24.7059, 	1, 	3.04
2, 	11.263, 	17, 	25.3684, 	1, 	3.04
2, 	11.263, 	18, 	25.3518, 	1, 	3.04
2, 	11.263, 	19, 	26.3504, 	1, 	3.04
2, 	11.263, 	20, 	25.8949, 	1, 	3.04
2, 	6.72981, 	21, 	25.8372, 	1, 	3.04
2, 	6.72981, 	22, 	25.1603, 	1, 	3.04
2, 	12.1773, 	23, 	25.5701, 	1, 	3.04
2, 	12.1773, 	24, 	26.1096, 	1, 	3.04
2, 	7.63215, 	25, 	26.4915, 	1, 	3.04
2, 	7.63215, 	26, 	25.3872, 	1, 	3.04
2, 	28.4611, 	27, 	25.0394, 	1, 	3.04
2, 	28.4611, 	28, 	3.96005, 	0, 	3.04
2, 	14.9403, 	29, 	25.6454, 	1, 	2.736
2, 	14.9403, 	30, 	24.2417, 	1, 	2.736
2, 	29.4845, 	31, 	25.4965, 	1, 	2.736
2, 	29.4845, 	32, 	24.6723, 	1, 	2.736
2, 	33.6892, 	33, 	25.1403, 	1, 	2.736
2, 	33.6892, 	34, 	22.6875, 	1, 	2.736
2, 	8.53639, 	35, 	22.7772, 	1, 	2.736
2, 	8.53639, 	36, 	22.4273, 	1, 	2.736
2, 	12.1773, 	37, 	22.3416, 	1, 	2.736
2, 	12.1773, 	38, 	20.3591, 	1, 	3.04
2, 	10.3516, 	39, 	20.0676, 	1, 	3.04
2, 	10.3516, 	40, 	19.8492, 	1, 	3.04
2, 	12.1773, 	41, 	18.0784, 	1, 	3.04
2, 	12.1773, 	42, 	17.8452, 	1, 	3.04
2, 	16.8018, 	43, 	15.2832, 	1, 	3.04
2, 	16.8018, 	44, 	15.4209, 	1, 	3.04
2, 	16.8018, 	45, 	13.0935, 	1, 	3.04
2, 	20.5829, 	46, 	13.5177, 	1, 	3.04
2, 	20.5829, 	47, 	11.8767, 	0, 	3.04
2, 	23.4805, 	48, 	10.9244, 	0, 	2.736
2, 	23.4805, 	49, 	11.6288, 	0, 	2.432
2, 	26.4433, 	50, 	10.0043, 	0, 	2.128
2, 	26.4433, 	51, 	8.38845, 	0, 	1.824
2, 	15.8689, 	52, 	11.0939, 	0, 	1.52
2, 	15.8689, 	53, 	11.0464, 	0, 	1.216
2, 	16.8018, 	54, 	9.88332, 	0, 	0.912
2, 	16.8018, 	55, 	9.69206, 	0, 	0.608
2, 	20.5829, 	56, 	10.3411, 	0, 	0.304
2, 	20.5829, 	57, 	9.22169, 	0, 	-7.10543e-17
2, 	17.7394, 	58, 	9.6703, 	0, 	-7.10543e-17
2, 	17.7394, 	59, 	8.76235, 	0, 	-7.10543e-17
2, 	17.7394, 	60, 	7.42563, 	0, 	-7.10543e-17
2, 	22.508, 	25, 	7.42563, 	0, 	-7.10543e-17
2, 	22.508, 	25, 	16.4916, 	0, 	-7.10543e-17
2, 	22.508, 	-60, 	8.39933, 	0, 	-7.10543e-17
2, 	22.508, 	-59, 	7.76298, 	0, 	-7.10543e-17
2, 	22.508, 	-58, 	4.86632, 	0, 	-7.10543e-17
2, 	22.508, 	-57, 	6.95308, 	0, 	-7.10543e-17
2, 	15.8689, 	-56, 	8.49298, 	0, 	-7.10543e-17
2, 	15.8689, 	-55, 	0.830809, 	0, 	-7.10543e-17
2, 	18.6818, 	-54, 	6.46306, 	0, 	-7.10543e-17
2, 	18.6818, 	-53, 	2.84807, 	0, 	-7.10543e-17
2, 	18.6818, 	-52, 	2.48058, 	0, 	-7.10543e-17
2, 	18.6818, 	-51, 	7.05662, 	0, 	-7.10543e-17
2, 	16.8018, 	-50, 	0, 	0, 	-7.10543e-17
2, 	16.8018, 	-49, 	4.64484, 	0, 	-7.10543e-17
2, 	15.8689, 	-48, 	5.1584, 	0, 	-7.10543e-17
2, 	15.8689, 	-47, 	6.5506, 	0, 	-7.10543e-17
2, 	19.6296, 	-46, 	9.12355, 	0, 	-7.10543e-17
2, 	19.6296, 	-45, 	3.74055, 	0, 	-7.10543e-17
2, 	20.5829, 	-44, 	3.19925, 	0, 	-7.10543e-17
2, 	20.5829, 	-43, 	4.0987, 	0, 	-7.10543e-17
2, 	14.0157, 	-42, 	1.55889, 	0, 	-7.10543e-17
2, 	14.0157, 	-41, 	6.20455, 	0, 	-7.10543e-17
2, 	17.7394, 	-40, 	0, 	0, 	-7.10543e-17
2, 	17.7394, 	-39, 	0, 	0, 	-7.10543e-17
2, 	15.8689, 	-38, 	0, 	0, 	-7.10543e-17
2, 	15.8689, 	-37, 	0, 	0, 	-7.10543e-17
2, 	15.8689, 	-36, 	0, 	0, 	-7.10543e-17
2, 	15.8689, 	-35, 	0, 	0, 	-7.10543e-17
2, 	15.8689, 	-34, 	3.09793, 	0, 	-7.10543e-17
2, 	15.8689, 	-33, 	5.2368, 	0, 	-7.10543e-17
2, 	14.9403, 	-32, 	6.80012, 	0, 	-7.10543e-17
2, 	14.9403, 	-31, 	0, 	0, 	-7.10543e-17
2, 	14.9403, 	-30, 	6.66938, 	0, 	-7.10543e-17
2, 	14.9403, 	-29, 	3.88017, 	0, 	-7.10543e-17
2, 	14.9403, 	-28, 	9.59566, 	0, 	-7.10543e-17
2, 	14.9403, 	-27, 	8.97719, 	0, 	-7.10543e-17
2, 	15.8689, 	-26, 	9.15295, 	0, 	-7.10543e-17
2, 	15.8689, 	-25, 	8.2664, 	0, 	-7.10543e-17
2, 	15.8689, 	-24, 	5.40767, 	0, 	-7.10543e-17
2, 	15.8689, 	-23, 	7.80067, 	0, 	-7.10543e-17
2, 	14.0157, 	-22, 	13.9233, 	1, 	0.304
2, 	14.0157, 	-21, 	12.0334, 	0, 	0.304
2, 	16.8018, 	-20, 	12.5608, 	0, 	0.304
2, 	16.8018, 	-19, 	7.53814, 	0, 	0.304
2, 	14.0157, 	-18, 	11.357, 	0, 	0.304
2, 	14.0157, 	-17, 	15.1415, 	1, 	0.608
2, 	14.9403, 	-16, 	15.9184, 	1, 	0.912
2, 	14.9403, 	-15, 	13.1464, 	1, 	1.216
2, 	14.0157, 	-14, 	6.72625, 	0, 	1.216
2, 	14.0157, 	-13, 	15.1775, 	0, 	1.216
2, 	-13.0948, 	-12, 	16.9396, 	1, 	1.216
2, 	-13.0948, 	-11, 	15.5943, 	1, 	1.52
2, 	13.0948, 	-10, 	9.22217, 	0, 	1.52
2, 	13.0948, 	-9, 	15.9465, 	1, 	1.824
2, 	14.9403, 	-8, 	17.7084, 	0, 	1.824
2, 	14.9403, 	-7, 	19.36, 	1, 	1.824
2, 	14.0157, 	-6, 	14.3255, 	0, 	1.824
2, 	14.0157, 	-5, 	16.8138, 	0, 	1.52
2, 	10.3516, 	-4, 	18.2464, 	1, 	1.52
2, 	10.3516, 	-3, 	18.8968, 	1, 	1.824
2, 	14.0157, 	-2, 	15.743, 	0, 	1.824
2, 	14.0157, 	-1, 	11.1117, 	0, 	1.52
2, 	-9.44278, 	0, 	19.4082, 	0, 	1.216
2, 	-9.44278, 	1, 	19.3958, 	1, 	1.216
2, 	-10.3516, 	2, 	18.2998, 	0, 	1.216
