2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-1.34299, 	-60, 	26.1534, 	1, 	1.52
2, 	-0.447628, 	-59, 	11.5155, 	1, 	2.432
2, 	-0.447628, 	-58, 	6.76504, 	0, 	2.432
2, 	-0.447628, 	-57, 	6.30806, 	0, 	2.128
2, 	-0.447628, 	-56, 	8.60398, 	0, 	1.824
2, 	-0.447628, 	-55, 	5.63106, 	0, 	1.52
2, 	-0.447628, 	-54, 	7.61817, 	0, 	1.216
2, 	-1.34299, 	-53, 	6.40132, 	0, 	0.912
2, 	-1.34299, 	-52, 	2.44372, 	0, 	0.912
2, 	-0.447628, 	-51, 	7.81899, 	0, 	0.608
2, 	-1.34299, 	-50, 	5.15502, 	0, 	0.304
2, 	-1.34299, 	-49, 	4.43632, 	0, 	0.304
2, 	-1.34299, 	-48, 	4.16247, 	0, 	-7.10543e-17
2, 	-3.13493, 	-47, 	3.58317, 	0, 	-7.10543e-17
2, 	-3.13493, 	-46, 	1.76924, 	0, 	-7.10543e-17
2, 	-3.13493, 	-45, 	2.99414, 	0, 	-7.10543e-17
2, 	0.447628, 	-44, 	3.16857, 	0, 	-7.10543e-17
2, 	0.447628, 	-43, 	2.26673, 	0, 	-7.10543e-17
2, 	33.6892, 	-42, 	-1.34137, 	0, 	-7.10543e-17
2, 	33.6892, 	-41, 	-0.289401, 	0, 	-7.10543e-17
2, 	33.6892, 	-40, 	4.43908, 	0, 	-7.10543e-17
2, 	33.6892, 	-39, 	-1.50101, 	0, 	-7.10543e-17
2, 	33.6892, 	-38, 	0.553502, 	0, 	-7.10543e-17
2, 	-0.447628, 	-37, 	3.59577, 	0, 	-7.10543e-17
2, 	-0.447628, 	-36, 	3.1363, 	0, 	-7.10543e-17
2, 	-1.34299, 	-35, 	1.70455, 	0, 	-7.10543e-17
2, 	-0.447628, 	-34, 	2.19139, 	0, 	-7.10543e-17
2, 	-0.447628, 	-33, 	3.39922, 	0, 	-7.10543e-17
2, 	-0.447628, 	-32, 	-0.342444, 	0, 	-7.10543e-17
2, 	-0.447628, 	-31, 	2.04615, 	0, 	-7.10543e-17
2, 	-1.34299, 	-30, 	3.66872, 	0, 	-7.10543e-17
2, 	6.72981, 	-29, 	3.5982, 	0, 	-7.10543e-17
2, 	6.72981, 	-28, 	4.69604, 	0, 	-7.10543e-17
2, 	-0.447628, 	-27, 	3.96077, 	0, 	-7.10543e-17
2, 	-1.34299, 	-26, 	3.28277, 	0, 	-7.10543e-17
2, 	-1.34299, 	-25, 	1.51766, 	0, 	-7.10543e-17
2, 	5.82915, 	-24, 	3.67962, 	0, 	-7.10543e-17
2, 	5.82915, 	-23, 	5.22895, 	0, 	-7.10543e-17
2, 	3.13493, 	-22, 	8.38329, 	0, 	-7.10543e-17
2, 	3.13493, 	-21, 	4.62375, 	0, 	-7.10543e-17
2, 	2.23869, 	-20, 	2.80142, 	0, 	-7.10543e-17
2, 	2.23869, 	-19, 	8.3862, 	0, 	-7.10543e-17
2, 	1.34299, 	-18, 	7.56386, 	0, 	-7.10543e-17
2, 	-3.13493, 	-17, 	8.07486, 	0, 	-7.10543e-17
2, 	-3.13493, 	-16, 	9.52409, 	0, 	-7.10543e-17
2, 	-2.23869, 	-15, 	11.5502, 	0, 	-7.10543e-17
2, 	-2.23869, 	-14, 	8.11129, 	0, 	-7.10543e-17
2, 	-2.23869, 	-13, 	11.4228, 	0, 	-7.10543e-17
2, 	-2.23869, 	-12, 	9.29745, 	0, 	-7.10543e-17
2, 	-0.447628, 	-11, 	9.78812, 	0, 	-7.10543e-17
2, 	-0.447628, 	-10, 	15.4308, 	1, 	0.304
2, 	-0.447628, 	-9, 	9.70069, 	0, 	0.304
2, 	-0.447628, 	-8, 	14.1871, 	0, 	0.304
2, 	-0.447628, 	-7, 	13.2256, 	0, 	0.304
2, 	-0.447628, 	-6, 	2.51297, 	0, 	0.304
2, 	-2.23869, 	-5, 	13.9205, 	0, 	0.304
2, 	-2.23869, 	-4, 	15.6551, 	1, 	0.608
2, 	-3.13493, 	-3, 	13.6746, 	0, 	0.608
2, 	-3.13493, 	-2, 	10.9495, 	0, 	0.608
2, 	-1.34299, 	-1, 	14.1625, 	0, 	0.608
2, 	-1.34299, 	0, 	13.3613, 	0, 	0.608
2, 	-3.13493, 	1, 	14.964, 	1, 	0.608
2, 	-0.447628, 	2, 	15.1136, 	0, 	0.608
2, 	-0.447628, 	3, 	17.2356, 	1, 	0.912
2, 	0.447628, 	4, 	17.4168, 	0, 	0.912
2, 	0.447628, 	5, 	13.801, 	0, 	0.912
2, 	-5.82915, 	6, 	12.8727, 	0, 	0.608
2, 	-5.82915, 	7, 	11.9573, 	0, 	0.608
2, 	-6.72981, 	8, 	8.07445, 	0, 	0.608
2, 	-6.72981, 	9, 	7.20833, 	0, 	0.608
2, 	-3.13493, 	10, 	15.1242, 	0, 	0.608
2, 	-3.13493, 	11, 	17.7216, 	0, 	0.304
2, 	-1.34299, 	12, 	16.7385, 	0, 	0.304
2, 	-1.34299, 	13, 	15.2957, 	0, 	0.304
2, 	-2.23869, 	14, 	16.7818, 	0, 	-7.10543e-17
2, 	-2.23869, 	15, 	16.6719, 	0, 	-7.10543e-17
2, 	-19.6296, 	16, 	16.9874, 	1, 	0.304
2, 	-18.6818, 	17, 	16.711, 	1, 	0.608
2, 	-18.6818, 	18, 	18.3035, 	1, 	0.912
2, 	-20.5829, 	19, 	17.6186, 	1, 	1.216
2, 	-20.5829, 	20, 	20.7561, 	1, 	1.52
2, 	-20.5829, 	21, 	22.2989, 	1, 	1.824
2, 	-20.5829, 	22, 	20.2701, 	1, 	2.128
2, 	-20.5829, 	23, 	17.8713, 	0, 	2.128
2, 	-20.5829, 	24, 	18.941, 	0, 	2.128
2, 	-22.508, 	25, 	21.6192, 	1, 	2.432
2, 	-22.508, 	26, 	21.8051, 	1, 	2.432
2, 	-25.4477, 	27, 	21.9027, 	1, 	2.432
2, 	-25.4477, 	28, 	21.6098, 	1, 	2.432
2, 	-23.4805, 	29, 	20.1086, 	1, 	2.432
2, 	-23.4805, 	30, 	16.3931, 	0, 	2.432
2, 	-24.4603, 	31, 	17.9139, 	0, 	2.128
2, 	-24.4603, 	32, 	21.9776, 	1, 	1.824
2, 	-26.4433, 	33, 	22.2913, 	0, 	1.824
2, 	-26.4433, 	34, 	18.8881, 	0, 	1.824
2, 	-25.4477, 	35, 	19.2691, 	0, 	1.824
2, 	-25.4477, 	36, 	18.5821, 	1, 	1.52
2, 	-28.4611, 	37, 	7.1141, 	0, 	1.52
2, 	-28.4611, 	38, 	12.0478, 	0, 	1.216
2, 	-26.4433, 	39, 	7.64612, 	0, 	0.912
2, 	-26.4433, 	40, 	15.3455, 	1, 	0.912
2, 	-28.4611, 	41, 	12.9604, 	0, 	0.912
2, 	-28.4611, 	42, 	20.5998, 	1, 	0.912
2, 	-31.5631, 	43, 	17.128, 	1, 	1.216
2, 	-31.5631, 	44, 	17.128, 	0, 	1.216
2, 	-1.34299, 	45, 	18.4657, 	0, 	1.216
2, 	-1.34299, 	46, 	17.0525, 	1, 	1.216
2, 	-32.6198, 	47, 	21.6334, 	1, 	1.52
2, 	-32.6198, 	48, 	20.8748, 	1, 	1.824
2, 	-33.6892, 	49, 	17.9794, 	0, 	1.824
2, 	-33.6892, 	50, 	20.7299, 	1, 	1.824
2, 	-32.6198, 	51, 	22.5761, 	1, 	2.128
2, 	-32.6198, 	52, 	23.9695, 	1, 	2.128
2, 	-32.6198, 	53, 	23.0742, 	1, 	2.128
2, 	-32.6198, 	54, 	18.3247, 	0, 	2.432
2, 	-32.6198, 	55, 	18.1676, 	1, 	2.432
2, 	-1.34299, 	56, 	17.3669, 	0, 	2.432
2, 	-1.34299, 	57, 	15.573, 	1, 	2.128
2, 	-0.447628, 	58, 	15.2056, 	1, 	2.432
2, 	-0.447628, 	59, 	21.9151, 	1, 	2.432
2, 	-0.447628, 	60, 	22.2882, 	1, 	2.432
2, 	-0.447628, 	-60, 	26.3496, 	1, 	2.432
2, 	-1.34299, 	-60, 	23.6943, 	1, 	2.432
2, 	-0.447628, 	-60, 	25.6962, 	1, 	2.432
2, 	-0.447628, 	-60, 	23.9784, 	1, 	2.736
2, 	-0.447628, 	-60, 	23.8508, 	1, 	2.736
2, 	-0.447628, 	-60, 	24.0428, 	1, 	3.04
2, 	-0.447628, 	-60, 	20.4189, 	1, 	3.04
2, 	-0.447628, 	-60, 	22.6295, 	1, 	3.04
2, 	-35.8692, 	-60, 	22.3341, 	1, 	3.04
2, 	-35.8692, 	-60, 	19.6997, 	1, 	3.04
2, 	-35.8692, 	-60, 	21.9837, 	1, 	3.04
2, 	-35.8692, 	-60, 	19.4832, 	1, 	3.04
2, 	-0.447628, 	-60, 	22.8676, 	1, 	3.04
2, 	-36.9819, 	-60, 	21.487, 	1, 	3.04
2, 	-36.9819, 	-60, 	22.2453, 	1, 	3.04
2, 	-0.447628, 	-60, 	21.0233, 	1, 	3.04
2, 	-0.447628, 	-60, 	21.2638, 	1, 	3.04
2, 	-0.447628, 	-60, 	21.7729, 	1, 	3.04
2, 	-0.447628, 	-60, 	20.9255, 	1, 	3.04
2, 	-1.34299, 	-60, 	22.4295, 	1, 	3.04
2, 	-1.34299, 	-60, 	22.6914, 	1, 	3.04
2, 	-39.2579, 	-60, 	22.8855, 	1, 	3.04
2, 	-39.2579, 	-60, 	23.2125, 	1, 	3.04
2, 	-39.2579, 	-60, 	21.9571, 	1, 	3.04
2, 	-39.2579, 	-60, 	21.7357, 	1, 	3.04
2, 	-36.9819, 	-60, 	22.7094, 	1, 	3.04
2, 	-36.9819, 	-60, 	23.7967, 	1, 	3.04
