(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);16:35:54.041, 	1, 	1, 	12.0922, 	10.6373, 	0, 	-3.46945e-14, 	2.736, 	(-0.0296667,0.189383);(-0.201759,-0.313455);(0.156527,-0.495142);(0.395433,-0.155711);
16:36:08.636, 	1, 	2, 	18.4382, 	12.4392, 	1, 	-3.46945e-14, 	2.736, 	(0.0809033,-0.0403393);
16:36:08.678, 	0, 	2, 	13.7984, 	12.3626, 	1, 	-3.46945e-14, 	2.736, 	(-0.0240496,0.0979235);
16:36:08.685, 	0, 	2, 	13.1316, 	6.61898, 	0, 	4, 	2.432, 	(0.0323767,0.0109231);
16:36:08.697, 	0, 	2, 	18.1344, 	10.1411, 	0, 	8, 	2.128, 	(-0.0245119,0.0581736);
16:36:08.717, 	0, 	2, 	15.9918, 	11.2542, 	0, 	12, 	1.824, 	(-0.049087,0.00688888);
16:36:08.737, 	0, 	2, 	9.13551, 	7.77451, 	0, 	16, 	1.52, 	(0.0142859,0.012724);
16:36:08.778, 	0, 	2, 	11.738, 	5.14659, 	0, 	20, 	1.216, 	(-0.00642171,-0.0261861);
16:36:08.785, 	0, 	2, 	12.5363, 	7.25335, 	0, 	24, 	0.912, 	(0.030067,0.035271);
16:36:08.797, 	0, 	2, 	16.2706, 	9.24863, 	0, 	28, 	0.608, 	(0.0285041,0.0164232);
16:36:08.817, 	0, 	2, 	10.4254, 	6.13568, 	0, 	32, 	0.304, 	(-0.012714,-0.00121068);
16:36:08.838, 	0, 	2, 	16.6976, 	5.91214, 	0, 	36, 	0.304, 	(-0.0280092,0.0261878);
16:36:08.878, 	0, 	2, 	14.1476, 	5.14354, 	0, 	40, 	-7.10543e-17, 	(0.000771633,0.0385508);
16:36:08.885, 	0, 	2, 	10.2951, 	2.93406, 	0, 	44, 	-7.10543e-17, 	(0.0118466,-0.00992567);
16:36:08.898, 	0, 	2, 	12.1796, 	5.34414, 	0, 	48, 	-7.10543e-17, 	(-0.00177893,0.0175913);
16:36:08.918, 	0, 	2, 	14.9148, 	4.20823, 	0, 	52, 	-7.10543e-17, 	(-0.0169789,0.0135531);
16:36:08.938, 	0, 	2, 	16.8833, 	3.82398, 	0, 	56, 	-7.10543e-17, 	(0.0274097,0.00304563);
16:36:08.979, 	0, 	2, 	15.0657, 	4.87483, 	0, 	60, 	-7.10543e-17, 	(-0.010823,-0.00815258);
16:36:08.987, 	0, 	2, 	12.4455, 	13.6843, 	0, 	64, 	-7.10543e-17, 	(-0.0718876,0.0712372);
16:36:08.999, 	0, 	2, 	13.2265, 	4.22382, 	0, 	68, 	-7.10543e-17, 	(-0.0156158,-0.00502718);
16:36:09.019, 	0, 	2, 	12.2123, 	5.28472, 	0, 	72, 	-7.10543e-17, 	(0.0302033,0.0254858);
16:36:09.040, 	0, 	2, 	10.8439, 	6.90016, 	0, 	76, 	-7.10543e-17, 	(0.0274314,-0.042779);
16:36:09.081, 	0, 	2, 	10.8653, 	-0.151143, 	0, 	80, 	-7.10543e-17, 	(-0.00374556,0.00433995);
16:36:09.086, 	0, 	2, 	12.6475, 	2.19104, 	0, 	84, 	-7.10543e-17, 	(0.00147868,-0.00391925);
16:36:09.100, 	0, 	2, 	14.2185, 	4.03478, 	0, 	88, 	-7.10543e-17, 	(-0.0312675,-0.00629449);
16:36:09.120, 	0, 	2, 	16.7037, 	3.37325, 	0, 	92, 	-7.10543e-17, 	(0.0162613,0.00135327);
16:36:09.140, 	0, 	2, 	13.7188, 	2.10894, 	0, 	96, 	-7.10543e-17, 	(0.013221,0.0157111);
16:36:09.180, 	0, 	2, 	11.6526, 	-0.157337, 	0, 	100, 	-7.10543e-17, 	(0.00443838,-0.00802021);
16:36:09.188, 	0, 	2, 	13.7581, 	3.72465, 	0, 	100, 	-7.10543e-17, 	(-0.0127834,0.0179887);
16:36:09.204, 	0, 	2, 	10.6039, 	2.9962, 	0, 	100, 	-7.10543e-17, 	(-0.0104055,0.0053649);
16:36:09.221, 	0, 	2, 	9.21128, 	-0.512077, 	0, 	100, 	-7.10543e-17, 	(-0.00496726,-9.29409e-05);
16:36:09.279, 	0, 	2, 	8.69168, 	1.97141, 	0, 	100, 	-7.10543e-17, 	(0.00770411,0.0138712);
16:36:09.287, 	0, 	2, 	12.1775, 	4.40308, 	0, 	100, 	-7.10543e-17, 	(0.0135328,0.0297466);
16:36:09.302, 	0, 	2, 	10.0155, 	4.40308, 	0, 	100, 	-7.10543e-17, 	(0.0135328,0.0297466);
