2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	22.508, 	-60, 	26.1534, 	1, 	1.52
2, 	16.8018, 	-59, 	6.50108, 	0, 	-7.10543e-17
2, 	15.8689, 	-58, 	7.58012, 	0, 	-7.10543e-17
2, 	15.8689, 	-57, 	6.48859, 	0, 	-7.10543e-17
2, 	15.8689, 	-56, 	8.16833, 	0, 	-7.10543e-17
2, 	15.8689, 	-55, 	7.26692, 	0, 	-7.10543e-17
2, 	14.9403, 	-54, 	7.66198, 	0, 	-7.10543e-17
2, 	14.9403, 	-53, 	8.6039, 	0, 	-7.10543e-17
2, 	14.9403, 	-52, 	9.31172, 	0, 	-7.10543e-17
2, 	14.9403, 	-51, 	8.65296, 	0, 	-7.10543e-17
2, 	15.8689, 	-50, 	6.49581, 	0, 	-7.10543e-17
2, 	15.8689, 	-49, 	7.98356, 	0, 	-7.10543e-17
2, 	17.7394, 	-48, 	5.73364, 	0, 	-7.10543e-17
2, 	17.7394, 	-47, 	9.23546, 	0, 	-7.10543e-17
2, 	14.9403, 	-46, 	9.68009, 	0, 	-7.10543e-17
2, 	14.9403, 	-45, 	9.46541, 	0, 	-7.10543e-17
2, 	14.9403, 	-44, 	7.88919, 	0, 	-7.10543e-17
2, 	13.0948, 	-43, 	8.98594, 	0, 	-7.10543e-17
2, 	13.0948, 	-42, 	8.31951, 	0, 	-7.10543e-17
2, 	12.1773, 	-41, 	4.45274, 	0, 	-7.10543e-17
2, 	12.1773, 	-40, 	5.54167, 	0, 	-7.10543e-17
2, 	11.263, 	-39, 	2.92446, 	0, 	-7.10543e-17
2, 	11.263, 	-38, 	4.30515, 	0, 	-7.10543e-17
2, 	12.1773, 	-37, 	7.15581, 	0, 	-7.10543e-17
2, 	12.1773, 	-36, 	6.8548, 	0, 	-7.10543e-17
2, 	11.263, 	-35, 	8.28607, 	0, 	-7.10543e-17
2, 	11.263, 	-34, 	7.89567, 	0, 	-7.10543e-17
2, 	15.8689, 	-33, 	10.8551, 	0, 	-7.10543e-17
2, 	15.8689, 	-32, 	11.6862, 	0, 	-7.10543e-17
2, 	39.2579, 	-31, 	13.9924, 	0, 	-7.10543e-17
2, 	39.2579, 	-30, 	14.6061, 	1, 	0.304
2, 	6.72981, 	-29, 	14.1893, 	1, 	0.608
2, 	6.72981, 	-28, 	16.2125, 	1, 	0.912
2, 	4.92994, 	-27, 	17.8338, 	1, 	1.216
2, 	4.92994, 	-26, 	17.2987, 	1, 	1.52
2, 	4.92994, 	-25, 	16.7059, 	1, 	1.824
2, 	4.92994, 	-24, 	17.4708, 	1, 	2.128
2, 	3.13493, 	-23, 	18.1506, 	1, 	2.432
2, 	3.13493, 	-22, 	18.1195, 	1, 	2.736
2, 	3.13493, 	-21, 	18.8413, 	1, 	3.04
2, 	3.13493, 	-20, 	19.001, 	1, 	3.04
2, 	0.447628, 	-19, 	18.815, 	1, 	3.04
2, 	0.447628, 	-18, 	19.3365, 	1, 	3.04
2, 	0.447628, 	-17, 	19.7478, 	1, 	3.04
2, 	0.447628, 	-16, 	19.403, 	1, 	3.04
2, 	-2.23869, 	-15, 	21.4394, 	1, 	3.04
2, 	-2.23869, 	-14, 	20.4938, 	1, 	3.04
2, 	-2.23869, 	-13, 	22.7251, 	1, 	3.04
2, 	-2.23869, 	-12, 	22.8155, 	1, 	3.04
2, 	0.447628, 	-11, 	24.4616, 	1, 	3.04
2, 	0.447628, 	-10, 	23.8913, 	1, 	3.04
2, 	-2.23869, 	-9, 	24.3564, 	1, 	3.04
2, 	-2.23869, 	-8, 	24.8498, 	1, 	3.04
2, 	-2.23869, 	-7, 	25.5137, 	1, 	3.04
2, 	-2.23869, 	-6, 	25.1878, 	1, 	3.04
2, 	-5.82915, 	-5, 	24.8219, 	1, 	3.04
2, 	-5.82915, 	-4, 	15.7249, 	0, 	3.04
2, 	-4.92994, 	-3, 	25.3418, 	1, 	2.736
2, 	-4.92994, 	-2, 	26.4192, 	1, 	2.736
2, 	-4.03194, 	-1, 	25.8397, 	1, 	2.736
2, 	-4.03194, 	0, 	26.1453, 	1, 	2.736
2, 	-4.03194, 	1, 	26.0075, 	1, 	2.736
2, 	-6.72981, 	2, 	26.1744, 	1, 	2.736
2, 	-6.72981, 	3, 	26.8327, 	1, 	2.736
2, 	-7.63215, 	4, 	26.8038, 	1, 	2.736
2, 	-7.63215, 	5, 	26.0069, 	1, 	2.736
2, 	-6.72981, 	6, 	26.4702, 	1, 	3.04
2, 	-6.72981, 	7, 	26.49, 	1, 	3.04
2, 	-9.44278, 	8, 	26.1921, 	1, 	3.04
2, 	-9.44278, 	9, 	24.0606, 	1, 	3.04
2, 	-12.1773, 	10, 	24.9444, 	1, 	3.04
2, 	-12.1773, 	11, 	23.4197, 	1, 	3.04
2, 	-11.263, 	12, 	22.832, 	1, 	3.04
2, 	-11.263, 	13, 	23.5955, 	1, 	3.04
2, 	-11.263, 	14, 	19.0604, 	0, 	3.04
2, 	-11.263, 	15, 	21.8843, 	1, 	2.736
2, 	-13.0948, 	16, 	19.7897, 	0, 	2.736
2, 	-13.0948, 	17, 	15.9644, 	0, 	2.432
2, 	-14.0157, 	18, 	16.1683, 	0, 	2.128
2, 	-14.0157, 	19, 	19.2242, 	1, 	1.824
2, 	-4.03194, 	20, 	18.4772, 	1, 	1.824
2, 	-4.03194, 	21, 	18.0399, 	1, 	1.824
2, 	-2.23869, 	22, 	18.5936, 	1, 	1.824
2, 	-2.23869, 	23, 	18.3663, 	1, 	1.824
2, 	-17.7394, 	24, 	18.4873, 	1, 	2.128
2, 	-17.7394, 	25, 	18.7049, 	1, 	2.128
2, 	-18.6818, 	26, 	19.2774, 	1, 	2.432
2, 	-18.6818, 	27, 	19.1809, 	1, 	2.736
2, 	-18.6818, 	28, 	18.6535, 	1, 	3.04
2, 	-18.6818, 	29, 	19.2311, 	1, 	3.04
2, 	-3.13493, 	30, 	16.4547, 	1, 	3.04
2, 	-3.13493, 	31, 	17.0011, 	1, 	3.04
2, 	-19.6296, 	32, 	17.0011, 	0, 	3.04
2, 	-19.6296, 	33, 	16.0294, 	1, 	2.736
2, 	-20.5829, 	34, 	13.2837, 	1, 	2.736
2, 	-20.5829, 	35, 	13.0486, 	1, 	2.736
2, 	-23.4805, 	36, 	11.2512, 	0, 	2.736
2, 	-23.4805, 	37, 	10.5448, 	0, 	2.432
2, 	-23.4805, 	38, 	9.03362, 	0, 	2.128
2, 	-23.4805, 	39, 	5.44826, 	0, 	1.824
2, 	-25.4477, 	40, 	6.75989, 	0, 	1.52
2, 	-25.4477, 	41, 	4.0168, 	0, 	1.216
2, 	-26.4433, 	42, 	8.2953, 	0, 	0.912
2, 	-26.4433, 	43, 	9.55445, 	0, 	0.912
2, 	-6.72981, 	44, 	7.23172, 	0, 	0.608
2, 	-6.72981, 	45, 	10.4751, 	1, 	0.304
2, 	-0.447628, 	46, 	12.0824, 	0, 	0.304
2, 	-0.447628, 	47, 	9.94198, 	0, 	0.304
2, 	-2.23869, 	48, 	13.2988, 	1, 	0.608
2, 	-2.23869, 	49, 	12.3714, 	1, 	0.912
2, 	-3.13493, 	50, 	12.2272, 	0, 	0.912
2, 	-3.13493, 	51, 	12.8597, 	0, 	0.912
2, 	-25.4477, 	52, 	14.4043, 	1, 	1.216
2, 	-25.4477, 	53, 	13.6043, 	1, 	1.52
2, 	-24.4603, 	54, 	13.2598, 	1, 	1.824
2, 	-24.4603, 	55, 	14.519, 	1, 	1.824
2, 	-27.4476, 	56, 	12.3706, 	0, 	1.824
2, 	-27.4476, 	57, 	14.2212, 	1, 	2.128
2, 	-30.5182, 	58, 	11.1387, 	0, 	2.128
2, 	-30.5182, 	59, 	13.4157, 	1, 	1.824
2, 	-30.5182, 	60, 	12.3646, 	1, 	2.128
2, 	-30.5182, 	3, 	7.86885, 	0, 	2.128
2, 	-6.72981, 	3, 	8.06034, 	0, 	2.128
2, 	-6.72981, 	3, 	8.88573, 	0, 	1.824
2, 	-32.6198, 	-60, 	12.4193, 	0, 	1.52
2, 	-32.6198, 	-59, 	18.9428, 	1, 	1.216
2, 	-32.6198, 	-58, 	0, 	0, 	1.216
2, 	-32.6198, 	-57, 	17.0065, 	1, 	1.52
2, 	-32.6198, 	-56, 	13.8192, 	0, 	1.52
2, 	-28.4611, 	-55, 	19.7919, 	1, 	1.52
2, 	-28.4611, 	-54, 	19.0136, 	1, 	1.52
2, 	-12.1773, 	-53, 	12.213, 	0, 	1.52
2, 	-12.1773, 	-52, 	15.2485, 	1, 	1.52
2, 	-38.111, 	-51, 	17.0933, 	1, 	1.824
2, 	-38.111, 	-50, 	17.868, 	1, 	2.128
2, 	-35.8692, 	-49, 	18.4666, 	1, 	2.432
2, 	-35.8692, 	-48, 	17.9619, 	1, 	2.432
2, 	-36.9819, 	-47, 	19.1952, 	1, 	2.432
2, 	-36.9819, 	-46, 	17.8837, 	1, 	2.736
2, 	-39.2579, 	-45, 	14.6365, 	1, 	2.736
2, 	-39.2579, 	-44, 	16.8902, 	1, 	2.736
2, 	-36.9819, 	-43, 	16.81, 	1, 	3.04
2, 	-36.9819, 	-42, 	14.2936, 	1, 	3.04
2, 	-38.111, 	-41, 	17.5496, 	1, 	3.04
2, 	-38.111, 	-40, 	0, 	0, 	3.04
2, 	-40.4239, 	-39, 	19.1599, 	1, 	3.04
2, 	-40.4239, 	-38, 	13.1357, 	1, 	3.04
2, 	-40.4239, 	-37, 	21.3325, 	1, 	3.04
2, 	-40.4239, 	-36, 	20.1636, 	1, 	3.04
2, 	-38.111, 	-35, 	0, 	0, 	3.04
2, 	-38.111, 	-34, 	21.5459, 	1, 	3.04
2, 	-39.2579, 	-33, 	11.9602, 	0, 	3.04
2, 	-39.2579, 	-32, 	20.6667, 	1, 	2.736
2, 	-39.2579, 	-31, 	2.20668, 	0, 	2.736
2, 	-39.2579, 	-30, 	19.8281, 	1, 	2.432
2, 	-39.2579, 	-29, 	16.1466, 	1, 	2.432
2, 	-39.2579, 	-28, 	10.9969, 	1, 	2.432
2, 	-38.111, 	-27, 	16.8455, 	1, 	2.432
2, 	-38.111, 	-26, 	16.1628, 	0, 	2.432
2, 	-38.111, 	-25, 	13.4644, 	0, 	2.128
2, 	-38.111, 	-24, 	11.8624, 	0, 	1.824
2, 	-35.8692, 	-23, 	11.1369, 	1, 	1.824
2, 	-35.8692, 	-22, 	11.3046, 	0, 	1.824
2, 	-39.2579, 	-21, 	10.9647, 	0, 	1.52
2, 	-39.2579, 	-20, 	11.1786, 	0, 	1.52
2, 	-36.9819, 	-19, 	13.1395, 	0, 	1.216
2, 	-36.9819, 	-18, 	13.9425, 	0, 	0.912
2, 	-38.111, 	-17, 	0, 	0, 	0.912
2, 	-38.111, 	-16, 	9.4639, 	0, 	0.608
2, 	-36.9819, 	-15, 	11.2986, 	0, 	0.304
2, 	-36.9819, 	-14, 	10.9072, 	0, 	0.304
2, 	-39.2579, 	-13, 	9.32158, 	0, 	0.304
2, 	-39.2579, 	-12, 	13.508, 	1, 	0.304
2, 	-39.2579, 	-11, 	5.52856, 	0, 	0.304
2, 	-39.2579, 	-10, 	12.8708, 	1, 	0.608
2, 	-39.2579, 	-9, 	9.2528, 	0, 	0.608
2, 	-39.2579, 	-8, 	11.2936, 	0, 	0.608
2, 	-39.2579, 	-7, 	6.53726, 	0, 	0.608
2, 	-39.2579, 	-6, 	3.87176, 	0, 	0.608
2, 	-36.9819, 	-5, 	10.4148, 	0, 	0.608
2, 	-36.9819, 	-4, 	7.10199, 	0, 	0.608
2, 	-36.9819, 	-3, 	6.744, 	0, 	0.608
2, 	-41.6104, 	-2, 	4.88039, 	0, 	0.608
2, 	-41.6104, 	-1, 	7.06709, 	0, 	0.304
2, 	-36.9819, 	0, 	7.22213, 	0, 	0.304
2, 	-36.9819, 	1, 	5.34342, 	0, 	-7.10543e-17
2, 	-38.111, 	2, 	7.32517, 	0, 	-7.10543e-17
2, 	-38.111, 	3, 	9.25655, 	0, 	-7.10543e-17
2, 	-38.111, 	4, 	6.42426, 	0, 	-7.10543e-17
2, 	-38.111, 	5, 	6.83814, 	0, 	-7.10543e-17
2, 	-14.9403, 	6, 	7.98488, 	0, 	-7.10543e-17
2, 	-14.9403, 	7, 	8.3489, 	0, 	-7.10543e-17
2, 	-38.111, 	8, 	8.84087, 	0, 	-7.10543e-17
2, 	-38.111, 	9, 	8.52309, 	0, 	-7.10543e-17
2, 	-12.1773, 	10, 	10.2266, 	0, 	-7.10543e-17
2, 	-12.1773, 	11, 	10.5191, 	0, 	-7.10543e-17
2, 	-38.111, 	12, 	9.68547, 	1, 	0.304
2, 	-38.111, 	13, 	10.8062, 	1, 	0.608
2, 	-14.9403, 	14, 	9.38782, 	0, 	0.608
2, 	-14.9403, 	15, 	11.3002, 	0, 	0.608
2, 	-31.5631, 	16, 	13.1286, 	0, 	0.608
2, 	-31.5631, 	17, 	13.0488, 	1, 	0.912
2, 	-7.63215, 	18, 	9.21042, 	1, 	1.216
2, 	-7.63215, 	19, 	12.4735, 	1, 	1.52
2, 	-10.3516, 	20, 	12.2313, 	1, 	1.824
2, 	-10.3516, 	21, 	11.2459, 	0, 	1.824
2, 	-30.5182, 	22, 	10.5461, 	0, 	1.824
2, 	-30.5182, 	23, 	12.1999, 	0, 	1.52
2, 	-33.6892, 	24, 	9.68458, 	0, 	1.216
2, 	-33.6892, 	25, 	8.58704, 	0, 	1.216
2, 	-30.5182, 	26, 	10.7696, 	0, 	1.216
2, 	-30.5182, 	27, 	8.99846, 	0, 	1.216
2, 	-4.03194, 	28, 	8.25726, 	0, 	0.912
2, 	-4.03194, 	29, 	7.7566, 	0, 	0.608
2, 	-3.13493, 	30, 	8.68198, 	0, 	0.304
2, 	-3.13493, 	31, 	9.56743, 	0, 	-7.10543e-17
2, 	-26.4433, 	32, 	7.82091, 	0, 	-7.10543e-17
2, 	-26.4433, 	33, 	5.06743, 	0, 	-7.10543e-17
2, 	-2.23869, 	34, 	6.76426, 	0, 	-7.10543e-17
2, 	-2.23869, 	35, 	6.02528, 	0, 	-7.10543e-17
2, 	-27.4476, 	36, 	1.94827, 	0, 	-7.10543e-17
2, 	-27.4476, 	37, 	3.34393, 	0, 	-7.10543e-17
2, 	-2.23869, 	38, 	6.84734, 	0, 	-7.10543e-17
2, 	-2.23869, 	39, 	6.26598, 	0, 	-7.10543e-17
2, 	-0.447628, 	40, 	6.6943, 	0, 	-7.10543e-17
2, 	-0.447628, 	41, 	1.63267, 	0, 	-7.10543e-17
2, 	-23.4805, 	42, 	7.14281, 	0, 	-7.10543e-17
2, 	-23.4805, 	43, 	6.14849, 	0, 	-7.10543e-17
2, 	-24.4603, 	44, 	6.54057, 	0, 	-7.10543e-17
2, 	-24.4603, 	45, 	6.69446, 	0, 	-7.10543e-17
2, 	-24.4603, 	46, 	6.27195, 	0, 	-7.10543e-17
2, 	-24.4603, 	47, 	9.14746, 	0, 	-7.10543e-17
2, 	-23.4805, 	48, 	10.0494, 	0, 	-7.10543e-17
2, 	-23.4805, 	49, 	10.4162, 	0, 	-7.10543e-17
2, 	-22.508, 	50, 	11.64, 	0, 	-7.10543e-17
2, 	-22.508, 	51, 	10.0696, 	0, 	-7.10543e-17
2, 	-20.5829, 	52, 	12.6466, 	1, 	0.304
2, 	-20.5829, 	53, 	12.3985, 	0, 	0.304
