2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	24.4603, 	-60, 	26.1534, 	1, 	1.52
2, 	24.4603, 	-59, 	0, 	0, 	1.52
2, 	25.4477, 	-58, 	5.25911, 	0, 	-7.10543e-17
2, 	25.4477, 	-57, 	8.11263, 	0, 	-7.10543e-17
2, 	29.4845, 	-56, 	8.60842, 	0, 	-7.10543e-17
2, 	29.4845, 	-55, 	6.35899, 	0, 	-7.10543e-17
2, 	32.6198, 	-54, 	6.888, 	0, 	-7.10543e-17
2, 	32.6198, 	-53, 	7.39157, 	0, 	-7.10543e-17
2, 	22.508, 	-52, 	6.04526, 	0, 	-7.10543e-17
2, 	22.508, 	-51, 	5.29413, 	0, 	-7.10543e-17
2, 	32.6198, 	-50, 	8.8859, 	0, 	-7.10543e-17
2, 	32.6198, 	-49, 	7.27566, 	0, 	-7.10543e-17
2, 	22.508, 	-48, 	9.93465, 	0, 	-7.10543e-17
2, 	22.508, 	-47, 	7.88292, 	0, 	-7.10543e-17
2, 	19.6296, 	-46, 	11.0563, 	0, 	-7.10543e-17
2, 	19.6296, 	-45, 	10.4871, 	0, 	-7.10543e-17
2, 	17.7394, 	-44, 	8.52973, 	0, 	-7.10543e-17
2, 	17.7394, 	-43, 	8.91946, 	0, 	-7.10543e-17
2, 	17.7394, 	-42, 	9.29136, 	0, 	-7.10543e-17
2, 	17.7394, 	-41, 	7.55853, 	0, 	-7.10543e-17
2, 	17.7394, 	-40, 	9.3167, 	0, 	-7.10543e-17
2, 	17.7394, 	-39, 	8.39318, 	0, 	-7.10543e-17
2, 	16.8018, 	-38, 	7.55602, 	0, 	-7.10543e-17
2, 	16.8018, 	-37, 	5.20848, 	0, 	-7.10543e-17
2, 	16.8018, 	-36, 	7.06594, 	0, 	-7.10543e-17
2, 	16.8018, 	-35, 	7.9293, 	0, 	-7.10543e-17
2, 	16.8018, 	-34, 	6.29921, 	0, 	-7.10543e-17
2, 	16.8018, 	-33, 	5.23144, 	0, 	-7.10543e-17
2, 	16.8018, 	-32, 	6.99687, 	0, 	-7.10543e-17
2, 	16.8018, 	-31, 	4.84402, 	0, 	-7.10543e-17
2, 	15.8689, 	-30, 	1.76588, 	0, 	-7.10543e-17
2, 	15.8689, 	-29, 	6.81387, 	0, 	-7.10543e-17
2, 	14.9403, 	-28, 	6.06622, 	0, 	-7.10543e-17
2, 	14.9403, 	-27, 	6.34133, 	0, 	-7.10543e-17
2, 	15.8689, 	-26, 	11.929, 	0, 	-7.10543e-17
2, 	15.8689, 	-25, 	12.3065, 	1, 	0.304
2, 	14.9403, 	-24, 	12.4209, 	0, 	0.304
2, 	14.9403, 	-23, 	15.1398, 	1, 	0.608
2, 	13.0948, 	-22, 	15.6883, 	1, 	0.912
2, 	13.0948, 	-21, 	16.4373, 	1, 	1.216
2, 	10.3516, 	-20, 	15.875, 	1, 	1.52
2, 	10.3516, 	-19, 	15.4737, 	1, 	1.824
2, 	11.263, 	-18, 	15.1188, 	0, 	1.824
2, 	11.263, 	-17, 	17.8634, 	1, 	2.128
2, 	12.1773, 	-16, 	18.5354, 	1, 	2.432
2, 	12.1773, 	-15, 	13.7255, 	0, 	2.432
2, 	9.44278, 	-14, 	19.5704, 	1, 	2.432
2, 	9.44278, 	-13, 	19.3122, 	1, 	2.432
2, 	18.6818, 	-12, 	19.5684, 	1, 	2.432
2, 	18.6818, 	-11, 	20.7541, 	1, 	2.432
2, 	17.7394, 	-10, 	20.9328, 	1, 	2.432
2, 	17.7394, 	-9, 	19.3945, 	1, 	2.432
2, 	15.8689, 	-8, 	20.2364, 	1, 	2.736
2, 	15.8689, 	-7, 	21.9647, 	1, 	2.736
2, 	31.5631, 	-6, 	21.6961, 	1, 	2.736
2, 	31.5631, 	-5, 	20.82, 	1, 	3.04
2, 	33.6892, 	-4, 	21.9116, 	1, 	3.04
2, 	33.6892, 	-3, 	21.7167, 	1, 	3.04
2, 	13.0948, 	-2, 	20.0053, 	1, 	3.04
2, 	13.0948, 	-1, 	18.0821, 	1, 	3.04
2, 	25.4477, 	0, 	16.9477, 	1, 	3.04
2, 	25.4477, 	1, 	17.1371, 	1, 	3.04
2, 	18.6818, 	2, 	17.9624, 	0, 	3.04
2, 	18.6818, 	3, 	18.2264, 	0, 	2.736
2, 	25.4477, 	4, 	12.6846, 	1, 	2.432
2, 	25.4477, 	5, 	16.6195, 	1, 	2.432
2, 	15.8689, 	6, 	16.772, 	1, 	2.432
2, 	15.8689, 	7, 	16.9643, 	1, 	2.432
2, 	23.4805, 	8, 	9.46611, 	0, 	2.432
2, 	23.4805, 	9, 	16.1044, 	0, 	2.128
2, 	18.6818, 	10, 	11.177, 	0, 	1.824
2, 	18.6818, 	11, 	0, 	0, 	1.824
2, 	20.5829, 	12, 	9.03062, 	0, 	1.52
2, 	20.5829, 	13, 	13.4977, 	0, 	1.216
2, 	-0.447628, 	14, 	8.3626, 	0, 	1.216
2, 	-0.447628, 	15, 	0, 	0, 	1.216
2, 	14.0157, 	16, 	0, 	0, 	1.216
