(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);
 NEW RECORD - 10-08-2023 18:11:29time, CRC, type, snr, data_snr, data_CRC, per_val, Throughput
18:11:29.074, 	1, 	1, 	12.8792, 	12.9177, 	0, 	0, 	0, 	(-0.175853,-0.226616);(0.479357,0.0637477);(0.021734,0.447939);(-0.512806,0.0426094);
18:11:43.469, 	1, 	2, 	19.9255, 	14.7656, 	1, 	0, 	1.52, 	(-0.0883917,-0.109154);
18:11:43.489, 	1, 	2, 	20.4983, 	14.1169, 	1, 	0, 	2.02667, 	(0.0540451,-0.0814132);
18:11:43.509, 	1, 	2, 	18.8185, 	14.146, 	1, 	0, 	2.28, 	(0.0538562,-0.124639);
18:11:43.529, 	1, 	2, 	19.8456, 	15.5166, 	1, 	0, 	2.432, 	(-0.121441,-0.0854774);
18:11:43.549, 	1, 	2, 	21.7801, 	15.4466, 	1, 	0, 	2.53333, 	(-0.117253,0.0989279);
18:11:43.570, 	1, 	2, 	18.2666, 	14.6384, 	1, 	0, 	2.60571, 	(-0.0620109,0.120295);
18:11:43.589, 	1, 	2, 	18.9797, 	13.8016, 	1, 	0, 	2.66, 	(-0.126242,0.0481401);
18:11:43.610, 	1, 	2, 	20.224, 	15.1108, 	1, 	0, 	2.70222, 	(-0.145122,-0.00623286);
18:11:43.630, 	1, 	2, 	22.4072, 	16.2868, 	1, 	0, 	2.736, 	(0.0957811,-0.0547564);
18:11:43.650, 	1, 	2, 	18.2986, 	16.2687, 	1, 	0, 	3.04, 	(0.121222,0.0719392);
18:11:43.670, 	1, 	2, 	19.3803, 	15.4034, 	1, 	0, 	3.04, 	(0.106824,-0.102656);
18:11:43.690, 	1, 	2, 	23.326, 	13.6459, 	1, 	0, 	3.04, 	(0.105422,-0.024799);
18:11:43.710, 	1, 	2, 	22.0554, 	12.7284, 	1, 	0, 	3.04, 	(0.0916436,0.0218939);
18:11:43.731, 	1, 	2, 	18.6754, 	12.8513, 	1, 	0, 	3.04, 	(0.0535916,-0.10101);
18:11:43.751, 	0, 	2, 	20.4724, 	13.6339, 	1, 	0, 	3.04, 	(0.0192448,0.112349);
18:11:43.771, 	0, 	2, 	23.5331, 	13.9515, 	0, 	6.25, 	2.736, 	(0.0340728,-0.086945);
18:11:43.791, 	0, 	2, 	24.677, 	13.2314, 	0, 	11.7647, 	2.432, 	(-0.0532286,-0.0905055);
18:11:43.811, 	0, 	2, 	25.1573, 	12.4043, 	0, 	16.6667, 	2.128, 	(-0.0786575,-0.000535027);
18:11:43.832, 	0, 	2, 	23.473, 	10.1386, 	0, 	21.0526, 	1.824, 	(0.0628107,-0.0234192);
18:11:43.852, 	0, 	2, 	23.4343, 	8.74276, 	0, 	25, 	1.52, 	(0.0394281,0.00575206);
18:11:43.872, 	0, 	2, 	24.9778, 	9.56804, 	0, 	28.5714, 	1.216, 	(0.0237426,0.0169268);
18:11:43.892, 	0, 	2, 	20.5919, 	5.92609, 	0, 	31.8182, 	0.912, 	(-0.0228912,0.00527462);
18:11:43.912, 	0, 	2, 	25.141, 	6.98645, 	0, 	34.7826, 	0.608, 	(0.0026601,-0.0263799);
18:11:43.933, 	0, 	2, 	24.9343, 	6.78637, 	0, 	37.5, 	0.304, 	(-0.0118196,-0.0333434);
18:11:43.953, 	0, 	2, 	18.6586, 	8.87208, 	0, 	40, 	-7.10543e-17, 	(-0.0242815,-0.0488548);
18:11:43.973, 	0, 	2, 	27.2151, 	12.4669, 	0, 	44, 	-7.10543e-17, 	(-0.0524032,-0.0177586);
18:11:43.993, 	0, 	2, 	27.1705, 	14.1585, 	0, 	48, 	-7.10543e-17, 	(-0.0293982,-0.0485448);
18:11:44.013, 	1, 	2, 	28.2002, 	15.5646, 	1, 	52, 	0.304, 	(-0.109619,0.086021);
18:11:44.033, 	1, 	2, 	28.9842, 	16.1023, 	1, 	52, 	0.608, 	(-0.00937382,-0.136214);
18:11:44.053, 	1, 	2, 	29.0484, 	17.1095, 	1, 	52, 	0.912, 	(-0.0323803,0.113789);
18:11:44.074, 	1, 	2, 	25.1585, 	17.7394, 	1, 	52, 	1.216, 	(-0.164501,-0.10428);
18:11:44.094, 	1, 	2, 	25.2314, 	18.3657, 	1, 	52, 	1.52, 	(0.0704887,-0.00118169);
